userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
359448774,4696,462,333416,3417,16526,1866,10109,1111733,T
221808591,2684,28,120780,2394,12001,466,7709,1111765,T
587140546,4439,140,949946,3394,11201,466,7039,1112169,T
521370665,4433,112,554125,2296,53059,466,5035,1111667,F
433991499,4705,13,192905,10081,28803,1866,7504,1112293,T
335105491,1556,6,99584,2417,10183,2333,10215,1111730,T
953082578,1096,28,80008,4098,18669,466,4985,1111898,T
602620856,1712,24,333840,2681,18329,466,7912,1111501,T
828460440,4773,468,276834,4460,25203,1866,10089,1111582,T
740745838,1652,2,312228,12146,28803,1399,5484,1112245,T
083107528,4596,33,307932,6073,10840,1866,7714,1111501,T
286863167,1615,8,323000,6109,13264,466,7468,1111983,T
389688799,4695,485,680775,2240,12146,1399,9887,1111727,T
967654064,1695,6,374595,9787,12601,1866,4767,1111534,T
175203232,3843,417,526491,7579,10840,1399,9624,1111866,F
138707219,4509,111,518535,3877,12294,466,5328,1112196,T
589701954,2676,21,259572,3600,28803,466,7181,1111873,T
333867996,1584,6,324720,2501,14199,1399,9734,1112026,T
583260292,4851,480,213444,12924,27246,1866,9546,1111380,T
694303592,1713,1,35973,3045,24003,933,7166,1112126,T
331911753,4378,129,744260,11327,24003,933,7294,1111957,T
796772202,4706,487,320008,4500,10393,1399,4804,1112173,T
763728955,4468,108,120636,3953,31504,1866,5437,1112197,T
963606151,1632,16,311712,930,62342,1211,5602,375568,T
746761264,3805,410,152200,7938,16002,1399,5043,1111392,F
338029115,4773,11,610944,2695,77548,2333,5319,1111967,T
999927043,1704,16,381696,7579,18669,466,9953,1112067,T
077016633,4499,135,287936,2355,42005,466,5332,1111807,F
487552707,4384,124,644448,3190,12001,933,9561,1111365,T
629440089,4378,132,48158,3349,15509,466,7981,1111447,T
995533695,4781,13,1113973,2122,11078,2333,4752,1111641,T
749870850,1570,11,72220,2280,19387,1866,7579,1111544,T
841827037,4742,487,488426,4561,15046,2333,4683,1111679,T
899746053,1727,3,69080,5391,16260,1866,9467,1111955,T
134227110,4784,492,234416,7049,29651,933,7167,1111800,T
979742446,2771,21,443360,4200,25849,933,5127,1111964,T
930819373,4466,143,741356,3720,11722,466,10252,1111720,T
045443857,4374,108,398034,6261,21915,933,10053,1111857,T
457311174,1580,12,58460,2507,43831,1399,7211,1112149,T
698967392,4486,131,390282,2483,27246,933,7041,1111639,F
109590819,1538,30,332208,3549,59302,1866,9807,1111841,T
245190597,2690,16,174850,2135,13092,466,7503,1111880,T
696364119,4815,488,471870,2659,43831,933,7893,1111873,T
609833122,4627,11,166572,6073,10957,2333,10035,1112280,T
412981498,4623,36,416070,3150,32520,2333,5452,1111897,T
389863530,4836,459,430404,2507,14401,1399,6996,1112103,T
235821214,4657,40,977970,2255,14001,2333,4819,1111824,T
658812545,2689,8,255455,5539,13092,933,9804,1111973,T
418669263,3849,428,523464,6300,15274,466,4727,1111446,F
295691131,4399,142,936987,2301,12601,933,7160,1111376,F
380955738,1634,22,284316,4870,19021,1399,5262,1111850,T
725106524,4725,456,510300,13092,13623,1866,9399,1111634,T
673668690,4525,132,493225,2605,72009,466,5295,1111907,F
040012741,1556,20,315868,4893,112015,933,5066,1111557,T
864153745,4643,23,1086462,2366,20162,1399,7642,1111500,T
597077796,4698,487,314766,5015,59302,2333,9506,1111480,T
268947390,4634,10,792414,6676,29651,2333,9302,1111490,T
