userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
918311442,2790,7,273420,2383,2784,466,5211,1112199,T
770981714,4393,113,197685,2383,17686,933,9719,1112327,F
776790140,4901,486,200941,2383,4823,1399,7075,1111657,T
825804196,4391,125,373235,2383,11078,933,7369,1111524,F
902863845,4725,67,245700,2383,72009,1399,5065,1111583,T
026907132,4501,169,387086,2383,7467,1399,10072,1112214,F
948378392,1129,30,36128,2383,2215,466,5508,1112304,T
717446588,4463,108,147279,2383,6504,1866,4728,1112082,F
868711851,4862,477,325754,2383,2435,1399,9695,1112232,T
312669989,4585,157,183400,2383,6546,1399,5636,1111578,F
903725614,4597,142,110328,2383,2808,466,5628,1111443,F
463702325,4642,42,408496,2383,5169,1399,7725,1111870,T
956914803,4872,486,297192,2383,9248,1399,9869,1112305,T
775635946,4452,118,129108,2383,2646,1399,7968,1112173,F
048164650,4632,28,231600,2383,25203,2333,9819,1112097,T
938826677,4624,137,462400,2383,5539,466,10170,1111706,F
314430571,2790,48,164610,2383,2104,933,7329,1111882,T
252981541,4642,103,106766,2383,10183,1399,9466,1111782,F
042812410,1080,45,78840,2383,2270,1399,4851,1111355,T
780518967,4513,118,361040,2383,4520,933,4734,1111896,F
293218361,4953,464,198120,2383,2411,1866,9744,1112057,T
548782105,4594,158,202136,2383,2070,933,9871,1111733,F
411492920,4748,77,147188,2383,6073,2333,5656,1112161,T
666392999,4523,122,235196,2383,4271,933,9361,1111648,F
342881522,4776,21,396408,2383,17087,1866,9602,1111922,T
133749440,4400,158,334400,2383,11722,1399,7424,1111604,F
355720408,2875,30,89125,2383,3549,933,4738,1111600,T
854213485,4540,156,399520,2383,2784,1399,9664,1111861,F
964303928,1677,33,53664,2383,2360,933,5324,1112153,T
048581503,4494,148,314580,2383,2091,1399,10204,1111549,F
861249394,1186,18,93694,2383,2201,1866,4632,1112296,T
961602759,4376,142,297568,2383,3121,1399,7876,1111684,F
901109497,4683,465,145173,2383,7305,2333,4995,1112315,T
962384712,4660,130,330860,2383,2065,933,5498,1111348,F
062977891,4566,133,237432,2383,3679,466,7143,1111805,F
968416681,1086,1,68418,2383,4582,933,10085,1112136,T
165306672,1023,38,82863,2383,3092,933,6997,1111535,T
095492323,4392,103,215208,2383,6147,466,9503,1111556,F
184455080,4787,26,100527,2383,5861,2333,5635,1111959,T
803515203,4406,104,440600,2383,63008,933,9626,1111811,F
371708144,1672,7,142120,2383,10840,1399,7954,1111916,T
926335248,4466,142,93786,2383,4990,933,9819,1111441,F
628517273,4731,519,373749,2383,2078,1866,9915,1111548,T
701753542,4378,124,407154,2383,2255,1399,9697,1111931,F
013781747,2892,21,135924,2383,4561,933,9902,1111683,T
193186916,4468,112,259144,2383,2930,933,9365,1111425,F
999270449,2756,53,79924,2383,7099,933,4936,1111328,T
355220965,4537,110,136110,2383,32520,466,9883,1111960,F
049601244,1737,7,81639,2383,2526,1866,7984,1111628,T
692847502,4392,116,294264,2383,4520,1399,10273,1112166,F
286605577,1716,1,39468,2383,7000,1866,5373,1111580,T
847605324,4524,119,108576,2383,3220,1866,4649,1112316,F
944908465,2863,57,174643,2383,2070,933,10023,1111363,T
993649071,4532,139,362560,2383,3574,933,7900,1112243,F
472934283,4688,51,314096,2383,2880,2333,5044,1111738,T
942979554,4661,170,97881,2383,7695,1399,9627,1112138,F
160066444,1754,32,119272,2383,9883,1399,7692,1112090,T
690134846,4448,104,173472,2383,8921,466,9957,1111914,F
986347963,4647,42,134763,2383,13264,1399,9361,1111864,T
172479331,4503,107,216144,2383,9248,933,4993,1111650,F
539231300,4596,173,252780,2383,5169,933,4840,1111978,F
242841521,4735,483,340920,2383,2792,2333,10013,1112008,T
935691245,1039,43,45716,2383,2260,1866,5156,1111501,T
550766635,4524,159,90480,2383,4893,1866,5167,1111586,F
743943678,4788,497,253764,2383,26529,2333,5252,1111384,T
585396083,4422,121,296274,2383,3383,466,10057,1111875,F
248606264,4765,490,366905,2383,29651,1866,7429,1111784,T
342097667,4458,162,370014,2383,3512,1399,4938,1112319,F
578811582,2797,21,223760,2383,2377,933,4970,1111563,T
585384160,4366,134,296888,2383,2406,1399,5104,1111375,F
482915507,4549,152,322979,2383,3574,933,10306,1111713,F
788164838,4839,507,135492,2383,3574,1866,7766,1112212,T
300685824,1564,2,62560,2383,72009,1399,7959,1111977,T
825915109,4575,156,215025,2383,4645,466,7158,1111371,F
016514357,4608,142,92160,2383,42005,466,5271,1111501,F
