userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
920183485,597,20,52536,1406,20095,451,1675,650411,T
111291655,4238,11,211900,8652,14157,2257,2267,650779,T
235060539,530,20,63600,2462,9583,903,1998,650669,T
709109627,4771,399,791986,2708,9297,1354,2542,651003,T
858466748,4197,17,1032462,1403,18877,903,2353,651297,T
306523977,4707,397,1176750,2111,62295,1354,1364,650817,T
793474568,617,12,149314,1688,10740,1806,1816,650580,T
881349259,4123,21,766878,4418,7786,1354,2266,651330,T
556454809,4103,47,242077,2178,8773,451,1275,651286,T
590183001,4178,25,200544,1445,10558,2257,2267,650724,T
480235466,508,1,70612,5715,8652,2257,2591,651071,F
769240256,4244,40,908216,1486,6698,1806,2308,650876,T
915610145,631,17,102853,2584,62295,1806,2406,651269,T
564736724,4092,33,392832,1837,56631,451,2277,651189,T
176562508,4745,410,835120,2732,51912,1354,2376,650952,T
435668965,4080,24,199920,1581,7690,451,2727,650538,T
469547917,511,14,61320,4266,7986,1806,2325,651270,T
403116741,640,22,27520,1887,9297,903,905,651104,T
683809754,4111,32,98664,4905,6771,2257,2721,650989,T
194798752,510,18,12240,1597,8306,2257,2267,650926,F
594087576,654,2,158922,1837,7160,1354,1364,650533,T
604014182,4104,11,110808,1697,11124,1806,1880,650481,T
778278908,4144,39,389536,1626,27084,1354,1714,651081,T
830380112,4777,401,1027055,2673,6422,1806,2271,650785,T
732625841,631,3,11358,1549,7328,1354,1364,650889,T
876204991,566,17,132444,2708,7243,903,1891,650510,T
250710053,4723,409,1157135,3967,6229,1806,2231,651101,T
785059469,4225,32,359125,5416,9297,903,2266,650446,T
870750534,698,1,152862,1465,6229,1806,1816,651204,T
213337494,4769,397,987183,2419,89743,892,4393,1079962,F
906301415,569,20,134284,1639,7986,1354,2712,651051,T
880741765,631,14,148916,2639,9733,2257,2267,651292,F
759541036,566,1,117728,1266,20765,1806,1816,650783,T
951414365,541,3,64379,1412,8652,1354,1360,651240,T
451358834,594,13,99198,6771,51912,2257,2267,651176,F
540497696,4101,16,188646,2938,7986,451,917,651252,T
802574694,637,18,104468,1626,8090,1354,1805,650769,T
782145779,518,9,76664,1493,20765,1354,1565,651309,T
468797227,4242,23,258762,2511,10382,451,1952,650575,T
258877597,4093,31,773577,1916,47919,2257,2267,650730,T
723036165,547,7,107759,2595,7160,903,2040,651292,T
369224725,4780,385,1070720,1372,8652,1354,1364,650724,T
081280817,4208,16,568080,3519,12214,1806,2740,650535,T
535935491,4118,9,547694,1351,44496,1806,1881,651081,T
865481016,596,13,89996,1351,8306,903,992,651232,T
783407854,4119,39,663159,1565,11124,1806,1816,651281,T
684718064,586,1,104308,1679,103825,1354,1899,650417,T
244150423,4200,10,453600,3009,12713,1354,2297,650959,T
652085037,4160,16,794560,3752,7505,903,2320,650450,T
270127766,4164,33,707880,1581,7690,1354,1969,650485,T
194597558,4843,406,1191378,1744,7328,903,1776,651047,T
105150279,4813,384,1044421,1990,18322,2257,2267,650877,T
262386424,4724,387,1077072,3642,124590,1806,1816,651010,T
003714868,4753,389,480053,3024,62295,2257,2267,650936,T
419284145,4840,409,135520,1859,77868,1354,1364,650374,T
993862054,576,4,60480,3539,20095,1354,2508,650557,T
247413900,4858,388,1199926,1303,10740,903,1389,650987,T
767805041,532,1,28196,6229,9583,1806,1862,650474,T
559693821,587,1,101551,8418,23959,1806,2233,650873,T
158037403,4245,27,441480,1826,7505,903,1765,650937,T
143874346,4223,22,253380,1287,10382,1354,2428,650743,T
992555558,573,1,137520,6292,7505,2257,2267,650512,F
332302687,4790,400,1096910,7328,34608,1806,1816,650778,T
345154415,613,4,146507,1958,13843,1806,1816,650673,T
200259255,630,9,32130,4418,6292,1806,1816,650896,T
419749579,4696,395,990856,1387,88992,451,2086,651108,T
628441570,656,14,55760,1412,88992,1806,2022,651281,T
839856729,4149,17,576711,1415,9028,903,1926,650912,T
751967501,568,1,77248,1905,8533,1354,1868,651268,T
203943146,503,1,42252,2201,23959,1354,1442,650936,T
689411405,4196,46,444776,6845,10382,451,1827,651150,T
809285272,551,1,35815,8533,10212,1806,1929,650742,T
110900327,548,1,120560,2563,16393,451,1499,650590,T
269918235,4191,43,754380,1369,23959,903,1296,651188,T
570602105,517,4,103917,4944,6489,1806,2681,650796,T
243385917,604,20,59796,2433,11753,1354,1826,651017,T
