userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
199150837,4257,59,391644,1442,1258,2257,1968,650902,T
329006132,538,29,13450,1442,4209,2257,1927,650780,F
819494021,4100,70,356700,1442,6167,1354,1494,650492,T
122213704,783,1,46980,1442,2003,2257,1360,650760,F
925239058,509,38,19851,1442,2806,1806,2647,650531,T
306931931,700,1,51800,1442,12713,2257,1249,650452,F
458285906,4216,43,223448,1442,2298,2257,2230,650588,T
369278268,520,1,33800,1442,4791,2257,2196,650982,F
077416177,595,10,36295,1442,5234,1354,1651,650740,T
616181694,604,1,53756,1442,3053,2257,2329,651325,F
795042103,4210,20,294700,1442,10382,1806,1461,651334,T
865904882,761,41,33484,1442,2022,2257,2085,651168,F
244214213,718,36,16514,1442,1483,1806,1893,650346,T
364258239,755,8,15100,1442,7986,2257,1042,650467,F
566751697,4312,24,392392,1442,1378,2257,2704,651016,T
196241259,743,10,49038,1442,2193,2257,1452,650620,F
820084850,535,46,48685,1442,1795,1806,1803,651253,T
384041440,692,50,65740,1442,1626,2257,1773,650365,F
359338988,4165,66,274890,1442,1774,903,1499,650665,T
757208249,553,3,48664,1442,1538,2257,1631,651061,F
574019990,521,35,47411,1442,1593,2257,1598,650575,F
348607198,4348,40,265228,1442,1523,1806,1500,651246,T
540239776,4088,49,167608,1442,11326,451,1697,650381,T
638991271,788,5,68556,1442,2240,2257,2565,651206,F
891733798,742,26,40810,1442,3404,1806,1343,650763,T
212329488,734,28,20552,1442,11753,2257,2629,650783,F
977978353,544,4,50048,1442,3068,903,1532,650439,T
117219159,515,30,35020,1442,1331,2257,1645,651223,F
511004647,4084,44,277712,1442,1486,2257,945,650466,T
982083638,721,44,33887,1442,4580,2257,1993,651023,F
702459485,508,26,12192,1442,1652,451,1396,650925,T
702288134,742,30,73458,1442,3146,2257,2256,650368,F
445048958,4068,16,105768,1442,21481,1354,2364,650469,T
058460773,668,34,30728,1442,5279,2257,954,650963,F
015178763,4132,70,136356,1442,2257,903,2129,650664,T
165587786,631,28,36598,1442,13254,2257,1715,650707,F
354298295,790,6,16590,1442,3146,2257,2077,650959,F
088453280,4265,52,302815,1442,22248,1354,1601,650462,T
788101169,4246,22,140118,1442,1322,1354,1988,651130,T
300489657,538,45,42502,1442,5324,2257,1710,650868,F
009057494,660,1,32340,1442,3621,451,1714,650653,T
496952801,524,1,34060,1442,5989,2257,2224,651208,F
517000939,4319,18,367115,1442,1314,903,2350,650801,T
863094301,607,29,51595,1442,1601,2257,2778,650875,F
581879245,4297,65,214850,1442,2395,903,1209,650849,T
783150904,771,1,61680,1442,2781,2257,1496,650523,F
375137098,4135,40,144725,1442,2685,2257,973,651154,T
550279624,649,1,46728,1442,1279,2257,2383,650531,F
195367798,796,50,49352,1442,1940,2257,1746,650747,F
732995857,571,36,54816,1442,11979,903,1454,650968,T
399397725,507,1,36504,1442,2359,2257,1877,650640,F
118114283,596,1,54236,1442,2857,1354,2345,651145,T
904478387,4181,27,96163,1442,2857,451,1359,651119,T
135493366,550,15,30250,1442,1432,2257,2639,650375,F
350612142,4103,66,307725,1442,7690,903,1653,650465,T
844014267,705,1,31020,1442,5416,2257,1897,650731,F
731252771,4127,41,214604,1442,2491,1354,1744,651328,T
381533142,617,1,13574,1442,13843,2257,1039,650355,F
635126922,4125,50,152625,1442,1519,2257,1829,650542,T
314957769,639,38,17892,1442,2793,2257,1842,650812,F
009186756,4312,77,129360,1442,47919,1806,1745,650635,T
935453087,644,1,43792,1442,2857,2257,2090,650613,F
229127390,686,53,63798,1442,1393,1354,1161,650688,T
065881837,569,15,41537,1442,1465,2257,2588,650818,F
304986563,588,25,42336,1442,1432,903,1640,650579,T
305012961,590,19,47200,1442,13843,2257,1654,651227,F
005336748,668,46,33400,1442,1725,2257,2571,650638,F
