userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
615310339,2726,324,305312,1433,15401,1095,1528,675646,T
587827133,2657,361,217874,2471,30103,730,2719,675488,T
830290514,438,66,48180,2943,7979,1826,3713,675307,T
908867575,1044,55,152424,3246,12985,1095,2503,675970,T
852648017,894,65,71520,7525,8383,730,2959,676111,T
208442183,1628,11,68376,1729,22836,1095,2196,675972,F
108881360,2815,353,306835,2157,10856,1826,2176,675163,T
347090573,1003,73,238714,1442,23652,730,2980,675859,T
499351951,2690,348,32280,1876,30103,730,2877,675545,T
918064966,574,38,143500,5709,8600,1461,2620,675636,T
365409556,2702,363,651182,1368,9598,365,3120,675694,T
270955336,1699,1,356790,1659,14717,730,3836,675553,F
869023130,2671,324,512832,3784,16556,1461,3353,675521,T
575152040,1675,18,375200,3895,17428,730,2226,676070,T
434626717,4319,7,760144,6557,132453,1095,3052,675986,T
197413115,1761,16,49308,1789,8714,1826,1836,675396,F
092249694,4263,25,1027383,1655,12495,365,2230,675501,F
099545203,1779,8,444750,3214,73585,1461,3209,675246,T
893622889,2822,342,262446,1897,16556,1095,3617,675598,T
050739546,4316,31,366860,1368,6827,1095,2980,675894,T
526340749,4280,18,877400,2628,9198,1461,1927,675983,T
887028458,1759,3,378185,2480,18396,730,3362,675631,F
745812324,4258,44,821794,1558,110378,1095,3131,676090,F
570675199,4407,29,211536,752,11133,1189,4757,223616,F
802473852,4628,51,920972,1711,7884,365,1562,675438,T
679750669,1740,19,231420,2759,7700,730,2525,676042,T
481022040,2748,324,43968,1359,13797,365,3736,675562,T
519561644,1685,1,288135,6689,30103,730,2201,675603,T
494872513,1631,8,92967,3504,12735,730,3828,676097,T
555989809,1688,18,113096,5055,12735,365,3431,675936,T
782602658,4252,43,799376,1533,14090,1095,2222,676059,F
217371427,1604,31,277492,2229,66226,1095,3073,675886,F
825427603,1756,2,50924,3828,15768,730,2292,675873,T
696445738,4627,66,869876,2185,7979,730,1491,675806,T
984907799,1763,1,366704,2356,94609,730,2612,676058,F
848431784,1776,1,126096,1881,10856,1826,1910,676110,F
001561566,4272,26,679248,2703,8714,1095,2556,675940,T
287530489,1681,1,248788,2129,33113,1095,2811,675635,F
574060666,1056,66,139392,4942,18396,1095,3835,675805,T
571617590,2689,338,193608,1400,50943,1095,3492,675915,T
860444072,2763,325,38682,3246,8714,365,1675,675358,T
035450986,2672,330,106880,4328,18396,730,3020,675769,T
141773859,1034,41,48598,1354,14397,365,3009,675533,T
258362069,1640,16,221400,1804,7277,1461,2021,676138,F
553144673,1771,1,304612,1982,50943,1095,2433,675185,F
553267286,2660,341,223440,1876,18396,1461,2817,675684,T
696292776,4473,41,143136,6622,20695,365,3888,675498,T
450075505,2823,335,451680,1452,17428,1095,3168,675757,T
760333019,4161,22,416100,2638,23652,1826,2624,675404,T
230019504,2742,338,359202,3183,7045,365,1453,675180,T
283352381,2795,323,131365,2748,41391,730,2086,675943,T
163793144,601,51,142437,5298,8949,1826,3391,675755,T
849943415,4410,14,308700,5298,18921,1461,3708,676151,T
466998375,1067,66,72556,2082,17899,730,2423,675758,T
339524541,2814,336,146328,2617,10188,1095,3215,675617,T
116180169,4249,26,1032507,2738,30367,1558,4696,1066548,T
868425420,1775,2,275125,8176,8383,1461,2726,675233,T
599123164,4511,50,1037530,5214,11037,365,1439,675242,T
094110889,2719,344,304528,1540,24528,1461,2277,675400,T
131586066,1016,66,211328,1337,12495,1095,3175,675771,T
356277650,2831,353,359537,1346,14090,730,3262,675972,T
180024367,1641,1,277329,3199,17428,1095,1811,675453,T
392523497,4488,26,148104,1505,16981,365,3753,675146,T
724979659,1609,8,259049,1536,22836,1461,2572,675748,F
280552048,1593,7,348867,2617,10856,730,3420,675554,T
339785332,1745,14,97720,2164,11418,730,1909,675280,F
772471994,1769,21,173362,1324,12735,730,1806,675815,F
575130735,4262,10,963212,2063,6971,1461,3578,675592,F
605569927,2668,348,418876,3638,31536,365,3741,675500,T
878325705,4523,71,814140,2996,13515,365,2401,675763,T
708961972,1702,18,323380,1839,6622,730,1718,675788,F
739517838,4343,21,147662,2499,82783,1095,3574,675384,T
184269319,4347,9,617274,1643,10188,1826,3555,675613,F
355422885,1674,19,217620,1693,22075,365,2086,675776,F
483625008,1037,51,132736,1942,12264,365,3442,675784,T
161531953,4254,30,846546,3396,94609,730,2614,675767,T
545510938,573,62,55008,1515,8076,1826,2461,675267,T
732448854,965,47,100360,2275,11037,730,2387,675691,T
718026414,2789,344,627525,3311,13797,1461,3232,675636,T
415780551,2836,363,414056,1711,27594,1095,3611,675862,T
682378548,1630,9,345560,2842,8383,1461,3867,675376,T
355248052,4657,62,1024540,2537,7198,365,1791,675706,T
404539200,2818,324,464970,1724,8490,365,2947,675440,T
429151765,4292,14,884152,2649,7441,1826,3173,675149,T
190770187,4659,56,875892,1780,8714,365,2005,675978,T
142839547,4504,29,743160,1994,11418,1095,2489,675231,T
926259021,1749,28,344553,1498,16152,1461,2876,675913,F
802947170,2798,331,517630,1647,18921,1461,3431,675659,T
528851887,1663,30,286036,3311,8076,730,2879,675358,T
682339678,613,44,25133,2063,10856,1826,3828,675284,T
624869847,2740,343,372640,1351,7979,1826,2173,675361,T
190480389,4440,22,435120,2527,30103,730,3273,675817,T
466262978,2845,349,418215,1533,25471,1826,3677,675187,T
942625723,1018,69,199528,2207,14397,1095,1956,675700,T
580002852,607,41,44311,3199,11224,1826,2123,675239,T
928171645,987,76,210231,3066,17899,1461,2936,675326,T
307804201,1724,28,168952,2499,8830,1461,2924,675738,F
493151461,1625,27,406250,1415,30103,1461,2768,675452,F
666679397,2807,335,600698,1488,7884,1461,3720,675817,T
869098564,1771,17,336490,5214,55189,1826,2341,675320,T
808408521,4278,30,526194,2917,7121,1826,3114,675170,T
882551076,619,43,115134,4536,132453,1826,3462,675621,T
198503111,883,38,122737,1925,15401,1095,2997,675283,T
001912979,1072,45,115776,4730,16556,730,2928,675646,T
869267553,4290,15,948090,4474,9327,1826,3275,676106,T
371283341,2821,348,598052,3214,12041,365,2329,675496,T
375350602,4420,27,508300,1439,21363,1461,1848,675784,T
908512688,944,50,118000,5565,14717,1461,2583,676142,T
841354514,919,53,195747,2323,7277,730,2488,676093,T
576163556,4541,43,1012643,6757,9598,730,2941,675539,T
183642362,2722,352,511736,1573,6622,730,2525,676075,T
493593401,2661,349,388506,1761,13797,1095,2374,675934,T
447854823,1603,7,251671,1849,8383,365,2411,676052,F
456756186,2732,355,499956,1635,15768,365,3329,675336,T
319720290,2806,326,583648,1400,10347,730,3887,676126,T
602726523,936,77,76752,1391,10512,1095,2617,675974,T
687550863,2709,334,465948,1465,26490,730,1809,675845,T
152498646,2796,326,95064,1756,28794,1826,3192,675324,T
674232376,4363,31,549738,1639,10681,1095,1598,675634,T
483387909,1048,50,139384,6075,25471,1461,3028,676114,T
002468698,1053,37,42120,2050,66226,1461,2679,675598,T
298611549,4228,9,756812,1588,27594,365,3001,675159,F
974527868,1070,47,84530,1775,8076,730,3381,675969,T
241676119,1619,31,21047,5133,11418,1461,3125,675318,T
833649088,1658,5,87874,1747,25471,1461,2413,676143,F
913924088,2752,339,137600,8830,6689,1095,3007,675490,T
701633402,1618,12,237846,1627,6757,1095,2379,675955,F
852125585,2711,337,37954,2670,30103,1826,3594,675838,T
039602187,4578,57,892710,11593,8927,236,867,913285,F
601972977,1715,24,332710,3413,16556,1461,2456,675444,T
382843342,1731,1,384282,1346,10347,1826,1836,675275,F
467783748,2767,329,254564,5518,12264,730,1653,675356,T
306148883,973,76,177086,1558,9072,1095,2299,675288,T
995747220,1713,1,169587,1494,9072,1461,2809,675805,F
857320643,1617,1,74382,4942,11826,730,1912,675360,T
422474975,2652,361,198900,3431,12264,730,3011,675461,T
819973920,4348,48,626112,4696,10856,1095,2192,675341,T
854277228,889,55,142240,2842,26490,1461,2198,675831,T
443594722,986,68,168606,1430,13245,730,2076,675378,T
480679550,4280,42,988680,1595,9598,1826,1836,675499,F
788344205,1006,48,15090,9327,15051,1095,3082,675444,T
348255367,4673,68,1116847,8278,20068,365,2410,675921,T
095090136,2728,336,553784,6898,9072,1095,3672,675897,T
704996361,1741,3,410876,4385,9327,1826,2311,675903,T
237133405,937,67,75897,3094,7979,730,3120,676030,T
738682230,1649,21,375972,1982,7198,365,1731,675926,F
913781084,1782,7,331452,3679,11826,365,2024,675861,T
547977743,2806,357,676246,2714,12264,1826,2685,675518,T
160032193,2733,353,549333,1804,14717,730,3308,675517,T
425744362,1599,29,185484,2566,7884,365,1808,675777,T
883192169,1645,1,36190,6132,11618,1095,2352,675576,T
061684301,2736,348,552672,2331,10681,1461,2876,675810,T
863728085,1652,5,355180,2214,8830,365,3308,675264,F
120150190,4321,16,864200,1332,9598,365,3400,675601,F
431593060,4254,30,727434,2692,14717,1461,1952,675268,T
360037024,2702,327,191842,7700,23652,1461,2393,675473,T
014425819,994,64,159040,1720,6622,730,1901,675260,T
504355846,877,50,163999,2268,8383,1095,2289,676021,T
074739802,1041,48,78075,1468,19478,1095,2972,675342,T
889043826,4423,9,274226,3246,8076,1461,1781,675839,T
328194566,1019,50,162021,2323,47304,1461,3041,675522,T
017406798,1784,27,128448,1573,8490,365,3203,675996,F
630333294,1071,77,101745,2518,9739,730,3581,676050,T
980798207,2793,342,86583,1332,7441,1095,1447,675664,T
405504429,877,41,206972,1689,8830,1095,3330,675305,T
003898780,4572,48,548640,4631,27594,365,3266,675614,T
700157392,1007,53,45315,1565,18396,1461,1471,675940,T
733292895,2812,357,438672,1844,12264,1095,3756,675654,T
891584233,1047,44,26175,1876,94609,1461,2290,675931,T
704415251,908,40,39044,1365,14717,730,3584,675280,T
804286973,988,42,142272,4663,28794,1095,2841,676049,T
430875001,2705,357,624855,2748,82783,365,2658,675903,T
626574532,4370,19,393300,2434,31536,365,3798,675413,T
707558309,990,52,65340,1529,7198,365,2240,675627,T
611649982,4586,50,100892,6757,8176,730,1510,675822,T
516890049,2663,339,391461,2095,12985,1826,3343,675705,T
655695167,2712,336,113904,1471,6757,365,2385,675607,T
143101233,2680,323,112560,1988,6971,730,2238,675900,T
805455446,926,37,193534,1599,8600,730,2760,675755,T
160655532,2731,332,308603,5709,9739,1461,3288,675530,T
681672214,2709,327,357588,2818,82783,1095,3819,676042,T
396528711,2673,347,518562,2703,7700,730,3330,675390,T
551340756,1742,22,367562,8949,13797,365,1442,675609,T
016221520,4264,11,763256,2806,11037,1461,1713,675464,T
578441301,4150,7,381800,7791,22836,1826,3648,675964,T
401789279,4329,11,437229,2452,7198,1095,3791,675990,T
195087683,4454,23,507756,1529,26490,1095,2382,675144,T
433194999,899,63,21576,2649,15401,1095,2608,675300,T
497313620,4327,43,467316,1505,9739,730,3536,675638,T
256158014,2737,333,380443,2109,14717,1826,3713,675850,T
421955823,1598,25,105468,4474,10512,1095,3451,675627,T
022145076,4184,7,845168,4113,44151,1826,1836,675946,T
066841269,4329,27,835497,1756,31536,1095,2800,675317,F
660973095,1679,14,139357,5612,22075,1826,1836,675665,T
708234618,2783,360,314479,2095,60206,1826,1836,675391,T
131443587,888,41,174936,1374,6827,730,3053,675345,T
268005775,586,67,142984,1481,10681,1826,1966,675848,T
793873360,625,51,56875,3138,38956,1826,3756,675186,T
018669649,2833,342,215308,2000,24528,730,2297,675627,T
349847919,2697,324,188790,1611,9884,1826,3235,675292,T
686584738,2692,327,621852,2518,15768,1095,2277,676004,T
055077354,1784,4,173048,1498,7525,1826,1836,675627,F
557585438,4301,9,382789,3579,55189,1461,1637,676070,T
388668796,582,39,122220,2649,13245,1826,2391,675704,T
889514763,4337,28,320938,2670,22836,730,3822,675695,T
622314063,2681,341,584458,6757,31536,1095,3638,675651,T
178588599,2700,363,337500,1385,7884,365,3150,675488,T
891869319,4416,39,203136,2879,47304,1461,3853,675557,T
788876280,4310,28,896480,1481,55189,1826,3650,675865,F
281599318,1012,70,202400,2109,10034,1461,2614,675148,T
489797495,4397,30,448494,2557,11037,1826,1902,675659,T
796718055,4417,26,119259,1752,8383,1826,3534,675868,T
030237871,1676,30,214528,4272,14717,1826,3090,676023,T
293919333,2648,337,635520,2659,10188,1826,2907,675466,T
360110372,549,40,48861,5913,8830,1826,2150,675502,T
764748961,1592,19,125768,2806,7700,365,2283,675460,T
839671107,4302,22,718434,1635,12735,1826,3251,675533,F
933106556,2673,349,98901,3024,25471,1095,2203,675799,T
403767535,581,70,130144,1449,41391,1826,2910,676080,T
187739196,879,42,180195,2095,10856,730,2484,675710,T
312551031,2744,357,252448,1525,11418,730,2629,675469,T
038573591,1073,77,143782,2136,9598,1095,3497,675205,T
761104733,4352,29,744192,1903,10188,730,3545,675898,T
158400481,2701,330,51319,2275,23652,730,2129,675485,T
883011372,1043,41,13559,2200,7700,1095,2661,675171,T
265547568,1065,73,200220,2471,13797,1461,2830,675915,T
018157038,969,55,87210,1554,22075,365,2991,675747,T
969745126,2659,350,109019,1471,9072,1461,3625,675993,T
182585387,1019,41,203800,4599,7612,730,2948,675758,T
937201168,1719,1,264726,3806,13797,730,3729,676066,T
470827797,914,57,79518,9072,44151,1461,3276,675716,T
655874823,1721,22,256429,1461,10681,1095,2458,675933,F
361592470,2847,330,609258,1724,20695,730,2556,675353,T
694918017,1040,47,217360,2842,12495,730,3904,675864,T
810471982,2696,349,88968,1619,15768,1095,3738,675403,T
552718751,2681,343,182308,1561,14717,365,1983,675293,T
634031042,2811,342,140550,3066,7121,1461,2330,675875,T
999985364,2673,353,441045,2434,23652,1461,2838,675811,T
615795129,1743,5,176043,1394,11618,730,3083,675637,F
658188386,875,41,106750,8600,6898,1095,2890,675815,T
903568298,2748,342,294036,4599,7277,1095,1647,676068,T
618707832,1695,29,111870,2930,82783,1461,2262,675990,T
446370963,4454,13,378590,7277,9072,1826,2202,675356,T
984416420,4200,22,1037400,2115,8600,1095,1873,675144,T
973638140,2813,352,137837,4631,55189,365,3473,675793,T
067642989,4214,43,889154,4245,16556,1095,2877,676090,T
950020767,4175,29,517700,1365,34856,1826,3051,675714,F
598826445,4278,23,667368,3918,14717,1095,3289,675223,T
495552383,1026,57,224694,2252,7700,1461,3109,675970,T
621002516,2686,323,295460,3024,38956,1095,1933,675809,T
337183907,1701,1,287469,2307,13797,1095,1604,675752,F
507984466,2742,336,625176,2770,24528,1095,2904,675899,T
158031345,2770,345,33240,2842,22836,365,3069,675601,T
256319790,1764,1,202860,1619,6971,1095,1588,675884,F
604622908,4360,29,309560,4631,16556,1826,2390,675384,T
481413424,4515,70,1115205,3989,44151,365,2663,676081,T
203708492,920,66,145360,2171,7525,1461,2303,675408,T
771992447,990,63,55440,1576,20068,1461,2557,675591,T
203751304,4488,70,964920,1711,60206,365,2326,676086,T
973372839,2771,354,282642,2031,15768,365,3144,676134,T
563187393,2714,334,567226,2299,9598,1826,2377,675896,T
970153691,4241,12,564053,4567,10856,1461,3502,675290,T
381949522,2817,335,138033,1976,15768,365,3112,675289,T
383903333,1618,1,95462,3965,11224,1826,2300,675492,T
099564572,487,56,56005,1505,9198,1826,1836,675873,T
933166548,1610,13,373520,6020,31536,1461,1633,675697,T
489099908,1788,20,243168,1672,38956,365,2303,675570,F
108185131,4339,11,147526,2185,7979,730,2346,675347,T
029651108,4428,35,66420,1508,16556,365,3039,675888,T
520632816,4617,51,803358,1971,7121,365,1596,675329,T
334452126,929,38,39947,1558,11826,1095,3791,676147,T
617010170,4420,20,256360,3396,20695,730,3406,675972,T
025939209,1669,28,50070,1794,18396,365,3478,675957,F
788498588,4239,31,843561,4245,10188,730,3124,675639,T
344480054,2790,353,504990,3327,16556,365,2650,675730,T
458625553,4361,31,135191,2597,7358,1461,3426,675536,T
898711719,1719,26,331767,1471,7198,1461,2991,675392,F
373203856,2691,341,530127,1860,7700,1826,2931,675336,T
939419637,903,69,34314,1860,9327,365,2988,676110,T
868201838,2686,362,574804,1385,7358,730,3204,676072,T
870878633,463,34,54171,3361,10034,1826,2410,675672,T
773612167,2700,336,283500,8600,8714,730,3675,675474,T
611101190,4350,46,461100,1849,8600,1826,1945,675712,T
037430220,2811,354,233313,9198,8076,730,3758,675517,T
690409716,4229,8,1010731,2425,110378,1826,2458,676052,T
942278161,1720,1,364640,1623,6898,365,2960,676057,F
604374294,2823,327,519432,1442,19478,730,3419,675640,T
191471544,4361,36,95942,8076,9198,1461,3803,675621,T
805260798,4187,31,1025815,2214,73585,365,2992,675812,T
801552635,1648,5,87344,1809,11224,365,1708,675301,F
702526237,4308,9,206784,1533,15768,730,3140,675485,T
797510778,4659,50,796689,5214,55189,365,2455,675653,T
855698013,2752,329,129344,1400,19478,1461,2347,675846,T
451279906,1666,1,46648,8949,14090,1461,3328,675183,T
417470937,4462,16,245410,1715,7198,1826,3046,675490,T
944565480,4362,27,553974,1655,9072,1461,3182,676007,T
795606510,2767,324,650245,2136,24528,1826,2749,675909,T
586753485,2677,363,198098,1588,9460,730,2002,675240,T
529064948,4330,32,541250,1512,9884,730,2963,675795,T
086074881,1605,1,130005,1689,10856,730,2689,675327,F
886461621,2785,343,401040,8490,13245,730,2040,675552,T
289473396,2727,326,365418,1550,10512,1461,2895,675385,T
676570813,883,75,25607,9460,16152,730,2298,675936,T
646909374,1022,70,196224,1860,7198,1461,2017,675686,T
605172671,2812,329,652384,1676,30103,1095,2293,675274,T
597559927,2660,361,452200,1729,6757,1095,2041,675874,T
385738242,2763,328,342612,1668,132453,1095,2625,675381,T
003877826,4481,14,479467,2461,13245,1826,2295,676078,T
202296957,2697,346,83607,4599,7612,730,2006,676085,T
390468666,1664,29,356096,2012,18921,730,3651,675555,F
599395847,1753,26,141993,3989,17428,365,2911,675530,T
142366277,1777,1,218571,2382,8490,1095,2186,675784,F
676454273,1764,17,264600,1474,28794,1826,2348,675323,F
371933383,2793,357,673113,1804,16152,1461,2174,676128,T
353272714,613,60,67430,1685,6971,1826,3037,675647,T
643545984,4314,40,547878,4191,24528,1826,2823,675792,T
419403880,1754,9,322736,8490,19478,730,3904,676022,T
438673116,1758,2,325230,2480,10856,365,2292,675663,F
731203055,2821,339,544453,1554,26490,1095,3122,675547,T
699182943,617,34,148080,2109,7045,1826,1836,675597,T
015645315,4308,43,142164,2782,21363,730,1915,675744,T
110086437,4236,13,576096,2000,7045,1461,2321,675310,F
255104142,597,37,41193,1371,11418,1826,2938,676123,T
208407861,4355,43,135005,2617,7612,1826,2283,676011,T
560380499,437,73,39767,3895,73585,1826,2683,676000,T
939488036,1038,53,166080,1446,9198,730,2540,675370,T
817846613,2740,338,202760,2390,7277,365,3164,675915,T
476175017,952,73,39984,1391,24528,1461,2245,676082,T
668839136,4355,29,322270,2095,26490,730,2920,675288,T
016780536,1784,26,297928,1494,44151,365,2419,675356,F
