userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
362029771,130,2,1690,1280,17880,916,3320,534751,T
855344009,2230,6,167250,1871,11272,458,4229,534706,T
537970081,2266,15,169950,2541,47138,458,3185,535395,T
499976283,100,1,8900,4050,10802,916,2873,535247,T
256966097,2140,14,464380,1986,12963,916,2906,534780,T
051900668,2243,15,462058,2049,6481,458,2771,534688,T
274697415,178,11,19046,2480,12345,2290,2897,534855,T
166410384,2267,3,310579,1252,6647,916,6298,534773,T
052597485,128,15,15872,1357,5636,916,4488,535071,T
213052176,8,4,776,7201,28806,1832,6084,535020,T
305332628,2272,5,477120,3730,28806,1832,5899,534811,T
030535476,151,21,22801,1529,20740,2290,3424,535432,T
175252629,2246,14,265028,2517,17284,1832,5867,534977,T
076336201,15,1,1965,1605,12345,1374,5754,535209,T
801528433,188,6,6580,1240,43210,2290,4762,535316,T
092312446,40,1,3760,1246,5291,458,4493,535184,T
319355289,136,1,2040,5636,8788,2290,5048,535116,T
750514189,146,10,24090,1906,64815,916,4320,534589,T
681524901,2240,1,320320,1316,17284,1374,4784,535160,T
197772483,34,1,3230,3086,5458,458,5664,534527,T
649935827,2318,1,208620,5083,5636,1832,5755,535158,T
590309358,2280,2,353400,1452,7201,2290,2765,534703,T
183129025,78,1,14352,1781,15250,1832,4538,534857,T
859313162,67,1,1809,2566,17284,1832,4957,535054,T
154304260,2255,8,313445,2772,5237,1374,4083,534578,T
212984342,2253,13,234312,1432,5237,1832,4987,535109,T
148374376,147,4,23667,1386,8101,1374,3218,535131,T
810443671,195,8,25155,1899,5826,916,4472,534507,T
480807493,65,5,12350,1137,28806,458,4725,535250,T
796777041,60,1,3720,1152,11272,916,6471,535445,T
984990627,165,6,8745,3123,43210,916,3293,534745,T
455725958,2210,19,92820,1149,24691,916,4075,534928,T
267391981,2298,1,52854,2758,7103,2290,2954,535415,T
138518282,2213,1,276625,2592,7625,1832,4471,534927,T
326189482,14,1,364,1552,5892,1374,5784,535384,T
027543348,2299,20,351747,2206,5575,2290,6114,535419,T
273688759,2215,2,498375,2400,12058,1832,4218,535053,T
262543684,2228,8,282956,1336,17880,458,2775,535026,T
484690209,2235,1,156450,1635,6100,458,5720,535160,T
852360714,32,1,3456,1075,23569,2290,6058,535279,T
619680979,2242,25,251104,1237,13645,1374,3593,534924,T
071704664,148,11,27528,2082,14814,1374,3171,534521,T
866254742,159,1,29256,1547,10167,1832,5710,534903,T
342330554,2219,1,188615,2099,7856,458,6087,535239,T
149586522,2320,1,508080,1625,8101,458,3102,535036,T
528723896,105,2,5250,7007,7856,458,6189,535389,T
648816760,2224,29,275776,1051,12058,1374,4734,535335,T
353055851,45,14,10485,1751,8788,1832,3706,535399,T
263680431,121,1,6050,1590,13645,1832,4409,535447,T
299395411,2222,19,268862,1049,22544,1832,6157,534592,T
456809655,2140,24,340260,1964,25926,916,6173,535386,T
753872395,2327,29,390936,1217,6481,2290,5664,534848,T
487062011,198,5,11286,1390,8101,916,4244,535046,T
566088396,65,1,15340,1293,12963,458,6474,534605,T
161834194,2269,18,546829,1299,5237,1832,4900,535315,T
106017086,2249,11,402571,3345,64815,1374,3310,535375,T
077571385,2199,1,420009,1393,6734,2290,4600,534519,T
481648939,70,1,8750,2325,10802,916,3690,535349,T
272136673,2206,6,255896,2367,28806,1832,4339,534980,T
153382225,2149,1,221347,1757,20740,1374,5477,534938,T
712105167,130,11,23140,6563,15250,2290,2729,535438,T
899566442,2168,14,36856,3411,7303,1374,4740,535471,T
620926032,2232,21,261144,1093,15712,458,4578,534846,T
037062411,59,1,3363,3086,14814,2290,3728,535498,T
830219950,132,1,14256,1117,11032,916,6131,535308,T
108418850,127,1,10668,1711,47138,458,6418,534601,T
479259328,185,1,32930,5185,9427,916,3480,534916,T
244920112,2246,3,208878,1448,5401,458,3467,534885,T
049453990,2208,8,187680,1192,17284,916,2942,535483,T
349877327,122,1,8296,3181,12058,458,4630,534497,T
438017675,2334,10,224064,1329,17284,2290,3475,534544,T
655595612,27,1,945,3812,5960,458,5867,535035,T
978746787,2282,19,292096,1122,6100,458,3690,535417,T
867569164,99,1,5247,6172,51852,1374,2869,535385,T
177015932,2252,25,342304,3730,9971,1832,2868,534867,T
652676438,132,1,26400,3181,12963,1832,6371,534710,T
637053940,69,1,17181,5458,12345,458,3635,535191,T
197946465,175,1,23100,2554,32407,1832,4877,535105,T
071274753,92,6,18216,1041,12646,458,4449,534538,T
350490380,2264,7,353184,1986,5960,1832,6462,534876,T
937445574,2138,9,310010,2314,11032,916,2804,534684,T
276809827,2135,29,482510,1293,19204,458,2919,535054,T
561468025,51,15,4590,1832,24691,458,2743,534585,F
944696969,159,20,23691,1460,6563,916,3361,535071,T
939252286,2300,4,73600,2346,9783,1832,6348,535135,T
162345571,2265,10,33975,1661,11522,916,4774,534995,T
805570063,2299,30,234498,1502,22544,1374,5938,534816,T
221417993,2334,28,100362,1234,8500,1374,4766,535316,T
480614861,2269,1,558174,1115,9971,1374,6496,535109,T
566011199,2274,10,352470,2529,6647,2290,3091,534902,T
275722117,2211,23,205623,2160,5516,1374,6382,534788,T
107384803,136,1,17000,2849,11272,458,3254,535229,T
323908230,30,1,6120,1716,5291,1374,5010,534891,T
366904789,2288,24,118976,1460,7407,1832,4790,535010,T
191600728,2216,11,281432,7201,13295,2290,3119,534914,T
328696140,2304,21,509184,5133,14014,916,3530,534718,T
078089654,172,1,5504,1261,11032,2290,4912,534575,T
989062039,201,1,20703,6401,6323,1374,6205,534574,T
699948090,137,1,7261,1237,12058,916,4607,535379,T
397224702,2318,13,176168,1214,6100,458,5812,534742,T
759006434,29,1,1015,1390,5516,2290,5449,534692,T
133777478,42,1,2856,2445,5291,2290,2736,534813,T
980015937,127,8,12319,1590,6734,1832,3417,534517,T
905786953,2236,11,520988,2743,7407,458,4897,534992,T
702827561,2260,1,463300,2818,57613,2290,5992,535302,T
865283973,78,1,19032,1651,5458,1832,3275,535425,T
947668313,22,1,726,3367,5892,458,4899,535327,T
107754699,44,1,3608,1646,9427,458,4180,535294,T
186860147,2234,1,444566,1728,10167,2290,4735,534520,T
051391873,153,5,2448,2065,11032,1832,6280,535015,T
845023225,2323,22,538936,1339,9096,1832,4763,534806,T
378548157,2160,28,371520,5401,16203,1374,3365,534732,T
979593021,76,14,9044,2787,6172,458,4177,535073,T
045664560,97,1,4462,2346,9096,1374,2997,535425,T
329142426,2177,30,280833,2772,7514,458,2879,535434,T
716402998,106,1,18762,4431,17284,458,4293,534782,T
866492526,39,11,8697,1409,8101,1374,3067,535499,T
992521750,2286,1,509778,1409,7739,458,4192,535089,T
283443102,50,1,9650,1309,11032,458,3292,534855,F
240997238,2197,1,138411,3161,6822,1832,4213,534794,T
183359476,2307,23,286068,1069,8101,916,3195,534510,T
418414730,2206,1,436788,2284,12963,458,3182,534893,T
902454268,2296,25,309960,1576,15250,1374,3360,535328,T
378331671,2228,17,285184,1397,5960,1374,4534,535116,T
589796850,81,1,3240,3812,21605,458,5994,535226,T
807401266,2334,16,42012,1412,18518,916,4675,534605,T
261137437,2145,11,233805,1100,6323,2290,6272,535394,T
339104949,2304,1,499968,4181,30501,1832,5858,535174,T
330844303,11,3,297,2082,6647,916,6211,535208,T
655556536,2191,14,116123,1280,22544,1832,6322,535156,T
996774088,161,13,17710,4713,5960,458,3213,535372,T
124165499,2263,28,452600,1561,11032,458,5011,535149,T
942086727,2304,3,294912,7103,8230,458,6199,534719,T
978492109,2263,29,291927,1149,23569,916,6484,535414,T
089543000,2304,12,541440,2605,11272,458,4679,534896,T
964145029,86,1,13588,4431,9096,1832,3527,534688,T
500596750,2169,5,466335,1110,27290,458,4567,535314,T
419303379,74,4,10360,4431,5458,2290,5674,534583,T
235900996,28,1,5348,1267,5698,916,3532,534687,T
729100644,2161,1,136143,1763,5345,1374,5883,535381,T
607064523,126,1,14616,1892,5401,1374,3617,534742,T
712413911,2155,1,62495,4938,43210,916,4618,535466,T
630229804,89,2,14685,2787,12963,916,3001,535156,T
032017373,168,16,6720,2125,19204,2290,2795,534677,T
932494979,2205,1,361620,5034,14014,1832,6253,534727,T
336598826,2232,27,361584,1800,10167,1832,6000,535469,T
729165927,43,8,1677,1711,9096,1832,3447,535371,T
305689225,73,3,9052,2758,17284,916,6051,534739,T
791073134,2221,25,159912,2009,6401,2290,4228,534497,T
015590861,52,1,4056,5892,5761,916,4368,535029,T
940042543,2212,24,460096,4285,5516,2290,4697,534493,T
991884749,142,1,18744,1379,16203,2290,5726,534813,T
688849268,2191,1,512694,1420,6029,1832,3156,534690,T
563131414,92,17,12052,1511,9971,458,3436,535346,T
715030173,2260,30,103960,1132,51852,2290,6164,535145,T
303112718,136,1,11560,1595,7103,2290,3657,535005,T
825962328,193,21,6755,1127,19943,916,3711,535060,T
953774868,2274,16,84138,1625,8230,1832,5973,535075,T
854907424,10,1,1690,1045,8788,1832,6166,535300,T
571829018,63,1,11655,1734,22544,916,5642,535361,T
813386291,2221,23,284288,1053,5458,2290,3073,534994,T
855992530,124,18,28520,1197,43210,1832,2786,535285,T
562787203,2288,1,281424,2294,8500,1374,5780,535350,T
594032043,18,1,4086,4082,21605,458,4437,535253,T
788430322,2166,26,21660,2367,10582,916,2765,534653,T
716641536,18,1,1998,6029,6481,458,2914,535083,T
399452045,48,1,480,1147,6029,2290,4373,535247,T
396691435,2159,26,116586,2818,12646,1832,2939,534734,T
206306974,2241,12,459405,2758,11272,1374,5857,534573,T
570560973,2151,4,107550,1464,8642,916,3456,534891,T
776415539,2249,1,551005,1089,22544,1832,6020,535252,T
179541169,117,1,11232,3200,5698,458,2786,535139,F
271596128,79,1,16432,1375,5345,1374,4114,535465,T
322151727,2262,22,407160,2457,10582,458,3617,534627,T
131792663,74,1,17834,1173,11784,2290,5906,535191,T
707891676,45,17,5805,1217,6323,1832,3234,534649,T
616518601,2226,1,33390,1705,8230,458,3632,535307,T
564177879,2309,19,267844,1775,11784,916,6395,535488,T
838661403,82,2,18368,1734,20740,2290,4194,534506,T
339147066,2299,1,466697,3958,34568,916,3620,534497,T
536166349,83,5,12367,2772,5291,458,3608,535389,T
763939270,2186,6,325714,1112,47138,916,4457,535488,T
368454153,138,20,13386,1393,6172,1374,2915,535140,T
108610407,64,4,14784,1045,6822,2290,4706,534795,T
588512719,2137,8,217974,1183,5575,2290,3077,535057,T
952411782,2,1,52,2235,9783,458,3303,534602,T
305696452,2138,1,166764,6913,12963,1832,3351,534680,T
551972524,2201,1,325748,5401,5698,2290,6300,535468,T
360657664,2325,9,192975,1986,6172,1832,3466,535360,T
050594456,2249,1,542009,1154,21605,916,3098,535458,T
007619232,75,1,8475,1538,27290,458,3350,534734,T
194249280,2326,1,530328,1481,11032,2290,6494,535460,T
321439484,2214,1,480438,2169,51852,1374,5656,534898,T
629088294,2224,14,142336,1694,7856,1832,4473,535223,T
996200289,193,1,23353,1087,22544,2290,4081,534668,T
920639798,2158,1,41002,2325,5960,458,2756,534722,T
622625803,2203,1,537532,1452,20740,2290,4235,534591,T
594766594,35,10,1330,1096,5826,1832,4681,534623,T
020285443,126,1,16506,4891,14403,916,5582,535017,T
771601838,164,1,19188,1529,10582,916,5517,534825,T
746934868,2262,15,350610,1615,10370,2290,4296,535476,T
965361657,2163,1,201159,2116,7739,458,2736,534923,T
999208292,122,2,12810,6913,6247,458,5753,534570,T
351837465,99,15,15444,1640,14403,916,3602,534966,T
323723024,150,1,7200,1705,11272,1832,4802,535226,T
641042249,196,1,29204,1711,21605,1374,2959,535323,T
360792170,2250,3,544500,2244,6247,458,5580,535133,T
403215196,2209,10,92778,2672,10370,2290,5675,535384,T
331673460,2224,1,384752,1343,6822,458,4298,535457,T
607613224,2249,30,494780,1124,22544,458,2796,535471,T
322441783,122,7,12444,1716,14014,916,4420,534744,T
433111237,147,9,16170,2346,8500,2290,4553,534946,T
382960614,65,7,14235,6734,12058,2290,4471,534607,T
738313029,2265,26,326160,1409,12058,458,4233,535181,T
781691868,2202,8,411774,1107,5761,916,2817,534624,T
589582945,165,1,32010,2099,5458,1374,2878,535152,T
718664319,2197,1,250458,1585,16203,458,3734,534596,T
237546660,2329,29,181662,2178,7407,1374,5462,534526,T
557400341,2194,14,375174,1788,23569,1374,5118,534622,T
321192528,108,1,3672,18,55,866,3426,3898,F
210841511,196,1,35280,2304,10167,2290,4577,534808,T
029031617,2290,10,34350,3456,7007,1374,5672,535441,T
117848143,101,19,8888,4050,7201,916,2968,534741,T
108238241,85,1,8840,1147,9602,1374,3557,535208,T
882816827,2151,1,520542,2367,21605,2290,4912,535032,T
316832541,2259,19,325296,2206,5345,1374,5551,535431,T
375616801,37,1,6068,4082,7007,1374,2954,535435,T
831748054,2240,1,356160,1683,6822,458,3598,535197,T
112189101,2327,10,493324,1167,10167,2290,4561,535246,T
431363701,2294,3,369334,1502,14403,1374,3358,534540,T
077284652,2255,9,552475,4938,7103,458,3256,535177,T
245314560,53,14,6519,4394,5291,1832,3129,535061,T
479679923,2184,11,410592,1368,57613,1374,2934,535002,T
003483212,2315,1,106490,1409,15712,916,4335,534849,T
748207431,99,1,18216,2142,37037,916,3583,534922,T
425374082,2215,8,372120,3302,17880,1832,3658,534789,T
498964571,2139,1,515499,1490,5892,1832,2834,534998,T
312967433,2151,26,249516,6100,34568,1374,4889,535078,T
627411018,130,17,2210,1299,25926,1832,2825,534831,T
968205606,105,17,7140,4181,8940,916,6061,535239,T
798426169,2223,31,84474,1386,5826,1374,6067,534633,T
093453205,158,1,30020,2469,9783,458,6328,535261,T
573351887,2175,25,330600,1234,86420,1832,6217,535209,T
123785376,2256,1,225600,1194,19943,916,3143,534958,T
924338770,69,16,10557,1409,37037,916,3570,534818,T
732511918,163,5,10106,1585,6481,916,2799,534742,T
480067223,108,1,16200,1283,16203,1374,5585,535311,T
608904059,96,1,3072,4082,19204,916,4557,535005,T
649577414,70,20,1260,1667,7201,1832,4274,534765,T
868254760,2284,1,472788,1899,8642,1374,5746,534934,T
087485955,31,1,4681,1858,14814,1374,4913,535375,T
708323862,2277,18,487278,1440,5761,1374,4746,535480,T
896121546,2140,29,173340,1620,14403,2290,3298,535110,T
996339129,2154,1,230478,1154,10167,458,3139,534950,T
118959958,2141,29,209818,4671,12963,1832,4799,535041,T
850266104,67,1,16013,3104,15250,1832,3500,534901,T
260472345,2274,13,127344,3576,8101,1374,6009,535405,T
173906187,101,1,19493,1832,103704,1832,2845,534510,T
182657716,110,1,13310,5516,12646,1374,6433,534842,T
323929482,2235,1,337485,1211,5892,916,6190,534979,T
405627401,2253,10,486648,2946,6822,916,4710,534517,T
542828463,111,2,17982,1580,17880,2290,5695,535435,T
835339486,184,18,22632,1316,12345,1832,3588,535421,T
531458078,2196,21,540216,1326,22544,1374,5863,534744,T
141055945,86,1,14190,2107,28806,1374,6135,535501,T
561378242,2304,28,320256,1299,5636,916,5998,535338,T
576273246,79,9,3792,1416,28806,458,3372,534955,T
378789390,2151,14,421596,1089,103704,1832,4457,535183,T
387372388,2220,11,75480,1222,11032,916,5459,535251,T
869117270,43,1,3999,1683,7739,2290,6155,535282,T
026908203,170,1,26860,2314,10370,916,3650,534722,T
739593044,2263,3,477493,1214,15250,1374,5558,535311,T
250766634,2297,1,560468,1620,16203,458,3485,535346,T
355280869,185,12,13690,1149,9971,2290,3281,534675,T
656572572,128,10,4480,2244,9783,458,3022,535460,F
456821921,2156,21,30184,2057,51852,916,4398,534746,T
246069379,2267,1,206297,6029,24691,1374,6306,535442,T
905164742,175,2,11025,1194,19943,1832,4341,535042,T
171251428,2144,1,336608,2962,9096,458,5114,534717,T
965231434,2258,11,460632,1165,8788,458,3166,534803,T
689680853,82,1,9430,2758,6029,458,4635,535107,T
897065742,51,1,1530,2002,9427,916,3492,534650,T
913486848,34,1,4046,4019,5401,2290,4589,534748,T
041646944,183,1,6588,1060,5237,1832,6146,534584,T
079763675,139,1,2502,1132,17880,1832,5961,535381,T
564310314,2233,1,544852,1194,5291,1832,3157,534833,T
175667334,44,1,1892,1625,7303,1832,3739,535366,T
647329498,149,1,28310,3503,28806,2290,2915,534605,T
876225150,123,1,12177,1711,9259,1374,4852,535372,T
472197203,2258,16,117416,1194,57613,1374,4231,535212,T
752771529,44,1,7964,4115,12058,916,6040,535337,T
311158691,92,10,12236,1456,17284,458,4927,534966,T
960923041,129,1,30186,3480,5345,458,4358,535471,T
344379560,28,8,3080,2254,19943,1832,4124,534755,T
421006824,2285,5,235355,4845,6172,1374,3524,535151,T
866635015,85,1,1275,6401,6029,458,3454,534832,T
722732292,62,21,2294,1200,11522,1374,2807,535215,T
618042399,2260,4,372900,1534,7514,458,3355,534982,T
795454373,200,9,28400,2700,7407,1374,3734,534856,T
520838571,19,1,2261,3220,25926,916,6289,535254,T
634930355,2242,12,504450,1353,5345,1374,4346,534796,T
876650166,34,1,2244,1635,5575,1832,3062,534723,T
096685243,2135,11,119560,1543,11784,1832,5505,534795,T
133530773,116,1,6612,1456,9971,1832,3143,534978,T
452884326,2161,29,60508,1343,43210,1374,3382,534716,T
973427031,2321,13,403854,1173,30501,1374,6378,534621,T
581674758,2329,1,442510,2356,5237,2290,3269,534982,T
012178319,2200,1,534600,1302,11272,1374,5786,534507,T
212657630,157,1,15700,5960,5636,1832,2875,534853,T
461510116,203,1,30856,2367,12345,916,2783,535039,T
534877532,2242,31,141246,1561,6323,2290,3615,534582,T
935517938,46,1,10764,1192,17284,1374,4468,534512,T
832681069,30,1,4110,1694,64815,1374,4510,534713,T
104687284,2229,6,82473,1456,5458,2290,3079,534974,T
807043219,173,1,7439,5185,7103,916,3728,534870,T
278703881,175,1,39725,1283,28806,916,4526,534537,T
841786116,2309,8,265535,1237,12345,458,4716,535472,T
193647119,2264,30,131312,1293,6647,458,4223,534829,T
633995710,2276,24,282224,1167,86420,2290,3348,535109,T
567515541,2182,31,399306,1661,22544,1374,6281,535156,T
663025778,2311,7,543085,1763,39886,458,3012,535104,T
636943746,2246,27,179680,1825,11522,1374,3283,534697,T
642261592,140,1,23100,1309,7977,1832,4744,535010,T
221181594,2317,25,454132,1302,12963,1832,4743,535474,T
261129386,2198,9,303324,1152,7407,1832,6454,535119,T
426757809,47,1,8883,1485,9427,1832,4622,535103,T
