userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
175632569,200,28,15600,1167,1154,1832,3165,534646,T
419638417,133,16,5453,1167,3576,458,2799,535128,F
878658311,50,13,4750,1167,1203,458,2875,534602,F
970756201,108,24,3780,1167,4285,1832,3746,534866,T
587560334,240,47,5280,1167,2125,916,5808,534975,T
878020546,114,1,8550,1167,1871,458,3046,535349,F
631152291,43,48,1634,1167,103704,1374,4149,535310,T
470593290,85,39,7480,1167,1129,458,3179,535165,F
344237006,2165,13,153715,1167,1794,1374,5536,534959,T
747623746,106,30,4876,1167,2304,458,3005,535002,F
132096340,62,1,3162,1167,24691,1832,2806,534842,T
286248177,73,1,2190,1167,4357,458,3153,535179,F
077248126,2176,44,180608,1167,6734,916,4981,535358,T
655866284,227,11,5221,1167,1646,458,2979,535163,F
420204622,217,1,21266,1167,1149,458,2796,534944,F
830307981,2336,51,200896,1167,2389,2290,3268,535340,T
406526198,2156,1,140140,1167,1913,916,4681,535337,T
751688924,39,1,2847,1167,1175,458,2976,535110,F
107051249,2154,40,180936,1167,2445,916,5828,535062,T
875709483,222,20,7104,1167,7103,458,2718,535371,F
864836698,2342,15,180334,1167,2743,1832,6126,535278,T
250771429,127,25,3810,1167,2116,458,3007,534954,F
555529444,2184,17,58968,1167,1620,1832,6254,534855,T
099521363,115,32,7130,1167,28806,458,3082,534642,F
672173747,2271,12,47691,1167,3302,458,3690,534761,T
725662484,147,12,12936,1167,6401,458,3004,534793,F
633834898,2387,33,195734,1167,1683,1832,6085,534710,T
280649120,123,38,3075,1167,1144,458,2763,534779,F
431970858,71,9,5893,1167,1350,2290,3120,535285,T
878781786,55,1,2750,1167,1409,458,3289,535162,F
891202636,179,24,5012,1167,2686,916,3051,534812,T
169177886,138,10,4278,1167,2090,458,2894,534825,F
584350506,2251,16,130558,1167,4357,1374,5942,535070,T
827959629,89,43,5518,1167,1845,458,2869,535396,F
014596630,2361,47,80274,1167,2206,1832,5450,535301,T
076186076,58,7,5800,1167,34568,458,3119,534756,F
585184533,2304,29,59904,1167,4938,458,3530,535472,T
952642119,14,1,1246,1167,1154,458,2817,534913,F
535190460,256,1,19456,1167,1705,2290,4362,534729,T
758585543,52,25,1716,1167,1507,458,3123,535213,F
506506793,56,1,3416,1167,2772,1832,5737,534967,T
899215834,132,41,6468,1167,1243,458,2881,534855,F
698632240,136,1,5168,1167,6913,916,2922,534918,T
096517220,163,1,7661,1167,2346,458,2938,535153,F
183571847,2162,37,205390,1167,5458,2290,3592,534893,T
854328830,95,40,7980,1167,1115,458,3131,535359,F
431814812,2137,53,181645,1167,2142,916,2848,535251,T
154015999,216,14,17928,1167,1246,458,2891,535135,F
901021369,224,18,9408,1167,4050,2290,3039,534978,T
194313971,173,20,11764,1167,4250,458,3048,534824,F
852689105,7,1,525,1167,2492,458,3354,534870,T
235917535,17,6,782,1167,1194,458,2992,535390,F
436831972,136,2,4352,1167,9427,2290,5083,535288,T
361991273,59,35,1475,1167,28806,458,3156,534974,F
074333142,2200,35,167200,1167,1197,1374,6043,534592,T
117895650,145,3,11020,1167,2962,458,3064,534518,F
851220603,2294,1,100936,1167,3181,1832,5834,534661,T
473271984,53,50,1325,1167,5698,458,2960,535202,F
820841834,2389,11,83615,1167,2492,2290,4088,534587,T
949743648,168,9,16296,1167,1309,458,3061,534555,F
221001166,2313,57,97146,1167,3958,1374,3384,534599,T
752292530,113,30,9492,1167,1249,458,3087,535373,F
766970979,2372,28,104368,1167,13295,916,6384,534946,T
957673860,52,50,2236,1167,2864,458,3177,535238,F
181552828,2168,40,212464,1167,2335,2290,2985,535350,T
976726454,146,5,3796,1167,2187,458,3169,534537,F
279938454,2187,59,172773,1167,2244,916,4547,535256,T
008213793,60,1,4440,1167,1329,458,2834,534567,F
453600121,2330,33,102520,1167,1129,916,3329,535403,T
329853419,106,14,7632,1167,32407,458,2943,535224,F
990531001,175,4,15225,1167,1364,458,6403,534732,T
705067752,126,7,8442,1167,1806,458,3163,535254,F
069553150,95,2,4655,1167,1688,916,3623,534844,T
583870896,200,1,6400,1167,1678,458,2837,535260,F
415954183,2362,37,85032,1167,1178,458,2952,534990,T
348280350,167,1,6179,1167,1436,458,3028,535146,F
762243195,2333,24,198305,1167,12345,1832,3685,535030,T
268041039,159,4,9699,1167,1494,458,2773,535098,F
960886487,300,1,13800,1167,24691,1832,2845,534815,T
785729637,81,26,3483,1167,5458,458,3047,534737,F
180058218,189,1,9450,1167,1543,458,4452,535395,T
913393059,79,1,7742,1167,1794,458,2707,534794,F
584400516,2413,27,214757,1167,3503,2290,2783,535098,T
904368547,32,41,2944,1167,1093,458,3178,534698,F
874403957,192,1,9216,1167,14403,2290,5692,534628,T
904342671,213,28,6603,1167,3958,458,2979,535396,F
521922206,2415,41,53130,1167,7103,1832,4868,535069,T
830023636,55,33,3300,1167,4115,458,2967,534899,F
334915117,2199,57,149532,1167,1585,2290,2954,534668,T
849999008,171,2,5643,1167,7007,458,3109,535250,F
818322526,2316,25,104220,1167,3784,1374,4237,535046,T
674026335,224,50,10976,1167,3220,458,2709,534529,F
196146307,212,19,19080,1167,3600,458,4521,534769,T
632818853,78,8,3276,1167,2541,458,2750,535474,F
422494199,2348,43,136184,1167,2772,2290,3261,535261,T
971050960,217,1,8463,1167,2017,458,3157,534503,F
896212131,2291,1,107677,1167,1041,916,2921,534622,T
163884434,118,15,11446,1167,1173,458,2852,535392,F
416746641,2311,1,80885,1167,8500,916,4585,535123,T
676709765,103,1,9785,1167,1635,458,2848,535090,F
