userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
395390340,4847,32,736744,7305,32353,893,9911,1059404,T
601329918,3637,81,611016,2365,9954,1787,9026,1059419,T
663778729,4216,687,552296,1915,20588,1787,4812,1060258,F
483588295,3801,76,368697,4044,10914,1340,7651,1059948,T
899625493,4131,685,194157,2712,14611,446,8989,1060177,T
380968024,769,10,17687,2316,36236,1340,7601,1059503,T
994578416,2742,20,293394,2402,47679,1340,6666,1059764,T
889220463,3827,61,600839,2728,20588,1340,4811,1059904,T
380146558,4891,40,381498,5661,17092,446,7521,1059665,T
953334262,2220,1,357420,2610,9740,893,6946,1060033,T
651398292,4148,679,837896,2116,13322,1787,5245,1059823,F
822294470,3699,50,528957,2573,10657,1787,4866,1059510,T
123583016,3764,75,101628,2247,12409,446,7442,1059429,T
948755524,4079,684,367110,2310,25882,1787,4638,1060011,F
565247574,770,8,41580,4440,11764,1340,4861,1059265,T
254043345,4184,687,577392,8161,20131,2234,4847,1059880,T
075196051,3788,58,666688,2680,23839,1340,9178,1059998,T
124103924,3711,63,894351,2736,30196,1787,6868,1059697,T
043331662,4819,59,371063,4026,18118,893,5378,1059416,T
977235107,4210,693,1010400,3380,47679,1340,6921,1059683,T
918839150,3823,63,760777,2026,50328,446,4883,1059259,T
008733832,3821,73,519656,2468,14154,2234,9840,1060069,T
696802453,3988,86,969084,2633,14379,2234,6900,1059659,T
349213950,3903,90,858660,7809,29222,2234,7048,1060023,T
344570299,2794,22,192786,3306,22095,893,7254,1059719,T
883601130,4090,708,294480,2999,23839,1787,4681,1059733,T
267678714,4059,709,706266,3484,28309,2234,9532,1059376,T
973211560,4107,709,702297,2293,15619,2234,9697,1059659,F
379560202,4112,689,90464,8088,11467,893,7282,1059812,T
370643732,3816,65,690696,4645,9535,2234,6796,1060154,T
746360089,3982,97,860112,5999,33552,1787,7361,1059780,T
161063543,4789,63,253817,3355,25164,893,9338,1059903,T
149398723,4114,700,1024386,5392,10533,1340,7094,1059611,T
