userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
106774680,3642,52,101976,2371,1956,2234,9199,1059373,T
410952401,4198,739,180514,2371,43138,1787,9732,1059480,F
369032208,811,42,42983,2371,1879,1340,5082,1059566,T
107333956,4069,706,301106,2371,3457,446,9933,1059273,F
935615709,4075,690,89650,2371,41177,446,9752,1059535,F
274010355,744,1,62496,2371,5089,1787,4645,1059530,T
539669057,3674,86,341682,2371,8466,1787,5013,1059832,T
392985979,4152,689,261576,2371,4233,2234,4519,1060107,F
291823673,4199,693,83980,2371,2004,2234,7262,1059325,F
440487630,3653,104,94978,2371,8088,2234,6820,1060190,T
744817133,911,1,32796,2371,2745,1340,7192,1059952,T
521395810,4197,715,402912,2371,45295,1340,9016,1059361,F
138886093,4107,700,275169,2371,3167,2234,5155,1059493,F
869284591,2280,3,68400,2371,2031,446,9779,1059951,T
019461975,2206,1,97064,2371,4376,893,7358,1059579,T
951086624,4141,710,91102,2371,1935,893,7666,1059497,F
776630528,3931,57,251584,2371,3457,2234,4958,1059423,T
123163468,4214,681,126420,2371,2509,446,9496,1060098,F
756059791,4130,700,99120,2371,2026,1787,6913,1060120,F
239188221,2282,32,198534,2371,1845,893,5005,1059412,T
345846453,3743,112,104804,2371,7305,1340,7546,1059875,T
098051032,4132,687,148752,2371,3470,893,7502,1060000,F
893786224,4886,92,390880,2371,4669,446,7567,1059677,T
011946649,4232,725,84640,2371,15619,446,9915,1059318,F
796884558,4285,695,111410,2371,2688,1340,4660,1059261,F
439612537,3907,54,320374,2371,1811,1787,5334,1060222,T
501550688,4332,724,259920,2371,8795,893,7199,1059708,F
790295031,4102,84,90244,2371,2198,446,9283,1060207,T
695732314,4221,701,320796,2371,1833,1787,7609,1060070,F
864888470,3779,92,200287,2371,6120,893,9551,1060070,T
665031515,3937,101,377952,2371,1891,2234,9025,1059713,T
801637525,4158,704,103950,2371,1830,446,6894,1059450,F
198257502,3855,81,146490,2371,2516,1787,4581,1059406,T
336171365,4250,711,106250,2371,2156,446,4907,1060028,F
090168871,2147,12,62263,2371,9954,446,4761,1059609,T
655210678,4071,675,232047,2371,3081,893,5355,1059466,F
657809547,4177,721,346691,2371,6424,893,7270,1060254,F
603119637,3660,86,336720,2371,1856,1340,5454,1059767,T
014520198,4349,693,143517,2371,7189,446,9250,1059731,F
202163345,742,40,43778,2371,2040,893,9640,1059805,T
192603509,835,24,72645,2371,6204,1787,9832,1059685,T
303400664,4213,700,311762,2371,4273,446,7581,1059964,F
134589710,3898,107,136430,2371,2922,2234,7228,1060059,T
132081803,4091,677,143185,2371,1973,1340,9206,1059606,F
857213265,4152,90,116256,2371,5118,446,7188,1059312,T
526880386,4290,730,274560,2371,3594,1787,6744,1060250,F
432220720,3644,91,258724,2371,2328,1340,5080,1059607,T
905556463,4290,737,377520,2371,3223,446,4495,1059675,F
176832362,4272,708,260592,2371,4376,2234,6821,1060211,F
237262750,3795,92,261855,2371,1856,1787,6892,1060136,T
386349247,2245,39,154905,2371,2941,893,6933,1059629,T
916711171,4056,732,206856,2371,1969,893,8911,1060168,F
965808972,3817,86,141229,2371,1931,893,6989,1059295,T
707244009,4109,711,332829,2371,3081,2234,7386,1059324,F
849685027,4224,675,295680,2371,12241,446,9773,1059372,F
629887554,803,10,48180,2371,5807,2234,7411,1059571,T
970318841,3697,52,240305,2371,2696,1787,4448,1060008,T
442497532,4078,713,346630,2371,2068,1340,6783,1059591,F
425276819,3887,51,89401,2371,13322,1340,7545,1060207,T
918171976,4144,680,145040,2371,3039,1787,6697,1060039,F
612135748,3794,62,113820,2371,1939,2234,9378,1059431,T
744373438,4157,719,290990,2371,1883,893,8985,1059530,F
355126198,674,40,44484,2371,6204,1340,4825,1059911,T
580951658,4157,731,212007,2371,2054,893,4981,1059561,F
349044244,3779,84,283425,2371,2013,1787,7395,1059779,T
156219829,4077,707,195696,2371,1956,893,9560,1060197,F
324232952,3826,51,233386,2371,2058,1787,4803,1059984,T
071872953,4329,694,277056,2371,5266,893,7599,1060017,F
217517352,4304,676,180768,2371,8161,1340,4747,1059551,F
443345167,752,52,18800,2371,1973,1787,7393,1059713,T
552859952,4252,705,123308,2371,3822,1340,7180,1059250,F
046974558,802,52,59348,2371,2236,2234,4436,1060246,T
077159908,886,1,70880,2371,9740,2234,7209,1059383,T
761216588,4237,689,207613,2371,4844,1787,7521,1060234,F
702102996,4086,740,232902,2371,1860,2234,5287,1060015,F
475327663,3918,113,340866,2371,4506,1787,9086,1060236,T
081936296,2136,6,207192,2371,2989,446,9344,1059663,T
520995667,4352,688,356864,2371,2276,446,5070,1059594,F
974745361,4215,690,109590,2371,2225,446,5129,1059749,F
211482745,2286,48,128016,2371,2225,893,6845,1060051,T
783462948,3858,115,320214,2371,2328,1787,5441,1060106,T
248299649,4145,694,240410,2371,2588,446,9275,1059797,F
726135205,3845,75,246080,2371,3806,1340,9354,1059757,T
043302007,4109,694,131488,2371,2092,2234,9089,1059293,F
519872073,747,1,28386,2371,2720,2234,6991,1059844,T
089678770,4197,674,306381,2371,50328,893,7381,1060080,F
636857732,3920,66,337120,2371,2106,1787,9808,1059782,T
473845696,4183,674,117124,2371,1883,2234,5380,1060241,F
189686699,3843,58,80703,2371,4669,2234,5059,1059301,T
576535854,4259,735,170360,2371,11047,446,9826,1059775,F
894651480,3681,68,125154,2371,6424,1340,7183,1059989,T
107724924,4321,733,324075,2371,113238,1787,8930,1060032,F
