userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
198876765,3906,37,976500,10233,134491,1728,3411,987141,T
564551283,2746,148,46682,3246,18104,432,7442,987216,T
886084417,2398,49,115104,2154,10578,1296,3519,987350,F
249600997,667,15,84042,2870,23536,432,7517,987063,T
013387515,2860,156,549120,3007,24139,2160,4047,986513,T
234884640,3805,45,232105,11342,20030,432,7587,986863,T
884428032,4320,110,194400,2194,10460,864,3564,986943,T
572250648,825,35,53625,3858,11481,432,3683,986752,T
639346957,2411,64,137427,2451,26151,1728,4308,986932,F
455492779,2744,170,93296,2644,10015,2160,6915,987318,T
356522477,2396,60,196472,9052,14264,2160,4108,986776,T
093817442,3759,11,909678,2154,26898,864,4189,986648,T
862426120,3902,29,46824,2752,25444,1728,5412,987355,T
028632964,4278,115,166842,2835,21396,864,4276,987448,T
104456369,3761,26,571672,8115,10233,1728,3435,987071,T
540884126,4626,50,365454,2470,36209,432,5863,987143,T
519669898,2885,164,706825,4877,85585,2160,5197,986888,T
547726581,821,17,135465,2960,55378,432,5167,987242,T
617913714,656,35,110864,2144,55378,432,3553,986545,T
815504848,2397,51,395505,6537,10233,864,3547,987011,T
692695454,2567,53,492864,2336,10123,864,4377,986645,F
567217317,2945,27,170810,3765,12552,1728,3806,987087,T
923473943,2394,49,160398,2189,15184,432,5719,987113,F
766269650,3801,19,657573,2042,13449,2160,7223,987385,F
242156739,3815,48,202195,2666,94144,432,5577,986740,T
075882905,2804,147,42060,5172,10015,1296,7239,986970,T
485649321,3775,31,770100,5537,12226,432,4133,986742,T
741298299,2848,175,281952,1929,9414,2160,5669,986870,T
604488506,2929,170,336835,7298,24139,864,7232,987505,T
264936112,2479,46,282606,2204,15690,432,5524,986638,F
147476558,2877,153,60417,3989,16516,1728,7412,986686,T
800382060,2419,52,389459,6676,20030,864,6095,986567,T
996339210,775,1,45725,10947,33622,432,7689,987237,T
723816910,3820,32,267400,7186,22415,1728,7258,986642,T
912077432,2930,29,52740,4358,11207,2160,3623,986648,T
652693893,3736,27,216688,3027,14943,1728,7204,986919,T
444537521,3900,16,358800,2544,14051,864,5290,987332,T
351776385,3845,14,707480,2024,62762,432,7286,987395,F
346156037,2749,174,87968,9606,22962,432,5691,987453,T
779709688,2776,163,369208,2179,11075,1296,7571,987105,T
992197396,2822,157,341462,4006,17434,1296,7388,987060,T
986447546,2850,177,493050,1981,104604,864,3658,986555,T
048601148,3868,28,680768,3350,32463,1728,7245,986671,T
761114168,2854,168,562238,2324,49549,1728,4167,987326,T
712707548,2488,42,161720,4129,19613,432,4262,986973,T
965738995,2808,182,365040,2674,134491,1728,4407,986534,T
487012698,2929,154,700031,11342,9909,864,3831,987241,T
075897737,2851,160,34212,1882,67245,2160,3455,986731,T
891447742,3738,12,553224,5088,14264,1296,4382,987044,T
320968817,3807,14,140859,1929,15184,1296,5738,987452,F
581586124,2892,166,167736,1925,72418,432,5299,986640,T
589144708,3746,28,618090,3148,24774,864,5982,986741,T
