userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
620109997,1521,18,222066,837,2297,1822,7412,218871,T
386948347,1533,1,249879,960,3042,1093,3682,219169,T
755045408,3102,104,378444,2273,5268,1822,5533,219110,T
199386815,1451,4,185728,459,3540,1822,6002,219360,T
472179694,4879,63,1146565,1402,2700,729,7585,219172,T
692599315,1370,22,272630,458,2297,1093,5621,218802,T
484286231,3378,16,87828,541,2734,364,5730,219464,T
145278091,1478,25,282298,1309,2226,1458,6435,218829,T
663478625,4906,41,701558,668,2347,1458,5862,219141,F
400864710,1447,1,96949,558,3000,364,7643,219205,T
766915972,1540,1,172480,668,2805,1093,7833,219343,T
978751414,3149,115,535330,635,2181,1458,8042,219457,T
746342109,4823,36,694512,1155,3176,1093,8076,219279,T
113387971,4875,40,355875,1800,2297,1458,7541,219423,T
076390971,1503,27,264528,1333,8640,1093,7240,218885,T
647831779,4874,50,224204,2273,2571,1458,7257,219424,T
617906655,4806,54,893916,900,3789,364,7342,219226,T
542450769,4838,40,304794,460,3272,1822,5594,219380,F
143587502,4773,57,596625,1375,2347,1822,7400,218929,T
702718851,4881,37,571077,490,43200,364,4355,219749,F
406709887,1409,17,94403,1014,2454,364,8161,219751,T
735900250,1504,1,242144,776,27000,1093,4533,219694,T
793478038,1361,14,14971,2634,3042,1458,3982,218928,T
655312664,4753,61,750974,800,3272,1093,5659,219499,T
728783237,3056,123,470624,517,6000,729,7867,219196,T
279944093,3377,10,155342,438,4000,364,5508,219018,T
191722759,1368,1,46512,955,10285,729,8240,219671,T
995310223,4797,38,1088919,568,3085,729,4141,219334,F
385850998,4876,39,780160,658,2842,1458,4429,219608,F
230795410,4834,53,986136,526,2842,1093,8076,218805,F
031628891,3075,117,538125,1565,3483,1093,5774,219448,T
993504232,4747,44,1096557,1074,5538,1822,4179,219663,T
547694442,4880,64,126880,896,3789,1093,3906,219447,T
870411456,3110,104,693530,2076,3176,1093,6176,219629,T
357725983,3208,103,734632,595,9391,1458,7412,219393,T
598494744,1525,25,45750,460,4075,729,5479,219157,T
515365497,1417,25,164372,1023,11368,364,5460,218918,T
156702319,1361,1,34025,446,6967,364,5975,219601,T
093252256,4880,48,326960,1687,2347,729,7613,219035,T
199206762,1422,5,54036,779,2347,1458,7421,218952,T
055657744,4786,62,1153426,915,21600,729,5446,219536,T
496371735,4723,69,1039060,760,6171,729,4572,219041,T
600632268,3148,112,119624,1862,9391,1458,8213,219624,T
541923027,1412,1,48008,523,36000,1458,7490,218866,T
876016347,1407,17,336273,960,2181,1093,7758,219665,T
721395213,4851,61,713097,450,3600,1093,7492,219433,F
633512146,1503,1,16533,660,3927,1458,6266,218864,T
811824189,1514,1,340650,960,3042,1822,7810,218841,T
853349692,4905,54,1157580,463,2769,1458,4551,219426,F
919044846,1369,19,78033,605,9818,729,4303,219304,T
838841932,1483,1,309947,2226,8307,1822,6427,218852,T
439700965,4769,52,166915,923,2322,364,5885,219760,T
044677300,2107,6,495145,471,30857,1093,4265,219420,F
251739708,4835,56,212740,757,16615,1822,3893,219745,T
774126642,1488,16,151776,1058,3661,1093,7881,219653,T
599340117,1467,20,278730,1846,8000,1822,5724,219260,T
505556354,4881,64,834651,951,2426,729,8219,219716,T
137060778,1502,1,330440,446,2700,364,3974,219196,T
710056228,4848,34,1207152,586,5837,1458,4386,218896,F
449362223,1438,1,110726,1107,3857,1822,6372,219663,T
787517486,3187,106,503546,509,3130,1822,4123,219069,T
876902368,1347,1,149517,496,2426,364,4507,219393,T
627394921,4771,63,262405,624,5538,1458,7491,218867,F
866436396,1427,15,204061,569,4800,1458,3685,219175,T
414387758,1344,20,162624,739,5837,729,5854,219013,T
434715984,4804,67,643736,840,5684,364,6107,219082,T
545973866,1471,26,313323,776,4800,1822,7341,218789,T
070840919,4880,68,458720,449,4075,1822,6460,219176,F
899508833,3214,111,665298,631,6750,1822,7799,219072,T
274271862,1382,4,40078,847,8640,1458,3877,219113,T
996112288,3210,122,121980,2482,12000,1093,7703,218784,T
023520268,4897,69,832490,579,3857,364,5884,219117,F
837098375,1345,24,264965,1846,2273,1458,7998,219608,T
152332320,3195,103,610245,492,3375,1822,7286,219446,T
458314165,4763,61,314358,535,5268,729,5654,218866,F
160762945,4744,33,94880,977,9818,1093,7296,219115,T
156389304,4775,53,1179425,611,2734,364,4450,219139,F
798626759,3321,7,63099,432,43200,364,4554,219150,T
394790444,3042,109,666198,629,4075,729,8124,219089,T
814808760,1433,7,224981,1600,8307,1093,6377,219544,T
312833821,1421,2,105154,888,9818,364,4317,218845,T
690621086,3095,131,748990,593,3323,1822,7324,218795,T
795324229,4893,49,1174320,631,2541,1458,7493,219415,F
629123507,1407,1,337680,546,3857,1093,7839,219559,T
411265722,4913,34,122825,788,3223,1093,4593,219132,T
359453618,1529,3,262988,981,4909,729,6103,219647,T
597391061,4861,36,432629,1542,2454,729,4107,219249,T
029572993,1476,22,305532,847,19636,729,7844,219707,T
694579239,3191,105,354201,874,5400,1093,8237,218908,T
274510616,4795,56,71925,1624,3375,1458,4001,218804,T
892148379,1457,22,59737,538,2204,1093,6223,219621,T
467671912,1508,23,298584,1023,2400,1093,5749,218796,T
414024085,1354,9,262676,577,3085,1093,4561,219386,T
695187575,3099,116,517533,1263,2273,1822,7699,219431,T
854975002,3279,9,42627,1375,4075,364,5725,218971,T
102151521,4844,47,542528,595,43200,1458,7913,219070,F
195896366,2069,39,188279,571,43200,1093,5454,219303,F
060852615,4748,42,223156,720,4075,729,5444,219663,T
039791941,4902,63,112746,624,2880,1458,8230,219734,F
569576123,4725,49,1143450,576,9391,364,3766,219697,F
408505782,3211,119,690365,507,2181,1822,6211,218883,T
417705293,4748,44,930608,467,2842,729,5489,219546,F
198111369,4897,65,621919,481,2666,729,7697,219251,F
518743520,3167,107,522555,471,2482,1458,7422,219137,T
530815485,3141,132,179037,1785,2426,1822,8232,218838,T
243820328,1416,1,274704,2322,2918,729,5492,218926,T
368353363,4793,58,666227,874,2204,364,4588,219391,T
986864552,4779,49,372762,1227,4000,1458,5793,219044,T
074457547,1498,1,100366,498,4320,729,7725,219081,T
996183375,4873,39,360602,1033,4408,1822,7573,219778,T
592387385,1497,1,184131,794,2181,1458,8209,219161,T
727926344,4849,39,654615,523,5268,729,5428,219252,F
699454184,1418,6,69482,461,2511,1822,7750,219401,T
089134209,4794,63,139026,1148,4000,1458,4428,219636,T
681048542,4801,51,393682,712,6750,1093,5849,218874,T
081244572,4863,41,773217,441,2426,1822,5892,218779,F
035507838,4720,60,207680,480,3130,1093,8224,219350,F
835896106,3222,121,441414,1531,3000,729,8251,219598,T
714809981,2104,10,395552,919,43200,1458,4124,219020,F
121039431,1388,11,129084,708,2482,1822,5494,219754,T
505225757,4836,56,488436,1130,5837,364,3965,219161,T
367767370,1437,1,173877,1531,8640,1458,7757,219579,T
843963183,4737,41,293694,2226,2511,729,8200,219763,T
440932971,3214,103,639586,1553,3483,1822,7311,219237,T
971574516,1383,1,82980,797,2297,729,5497,219069,T
909020859,4797,34,709956,1058,14400,364,4016,219237,T
921527644,1440,22,348480,1018,8307,1093,8186,219342,T
531990248,1359,1,148131,465,6000,1822,7281,218957,T
601027603,1344,10,311808,436,2454,729,6414,218932,T
842449245,4868,64,900580,821,3323,364,7538,219024,T
315998088,3323,15,186088,732,4235,364,3839,219564,T
541114536,4822,33,588284,606,3042,1458,6431,219009,F
130096232,4727,62,1049394,1333,5538,364,8065,219144,T
137111718,1399,1,50364,447,2250,729,4022,219552,T
111110214,1452,1,66792,2204,2734,364,7879,218783,T
198347807,1379,26,23443,1741,12000,1822,3800,219045,T
394995152,1377,15,70227,690,2734,1093,3644,219753,T
968546136,1464,27,39528,951,3176,1093,7508,219738,T
256652081,3048,109,646176,2769,2204,1458,6060,219007,T
064213215,4797,57,235053,672,2297,1458,4107,219529,F
884228824,4896,36,949824,1200,3724,1822,6361,219608,T
507319436,4788,64,229824,526,13500,1458,4192,218843,F
774578786,4761,41,376119,555,2273,364,4379,219374,F
123629965,1340,12,285420,588,3724,364,6014,219344,T
481267416,1494,15,373500,433,6967,1458,8134,218788,T
207851076,4756,68,1112904,931,2769,1458,6201,218950,T
195085966,4771,65,1054391,1293,15428,1093,5969,219689,T
876954105,4806,31,850662,579,2700,729,7780,219072,F
867580329,1421,1,245833,2057,3042,1822,3598,219053,T
375135872,1444,3,335008,439,2204,364,4433,219169,T
974447548,1366,1,103816,513,3130,364,7342,219641,T
701036404,4911,45,58932,626,2958,1093,3845,219744,F
463674855,1434,1,54492,960,3323,1822,7381,219466,T
157525483,3046,126,740178,1234,6545,1822,4046,219703,T
967977574,1413,20,306621,687,8307,729,4560,219570,T
512062571,1378,1,82680,774,27000,1093,7695,218882,T
867365189,4894,69,597068,530,2160,1458,3876,219289,F
633284818,4855,69,645715,633,10800,1458,4248,218807,F
824791714,3076,129,424488,1341,5684,729,7517,219674,T
468728200,4830,36,130410,1009,10800,1822,6208,219616,T
342069369,4844,47,460180,465,5142,364,8268,218924,F
728014081,4842,56,140418,555,3483,1822,4540,219042,F
733517159,1405,1,327365,907,8640,1822,5934,219363,T
198465273,4761,42,637974,939,4320,1822,7837,219637,T
447672555,4781,40,573720,802,2958,1458,4288,219209,T
926522350,1497,18,335328,650,18000,1093,6091,219305,T
193563703,3102,102,483912,732,4500,1458,6311,219466,T
586811420,1505,11,210700,1255,5837,729,5593,219589,T
782765641,1444,25,336452,1142,3428,1822,8165,219222,T
291760350,3227,133,254933,637,6750,1458,7975,219365,T
454784986,4875,32,502125,712,3223,364,3621,219698,T
649809055,1528,20,354496,656,9391,729,5439,218885,T
634724816,3180,124,693240,666,13500,1458,7255,219741,T
