userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
484838055,1365,17,34125,601,1161,364,5900,219585,T
070067929,4768,38,114432,601,7714,1822,5818,219626,F
389412901,4954,58,366596,601,8640,1093,3916,219694,F
995717551,1479,52,97614,601,450,1458,7621,218903,T
019281790,4858,90,442078,601,593,1093,3745,219443,F
875809089,1408,4,119680,601,461,1822,6058,219319,T
804440588,4905,90,299205,601,585,1822,7296,219648,F
261853124,1343,8,77894,601,494,1093,7998,218891,T
419261547,1362,45,42222,601,672,364,6266,219566,T
788304738,4905,61,137340,601,563,1822,4634,219027,F
835903238,5008,52,435696,601,915,1093,7723,219476,F
175337915,1405,1,53390,601,476,1093,6195,218944,T
348687555,5011,41,471034,601,1064,364,4413,219575,F
004630195,1553,23,79203,601,1285,1822,5500,218952,T
839797851,4893,78,489300,601,642,364,4622,219430,F
222280166,1535,58,93635,601,755,1822,7439,218817,T
265561881,4899,79,230253,601,517,1093,8073,218950,F
581947650,1602,41,67284,601,36000,1822,6149,219417,T
105681083,1582,19,156618,601,610,1822,3682,219632,T
959130620,4866,88,107052,601,774,1458,4040,219014,F
116952395,4787,66,363812,601,1459,1458,8069,219417,F
131419496,1622,1,160578,601,939,1093,7601,219070,T
394269256,4804,83,110492,601,2322,1822,7728,218796,F
014512739,1583,36,77567,601,12705,1093,7559,219490,T
977374981,1601,36,72045,601,1714,1093,8077,219306,T
752490973,4793,45,162962,601,30857,1458,4381,219260,F
492695663,4997,89,294823,601,493,1822,8021,219099,F
519784814,1512,18,101304,601,450,1458,6025,219082,T
072095188,4795,92,393190,601,1033,1093,3805,218990,F
231964769,3232,24,164832,601,615,364,7396,219527,T
088334097,4949,55,489951,601,964,1822,5990,218971,F
404477304,1636,43,71984,601,931,1093,7813,219236,T
909690883,4742,56,142260,601,850,1458,7410,218827,F
722955948,1570,37,122460,601,2057,729,7739,219252,T
035205149,4808,59,403872,601,452,729,6391,219138,F
600349861,1564,23,43792,601,455,729,5562,219075,T
127673576,4798,35,379042,601,533,1458,7525,219312,F
690558959,1357,27,108560,601,896,364,8038,219034,T
648232646,4844,71,121100,601,629,1822,3750,219514,F
186394290,1550,22,131750,601,1553,1093,7596,219307,T
057190513,3083,120,308300,601,7448,1822,7363,218796,T
804157322,4813,54,303219,601,843,1093,3605,218982,F
989213162,4938,45,404916,601,601,1458,5570,219122,F
630760727,1521,9,95823,601,1770,1093,4530,219702,T
575039991,1430,27,41470,601,4909,364,7758,219667,T
832681622,4808,65,370216,601,760,1822,3694,218977,F
640163238,1429,1,115749,601,2204,364,7669,219722,T
002140826,4869,82,214236,601,860,1093,7416,219617,F
838037260,1535,35,93635,601,742,1458,4094,219173,T
574882002,5008,34,325520,601,6171,1093,4505,219461,F
806672560,4867,58,214148,601,439,1093,7520,218937,F
034957711,1459,46,45229,601,1469,364,8114,219020,T
408512193,4937,78,478889,601,1878,1458,3654,218775,F
705161058,1427,9,29967,601,968,1093,6361,218876,T
634156236,1428,1,69972,601,1479,1822,5706,219075,T
528954015,4959,89,352089,601,443,729,5923,219411,F
833682929,4866,96,180042,601,456,1093,7979,218933,F
134159191,1355,25,89430,601,451,1822,4599,219561,T
790931331,4832,81,178784,601,565,1822,7567,219738,F
690163375,1603,23,141064,601,492,1458,4643,219252,T
350309443,5010,35,435870,601,1074,364,5893,218934,F
904458436,1353,3,77121,601,13500,1093,7440,219530,T
148930165,4721,51,169956,601,6000,729,5551,219455,F
294588292,3327,143,299430,601,3375,1822,5682,219759,T
748580442,4806,48,197046,601,4408,1093,4175,219533,F
390191858,1537,1,89146,601,1521,1822,5712,219681,T
009191821,1390,23,34750,601,729,1822,6084,218801,T
526710769,5015,61,265795,601,552,1093,5512,218981,F
222688542,1468,1,136524,601,10285,364,7324,219519,T
799895156,4873,89,487300,601,763,1093,4463,219015,F
301803981,1370,41,56170,601,530,364,6027,219704,T
045880980,4924,86,280668,601,579,1093,4497,219763,F
712973473,1475,1,89975,601,1148,729,5746,219581,T
737690567,4963,38,476448,601,14400,1093,4199,218900,F
203224555,4747,75,408242,601,440,364,5722,219670,F
018314160,1452,45,121968,601,870,729,6317,219096,T
012455860,1609,15,133547,601,939,364,6065,219713,T
683266950,4765,75,381200,601,448,1458,6229,219121,F
559516805,3502,3,98056,601,1553,364,7341,219619,T
930293790,5007,63,150210,601,664,1458,8005,219700,F
797149473,4984,36,393736,601,3323,364,3958,219440,F
030663718,1433,48,50155,601,435,1458,6199,219234,T
262947053,1571,35,65982,601,6352,1822,7310,219614,T
972754279,4727,72,264712,601,2634,729,8068,219652,F
126191603,1516,1,103088,601,785,1458,5487,218808,T
973755604,4757,31,409102,601,681,1093,7867,219206,F
355707273,4860,44,447120,601,867,729,4082,219677,F
758177516,1425,36,138225,601,498,364,7678,218878,T
703364745,4778,39,339238,601,7714,729,7349,218896,F
034804855,1443,10,129870,601,1894,1822,5448,219398,T
917901759,4892,64,357116,601,486,1822,5855,219129,F
128284738,1542,38,64764,601,972,1458,3808,219618,T
512133457,1375,40,41250,601,650,1458,4148,219241,T
762334161,4818,59,231264,601,2037,1093,7890,218876,F
720845246,1365,28,83265,601,915,1093,5779,218793,T
312229196,4894,78,205548,601,6352,729,6262,219712,F
209880420,4955,56,262615,601,874,1093,3758,218930,F
974090401,1624,23,112056,601,1325,364,8150,219568,T
518844288,4953,83,183261,601,1038,1822,7693,218869,F
689867623,1453,1,98804,601,27000,1458,7298,219264,T
