userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
568648691,4698,268,1132218,2686,8539,1221,7129,560251,T
354603516,2936,13,716384,1732,6831,407,3731,559302,F
503195882,3117,47,451965,1489,5977,1221,5223,559773,T
150078125,1132,1,78108,1201,9196,1628,5715,559781,T
969819705,4745,256,403325,6376,7245,2036,3675,559974,T
239604485,4709,255,395556,2163,36784,2036,3992,559814,T
880061587,4813,242,1106990,1547,5254,2036,5564,559649,T
147992514,3143,7,449449,3919,18392,1628,7404,560267,T
945734227,1173,9,227562,1347,7839,407,6770,559324,T
778085318,3219,39,698523,1021,14490,2036,6636,559527,T
379224899,2810,23,646300,1599,5903,1628,6608,560124,F
133069953,2965,9,693810,1418,5313,814,3262,560206,F
242811747,2983,33,709954,2988,6550,2036,5161,560133,T
549687227,3070,53,230250,1046,5197,2036,3714,559438,T
269660730,2833,11,586431,1992,6735,407,7132,559270,F
335806354,3250,31,367250,1457,22771,1628,5645,559434,T
798832406,4711,235,961044,2717,4782,2036,5657,559615,T
518306290,2913,9,49521,3887,12261,1221,3874,560256,T
190704875,4858,257,170030,1174,7590,1628,7186,559508,F
850274161,4785,250,248820,2764,28129,2036,5712,559542,T
012156801,1147,1,135346,1046,7839,1221,3407,560195,T
575786521,3137,45,112932,2970,7839,1628,7360,560141,T
023000351,2837,25,371647,1532,28129,407,3689,559810,F
290730321,3105,10,304290,4734,13662,2036,5580,560124,T
762109155,4888,237,1085136,4231,18392,814,7002,560073,T
506670199,2855,37,182720,3765,10395,814,6544,559411,T
328353825,3213,13,671517,2255,36784,1628,7268,560133,T
311194434,2905,6,400890,2477,5373,814,6723,559638,F
977808201,1076,7,54876,1299,8694,1628,6846,559517,T
315837328,3093,25,677367,1127,19925,1628,3853,559820,T
656964192,4882,259,844586,1245,9564,1628,7074,559990,F
372292940,3088,9,240864,1324,59775,814,7162,560021,T
504747402,3010,60,322070,1402,10174,814,5600,560181,T
016219607,1095,1,89790,1114,6550,2036,5402,559456,T
652166545,2868,21,539184,1275,11385,1221,7102,559507,F
067860411,3151,5,671163,1825,9022,1628,6703,559895,T
739555136,2912,12,570752,2671,10395,1221,4181,559669,T
092384314,4749,240,626868,1804,34157,814,5676,559748,T
423725611,3194,61,140536,2427,8389,1221,3369,560235,T
782813850,2808,8,457704,2026,12584,407,6556,560067,F
844246452,2893,40,370304,1019,6130,407,5068,559685,F
404193312,3183,57,159150,2570,15940,1221,5844,560080,T
263917943,2981,9,381568,1177,5625,407,3601,560090,F
356193446,4732,254,752388,1104,11120,407,7316,559601,F
501940627,2824,20,299344,1146,6831,407,5314,559408,F
163203264,4743,239,545445,1122,15940,1221,6784,559742,F
320114743,3123,26,299808,1245,7839,2036,5815,560110,T
269566585,1094,1,212236,1382,6550,407,5789,559739,T
198518136,2893,25,529419,2224,4929,1628,6635,559396,F
711481519,2942,25,673718,4598,28129,1221,7022,559935,T
739772754,3177,18,384417,4642,11120,2036,5441,559290,T
373263950,1056,3,23232,1084,4879,2036,6972,559284,T
257124803,4721,263,552357,2732,8539,1628,6708,559834,T
054134210,3160,71,230680,1418,5831,2036,5145,559477,T
238871336,3189,78,322089,2213,8855,814,4180,559511,T
882376956,4842,268,547146,1101,9962,2036,4171,559609,F
796487055,1185,1,133905,968,9564,2036,6767,559925,T
885355762,1096,14,40552,1242,5373,1221,4254,559512,T
267262681,3269,36,228830,1797,12261,1628,7433,559539,T
413876096,2855,17,385425,6735,11385,1628,5295,559311,T
892226298,1140,1,30780,5977,6210,1628,3382,559776,T
300805950,3064,74,36768,3146,6053,1628,6837,559505,T
769440064,3243,6,116748,1332,5141,2036,3511,559406,T
213511815,3173,39,631427,1358,79700,2036,7133,560118,T
210271536,3106,71,214314,1002,13283,1221,3793,559526,T
