userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
422303098,2893,20,251691,1374,19128,407,5521,559907,F
640516244,3171,70,237825,1374,2391,1221,4195,559980,T
474525770,1061,13,67904,1374,19128,1221,6696,559681,T
271259984,4841,282,188799,1374,2097,2036,7414,560037,F
094037116,3148,92,91292,1374,1332,407,4250,560054,T
831181225,4985,252,294115,1374,4052,2036,5453,560208,F
816031871,3256,75,130240,1374,4511,1221,5132,559411,T
519861788,4817,292,313105,1374,4981,2036,4158,560053,F
045167507,3294,105,329400,1374,1041,407,3550,559618,T
360629434,4795,248,393190,1374,1494,2036,7010,559564,F
236648979,3075,100,193725,1374,6462,1628,5020,559777,T
581457395,4726,261,127602,1374,1060,2036,5549,559434,F
212954877,1186,27,80648,1374,1282,2036,3325,559451,T
994835285,4868,291,175248,1374,2000,2036,5188,559748,F
983395238,1256,1,72848,1374,4087,407,4025,559578,T
614845573,4794,287,143820,1374,1006,2036,7028,559278,F
436274998,3309,45,287883,1374,10868,1628,6472,559357,T
827169445,4869,237,292140,1374,6376,2036,6581,559979,F
252074438,2998,83,164890,1374,1695,1221,7091,559608,T
522067122,4965,256,173775,1374,2543,2036,7366,559426,F
371938331,4795,295,474705,1374,13662,1628,5442,559893,F
946067098,3277,10,176958,1374,2299,1628,5094,560125,T
951094095,3025,106,238975,1374,1282,814,5295,559771,T
923975816,4810,298,432900,1374,1204,1628,6903,559500,F
554811753,3202,99,105666,1374,1358,1221,5178,559604,T
701756189,4849,266,387920,1374,990,1221,7103,559412,F
374335057,1182,5,74466,1374,964,1221,5450,560057,T
521547467,4986,266,114678,1374,1223,2036,5852,559518,F
435969057,3195,36,252405,1374,9376,1628,7043,559575,T
898885255,4729,267,151328,1374,1825,2036,7400,560176,F
287978036,4812,298,149172,1374,1632,2036,4893,560173,F
192265773,3270,60,107910,1374,1632,407,4089,559284,T
456903842,1281,9,93513,1374,7032,407,6910,560016,T
480046890,4756,302,380480,1374,4427,1221,7311,559479,F
897112045,1102,16,24244,1374,1028,1628,3216,560123,T
780791135,4880,293,341600,1374,1745,2036,5125,559633,F
590963737,3056,70,275040,1374,1077,1628,3918,559265,T
063819386,4916,289,285128,1374,2367,2036,5806,559571,F
186657832,3218,100,173772,1374,2584,407,5211,559964,T
517689441,4987,277,164571,1374,3465,2036,7371,559623,F
036328019,1269,12,49491,1374,1707,407,6768,560028,T
002074156,3081,23,289614,1374,2144,407,5476,559482,F
959703229,3327,20,296103,1374,1567,1628,3872,560087,T
494061363,4947,264,460071,1374,990,2036,5679,559756,F
081627911,3127,68,87556,1374,3297,407,6821,559364,T
928795539,4974,263,387972,1374,1745,2036,6946,559872,F
014542250,1018,17,80422,1374,2017,1221,5209,559736,T
471547372,4786,282,473814,1374,1135,1628,5813,559869,F
161043854,3224,102,141856,1374,2355,814,6881,559875,T
792308809,4799,254,331131,1374,1615,2036,3899,559419,F
425118673,1174,28,30524,1374,2748,814,5746,560095,T
803775969,4911,300,491100,1374,979,1221,6932,559509,F
809513610,1069,6,100486,1374,2452,1221,5131,559464,T
295162819,4803,252,249756,1374,7137,2036,5650,559536,F
588262856,4815,264,365940,1374,1122,2036,6710,560081,F
012263100,1158,1,106536,1374,1406,407,4918,559665,T
540410890,3201,90,92829,1374,1784,2036,7346,560147,T
276605223,2889,6,262899,1374,4427,407,6897,560264,F
563500430,4929,294,305598,1374,6130,2036,5672,560274,F
688274177,3249,30,269667,1374,3065,1628,5176,559970,T
663859532,1130,1,101700,1374,3253,1221,5223,559373,T
055799004,4752,259,289872,1374,1713,2036,4935,559833,F
706630611,4947,260,207774,1374,2154,1628,6803,559889,F
793757666,3100,65,195300,1374,960,2036,5520,560089,T
491006347,1130,53,36160,1374,1370,407,3226,560265,T
430389383,4782,263,449508,1374,11120,1628,5456,559335,F
504132069,1059,24,93192,1374,1055,1628,6879,559442,T
888473218,4871,267,418906,1374,1583,2036,6854,560252,F
501214088,1086,37,21720,1374,4231,814,3592,559577,T
352013596,4788,292,435708,1374,1130,1221,7390,559402,F
496479432,1094,1,82050,1374,1072,407,5271,559569,T
575775619,4753,301,147343,1374,5761,2036,6509,560054,F
141170095,4946,241,361058,1374,1041,2036,5730,559391,F
379055780,3381,17,280623,1374,1832,1628,4229,560191,T
646154919,1206,42,74772,1374,2213,407,4998,560005,T
849940027,4767,283,395661,1374,1144,2036,7046,559985,F
560843614,3382,9,270560,1374,3253,2036,6601,559897,T
439161430,4874,298,219330,1374,14490,2036,5608,559907,F
264691096,3202,92,70444,1374,1853,2036,6950,559909,T
258732139,4845,259,382755,1374,1621,2036,6898,559301,F
112889055,3214,42,144630,1374,4052,407,3885,559645,T
564262337,4833,285,323811,1374,1242,2036,7120,559864,F
348480835,3267,71,111078,1374,5373,1221,7335,560045,T
796867111,4863,251,384177,1374,1410,2036,5704,559356,F
354562655,3115,29,230510,1374,2829,2036,5335,559989,T
200653546,4973,280,164109,1374,1053,2036,5721,559982,F
819424759,3147,100,295818,1374,1324,814,3670,560105,T
759242748,4816,301,192640,1374,1386,2036,5083,560212,F
828750654,1110,19,35520,1374,3622,1221,4854,559453,T
291170436,4763,296,419144,1374,1390,1628,6723,560247,F
598573212,3278,72,134398,1374,1032,1221,5679,559541,T
450333650,4714,257,221558,1374,4734,1628,6931,560205,F
651419623,3100,3,89900,1374,1079,2036,6979,559832,T
115690850,4951,261,435688,1374,4469,1628,7487,559826,F
994082119,3199,66,191940,1374,1449,1628,3354,560044,T
099137801,4888,267,303056,1374,47820,1221,7379,560146,F
379954730,3070,75,242530,1374,2154,1628,3245,560118,T
257025924,4796,281,230208,1374,2154,1628,6759,559540,F
210035895,1265,1,104995,1374,1114,814,5638,559779,T
175181277,4880,275,336720,1374,59775,2036,5765,559547,F
