userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
542490075,1760,41,220000,775,2692,1480,6285,287470,T
253640566,252,47,26712,1521,8975,493,6325,287626,T
687394926,4359,138,684363,854,4723,1974,4770,287579,T
430644859,4369,161,441269,818,14171,493,3592,287534,T
279028488,217,38,24521,951,2834,1480,6460,287338,T
232881692,319,30,4147,2103,3205,987,6237,287592,T
541399867,1656,31,216936,806,4342,1480,6537,287624,T
669778584,4049,50,939368,1979,3792,1480,6065,287103,T
003338129,4363,139,178883,882,22437,987,6903,287341,T
385809753,3964,50,808656,593,29917,1974,3710,287529,F
907787532,1676,17,338552,692,4563,1974,3589,287044,T
758764115,1775,23,140225,651,4986,1974,5118,287359,T
356311126,2526,50,222288,624,7277,493,4891,287574,T
757755029,1691,31,40584,659,38464,493,6852,287250,T
755836875,199,65,48357,1246,2834,493,5068,287295,T
107021097,4351,148,265411,729,9284,1480,6234,287616,T
685781701,210,30,31920,1807,3205,493,6818,287365,T
669076052,157,53,8164,948,4563,1480,6673,286952,T
532715069,2545,55,236685,538,4079,493,6705,286700,T
041625231,4314,170,992220,630,9972,2468,6097,287606,T
218688821,1712,15,181472,1060,3792,1480,4753,287495,T
479648895,3999,27,735816,3846,3739,1974,3455,287169,T
949260337,4344,177,147696,2864,12238,2468,5893,287082,T
113235391,1648,43,36256,2024,20711,2468,6434,286692,T
046056395,1812,40,257304,1218,4018,987,6430,287322,T
656434151,4387,157,144771,833,2834,1974,3796,287610,T
866427815,4464,173,696384,782,2747,987,6832,286990,T
053386341,1751,16,138329,629,8414,1480,5399,287552,T
337276212,4473,177,617274,1346,2895,2468,5087,287177,T
998228901,2627,31,160247,627,2692,1974,3518,286809,T
571275320,76,21,1444,554,3094,493,4880,286672,T
742266740,1634,25,62092,1395,6261,1974,6427,287476,T
011242325,1640,37,344400,773,4563,987,5087,286746,T
000603899,4377,176,1006710,671,11218,1480,6279,287620,T
998228803,3981,31,820086,1359,4273,1974,5038,287598,T
