userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
348058959,1819,24,83674,582,6731,1480,3340,286772,T
281126296,3987,12,318960,582,24477,2468,4907,287076,F
675985413,2735,33,205125,582,925,493,5139,287415,T
771608882,4128,28,280704,582,24477,987,4841,286764,F
062241041,226,58,22148,582,3059,987,6842,287456,T
567842337,3929,40,235740,582,33656,2468,4673,287613,F
893257153,4416,142,181056,582,1556,1480,3956,286810,T
943721580,3992,14,183632,582,26925,1480,4611,287425,F
083984368,1722,48,55104,582,10355,1480,6124,287233,T
451104242,4064,41,312928,582,24477,1974,3553,287143,F
532138796,101,1,8686,582,20711,493,3302,287110,T
534404400,4069,52,394693,582,53850,987,5031,287603,F
426425718,283,70,9056,582,645,2468,4611,286719,T
763658303,4121,14,280228,582,38464,1480,2930,287323,F
398550388,4402,169,110050,582,589,987,6793,287313,T
362529067,4161,43,411939,582,26925,1974,3779,287368,F
663204931,180,43,5220,582,686,493,6887,286685,T
631160172,4083,14,347055,582,53850,2468,2932,287635,F
834643001,408,52,23256,582,1004,2468,4982,287360,T
