userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
723558234,3954,646,59310,5436,8910,2573,2971,899067,T
223576106,3676,297,47788,3443,8730,2573,2583,898702,T
564128714,1571,109,226224,1854,23360,2059,2374,898251,T
100284123,3611,289,263603,2752,9195,514,2021,898773,T
959643721,4991,45,828506,1977,20100,2573,2688,898972,T
459151292,3642,283,640992,2483,9822,1029,2768,898321,T
500513428,3824,636,168256,2718,11680,1544,2841,898202,T
314142488,3803,642,201559,4525,123476,514,2501,898641,T
312512051,1241,1,22338,1951,9603,514,1025,898534,T
977368078,3655,265,687140,5800,9394,1029,1945,898397,T
247609702,3807,629,323595,1815,172867,1544,2855,898544,T
227616944,4986,33,79776,1804,21608,2573,2583,898353,T
298147527,3870,649,797220,3485,15163,1029,1794,898265,T
701755361,1104,1,111504,3131,11524,514,1174,898221,T
409705911,2999,44,395868,2490,12173,1544,1554,898961,T
776758999,3877,636,724999,5505,21608,514,1678,898927,T
661485060,3970,637,500220,10050,16947,514,1387,898840,T
149974668,4940,9,414960,2329,18390,514,1936,898885,T
415291974,3020,16,407700,4597,21608,2059,2069,898269,T
293323717,3835,640,747825,4939,16621,2573,2583,899012,T
629847650,4841,31,1152158,1991,96037,1544,1593,898989,T
984613478,4986,30,727956,2852,10050,1544,2330,898650,T
692219947,3946,666,919418,2815,11524,514,2154,898156,T
559700273,3699,280,103572,1771,13940,1544,1681,899051,T
666108927,3084,26,400920,905,7710,453,2038,410481,T
706512430,3684,275,582072,1912,16308,1544,1554,898091,T
086926314,2616,17,81096,2199,61738,2573,2583,899042,F
592520592,4813,40,1140681,3725,96037,2573,2678,898693,T
321513672,3975,647,830775,4115,20579,514,2714,899058,T
151844966,1478,115,41384,2182,9003,2573,2583,898800,T
779111530,4906,43,1226500,2123,8819,2573,2583,898277,T
154226953,1110,25,22200,3471,13940,1544,2653,898195,T
699342301,4919,24,462386,8154,61738,1544,2075,898186,T
034314100,2615,15,590990,3616,11840,2059,2069,898499,F
683842461,3923,641,953289,3298,34573,2059,2069,898647,T
360875424,1150,9,34500,1774,15715,2573,2583,899048,T
392856886,3847,641,146186,6805,24009,1029,1453,898650,T
235001797,3550,293,511200,1742,9195,2573,2583,898934,T
918339818,4910,17,800330,3616,21608,1029,2011,898287,T
403132615,2585,1,51700,3032,172867,2573,2583,898101,F
230772268,2683,1,635871,9098,54021,1544,2401,899031,T
457116358,1217,20,43812,2355,26192,514,2853,898429,T
369592056,3941,668,547799,1874,16621,514,1294,898631,T
338762176,1120,24,141120,7857,10289,1544,2533,899079,T
263610171,3864,635,718704,6548,9603,514,1102,898634,T
816262528,3541,277,616134,2188,11372,1029,1039,898300,T
740677874,3891,639,447465,11840,41158,2059,2069,898434,T
109144251,3538,265,205204,4597,144056,2573,2583,898611,T
417010187,2563,1,430584,6498,54021,514,1705,898979,T
894035499,1505,112,185115,2557,39288,2573,2583,899021,T
593757476,1126,29,90080,2824,86433,1029,2577,898850,T
660793257,1166,23,55968,4001,11225,2059,2069,898544,T
692089626,1217,11,91275,2311,26192,1544,2359,898407,T
703509062,2595,22,44115,7786,21608,2573,2583,898897,T
033794930,1199,1,188243,5114,9822,2573,2583,898769,T
827887711,3644,260,437280,2659,61738,1544,3040,898802,T
574885599,4834,24,207862,4038,108042,514,1348,898183,T
537139474,3151,36,519915,3109,9603,1029,2316,898418,T
852618901,1501,99,111074,2900,11372,2573,2583,899094,T
304835676,4918,15,339342,6309,16006,2573,2583,898165,T
794013611,1173,32,105570,2414,14405,2059,2097,898466,T
189155587,3889,648,680575,1444,8402,478,1337,690944,T
593975659,3892,630,525420,10804,22162,2573,2583,898519,T
901180250,4938,22,943158,8643,9603,1029,2003,898885,T
278289074,4953,12,1203579,2815,24695,514,2279,898491,T
328576734,1559,89,48329,1763,34573,2573,2583,899055,T
