userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
290251766,3600,306,104400,1746,2113,2059,1774,898608,T
962531892,2778,21,161124,1746,54021,1029,1315,898097,F
439244663,3981,663,115449,1746,2752,1029,1317,899080,T
496591544,2596,23,137588,1746,66487,2059,2006,898460,F
492534324,3684,262,298404,1746,1804,1544,2400,899093,T
335793641,2635,5,231880,1746,96037,1544,1710,898425,F
349751672,3617,265,303828,1746,22745,2573,2579,898898,T
145614279,2617,39,96829,1746,144056,1029,1897,898135,F
457415113,4942,55,247100,1746,32012,514,1948,898678,T
706380891,2720,25,144160,1746,66487,1544,1737,898725,F
073036282,3190,7,73370,1746,1735,2573,2170,898557,T
180132877,2778,61,100008,1746,144056,1544,1103,898942,F
285508205,4036,664,157404,1746,27010,2573,1510,898882,T
776724094,2729,35,54580,1746,57622,1544,1296,898732,F
897318055,3987,660,179415,1746,9195,2059,2261,898864,T
028351750,2613,63,120198,1746,108042,1029,1588,898689,F
404540261,4089,649,139026,1746,1767,2573,2400,898103,T
058491897,2572,64,192900,1746,61738,1029,1246,898680,F
281907716,3815,655,83930,1746,1996,2059,2969,898293,T
960311470,2648,60,121808,1746,108042,2573,1445,898720,F
427098078,4019,651,297406,1746,3527,2059,1928,898901,T
655873590,2536,46,251064,1746,144056,2573,2008,898327,F
383494202,5003,73,310186,1746,20100,1544,2538,898653,T
746724741,2644,16,60812,1746,172867,2573,2026,898891,F
626784640,1438,143,81966,1746,4175,2573,2617,898382,T
169193938,2560,1,97280,1746,108042,2059,1510,898460,F
560377789,4000,668,364000,1746,3225,1544,2041,898398,T
861369620,2511,61,213435,1746,86433,1544,2202,898142,F
242665212,3656,292,201080,1746,1908,514,2649,898404,T
962170957,2664,63,87912,1746,72028,514,1657,898759,F
474084870,3542,306,272734,1746,6309,1544,2283,898540,T
244422833,2792,31,92136,1746,144056,514,1202,898929,F
302455225,4967,17,119208,1746,2675,1544,2601,898830,T
273093619,2662,15,101156,1746,96037,2573,1436,898813,F
973891591,4977,49,238896,1746,2701,2573,1843,898789,T
784830672,2682,63,193104,1746,57622,1029,1010,898138,F
176030265,4019,648,196931,1746,15163,1544,1667,898801,T
686275678,2544,29,195888,1746,78576,2573,1629,898775,F
194730185,4821,63,361575,1746,2806,1029,1096,898943,T
543870062,2533,50,240635,1746,123476,514,1255,899065,F
663417455,3163,38,158150,1746,3757,1029,1558,898202,T
