userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
616213419,3854,491,134890,4023,9739,1950,6323,816695,T
740654343,3822,503,485394,1532,12134,1950,6613,816524,F
810184273,625,1,36875,5287,105747,1950,6087,815926,T
793984039,3494,70,293496,7477,10281,1950,5001,816038,T
406640839,495,14,31680,5483,8046,1462,5986,816133,T
399244177,3997,469,987259,2263,13218,1950,6597,816563,T
467186054,1666,1,364854,1674,41124,487,4743,816641,T
350678916,648,7,145152,2509,9370,1462,5191,816909,T
375493116,3841,477,725949,1492,11939,487,5878,816128,F
406782944,1782,16,386694,5874,7402,975,6711,816614,T
492962950,614,18,44822,2387,43543,1950,6144,816524,T
799640476,3973,472,317840,8317,29609,1950,6844,816119,T
599515865,3414,39,375540,1927,10574,975,3359,816289,T
316840578,1634,5,70262,3190,33646,1462,3158,816882,T
089508451,3314,22,334714,1605,41124,1462,2979,816059,T
610324901,3441,28,392274,1609,17214,1462,3009,816027,T
854810586,3521,50,647864,6854,12546,2438,5238,816198,T
878983834,228,1,34656,2016,9613,487,6247,816910,T
074061143,1717,20,393193,5140,9027,1950,3453,816372,T
057733472,629,1,96237,2349,23878,1950,3866,815955,T
729815806,3963,484,705414,2177,16823,1950,5838,816184,T
625871510,3890,478,194500,1519,52873,1462,4371,816292,F
702135131,469,13,64722,3395,21771,2438,3088,816103,T
945071069,3747,20,580785,4838,15106,1950,4740,816376,T
980046895,3926,482,160966,2937,9252,1462,6012,815950,T
840375496,3382,80,517446,3979,11749,1462,5292,816493,T
835043396,215,6,21930,1568,10281,487,3913,816770,T
890211017,608,1,55936,2419,8918,1462,3284,816043,T
015904385,612,2,136476,9252,8607,1950,4890,816359,T
429897071,3737,38,863247,9370,17624,487,3189,816929,T
556952679,3343,11,494764,2847,29609,1462,3692,816589,T
850504496,3459,46,799029,3084,56940,1950,6322,816758,T
636680670,617,12,148080,5650,10425,1950,3587,816666,T
756175764,3821,507,462341,2151,24674,2438,3141,816536,T
992781831,3628,41,264844,4254,41124,487,2960,816866,F
632260790,3385,76,643150,2782,82248,1950,5025,816722,T
568434052,536,1,95408,1805,24674,487,6763,816714,T
330959186,167,7,3340,1571,15421,975,4534,816821,T
549615985,163,13,37816,1801,11939,487,4544,816408,T
977881493,3820,508,217740,5364,7553,487,4670,816199,T
558247539,3820,488,955000,3738,10003,487,6365,816197,T
517696712,3447,62,358488,6791,21771,1950,6102,816759,T
476538292,3334,7,286724,2984,9370,1462,5024,816058,T
884383504,3909,471,320538,2102,16092,487,6285,816065,T
202609466,3354,55,57018,1775,30843,1462,6789,816228,T
117212032,3828,504,643104,5070,7959,975,6211,816705,T
069097651,505,14,96960,4934,74023,2438,5092,816400,T
021865796,3844,509,430528,1504,15421,1462,3168,816414,F
989344422,3422,48,691244,1568,28470,1462,3854,816192,T
