userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
738290964,3376,87,151920,1674,1598,1462,6045,815978,T
263098460,3978,519,226746,1674,43543,487,6305,815974,F
438569000,3298,30,72556,1674,1690,487,3399,815973,T
510143214,4027,472,310079,1674,33646,1462,5261,815921,F
855837438,4051,480,384845,1674,1510,1462,6468,816041,F
458268537,3327,34,192966,1674,2073,487,6786,816455,T
072425300,603,1,12663,1674,1995,1950,3657,816532,T
802195310,3881,520,159121,1674,4541,1462,6647,816255,F
045711609,3912,476,297312,1674,3289,2438,5910,816191,F
731123794,167,1,10855,1674,1663,975,3114,816303,T
142945554,3475,29,278000,1674,12134,1950,4971,816112,T
762525116,3930,482,235800,1674,3610,975,6699,815986,F
304831338,480,1,10560,1674,1561,1950,5325,816683,T
178264678,4106,508,188876,1674,2434,1462,5158,816810,F
232523327,3580,109,96660,1674,1898,1950,6058,815975,T
086203898,3903,537,218568,1674,2196,1950,4635,816913,F
227674373,4842,250,213048,1674,18505,487,5971,816190,T
025891250,3838,526,76760,1674,3459,2438,3145,816436,F
456123201,3375,11,239625,1674,2121,1462,5803,816821,T
910259745,4101,526,127131,1674,3576,2438,5266,816176,F
248727430,3941,479,82761,1674,1612,975,5939,816838,F
386020544,1732,55,171468,1674,4406,487,3180,816260,T
503281384,4911,267,157152,1674,4303,487,6010,816906,T
759115935,3852,481,192600,1674,8708,2438,6419,816184,F
542575092,701,48,31545,1674,6729,487,6509,816864,T
833034645,3975,516,389550,1674,1883,1462,3286,816308,F
898936400,3965,530,384605,1674,1529,487,4594,816050,F
302257443,1856,26,38976,1674,2858,487,3422,816478,T
689971972,4056,486,251472,1674,1754,487,6342,816039,F
135010178,3537,77,194535,1674,3855,1950,6808,816605,T
106936467,3962,476,309036,1674,3776,1462,4483,816674,F
398878083,3534,98,296856,1674,1480,1950,6611,816742,T
757426821,614,1,33770,1674,2349,1950,4340,816909,T
633351481,3829,520,317807,1674,7874,487,5892,816048,F
618057195,3380,92,287300,1674,10574,2438,6513,816545,T
431367027,3982,503,195118,1674,24674,2438,4388,816365,F
944042298,4034,537,298516,1674,1623,975,4807,816089,F
342729698,4808,248,100968,1674,2327,487,6092,816541,T
384006021,4127,486,140318,1674,21149,487,4869,816384,T
002791487,3868,512,104436,1674,4597,1950,6809,816557,F
768150347,3912,477,125184,1674,123372,2438,3677,816293,F
534807838,4770,256,119250,1674,4278,487,2975,816356,T
117676537,3563,90,345611,1674,3395,2438,6596,816153,T
118553721,3975,504,95400,1674,2509,1950,6692,816352,F
633635790,4715,257,339480,1674,1609,487,6520,816458,T
954575149,3868,469,286232,1674,2335,975,4345,816020,F
660696065,214,1,16692,1674,7049,1462,2903,815976,T
676494285,3932,507,220192,1674,4328,1462,4901,815995,F
821026739,643,54,43081,1674,5249,1950,4612,816559,T
150581631,4039,470,169638,1674,2782,1462,6432,815977,F
473833444,3990,507,91770,1674,32184,487,6818,816917,T
378366152,3874,539,92976,1674,3541,2438,3525,815936,F
001243019,3917,517,352530,1674,11388,487,5866,815997,F
705525034,572,56,36608,1674,1564,2438,3526,816673,T
838001235,3521,71,193655,1674,1922,1950,3876,816123,T
974964807,3921,533,215655,1674,5070,1950,6559,816125,F
929631689,1869,22,76629,1674,1670,487,2975,816578,T
378301346,3947,474,130251,1674,1480,975,5205,816267,F
912794125,3618,88,159192,1674,82248,2438,4697,816654,T
048172952,4031,503,197519,1674,11749,1462,4435,816432,F
373596817,3902,504,362886,1674,6609,487,6186,816296,F
137453699,3499,97,171451,1674,3319,2438,6057,816386,T
989599019,1801,35,122468,1674,3204,487,6143,816046,T
416403275,3975,517,111300,1674,2342,2438,4707,816364,F
223017005,3368,7,67360,1674,2196,2438,3191,816605,T
215427497,3934,504,82614,1674,1818,2438,6380,816619,F
545974145,4856,233,383624,1674,2403,487,6583,816375,T
370725853,3890,525,132260,1674,15106,2438,5958,816043,F
870366154,3431,71,185274,1674,18054,1462,6207,816774,T
971742927,3965,510,194285,1674,3304,1462,6055,815987,F
158455631,487,5,31168,1674,5001,1462,6720,816309,T
821151363,3999,521,143964,1674,3260,1950,6236,816714,F
134830746,4655,255,93100,1674,2459,487,6569,816164,T
756726290,3919,476,380143,1674,4023,2438,3141,816025,F
211188284,3956,500,395600,1674,2277,2438,3563,816071,F
346916695,4768,245,395744,1674,2056,487,5015,816741,T
661847634,3967,508,130911,1674,1836,1462,3448,816005,F
396040840,3272,14,137424,1674,1693,1462,4993,816161,T
130438371,4650,250,306900,1674,1551,487,6596,816828,T
441960373,3928,492,216040,1674,2236,1950,6536,816505,F
497409459,4015,528,389455,1674,3319,975,6546,816185,F
852651368,3347,55,140574,1674,2643,975,6059,816914,T
777466231,4169,522,162591,1674,33646,487,6268,815974,T
681205370,4035,469,161400,1674,11388,2438,5365,815922,F
273210793,3513,32,182676,1674,7874,2438,4642,816579,T
942985265,3976,472,131208,1674,2387,975,5094,816094,F
373350074,3996,534,279720,1674,2395,975,4416,816125,F
477264248,3310,12,148950,1674,3757,975,5261,815966,T
158131645,137,20,5343,1674,9027,487,4738,816642,T
795403695,3921,475,239181,1674,2395,1950,6192,816588,F
987877831,3930,503,235800,1674,2395,1462,5073,816902,F
626990106,1653,48,67773,1674,13218,487,3426,816456,T
609057144,4667,243,172679,1674,8046,487,4846,816783,T
626314243,3899,523,327516,1674,2925,1950,5987,816022,F
999307360,739,40,43601,1674,5249,1950,6608,816524,T
232327912,3874,501,371904,1674,1995,2438,6711,816705,F
541138557,3838,508,222604,1674,13966,487,5112,816207,F
932393745,4695,261,338040,1674,7631,487,3395,816782,T
304504894,3467,16,287761,1674,3009,1462,3477,816872,T
282884809,4095,531,409500,1674,1526,1950,3874,816511,F
