userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
417638521,1103,11,82725,2036,4912,2282,5005,407603,T
274135661,3438,263,388494,2568,8543,456,5578,407015,T
699455523,4476,52,147708,1984,8543,2282,4758,407531,T
786092070,4338,45,733122,1173,12281,1369,3703,407210,T
623702355,1135,16,283750,1144,13511,1305,2666,298638,T
977459886,2730,224,442260,3417,6442,1369,4216,407627,T
525856949,1156,30,67048,977,4851,2282,5081,407399,T
256173373,4443,44,111075,1201,30231,456,3162,407087,T
838055907,1206,25,20502,787,32750,1825,5697,407806,F
613165689,4530,46,711210,893,7415,2282,2706,407013,T
915602222,4337,67,1075576,3144,7145,2282,6429,407343,T
902249677,4531,55,1123688,3707,4225,2282,5543,407797,T
846943606,1045,1,242440,1251,5779,456,4083,407422,T
332865539,4402,56,123256,3477,30231,1825,2885,407739,T
697133673,674,1,20220,843,14036,2282,5703,407007,T
767617043,4360,61,69760,1488,56144,912,6298,407366,T
413476924,4348,75,230444,1288,49126,1369,4224,407274,T
239008817,1109,2,99810,812,8932,1825,2956,407998,F
800501713,1094,28,60170,1898,4678,912,4220,407589,T
401376597,4384,57,197280,5383,56144,1825,4755,407022,T
199481196,1070,26,94160,1853,7415,1825,6297,407462,T
113052026,3469,251,267113,1403,7018,1825,4329,407875,T
612188469,1212,33,220584,1547,3969,912,6137,407593,T
091239473,3467,231,426441,913,19650,456,3479,407281,T
087337079,4462,54,941482,1166,18714,1825,5829,407015,T
104010483,3556,253,341376,1297,11559,2282,2737,407755,T
236396560,4340,68,82460,787,4051,1825,4934,407998,T
740773506,1220,3,12200,1604,21833,456,5817,407812,T
173017453,3412,231,385556,2046,5240,1825,4478,407668,T
354302575,2627,200,470233,1898,7277,2282,2702,407437,F
397409795,1071,20,235620,1097,7860,912,6176,407921,T
184296860,4449,54,373716,2620,7557,1369,2729,407985,T
176059150,3476,247,542256,4569,4366,912,5967,407923,T
629022002,3420,266,653220,2637,4051,1825,4710,407372,T
977094416,1138,23,111524,1845,39300,456,4080,407749,T
