userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
177923124,1201,11,24020,893,4366,912,4801,407970,F
604818092,855,30,26505,893,958,1825,4678,407409,T
341309851,898,4,87106,893,1500,2282,6091,407957,T
180969361,1273,18,52193,893,829,456,2912,407894,F
568534579,4376,42,371960,893,1708,456,4631,407470,T
172211673,1124,32,75308,893,1045,912,3705,407869,F
105236161,3670,265,157810,893,916,1825,4389,407073,T
584194966,1118,14,79378,893,3969,1825,4539,407138,F
561117966,824,48,46968,893,903,1825,6159,407717,T
001774708,1189,58,47560,893,1212,456,5093,407628,F
429503377,3498,270,118932,893,1483,1825,4942,407112,T
499888473,1135,32,111230,893,2381,456,4486,407991,F
065613121,3646,298,185946,893,3672,2282,2990,407114,T
100892339,1314,64,97236,893,1076,912,4935,407091,F
638847889,1297,19,73929,893,1350,456,5710,407231,F
427341000,4531,91,99682,893,2807,456,4933,407358,T
519803195,3603,256,136914,893,1541,456,6399,407717,T
242053540,1283,21,105206,893,18714,912,3213,407713,F
831428228,1201,64,26422,893,1088,1369,3298,407172,F
004795501,3561,245,210099,893,1183,1369,3726,407770,T
583501540,4529,106,176631,893,2147,1825,2959,407979,T
248216355,1124,7,97788,893,1327,1825,3385,407625,F
642192427,1187,54,66472,893,4792,912,4672,407003,F
408076453,707,47,17675,893,1578,1825,3303,407941,T
346181875,1169,13,23380,893,6894,2282,5785,407727,F
582875976,4428,36,425088,893,926,1825,5760,407166,T
455990445,853,18,69946,893,1658,1825,6333,407109,T
778111785,1291,1,37439,893,2767,456,3156,407512,F
985898523,1127,35,96922,893,924,456,3518,407461,F
665548025,3487,277,341726,893,1005,456,5797,407830,T
549557716,1209,44,102765,893,2220,1825,3039,407266,F
698427522,3435,231,120225,893,1686,1825,3449,406995,T
733957440,4428,66,234684,893,937,456,3557,407873,T
261055196,1207,40,79662,893,2147,2282,2743,407261,F
338866368,3638,246,160072,893,2381,2282,5762,407196,T
330603787,1122,50,44880,893,805,456,3623,407214,F
583451511,1176,34,110544,893,7277,1369,6301,407128,F
397494977,4427,88,309890,893,1738,1369,5970,407887,T
159060719,840,35,68880,893,3046,1825,4377,407314,T
389845696,1245,10,24900,893,21833,1369,5948,407011,F
804731093,4406,100,215894,893,2046,912,2890,407957,T
564266940,1334,47,37352,893,2441,1825,4503,407657,F
632704430,3598,264,266252,893,32750,1825,3147,407721,T
388239663,1214,54,80124,893,1085,456,2730,407656,F
221770637,4342,47,182364,893,2339,912,3179,407615,T
262665699,1267,33,121632,893,883,912,4233,407740,F
286178740,678,3,67122,893,1023,1825,6227,406993,T
000614790,1152,48,107136,893,1403,912,4167,407143,F
579283803,4477,47,120879,893,839,1825,3579,407817,T
392267171,1110,46,106560,893,3447,1369,4912,407413,F
708739255,3426,256,270654,893,1034,912,6263,407632,T
445296039,1087,53,76090,893,3853,912,2810,407180,F
924950843,1048,23,89080,893,812,1825,3264,407938,F
341775629,3681,235,334971,893,863,912,4609,407155,T
471403907,3526,283,324392,893,1511,912,3420,407246,T
118340678,1223,1,57481,893,1853,912,4994,407710,F
781774036,902,19,56826,893,837,2282,5468,407830,T
139900625,1332,14,107892,893,2535,456,5830,407418,F
481635168,1038,5,61242,893,3330,1369,5691,407245,F
977638743,3643,280,211294,893,1819,1825,3323,407558,T
382833556,3644,276,116608,893,1630,1369,2790,407357,T
756751960,1224,23,62424,893,35728,2282,6383,407864,F
770465110,4586,53,252230,893,1297,912,6137,407068,T
608988755,1132,45,80372,893,2552,1369,5803,407947,F
970210479,4351,40,130530,893,1126,1825,5662,407445,T
059115081,1308,25,75864,893,9585,1825,4615,407387,F
437521402,3654,299,274050,893,2552,456,3594,407244,T
861784860,1059,3,94251,893,2124,456,3640,407888,F
634498866,4590,103,119340,893,1020,2282,4991,407381,T
492511539,1319,31,73864,893,28072,456,2760,407830,F
726766480,3472,254,236096,893,6550,912,6049,407214,T
403888547,1149,30,45960,893,834,912,4503,407128,F
668243831,1229,51,60221,893,2046,456,5949,407946,F
416742162,3522,298,334590,893,2101,456,4385,407248,T
336704550,4576,54,439296,893,922,1369,3206,407168,T
447636160,1257,11,103074,893,2787,456,5602,407513,F
443910726,732,19,70272,893,1292,1825,3552,407689,T
352810587,1056,64,73920,893,6550,912,3337,407747,F
486520083,4374,69,288684,893,1082,1825,6218,407539,T
533044566,1116,36,31248,893,1369,456,3247,407884,F
608838711,783,20,28971,893,7706,1825,4501,407628,T
738279781,1135,63,82855,893,6776,912,3342,407878,F
211360887,3544,281,322504,893,1073,1825,2996,407845,T
585258463,1157,22,31239,893,2057,912,3054,407263,F
374973943,3477,266,243390,893,997,1369,3364,407546,T
763966784,1232,20,102256,893,1845,1825,4754,407988,F
117916616,3430,274,216090,893,1103,2282,4854,407237,T
366785022,1249,16,123651,893,1778,912,4174,407657,F
692228201,1098,33,72468,893,4366,1825,5436,407115,F
169964146,3453,273,293505,893,1042,1825,5562,407260,T
729367131,1201,36,90075,893,3778,912,3375,407358,F
899198703,3584,283,71680,893,1786,1369,4746,407707,T
573618998,3521,283,327453,893,852,1369,6137,407183,T
854568152,1068,45,86508,893,1716,2282,4722,407110,F
375365932,3473,256,260475,893,1267,1825,3402,407079,T
835313878,1046,34,42886,893,2889,1369,6021,407750,F
630438187,4594,75,349144,893,6140,1825,4991,407926,T
435519638,1335,35,102795,893,2441,912,5693,407030,F
061230367,4633,89,162155,893,1176,456,5846,407259,T
527905848,1056,40,78144,893,1965,912,6068,407309,F
