userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
222560718,3195,168,76680,754,11462,523,6846,201177,T
875317849,83,1,19173,382,5731,1047,3378,201968,T
468076105,2482,1,573342,807,3581,2094,4752,201617,T
540193804,4147,97,464464,558,15630,523,3860,201253,T
731400971,2422,19,433538,616,1754,1047,6287,201115,T
512179434,4105,99,972885,1685,3183,2617,3165,201840,T
563848338,105,18,17220,403,1953,523,3510,201411,T
954388023,117,1,21528,406,3243,1570,6316,201390,T
359532836,2487,25,126837,367,4775,523,7224,201877,F
784309027,3196,172,651984,370,8596,2617,6519,201969,T
018323156,221,11,32929,384,4408,2094,3497,201763,T
980732892,112,1,17136,620,4093,2617,3459,201399,T
851726408,4051,89,44561,671,2528,1047,3458,201414,T
348464398,4019,97,860066,388,5210,1047,3290,201312,T
505835798,3222,144,260982,411,2964,1570,5578,201913,T
572836773,2415,11,333270,855,4524,1047,3677,201521,T
885487489,2457,15,90909,358,5928,1570,6625,201159,F
095613276,66,16,10494,471,2491,1570,6753,201067,T
090048388,3079,153,120081,391,5546,1047,6548,201928,T
231551237,2334,12,156378,774,3907,2617,7135,201391,T
679604300,2377,14,192537,750,2686,1047,7091,201593,T
960953383,112,1,10416,567,1976,1570,3244,201431,T
940817014,4144,93,563584,590,6140,1047,6756,201305,T
803578013,3034,151,75850,358,10745,1570,3522,201562,T
245409648,2420,29,229900,757,2323,2094,3399,201097,T
047365220,2372,6,59300,2096,1829,523,6563,201820,T
944654724,2425,30,181875,369,2528,1047,5512,201481,F
039105129,195,10,22425,458,5546,1047,6587,200996,T
783245258,174,1,41412,416,1754,1570,3542,201424,T
109131772,4021,118,916788,618,3438,2094,3590,201450,T
244341047,246,3,20418,517,9551,523,5533,201045,T
403467857,4147,103,298584,535,2232,1047,7228,201772,T
281633839,196,1,41748,501,2686,1570,3486,200991,T
256939510,2379,1,242658,842,2204,1047,6703,201539,T
117150895,2405,14,153920,398,1754,1570,5186,201668,F
228969673,4131,125,462672,1067,4408,1047,3154,201504,T
224626983,71,3,6745,460,2914,1570,5311,201256,T
877144590,2401,31,571438,1193,9048,1570,3178,201923,T
757770295,3102,156,198528,993,5210,1047,6888,201258,T
662811014,236,16,55932,363,2071,523,6793,201207,T
798813665,2322,7,143964,1029,2686,2617,6390,201556,T
924199504,3032,160,715552,754,6612,1570,5138,201265,T
438910981,86,19,21500,368,1848,1047,3265,201848,T
387748705,2378,14,235422,1409,1772,523,4950,201783,T
370820791,2408,29,356384,744,3581,1047,7135,201093,T
418418374,2351,8,213941,476,7815,1570,7035,201704,F
686911921,2428,8,446752,1219,4093,2617,7251,201647,T
566432506,4110,114,369900,434,1910,2617,4071,201652,T
672480121,2328,13,48888,2022,15630,1570,5653,201665,T
076063018,4099,112,118871,2456,3658,523,6756,201437,T
795098925,2361,20,526503,352,4524,1047,3684,201269,F
576787517,2403,10,295569,360,4775,523,4765,201647,F
