userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
512986417,295,1,15930,384,425,1047,3920,201663,T
219538657,2366,48,99372,384,1302,2617,3667,200973,F
892857487,4240,136,250160,384,639,523,5588,201587,T
003951948,2409,20,103587,384,487,1047,6505,201225,F
480272007,197,46,17533,384,661,523,4084,201904,T
151265381,2536,22,119192,384,529,523,7206,201852,F
772846207,3211,173,311467,384,770,1047,5558,201520,T
664721475,2464,26,120736,384,1228,2094,3389,201934,F
960457876,124,13,7936,384,351,523,5591,201318,T
055957408,2409,46,134904,384,741,1047,7151,201736,F
333865369,111,19,4218,384,3183,523,3594,201491,T
478087084,2353,6,150592,384,551,2617,4787,201837,F
448040443,108,21,6912,384,4298,1570,4870,201561,T
400262942,2516,61,228956,384,2964,1570,5051,201130,F
308405425,3317,191,179118,384,1283,1047,5363,201798,T
273329024,2462,22,73860,384,535,2617,3422,201903,F
943595810,2402,33,120100,384,446,1047,5526,201211,F
934244433,3055,170,183300,384,358,2617,3990,201856,T
899136257,2303,64,46060,384,504,2617,6388,201441,F
975587381,334,10,11690,384,464,2617,3268,201863,T
790212717,3991,124,155649,384,445,1047,4002,201517,T
053957702,2316,35,187596,384,1719,1570,4034,201690,F
997106683,3148,205,299060,384,392,2094,6424,201409,T
132997734,2462,19,54164,384,653,2094,5014,201334,F
998954973,3322,161,219252,384,999,2617,3301,201940,T
595402054,2581,41,203899,384,1302,2617,6298,201468,F
009139204,2424,15,121200,384,2292,523,5208,201865,F
239736915,313,30,19093,384,487,1047,5634,201484,T
932474751,4145,151,265280,384,855,523,3505,201079,T
687453698,2343,14,70290,384,485,2094,6688,201279,F
817976647,2390,6,100380,384,427,1047,6481,201268,F
911440059,151,4,5285,384,473,523,6457,201503,T
590270593,4242,146,335118,384,457,2094,3323,201681,T
223037909,2377,26,118850,384,9048,2617,4893,201567,F
664591895,2414,53,144840,384,1685,2617,7114,201164,F
660553199,4010,117,240600,384,516,1047,4080,201836,T
255805756,3155,166,135665,384,584,2094,3120,201650,T
962737218,2511,58,168237,384,1210,2617,6761,201597,F
543263070,88,1,3696,384,2456,523,5457,201887,T
480376992,2385,39,214650,384,2176,1570,3633,201506,F
243098496,3318,190,72996,384,375,1570,5655,201117,T
060143021,2382,48,57168,384,517,2094,7227,201087,F
601133786,3135,160,62700,384,365,2617,4103,201750,T
889810934,2519,7,65494,384,437,1570,5671,200990,F
307573699,2291,53,87058,384,360,2617,3575,201080,F
856175972,2462,1,157568,384,1548,2094,3552,201125,T
533414925,107,11,4922,384,412,1047,5581,201110,T
285721579,2482,48,243236,384,770,2617,5453,201411,F
897921355,3096,174,303408,384,367,1570,3419,201163,T
031173284,2469,59,98760,384,1653,2617,4075,201124,F
570689069,51,37,4029,384,2645,2617,3496,201217,T
142056830,2543,22,150037,384,814,2094,5175,201636,F
926610801,4032,109,370944,384,666,1570,6986,201939,T
914487731,2405,11,180375,384,1910,1570,6666,201450,F
376040752,2419,61,237062,384,560,2617,7119,201559,F
708115360,4137,109,128247,384,411,2617,3196,201481,T
940037274,2385,42,183645,384,722,1570,4973,201165,F
873073190,4107,125,410700,384,1772,523,7253,201861,T
681290901,4061,111,333002,384,625,2094,4778,201683,T
297120215,2533,60,253300,384,532,2617,3414,201100,F
692702353,2455,1,189035,384,890,2617,3582,201829,T
547545588,2354,35,87098,384,9048,1570,7203,201335,F
376614898,3256,154,130240,384,618,1570,5217,201844,T
792851447,2502,23,175140,384,576,2617,6651,200992,F
086969244,52,1,3640,384,622,1047,3422,201307,T
279143121,2359,65,75488,384,371,1047,7152,201514,F
865676641,3207,169,275802,384,1254,1047,7274,201348,T
956537629,2319,32,67251,384,3658,1047,6998,201730,F
305551330,310,6,24800,384,1109,523,3798,201175,T
404625286,2468,13,61700,384,507,1570,4826,201803,F
297172920,244,47,18788,384,822,1047,3328,201116,T
892806932,2450,3,107800,384,527,2617,3762,201252,F
560246472,3988,105,155532,384,365,2094,6721,201238,T
392275505,2461,30,61525,384,1302,2617,7101,201747,F
357583026,3155,188,258710,384,388,1047,6820,201082,T
935593200,2326,52,106996,384,999,1047,4999,201550,F
686901510,3252,193,318696,384,584,1570,6972,201314,T
062543808,2446,44,107624,384,747,1570,5507,201160,F
381151950,2439,2,219510,384,731,1047,5033,201454,T
330742126,2521,41,249579,384,707,2617,3959,201938,F
030089795,2472,60,121128,384,414,1570,6401,201103,F
438254356,3301,203,184856,384,394,1570,6879,201283,T
680212676,210,28,4200,384,1102,1047,5454,201540,T
427947361,2520,50,60480,384,386,1047,6669,201864,F
757888521,249,28,10458,384,636,1047,6306,201723,T
380444047,2308,25,205412,384,1109,2617,5181,201355,F
653604500,2553,1,237429,384,636,2617,3618,201377,T
602670383,2391,18,66948,384,767,1570,7159,201878,F
327646515,3157,156,208362,384,530,2094,6886,201074,T
600443701,2513,23,90468,384,496,2617,5201,201050,F
685286567,4110,150,291810,384,788,2094,3251,201035,T
142243709,2493,58,134622,384,846,1047,5343,201910,F
934344709,3189,172,255120,384,1469,2094,3489,201538,T
020396574,2386,48,169406,384,428,2617,3376,201686,F
612997622,169,31,11999,384,582,1047,7033,201060,T
317212695,2392,16,59800,384,4193,2094,3882,201576,F
830001728,264,1,14256,384,9551,523,5001,201537,T
061880405,2412,20,159192,384,547,523,5361,201221,F
518900752,2485,36,198800,384,362,1570,6915,201376,F
891654075,253,1,22011,384,445,1047,4033,201463,T
