userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
596636457,4347,73,504252,2316,32436,330,7291,1093066,F
865105494,4328,81,670840,5196,12027,992,3813,1092742,T
007973931,1564,10,129812,4497,11509,330,7078,1092272,T
625580401,3727,261,350338,2643,11762,661,4046,1092552,F
713483323,2847,27,512460,2321,56337,1323,3640,1092680,T
424865678,1662,19,154566,8171,48655,661,3653,1092595,T
097678759,1564,15,73508,3283,12593,661,5651,1092445,T
453237922,2733,1,232305,11267,14465,1654,7340,1092790,T
979985891,3663,224,347985,14465,21408,1323,7370,1092903,T
300470865,3713,236,129955,4230,25486,1323,3490,1092979,T
943507534,1697,1,230792,6817,23787,330,7180,1092951,T
531578672,4457,58,365474,3579,35680,992,7581,1092238,T
965912600,4323,53,285318,3544,42816,330,4962,1092415,T
088575287,1612,8,22568,10194,13549,330,3536,1093045,T
211046456,2813,38,661055,3253,13723,661,4171,1092901,T
563138436,4886,130,63518,12163,14272,1323,5573,1093075,T
464961805,1592,1,25472,2824,32436,330,6572,1092703,T
828638524,1573,18,128986,3640,10922,1323,3871,1092264,T
859234643,4831,139,96620,2188,12027,330,3430,1093171,T
166897788,3600,241,428400,5097,76458,1323,7542,1092869,T
033876448,4825,158,101325,9731,39645,330,6579,1092418,T
854248782,3621,262,720579,2585,18142,1654,4056,1092300,F
583138894,3655,254,796790,8846,29733,992,3810,1092596,T
144601748,4371,60,769296,4978,29733,661,6710,1093051,T
810784737,1618,1,202250,2234,32436,1654,3751,1092862,T
667906631,3591,247,452466,2524,178402,661,5487,1092474,F
735300449,3660,250,139080,4181,56337,992,5848,1092541,T
096310107,4492,58,494120,3430,16990,1654,5049,1092818,T
754469936,3679,251,805701,5575,21408,661,3631,1093107,T
279418433,1638,4,303030,2145,11893,661,5266,1092861,T
472616343,3721,232,476288,2427,24327,1323,4153,1092517,F
510766309,3748,239,457256,5881,10922,330,5885,1092699,T
129783080,3589,231,585007,2292,16467,1323,7566,1092271,F
997079342,1696,24,222176,6732,12593,992,5038,1092866,T
330212770,2910,40,453960,5724,13380,330,5014,1092244,T
390388931,4315,44,414240,2758,19462,992,6829,1092563,F
424793358,4465,81,450965,8428,31482,661,5384,1093162,T
361864716,4387,63,276381,3653,26760,330,5031,1092226,T
