userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
863858977,2931,82,137757,3303,3906,330,4284,1092998,T
642716484,3747,261,322242,3303,118935,1323,5144,1092204,F
225114605,4340,94,86800,3303,2696,330,7107,1092392,T
882351622,3866,244,344074,3303,3111,1654,3336,1092445,F
970798911,3756,224,232872,3303,9389,1323,7275,1092680,F
272369319,1591,63,136826,3303,5025,330,6647,1092299,T
678743403,4498,58,278876,3303,76458,1654,5342,1092418,T
665187945,3748,247,367304,3303,2846,661,3582,1092755,F
859566678,3632,238,101696,3303,3214,1323,7436,1092258,F
552771724,4850,136,213400,3303,59467,330,4926,1092408,T
135410743,4830,181,135240,3303,5001,661,7417,1092934,T
617465806,3580,288,297140,3303,4574,1323,7072,1093090,F
252412489,2901,87,147951,3303,27446,661,5342,1092324,T
986948241,3623,260,351431,3303,2940,992,3308,1092252,F
963548610,4754,144,375566,3303,2421,661,5366,1092362,T
052349265,3643,236,156649,3303,5604,1654,5497,1093105,F
708479835,3781,235,162583,3303,16990,661,3572,1093103,F
325478145,2783,35,69575,3303,3176,661,4176,1092554,T
001946627,2607,17,140778,3303,3521,1654,3425,1092173,T
265227074,3833,251,176318,3303,2460,1323,3585,1092961,F
084182798,1639,44,111452,3303,3185,992,5252,1092881,T
892432254,3757,260,127738,3303,4039,992,5706,1093104,F
322093114,4726,171,99246,3303,2184,661,5920,1092918,T
963302899,3689,248,166005,3303,2180,992,3961,1092465,F
392456764,3648,291,175104,3303,2158,661,5491,1092656,F
281011578,2886,25,274170,3303,6333,661,5060,1092738,T
771185150,4892,179,425604,3303,4386,992,5209,1092978,T
813047954,3858,232,138888,3303,5121,661,3485,1092424,F
591105865,1738,41,121660,3303,3040,992,5023,1092681,T
917741484,3590,280,211810,3303,56337,992,6743,1092283,F
152162970,3600,232,298800,3303,8297,661,5948,1093044,F
282931189,2941,41,161755,3303,5146,992,3478,1093092,T
267857829,4805,135,379595,3303,7183,661,4982,1093144,T
070423096,3664,244,190528,3303,2965,661,3616,1093070,F
302560676,3594,278,190482,3303,7042,330,7547,1092191,F
592818304,4381,68,122668,3303,3452,1654,5246,1092408,T
483021138,4395,105,123060,3303,2188,1654,3354,1092308,T
645449622,3669,266,95394,3303,2744,992,3994,1092802,F
736150625,3802,256,83644,3303,118935,330,3713,1092167,F
631930327,4478,100,143296,3303,23787,661,7428,1092320,T
025537492,1625,16,92625,3303,53520,992,4058,1092987,T
491738490,3637,257,174576,3303,10003,1654,3484,1093100,F
365612713,4480,64,183680,3303,3419,992,7447,1092374,T
521491630,3579,261,275583,3303,3653,661,5367,1092865,F
875589025,2799,90,95166,3303,29733,661,3344,1092176,T
265084478,3654,225,186354,3303,3678,1323,4011,1092938,F
648747576,3771,285,316764,3303,31482,1323,6946,1092205,F
562700869,4586,59,201784,3303,4460,992,6566,1092212,T
178880413,1835,6,89915,3303,2427,1323,3593,1092660,T
903251032,3671,249,84433,3303,6116,1323,7021,1092393,F
170243541,4344,64,139008,3303,4478,661,7506,1092319,T
290235481,3660,257,183000,3303,2506,330,7101,1092628,F
588196847,3733,237,149320,3303,3419,1654,5324,1092603,F
895696075,4458,64,298686,3303,5575,661,4243,1092307,T
004565746,2625,16,215250,3303,3023,992,7541,1092877,T
277011082,3690,224,92250,3303,12446,992,3368,1093025,F
132422612,4799,173,124774,3303,2536,330,3726,1092316,T
205236901,3839,284,349349,3303,2405,992,3862,1092796,F
451756609,3695,237,236480,3303,3850,1323,5119,1092449,F
127890873,4810,160,283790,3303,5221,1323,3559,1092867,T
544355034,3818,284,209990,3303,3691,330,3943,1092519,F
079868851,2867,7,183488,3303,2267,1323,7150,1093142,T
542762844,4503,78,342228,3303,3195,1323,7265,1092400,T
254621924,3583,286,154069,3303,5633,1654,4215,1092446,F
577364581,3689,230,346766,3303,4423,661,7293,1092608,F
477802447,4564,53,269276,3303,4441,1654,3839,1093067,T
779252355,3666,279,230958,3303,2337,330,5249,1092499,F
803872586,4936,169,162888,3303,30583,330,7034,1092680,T
732918891,2944,31,288512,3303,2512,330,6982,1093142,T
952524854,3819,260,148941,3303,5517,1654,5139,1092820,F
591702204,4604,91,313072,3303,2472,1654,6645,1093169,T
460389157,3648,258,255360,3303,2542,992,4181,1093045,F
088835203,4895,182,352440,3303,2623,992,5485,1092292,T
841687861,3616,235,191648,3303,8995,992,5627,1092266,F
822669264,3743,263,131005,3303,4405,1323,3277,1092359,F
298903472,4953,127,133731,3303,2885,661,4162,1092379,T
567204771,3671,259,267983,3303,4369,1654,5894,1092364,F
967806193,4567,54,269453,3303,4264,992,3303,1093105,T
784924909,2657,1,100966,3303,6817,992,7366,1092957,T
694364539,3789,225,227340,3303,56337,1654,3895,1092775,F
475577153,3579,289,161055,3303,9472,661,4068,1092491,F
736533229,4465,106,325945,3303,5196,1654,4149,1092379,T
312011059,1599,59,43173,3303,2389,992,3920,1092782,T
168235367,3738,238,269136,3303,46539,330,5039,1092685,F
593353231,3814,285,316562,3303,2893,661,7433,1092644,F
572288822,4354,95,413630,3303,9911,661,5452,1092837,T
141701387,1693,15,116817,3303,7591,330,3368,1093126,T
