userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
327287250,2636,61,121256,2503,6385,1089,5231,908256,F
652618352,4163,13,199824,2503,3567,1815,4540,908251,T
800370796,2144,119,117920,2503,3049,1089,4379,908588,T
876177619,2760,67,256680,2503,2569,363,3389,908849,F
180200233,2213,148,130567,2503,3158,726,6110,908978,T
067955274,2759,31,137950,2503,2753,363,6480,908949,F
836680890,3717,121,185850,2503,1855,1815,6705,908239,T
146162936,2684,67,254980,2503,2288,363,5092,908549,F
273978517,308,1,29568,2503,1998,1089,6457,908482,T
357972728,2799,51,142749,2503,1802,1089,3108,908733,F
809890263,2191,146,111741,2503,9901,363,6465,908882,T
260420414,2807,51,145964,2503,3899,363,3773,908262,F
179540275,3938,35,354420,2503,2797,1089,3630,908388,T
085523322,2643,21,243156,2503,8812,1089,5258,908469,F
477058110,2075,145,118275,2503,14936,1089,4499,909150,T
620667315,2703,68,181101,2503,2407,363,5040,909162,F
105971766,2210,153,83980,2503,2615,1089,6382,909160,T
719758254,2604,28,190092,2503,4789,363,5895,908866,F
531956061,3967,38,388766,2503,7106,726,5852,908649,T
970270278,2755,4,253460,2503,2833,363,6419,909121,F
694732408,2585,34,168025,2503,1911,726,5315,909136,F
791761468,4059,42,361251,2503,1887,1815,3090,908775,T
836943731,1978,168,89010,2503,2088,1089,5068,908934,T
454049628,2770,68,221600,2503,2441,363,3543,909031,F
471661290,4209,70,185196,2503,3312,1089,6771,908716,T
178970560,2761,65,151855,2503,7283,1089,3234,908467,F
109159379,4137,35,364056,2503,3582,363,5305,909094,T
525562960,2690,47,115670,2503,13988,726,6353,909214,F
111682685,2086,100,139762,2503,3510,1452,3199,908495,T
927509575,2795,55,243165,2503,1809,363,5991,908558,F
657518162,4123,19,292733,2503,7343,1815,5007,909149,T
648672183,2820,74,236880,2503,2576,363,6290,909206,F
934387982,2174,145,78264,2503,1887,726,5976,909218,T
677731118,2619,55,86427,2503,5340,363,6635,908992,F
379561417,4058,3,340872,2503,3831,363,4397,908700,T
260894358,2842,57,113680,2503,16627,363,4618,908288,F
029585021,2809,12,196630,2503,3081,726,3879,909099,F
607766292,155,1,15035,2503,20028,363,5837,908237,T
453955747,2192,135,94256,2503,3582,726,3854,909080,T
226514919,2578,49,82496,2503,3969,1089,4354,908605,F
437140502,4001,69,88022,2503,2889,726,5018,908962,T
406082923,2802,72,201744,2503,3018,1089,3238,908986,F
977826931,2112,139,145728,2503,9578,1815,3262,908485,T
731086103,2614,44,112402,2503,1762,1089,4524,908502,F
941323128,392,42,32144,2503,1919,363,6801,908981,T
578778768,2646,55,248724,2503,2035,363,6407,909207,F
952285862,2048,150,124928,2503,2824,363,3202,909174,T
755100794,2644,11,60812,2503,3951,726,3485,908948,F
550502266,359,1,25489,2503,20494,1089,6482,908274,T
519329403,2754,48,217566,2503,1887,726,3475,908241,F
062875471,4215,6,303480,2503,3798,1089,4660,909024,T
050609399,2643,31,153294,2503,1891,726,4364,909026,F
094543559,403,1,35061,2503,4079,363,6713,908495,T
123032406,2663,59,159780,2503,4687,726,5974,908228,F
620265888,2082,160,118674,2503,7343,363,2988,908699,T
306675313,2690,40,56490,2503,14936,726,5300,908927,F
622139043,4135,45,392825,2503,8159,726,6675,909188,T
396553613,2826,63,279774,2503,12959,1089,3183,908241,F
428173733,2857,64,168563,2503,2231,726,3117,908886,F
783947048,275,44,23100,2503,3028,1089,3657,909035,T
021124896,4137,6,107562,2503,30388,1815,5287,908826,T
431637577,2565,18,61560,2503,2021,1089,3242,908336,F
277012569,3943,18,177435,2503,1907,1452,4539,909038,T
289153605,2731,12,54620,2503,2447,363,6667,908740,F
759890866,4189,27,351876,2503,2259,726,5790,909095,T
409214199,2697,41,59334,2503,11298,1089,3392,908260,F
347037889,2123,142,188947,2503,2035,726,4854,908863,T
370603303,2796,74,206904,2503,1984,363,6599,908762,F
061663433,2687,61,174655,2503,23817,1089,3254,908318,F
602586374,2131,102,66061,2503,3525,726,5354,908278,T
636058108,3855,76,104085,2503,3582,1815,5027,908436,T
358352316,2689,46,166718,2503,17625,726,6537,908781,F
126578205,4063,68,207213,2503,21494,363,4653,908999,T
763106118,2723,35,54460,2503,1791,726,3290,908723,F
138586924,4019,30,152722,2503,5994,726,3530,909089,T
948689507,2681,50,109921,2503,8392,726,4657,908498,F
897969099,3968,22,138880,2503,4868,1815,3263,909027,T
843429608,2629,71,118305,2503,25178,1089,4688,908815,F
519022736,235,1,10340,2503,1883,1452,4619,908704,T
927440890,2620,41,128380,2503,2615,363,4973,908739,F
769498034,368,49,31280,2503,2503,726,6787,908359,T
694416351,2640,74,168960,2503,12771,363,3874,908735,F
490129284,2219,149,106512,2503,10367,363,5863,908559,T
145677542,2599,19,93564,2503,7663,726,3147,908534,F
777065510,2063,100,76331,2503,5214,1815,3401,908915,T
186637905,2732,55,251344,2503,4815,363,4665,908909,F
162517468,4171,42,354535,2503,3204,726,3366,909121,T
317462963,2602,15,117090,2503,23190,1089,6522,908330,F
957125282,1935,143,106425,2503,2554,1452,3842,908416,T
422071353,2839,60,232798,2503,2615,363,6610,909206,F
496644706,3976,64,79520,2503,2711,1452,4674,908879,T
779569544,2622,10,91770,2503,9901,726,5299,908592,F
460638827,2829,67,138621,2503,6206,726,6073,908773,F
073670398,296,1,9176,2503,3038,1815,5012,909238,T
115976270,2612,54,112316,2503,1762,363,4933,908423,F
775465354,4188,24,108888,2503,23190,726,3726,908494,T
760926882,4057,67,385415,2503,2144,363,2960,908345,T
287196678,2805,24,64515,2503,2517,363,6521,908779,F
373269804,175,8,15050,2503,6119,363,5111,908257,T
709761514,2834,32,201214,2503,5994,726,4732,908699,F
