userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
703367952,4854,259,990216,1636,4146,1342,2441,245940,T
271524955,1416,1,116112,874,4219,805,2743,246156,T
379436702,4873,261,185174,897,5344,805,3083,245478,T
312021847,5003,242,1160696,576,6499,805,4121,245585,T
513335128,4890,247,1139370,3294,3485,805,3434,246242,T
951337721,4972,256,636416,499,3083,537,3459,245684,T
299862855,4813,239,914470,758,3206,1074,3317,246129,T
587068450,1354,3,235596,601,7757,537,2605,246363,T
576491483,4885,241,341950,512,3643,1342,1974,245651,T
045332519,4961,225,709423,1184,5865,1074,3291,245853,T
511380461,4939,237,345730,2004,8589,805,3377,245763,T
811801500,1507,29,339075,1592,2932,537,2211,246094,T
626784613,4828,263,241400,823,4219,1074,2577,246082,T
116322923,4861,256,213884,590,8016,268,3250,246250,T
879466337,4896,259,685440,624,2479,268,3318,245507,T
563164676,4812,249,538944,2312,6499,1342,4032,246071,T
535047868,1507,1,271260,544,2672,1342,3249,245870,T
827105136,3286,88,134726,728,3942,1342,4103,245928,T
826707348,2060,27,463500,485,40082,1342,1972,245919,F
945043150,4973,258,144217,1571,6680,1074,3808,245885,T
449524977,1393,1,344071,793,4624,268,3291,245792,T
795725659,1319,1,251929,2381,7287,537,3716,245665,T
249237671,5008,260,1136816,1705,3485,537,3259,245485,T
439531854,1955,1,424235,590,21862,268,3296,246270,F
565531802,1494,26,230076,1374,2932,805,3905,246114,T
806721869,4818,246,578160,576,2829,1342,3698,246112,T
849656499,4964,251,610572,535,48098,268,2183,245782,T
821249563,1393,9,80794,917,3699,1074,3042,245926,T
351297823,1376,8,149984,563,3536,268,3155,245767,T
494853321,4824,242,217080,580,9249,805,2387,246226,T
786423746,1510,5,369950,621,8292,805,3507,246176,T
835559064,1340,9,34840,508,2796,1074,2428,245934,T
883179471,4830,260,710010,1073,3294,1342,3722,246227,T
067936203,4920,264,875760,571,8907,268,4161,246145,T
311099195,4826,244,86868,2206,40082,537,3212,245627,T
556906996,3174,69,444360,517,3878,1342,2568,245689,T
271390996,1479,1,113883,735,4076,805,3925,245865,T
145805090,1474,7,278586,726,2531,805,2388,246231,T
221169087,1352,10,68952,602,3643,537,2276,245919,T
607039665,4863,226,841299,2479,2796,268,1662,246111,T
588456289,1440,20,131040,890,5228,1074,3582,245584,T
998549554,4850,226,402550,503,2585,537,2544,246358,T
323232712,4886,259,522802,932,3044,1074,2727,245527,T
834286513,4819,256,640927,593,5865,537,3839,246471,T
568172348,4847,258,615569,605,8589,805,2484,245782,T
134119441,4848,258,339360,495,6328,1074,3317,245664,T
444604361,1490,22,201150,1768,2969,1342,3832,245524,T
147126882,1476,25,228780,756,17178,805,2899,245630,T
260468946,4898,257,793476,632,8016,1074,3338,245891,T
968335533,1377,21,16524,868,7757,805,4163,246169,T
843609062,4913,238,58956,516,2897,268,2233,245753,T
812512487,1470,9,201390,1582,6166,537,2015,246386,T
122188690,4861,259,252772,823,6871,268,2557,245743,T
562165947,1430,15,243100,897,2829,537,2912,245731,T
372421757,4972,237,596640,507,4537,1342,2545,246344,T
823566676,1357,31,317538,539,2454,1074,2312,246036,T
534398738,4881,236,1049415,568,2454,1342,4152,245533,T
459037683,1397,1,238887,660,4715,537,3105,246140,T
301038095,1410,30,222780,599,2558,1342,3679,245900,T
719085165,2069,1,428283,2531,2505,537,3628,245904,T
822596311,4855,238,859335,843,5010,805,1571,245738,T
694249533,1455,16,309915,671,2672,268,3124,246063,T
199368022,4925,237,438325,977,2829,805,3958,245815,T
453566203,4934,265,300974,579,6499,1342,2909,246225,T
985698606,1347,1,83514,490,10931,805,3189,245601,T
066127875,4913,257,992426,2897,20041,805,2737,245532,T
141178718,1949,7,481403,3083,5010,537,2507,246438,T
397963751,1404,28,303264,497,4146,805,3871,245985,T
096537033,1399,2,146895,488,2558,1074,2201,246005,T
641253772,1470,26,141120,969,7073,537,2862,246114,T
483901464,4983,243,1146090,737,30061,537,3202,246222,T
168946400,1443,9,98124,582,5228,805,4217,245878,T
319245550,1942,7,304894,3435,3123,1342,3975,246472,T
716360417,4974,250,974904,601,30061,537,3332,245778,T
132031445,1997,27,459310,2585,13360,1074,1886,246185,T
511867775,1461,10,213306,559,8907,805,3378,245984,T
969184728,4884,238,830280,2558,3123,805,2938,245796,T
679543601,4895,227,1120955,1156,5865,1074,3978,246120,T
382957003,4844,249,770196,2732,17178,268,2167,246456,T
979268509,1443,8,108225,726,3249,1342,3368,246275,T
095552851,3256,75,306064,683,5276,2288,9816,312612,F
833235394,4857,252,752835,1755,30061,537,3115,245959,T
711048088,1334,16,246790,703,2732,1342,4183,246424,T
628058054,3225,64,399900,969,2829,1342,3944,246266,T
512654967,1442,4,53354,1431,15030,537,3240,245649,T
107987965,1411,12,229993,546,2672,805,3755,246072,T
661781886,1392,31,190704,1849,2764,1342,3412,245911,T
084374981,4835,245,1025020,573,3589,537,3191,245747,T
485730415,1405,31,91325,499,3249,1074,3518,246218,T
114688322,1332,1,119880,595,5465,537,2370,246281,T
248880000,4839,227,169365,1939,2732,268,2568,246107,T
937589321,1485,1,325215,573,12657,805,2374,246137,T
322989029,1431,15,47223,1423,4076,805,2544,245692,T
994240818,1312,20,32800,571,3643,805,3759,246168,T
130025654,4884,225,1211232,586,2764,1342,3909,245903,T
659226259,4847,255,1037258,1431,2614,268,3187,245484,T
552170458,1454,1,359138,2381,4453,805,3214,246175,T
836986038,4912,241,358576,1717,2585,1074,4155,245816,T
094018844,3199,78,310303,2147,2732,1342,4213,245926,T
656221643,1472,30,312064,3083,3164,537,3171,246215,T
455619191,1481,24,32582,1002,21862,537,3393,245488,T
286240584,4939,234,686521,542,12024,1074,4036,246004,T
150048269,4829,230,579480,506,3083,268,2374,246447,T
500032694,4872,251,224112,2796,3536,1342,3359,246141,T
159316463,1454,19,215192,765,13360,805,2230,245496,T
635769437,1464,6,38064,1299,9249,268,3719,245837,T
647917991,4877,260,224342,1781,3123,805,3331,245728,T
141732596,4989,239,833163,567,4537,268,2882,245535,T
045048950,4853,255,800745,2020,2558,805,2406,245847,T
238584676,4862,249,63206,709,4624,1074,2937,245704,T
722095614,4976,254,607072,785,2429,1342,3570,245808,T
331638951,1496,7,287232,2334,5726,537,2651,246130,T
652027526,1411,1,197540,1103,6499,1342,2500,245713,T
246304763,1496,1,231880,1475,3942,805,2360,245633,T
318859128,1394,1,115702,1036,9619,268,3361,246093,T
270465257,4865,227,267575,651,12024,805,4148,246442,T
413685768,1350,22,163350,641,3164,1342,2486,246241,T
074414218,4813,263,1015543,487,6328,268,2951,246272,T
162269984,1352,1,208208,2897,2614,537,3411,245711,T
799273048,1370,13,206870,557,3249,1342,3738,245695,T
260281310,4997,241,264841,815,7515,537,2557,246154,T
201765276,4906,238,814396,509,15030,1074,3370,246193,T
793683367,1494,1,29880,573,3206,537,3071,245725,T
414972812,4910,249,417350,525,5592,268,2745,246097,T
714815056,1425,2,96900,917,8907,537,2534,245834,T
229010029,1346,1,185748,921,2672,805,3382,245786,T
827463637,1362,15,235626,711,4809,805,3230,246467,T
493715678,4888,255,752752,687,4372,537,2503,245847,T
602512371,3243,69,107019,749,2531,1342,4198,245856,T
830947493,4889,242,611125,1343,5865,805,1713,245520,T
551100990,4970,252,551670,510,4537,537,4122,245558,T
235704733,4858,229,806428,1098,2429,1074,1650,246326,T
749056917,2053,1,507091,2642,3340,268,2952,246017,T
235147359,1351,10,97272,1431,2932,1342,2534,245824,T
908780212,1361,4,291254,582,3164,1074,3305,246397,T
029026465,1473,26,103110,770,4715,1074,3845,246319,T
339266685,1349,1,133551,528,2764,268,1759,246443,T
701920372,4851,245,441441,2312,4809,268,2000,245533,T
