userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
357696151,5012,227,421008,914,3340,268,2597,245695,T
588556234,2105,1,162085,914,26721,268,2302,245845,F
908197335,1906,61,184882,914,48098,268,3217,246401,F
620272543,4889,241,161337,914,604,1342,4022,245939,T
020210059,1454,47,50890,914,1466,1342,2155,246139,T
318094469,2001,15,134067,914,34356,268,1846,245745,F
826373733,4981,234,343689,914,677,1342,3459,245624,T
426644278,2020,5,125240,914,40082,1074,2591,246058,F
087739191,4961,267,347270,914,2147,537,2535,245681,T
526250053,2174,22,69568,914,34356,537,3175,246117,F
210022564,4921,228,236208,914,554,1342,2997,246119,T
662392122,1947,42,165495,914,30061,805,3989,245726,F
149478770,1487,10,93681,914,1014,537,2027,246063,T
798166889,2168,30,67208,914,48098,537,3348,246169,F
863695830,4914,284,245700,914,1658,805,3276,245858,T
689761776,2066,28,140488,914,48098,1342,2765,245877,F
409417907,4872,267,477456,914,1406,805,2105,246167,T
233959020,2152,47,137728,914,30061,268,3772,245618,F
241478687,1396,18,62820,914,778,537,2897,245935,T
158093816,2150,1,107500,914,48098,268,3170,245505,F
402595491,5099,259,173366,914,4809,268,3924,246326,T
946707697,2112,60,183744,914,40082,1074,1766,245941,F
774503113,1327,40,104833,914,1088,1074,2814,245637,T
369499550,2047,13,81880,914,48098,805,3914,245937,F
545205930,4854,259,446568,914,763,805,2791,245662,T
557749699,2178,12,148104,914,48098,1074,3559,246086,F
870210968,4924,271,384072,914,1908,805,2543,245982,T
232842755,1992,1,185256,914,48098,268,2304,245689,F
972133595,5017,282,105357,914,1103,537,2375,245911,T
306446846,2086,30,166880,914,34356,805,3230,246233,F
280439343,5055,276,323520,914,711,1074,2479,246448,T
332224302,1927,6,71299,914,34356,1342,2222,245950,F
283024884,1415,30,31130,914,1923,268,3243,245784,T
388070638,1926,62,159858,914,30061,805,2944,246346,F
167056800,1354,20,131338,914,1036,805,2436,246059,T
332318518,2084,31,160468,914,34356,805,1888,245790,F
181188465,4923,283,167382,914,636,1342,3447,245833,T
