userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
423719188,3477,150,173850,1725,1673,560,5049,966703,T
570929580,3418,39,174318,1725,4890,560,5167,966329,F
537000010,6,13,516,1725,4051,560,7007,966889,T
281279925,3595,28,208510,1725,1785,560,3895,966943,F
076346565,4424,858,137144,1725,11169,1120,5322,966723,T
286366596,3616,40,115712,1725,4750,560,4122,966506,F
678054398,2865,54,163305,1725,2512,1120,6956,966075,T
582606099,3601,24,266474,1725,3740,560,5388,966359,F
724919965,3498,26,279840,1725,6358,560,3581,966645,F
983624160,3032,60,160696,1725,6831,1680,3590,966560,T
850079560,2818,17,177534,1725,2615,1120,4067,966494,T
136523061,3406,10,228202,1725,3027,1120,3480,966749,F
896166412,4299,871,253641,1725,8700,560,3374,966629,T
466541639,3447,19,334359,1725,2746,560,4139,966336,F
877819266,3019,20,172083,1725,3757,1680,6841,966566,T
325653390,3616,29,177184,1725,9958,1120,3403,966410,F
188300526,2890,23,187850,1725,2520,2801,7265,966604,T
800291523,3559,27,145919,1725,3319,1120,3319,966556,F
898601888,4350,880,130500,1725,2900,1680,7038,966265,T
412805458,3499,36,150457,1725,5780,560,3803,966897,F
589502351,4435,851,421325,1725,1659,1680,4267,966372,T
286168517,3347,59,234290,1725,2497,560,5643,966152,F
973729559,4327,859,121156,1725,2283,2241,3732,966737,T
134028067,3544,23,276432,1725,20160,560,5033,966872,F
237909287,4431,885,252567,1725,3502,1680,7712,966941,T
772051719,3367,39,141414,1725,11641,560,5804,966445,F
454323500,4352,862,208896,1725,3346,1680,5856,966341,T
792189055,3455,59,196935,1725,1754,560,3950,966764,F
999233951,2848,69,230688,1725,3532,560,7545,966590,T
553500916,3580,32,200480,1725,7125,560,5681,966611,F
987294812,3683,142,73660,1725,2574,2241,5071,966652,T
090419188,3364,20,134560,1725,3917,560,5509,966174,F
657160288,64,1,3200,1725,6665,560,7613,966588,T
633158349,3433,22,144186,1725,1824,560,3440,966750,F
884568618,4275,879,354825,1725,1754,1680,5456,966094,T
278887691,3503,61,157635,1725,5584,1120,3616,966452,F
631945844,2963,6,254818,1725,21193,2241,7051,966718,T
712269935,3467,23,152548,1725,2674,560,3395,966540,F
949513897,3051,12,198315,1725,1785,1680,5759,966458,T
565084636,3380,73,307580,1725,9083,560,3636,966534,F
953634784,271,1,21138,1725,2006,1680,3929,966404,T
340392474,3372,43,219180,1725,25830,560,6020,966283,F
161192772,75,1,4875,1725,3154,560,5970,966180,T
118791211,3486,37,254478,1725,2452,560,5507,966394,F
520627936,4329,846,311688,1725,2718,1680,6016,966882,T
310007133,3551,72,347998,1725,18785,560,5942,966605,F
003541315,4326,867,142758,1725,43503,1680,3980,966999,T
935875528,3633,40,145320,1725,2141,560,3615,966119,F
386335412,4330,843,207840,1725,6888,1120,5459,966646,T
787869982,3471,35,263796,1725,4350,560,5158,966683,F
378615992,3654,156,98658,1725,10332,560,7034,966686,T
937627241,3433,14,267774,1725,5166,560,4055,966658,F
741114254,22,1,1760,1725,1773,1120,3460,966832,T
620429296,3392,59,308672,1725,2082,560,3661,966079,F
960303059,2830,23,206590,1725,63581,2801,7420,966587,T
033747322,3515,78,270655,1725,5402,560,5025,966435,F
130539835,3982,105,294668,1725,1754,1680,3656,966939,T
503904146,3625,44,322625,1725,5166,560,5358,966486,F
934494673,4376,890,96272,1725,11480,2801,5686,966722,T
826680964,3503,43,101587,1725,1836,560,3513,966644,F
387701233,2844,61,125136,1725,2850,1680,5902,967035,T
224672392,3503,13,301258,1725,4669,1120,3804,966937,F
735882504,3572,125,192888,1725,14760,1120,3532,966410,T
338044990,3560,13,224280,1725,1680,560,5966,966205,F
567202647,4184,884,184096,1725,5133,560,5194,966736,T
117098521,3588,43,301392,1725,8265,560,5838,966303,F
279042000,209,1,16720,1725,1693,560,6782,966325,T
285304657,3575,59,153725,1725,1891,1120,3323,966340,F
931922455,65,1,3705,1725,3241,1680,3678,966245,T
346890074,3530,30,120020,1725,35937,560,3856,966433,F
293425197,2826,7,149778,1725,1882,1120,5260,966710,T
752601884,3480,37,285360,1725,11020,560,4087,966419,F
528935430,4297,859,197662,1725,7947,2801,3472,966443,T
031397916,3566,71,188998,1725,35937,560,4067,966608,F
315093312,2812,48,281200,1725,6122,1680,7267,966660,T
546967553,3417,55,85425,1725,37570,560,4281,966671,F
959773131,3049,15,301851,1725,2071,560,7243,966654,T
766255586,3483,41,202014,1725,2962,560,5565,966397,F
735785700,4378,881,306460,1725,7797,1120,5397,966154,T
866006108,3639,71,349344,1725,2233,1120,4219,966173,F
759632558,3012,41,186744,1725,3241,1680,3740,966310,T
070118207,3634,34,145360,1725,15028,560,3800,966743,F
655336093,4227,46,114129,1725,68880,1680,5671,966175,T
940593401,3435,59,233580,1725,2252,560,5712,966211,F
352407218,4427,866,261193,1725,2076,1680,5149,966852,T
748478357,3550,37,142000,1725,5298,560,5553,966547,F
821950191,4141,82,364408,1725,21193,1680,3607,966537,T
412410933,3416,13,249368,1725,2649,1120,3984,966261,F
634835851,4411,900,141152,1725,8265,1120,6742,966774,T
893827044,3453,42,258975,1725,1773,560,3421,966179,F
183038059,4296,855,360864,1725,11322,1120,4116,966792,T
468281551,3534,70,254448,1725,10462,1120,3958,966786,F
637925232,4208,871,180944,1725,8984,1120,6739,966930,T
191055006,3526,15,271502,1725,4617,560,5424,966448,F
682756690,3479,151,93933,1725,2375,2241,3881,967016,T
026990644,3351,57,120636,1725,15028,560,3794,966173,F
557318729,2959,60,272228,1725,3898,1120,5448,966354,T
530708520,3342,40,287412,1725,2252,560,4219,966532,F
019279344,223,1,14718,1725,4132,560,6858,966943,T
029283146,3516,61,260184,1725,2920,560,5618,966196,F
