userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
559402743,4748,16,1187000,2341,11652,987,5901,1015289,T
049160285,3927,47,47124,2374,10549,1481,2977,1015448,T
896176688,4795,55,1059695,2456,71582,2469,4634,1015925,T
765769970,971,38,11652,2409,14957,1481,3256,1015107,T
638108834,2286,39,237744,2462,12074,1481,4643,1015331,T
629648177,4831,53,434790,2888,15184,493,4740,1015102,T
174824506,2189,34,385264,3914,25053,2469,5418,1015708,T
472094852,982,49,212112,2083,25053,987,3736,1015135,T
604668897,2234,34,221166,2426,38544,2469,5916,1015977,T
022438923,4830,55,342930,5087,12685,1481,5424,1016102,T
727564389,4846,41,838358,3961,71582,2469,6421,1015630,T
635863307,2338,14,191716,2127,15907,1975,2921,1015134,T
440241972,4707,31,517770,4040,22270,1481,3570,1015302,T
659464409,2180,16,200560,2947,12221,2469,4959,1015623,T
248712894,2347,31,467053,3055,19650,1481,6799,1015942,T
370438341,2216,35,26592,3296,37116,2469,6187,1015765,T
731377140,2206,25,397080,3243,35791,1975,6616,1015748,T
582923666,2317,16,294259,3541,20452,493,6306,1015454,T
446901853,3984,45,330672,3796,45552,1975,3263,1015468,T
618888215,3942,41,153738,3181,30368,2469,3115,1015488,T
051900923,1041,52,53091,3362,43571,2469,3877,1015142,T
727864412,4066,50,544844,2708,13728,987,3131,1015104,T
924814939,2198,11,509936,2492,35791,1975,6564,1015808,T
937636804,4876,47,58512,6224,10439,2469,3531,1015294,T
340698443,2253,34,337950,2693,20043,987,6458,1015699,T
515246587,4757,39,956157,2505,23305,1975,6133,1015227,T
248633318,2179,28,475022,13728,17278,2469,6863,1015535,T
329481657,1043,29,11473,9279,11012,1481,2949,1015705,T
643036856,4773,26,878232,2474,38544,493,4931,1015290,T
971801481,4796,43,460416,2956,13362,2469,5114,1015617,T
257861300,4861,25,418046,5330,23860,2469,4604,1015251,T
774785136,1012,19,11132,4338,52745,493,6350,1015174,T
824329217,4800,42,1156800,3553,15417,1975,5400,1015648,T
460707362,2291,1,297830,5598,10892,1481,6567,1015776,T
691479904,2314,18,30082,3397,27837,493,6857,1015969,T
236760005,2346,3,394128,5113,12221,1481,4892,1015564,T
197424620,1063,21,173269,2346,16985,493,5033,1016059,T
481945139,4891,51,278787,10122,35791,1975,6812,1016045,T
242177785,4705,49,795145,3181,10122,987,3544,1015635,T
309807601,995,51,141290,2596,10226,1975,3822,1015475,T
374331442,4173,40,726102,4090,27837,493,3490,1015422,T
915584023,2236,19,127452,7535,22270,493,5999,1015791,T
294220943,4850,44,218250,6073,34557,493,6585,1015763,T
290590245,927,41,40788,2008,11260,987,3678,1015897,T
230454631,4890,55,762840,11260,10122,1481,6427,1015189,T
857789039,4887,19,620649,3491,41756,2469,5089,1016051,T
576109936,3404,59,479964,2346,12221,493,2922,1015240,F
576232130,2343,20,335049,2569,167025,1975,3528,1015884,T
387278312,4798,33,614144,8214,11388,1975,6905,1016056,T
262557567,2262,5,420732,6725,200431,2469,3864,1015226,T
265776536,2265,19,301245,811,3239,1506,6895,305444,F
614165921,938,46,29078,7953,10439,1975,3907,1015471,T
528600916,2169,3,316674,2262,25696,1481,5265,1015758,T
184435809,1093,44,177066,2871,14114,987,3769,1016102,T
823925723,3933,26,586017,5598,34557,987,3390,1015297,T
661374886,2272,36,458944,2386,13542,1975,6436,1015605,T
410091245,2197,10,217503,2257,14114,1481,3488,1015538,T
519212413,4865,41,758940,3232,58950,1481,5355,1015353,T
322621604,2171,1,117234,2838,62634,2469,3458,1015303,T
243178014,4725,39,604800,3161,34557,987,6339,1016063,T
054062393,4868,34,194720,2062,25696,1975,3170,1015751,T
467462429,4811,32,890035,2155,32327,2469,4913,1016068,T
957109116,2252,15,418872,11260,13015,2469,5944,1015307,T
070603778,2176,12,367744,2012,15417,2469,5110,1015628,T
344599172,926,48,111120,2016,18558,987,2931,1015613,T
916256676,2181,6,239910,2679,10021,493,6803,1015975,T
932042409,1006,19,159954,2708,14523,987,4511,1015214,T
825765798,1047,48,197883,5726,24442,493,3363,1015907,T
844275958,2280,17,177840,7535,27837,1481,6203,1015430,T
149121833,4759,36,985113,2815,15907,1481,6628,1015884,T
610110707,2209,29,320305,2426,26372,1975,5306,1015628,T
