userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
169436458,3919,91,270411,6495,18522,361,2594,1016171,T
585729712,1983,44,144759,4505,18186,361,3550,1016165,T
770692397,1281,24,39711,2212,17861,361,3938,1015671,T
397259712,4069,46,663247,4220,58837,1808,4332,1015966,T
768951787,1373,56,52174,4238,20412,361,2923,1015748,T
354561751,2004,37,180360,3677,30310,1085,2484,1015488,T
203806811,3891,117,214005,5849,11366,1808,4102,1016012,T
612789810,4064,37,467360,2105,19612,361,3867,1015458,T
647561240,3965,91,43615,2710,21744,361,3743,1015566,F
776101208,1933,25,158506,2849,12198,1446,3065,1015413,T
625553525,4215,114,488940,7938,24396,361,4886,1015662,T
491132097,1913,38,319471,4525,24396,723,2857,1015629,T
168365159,4027,113,402700,2525,30310,1446,2764,1016078,F
288971280,1863,37,119232,8001,15876,1085,2944,1015425,T
308378549,4082,9,318396,2732,71445,723,3555,1015710,T
556215169,4154,145,984498,10528,29418,361,3717,1016159,T
786759138,4028,109,149036,2950,10640,723,5132,1016237,F
499458244,4154,122,54002,2696,21744,361,3233,1015312,T
785085309,1844,40,64540,5129,32265,361,2610,1016044,T
558253392,4063,42,593198,6136,21744,723,4310,1015439,T
951495248,1959,32,101868,7814,21744,1085,3332,1015380,T
896873820,3934,103,393400,2179,17548,1085,2176,1015842,F
291836978,4098,26,967128,4976,90930,1446,3494,1015830,T
491444200,4098,111,651582,3704,12502,361,3618,1016211,T
648855630,4121,35,787111,2304,12661,1446,4420,1016157,T
575748417,3989,16,526548,14289,21281,1085,5053,1015837,T
510264607,4195,121,721540,4785,10872,723,3084,1016205,T
989948570,1962,26,441450,2268,11907,361,3489,1015537,T
448169349,3901,86,183347,3247,11767,723,3287,1015527,T
374533107,4145,23,140930,2105,15388,1446,3678,1015401,T
837894596,4094,35,614100,2137,125029,1808,4183,1015373,T
976025783,3980,96,533320,3690,28578,723,3002,1015541,T
218418846,4198,141,293860,13161,14087,361,4670,1015816,T
273003239,4128,32,957696,3077,11366,1085,4209,1015621,T
605310383,4018,34,184828,3003,34490,361,3525,1015488,T
846330691,4016,100,457824,2817,12198,723,4931,1015414,F
729482433,1918,16,272356,2155,76941,1808,3011,1016219,T
478480444,4041,19,319239,3068,111137,361,4762,1016024,T
253877417,3966,36,79320,2304,14289,1085,2696,1015712,T
255449081,3932,112,566208,2028,11496,1808,2917,1015939,F
742700821,1819,40,400180,5236,22227,1446,3065,1015609,T
405936530,1819,16,161891,10206,22732,1446,2581,1015475,T
603927605,3992,46,734528,3677,45465,361,5138,1015367,T
991828816,4267,131,793662,2315,12198,361,5197,1016224,F
847249606,4093,33,851344,8549,13701,723,4118,1016130,T
510801774,3900,100,565500,12502,13516,1085,2581,1016065,T
600699661,3900,95,144300,5236,30310,1808,4012,1015671,T
376111212,3948,124,347424,2049,10311,723,4236,1015811,F
414789035,1867,23,240843,13336,83353,361,2304,1015290,T
814521637,1906,43,106736,4695,15388,1085,2470,1016228,T
692681776,1870,29,78540,9903,16953,361,3335,1015469,T
786335118,4099,123,770612,5077,10755,361,4471,1015718,T
203218728,4100,39,709300,8774,16397,1085,4785,1015520,T
786650559,4029,45,439161,12502,50011,1446,2250,1015907,T
525810333,4221,126,54873,9903,12823,361,2470,1015437,T
787027478,4066,13,142310,2212,33341,1808,2754,1016202,T
508561661,1971,21,372519,13892,11496,723,3666,1015629,T
821290968,4083,16,551205,2169,31257,1085,3390,1015656,T
162089715,1902,51,28530,2179,62514,1808,2522,1015754,T
791269323,4104,22,422712,4292,14087,1085,2313,1015904,T
084756686,1904,19,150416,2481,47630,1085,2390,1016140,T
285863346,4011,22,288792,3356,40009,1446,2408,1016055,T
171940225,3882,97,182454,7753,16397,361,4625,1016089,T
799661871,3935,119,527290,2062,45465,1808,3615,1015985,F
701239552,3912,96,602448,7248,35722,1446,2747,1015603,T
005724510,4061,28,572601,3058,13161,723,3903,1015894,T
208546297,1872,50,205920,9526,14496,1085,3926,1015916,T
957172335,3976,119,63616,2817,100023,723,3504,1015757,F
636048765,4141,117,1014545,4348,37045,361,3687,1015323,T
564958576,1224,60,212976,2632,20004,361,2403,1015269,T
879423309,4155,120,116340,3953,11238,361,4953,1015757,T
446009787,1211,27,151375,4927,41676,361,2500,1015954,T
829821493,1327,46,131373,7814,14928,361,4823,1015824,T
939172151,1355,48,92140,5781,25647,361,4648,1015363,T
536541897,1231,35,54164,4311,14709,361,3960,1015444,T
561974106,4129,42,82580,2538,19235,361,4407,1016160,T
556961231,1866,47,52248,2193,16670,723,3900,1016174,T
047285865,1880,44,261320,8405,16953,361,4114,1015322,T
109974015,3971,92,127072,6330,12502,1446,3442,1015580,T
594016915,4010,14,449120,2262,12990,1808,4803,1015985,T
823034676,3985,43,812940,2141,11496,1446,2555,1015839,T
920950398,4126,146,66016,2747,45465,361,3438,1016239,T
265800099,4022,26,904950,2310,20004,1808,5129,1015618,T
774062298,4126,139,602396,2416,13161,361,4781,1015336,F
052244441,3875,126,104625,5129,20838,1085,2772,1015409,T
766291144,4160,145,1002560,2494,12990,361,3512,1015500,F
268533920,1953,49,246078,7409,14709,723,4249,1015344,T
228225798,3980,95,179100,3425,30310,723,2418,1015863,T
298361515,4045,94,436860,2342,23261,1446,2882,1015274,F
373106060,4244,122,1018560,2252,17245,723,2289,1015766,F
592770313,4179,144,480585,2632,10991,361,3330,1015702,F
023947958,1824,53,279072,6099,37045,723,2648,1015593,T
683518182,1344,49,219072,2404,23261,361,3899,1015414,T
283796938,1232,40,210672,7195,17245,361,3040,1015646,T
517251478,1834,22,44016,2703,13516,361,2942,1015674,T
666707095,4000,42,376000,2703,31257,1808,3392,1016211,T
409082729,1828,36,385708,3521,17245,361,2358,1015932,T
862600771,3937,101,566928,10755,20412,723,4313,1015375,T
562258536,2006,31,302906,3226,16132,1808,3335,1015712,T
406911507,3963,113,467634,3334,55568,1808,3955,1015384,T
253898779,4132,34,132224,2849,71445,361,3279,1015700,T
786450453,4016,10,911632,3049,31257,1085,3441,1015454,T
711659469,4186,145,154882,2591,15155,361,2892,1016035,F
605155895,1819,50,229194,4976,31257,361,4754,1015241,T
480264302,3901,104,647566,3323,35722,1085,3252,1015680,T
872182431,3990,114,626430,2299,14496,723,4701,1015620,F
239751688,4016,45,915648,2141,52644,1085,3898,1015237,T
