userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
703381270,3986,36,123566,2809,3116,723,3599,1016109,T
312866471,4074,127,162960,2809,4808,723,2478,1016137,F
583599283,1955,41,56695,2809,2331,1446,2638,1015371,T
980387181,4118,150,325322,2809,2985,1808,4322,1015992,F
801867648,3978,72,385866,2809,40009,723,4935,1015559,T
588664064,4127,113,354922,2809,2053,1446,3447,1015294,F
318646915,3984,35,119520,2809,62514,1808,4357,1015679,T
645769924,4130,128,264320,2809,3216,1085,2393,1015891,F
378026844,3975,33,290175,2809,8476,723,3689,1015527,T
954589586,3869,134,352079,2809,6537,1446,4367,1015657,F
321271023,4001,34,296074,2809,3760,1085,4765,1015928,T
342763410,3850,154,311850,2809,2866,1808,3272,1015576,F
113021596,4266,137,157842,2809,3690,361,4070,1015317,T
486964780,4140,108,99360,2809,3175,1085,4027,1015343,F
313697702,4144,105,360528,2809,3624,361,4705,1015366,F
274511047,4008,29,128256,2809,2994,1085,4459,1015324,T
725614102,4012,13,216648,2809,2660,1808,5241,1015249,T
299426929,4074,129,232218,2809,3323,723,3884,1015442,F
121705314,2104,20,157800,2809,4855,723,3772,1016068,T
176393108,3981,90,175164,2809,4033,1446,3661,1015800,F
286859578,1882,16,99746,2809,12348,361,4596,1015958,T
556101168,3862,124,166066,2809,2165,361,3072,1016050,F
094500973,4241,53,118748,2809,2088,361,4669,1015475,T
253719191,4106,103,168346,2809,2475,723,4036,1015929,F
596746088,3900,116,132600,2809,2070,1085,2777,1015388,F
197475135,1245,32,104580,2809,30310,361,5156,1015310,T
361661226,4077,7,391392,2809,3497,1808,5204,1015609,T
684917591,4038,123,197862,2809,5103,1446,2661,1015768,F
509579627,1342,87,103334,2809,2012,361,3823,1015774,T
580841813,3930,108,263310,2809,2247,1446,3424,1016089,F
552471344,4195,32,117460,2809,3746,361,5144,1015822,T
645998512,3872,106,383328,2809,2817,1446,3394,1015533,F
190450692,1826,72,38346,2809,100023,723,4581,1015827,T
144202387,3866,115,177836,2809,2326,1808,3735,1015493,F
611949716,1913,44,118606,2809,5953,361,3006,1015233,T
757226570,4014,127,284994,2809,4546,723,3511,1015275,F
271071775,3989,70,135626,2809,12661,1446,4322,1015837,T
470067881,3909,136,254085,2809,4049,1446,3534,1016183,F
571616534,4004,35,144144,2809,3367,1808,2916,1015467,T
928505355,3910,103,289340,2809,2364,361,2358,1015627,F
188735986,3938,149,78760,2809,58837,1808,4397,1015970,F
037711586,4124,137,239192,2809,20838,361,4007,1015703,T
785936968,2041,64,197977,2809,7300,1085,2775,1015990,T
217378005,3918,128,195900,2809,2506,361,4777,1015754,F
095104206,1966,30,123858,2809,2763,1808,4056,1015271,T
003893249,3850,150,242550,2809,66682,1808,3036,1015353,F
138519909,4009,7,240540,2809,2525,361,4850,1016130,T
000020495,4115,97,395040,2809,3312,1808,2200,1015297,F
413886612,4211,117,290559,2809,11366,361,2628,1015816,T
936396075,4082,132,89804,2809,2451,1446,3010,1015831,F
899766318,4044,9,109188,2809,5495,361,5191,1016114,T
309925805,4105,154,86205,2809,2410,1446,2135,1015751,F
721908445,4016,44,80320,2809,2020,1808,4391,1015808,T
252092631,4022,132,277518,2809,13892,1808,4200,1016054,F
913293330,4023,22,136782,2809,2066,1446,3107,1015833,T
969800127,4080,109,155040,2809,2849,723,2859,1015616,F
281789154,4255,14,255300,2809,3788,723,3462,1015575,T
955908187,3900,123,331500,2809,4718,361,2415,1015513,F
521321824,4291,122,360444,2809,20838,361,4213,1015954,T
489284030,4008,92,224448,2809,2257,361,4329,1015802,F
945844588,1981,49,103012,2809,5883,361,2792,1015546,T
223418562,4053,153,344505,2809,45465,723,3585,1016015,F
034694322,3947,144,343389,2809,2119,1085,4052,1015451,F
304952730,1384,37,112104,2809,2375,361,4572,1015447,T
050046040,1981,49,79240,2809,2151,723,5059,1015507,T
036000971,4033,102,84693,2809,21281,361,3398,1016001,F
499051938,3955,100,98875,2809,2703,361,2700,1015439,F
963474886,1348,54,68748,2809,3334,361,4853,1015378,T
882821116,2016,26,163296,2809,5495,1808,3340,1015836,T
414846774,3915,122,160515,2809,5883,361,2917,1015351,F
860636688,2068,58,150964,2809,2273,1085,4069,1015867,T
900388587,4026,127,233508,2809,12823,1808,2148,1015479,F
828559008,4120,99,238960,2809,2283,361,3404,1015820,F
813236415,2068,20,90992,2809,13336,1446,2446,1016185,T
673104583,1853,31,155652,2809,5849,1446,4006,1015457,T
619027919,3986,145,286992,2809,2439,1446,3958,1015512,F
704163221,4093,13,163720,2809,9261,1085,4656,1015593,T
627299513,4034,98,197666,2809,2451,723,4138,1015371,F
544057382,4212,120,206388,2809,3425,361,2665,1015789,T
238501741,3930,127,208290,2809,2310,1446,2358,1015788,F
752720952,1875,31,39375,2809,3237,361,3821,1015335,T
282561497,4097,111,172074,2809,13161,1446,3577,1015698,F
235494495,2010,23,146730,2809,12198,1808,2928,1015536,T
830616289,3878,154,240436,2809,2208,1085,2977,1015716,F
924046224,4205,17,163995,2809,2494,1446,2678,1016046,T
884782933,3867,92,378966,2809,3788,1085,3243,1015438,F
253892848,4152,16,112104,2809,10640,723,2658,1016140,T
615917467,3898,154,335228,2809,2008,1446,3415,1015687,F
646024493,3873,116,294348,2809,7248,1446,3505,1015400,F
480414328,4210,25,168400,2809,2105,1085,4530,1015948,T
381924691,4130,30,301490,2809,83353,1085,5274,1015815,T
505233317,3902,116,136570,2809,3937,1808,2966,1016228,F
213212048,4261,53,174701,2809,4330,361,4504,1015773,T
966196758,4033,106,383135,2809,2347,1808,4315,1015540,F
216517275,4044,44,125364,2809,16132,723,4770,1015830,T
154857240,3850,117,103950,2809,2155,361,4804,1016156,F
940285255,2010,49,76380,2809,31257,361,3566,1015282,T
490082534,3885,102,260295,2809,7043,361,4021,1015248,F
998302600,3983,71,107541,2809,4348,1085,3953,1016138,T
211468456,3969,123,357210,2809,2342,361,4860,1015279,F
