userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
750794785,2866,35,389776,2608,7733,1363,7609,706764,T
538304151,2386,37,584570,1378,8016,1363,3691,706793,T
549121619,194,1,46560,2974,7223,1022,7026,707084,T
752261211,3172,18,279136,2381,9004,340,3959,706975,T
696999945,2940,16,585060,5869,7385,1704,6009,707076,T
300586175,4769,165,47690,1800,10112,340,5491,707342,F
787992438,3016,18,476528,2080,7145,1704,5411,707168,T
446628160,2987,19,621296,1841,11141,340,7684,706715,T
150175082,2259,30,131022,1429,11951,1022,3696,706527,T
628745186,3058,9,250756,1587,7643,681,7004,706404,T
665377232,172,1,24080,4979,17298,1022,5538,706445,T
104311057,4899,180,1053285,2054,19919,340,6849,706921,F
325187215,2236,29,163228,1583,7303,681,6033,707245,T
403683338,2869,37,192223,1939,9258,1704,6923,706947,T
965515046,2943,24,391419,2054,38667,681,5287,706540,T
681661198,3012,27,319272,2106,59758,340,5624,707062,T
723332294,4703,204,437379,1344,10776,1363,4136,706828,F
641984670,349,5,11866,7643,7223,1363,7276,707302,T
337959100,4886,204,889252,3553,26293,681,7274,707326,T
532543550,4781,186,1023134,2661,7555,1704,5681,706499,T
082957359,220,22,23100,6993,7385,1704,3742,706949,T
396968128,3010,24,328090,2347,7733,1022,6995,707367,T
798538174,2169,35,158337,1395,7643,340,3883,707062,T
068315485,309,1,11742,2461,14290,340,5337,706381,T
553443380,4774,169,1121890,6707,23476,1022,5881,707248,T
560595007,4746,165,1167516,1927,7825,1363,5718,706732,F
565645512,2285,38,210220,1767,8883,1022,5257,706461,T
251339949,4794,190,930036,5388,9004,1704,5843,707030,T
939461253,4885,201,190515,3672,11532,1022,7408,706862,T
247323626,2897,31,98498,1349,11951,1704,7057,706797,T
972197396,4893,175,1130283,1681,7825,340,7665,706825,F
438201016,4826,181,1167892,3423,93906,340,5380,706959,T
665956250,2887,10,375310,3145,73038,681,5407,706924,T
540495679,2313,46,573624,1752,6639,1363,3504,706670,T
899269420,2865,19,638895,1565,38667,1363,6851,706504,T
590727854,2939,1,479057,2347,17766,340,5696,706794,T
215907744,366,3,20862,3029,23476,681,5344,706456,T
463567166,201,1,7236,1694,9129,1022,7063,706423,T
105922048,4894,199,905390,2274,25282,681,6851,707035,T
373450800,229,1,44655,4032,32867,1704,5709,707105,T
282727150,4757,182,1170222,2425,23476,1022,5599,706822,T
798746656,2871,10,370359,2461,131468,681,5869,706988,T
313985431,2933,3,454615,1910,13415,340,6824,706771,T
711245406,4849,164,906763,1815,13986,681,6848,707303,F
669883210,3244,48,97320,4905,13415,340,4202,706850,T
411563612,3029,26,593684,5666,73038,1704,7323,706456,T
817352775,4832,177,705472,1771,29879,340,5945,707297,F
303963985,4762,183,538106,1572,7555,681,3412,706488,F
686976160,3139,1,445738,1720,8536,681,3924,706560,F
040442683,2977,25,65494,1685,8536,1363,5799,706619,T
300618183,239,2,24378,2961,6847,1363,7218,706819,T
134495042,4828,176,922148,1922,13986,1363,5708,707065,F
232616042,2895,4,350295,3130,7555,1363,5818,706905,T
620300537,2959,19,97647,1363,73038,1704,5628,706858,T
177872259,2866,24,131836,2499,59758,1704,4094,706694,T
369443692,3054,33,109944,2416,29879,681,5453,706740,T
875751289,2873,11,600457,2672,8427,1363,3961,707320,T
