userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
323321761,3202,1,163302,2073,18781,340,4089,707202,F
944583776,305,1,19520,2073,2080,340,5995,706713,T
200323627,3262,10,247912,2073,1752,681,5345,706652,F
445914151,3065,59,205355,2073,3496,1704,4392,706365,T
383126445,4795,233,474705,2073,1327,340,4104,706764,F
268503300,3118,10,289974,2073,4032,1022,5993,706934,T
635161357,298,22,5960,2073,1441,1704,6957,706736,T
863470240,4995,188,339660,2073,1375,1363,5927,706608,F
984674761,4774,224,248248,2073,1956,1363,3953,707348,F
610257063,364,36,29484,2073,6919,1022,7198,706817,T
661711936,2407,71,55361,2073,1668,681,4354,706484,T
901626402,4963,199,253113,2073,1922,340,3682,707024,F
234861750,2263,55,115413,2073,1927,1022,4243,707207,T
920634852,4731,223,378480,2073,3692,681,7568,706841,F
006741946,4786,167,382880,2073,8216,1022,5095,706419,F
632450017,3021,63,211470,2073,2947,1704,5221,706549,T
637840241,190,37,7600,2073,2672,681,5392,706726,T
491219237,4967,173,447030,2073,1352,681,6109,707284,F
337155305,3004,64,231308,2073,1432,1022,5986,707288,T
482168709,3194,17,236356,2073,2274,681,4210,706830,F
876111050,209,1,20691,2073,12889,1704,4343,707078,T
291830185,4981,201,303841,2073,2266,681,7198,706535,F
201364387,378,1,22680,2073,1820,681,7786,706667,T
117539874,4815,230,471870,2073,1607,681,6844,706861,F
300300519,4864,173,340480,2073,6444,340,3533,706446,F
224145624,2951,29,156403,2073,1668,1363,7038,707238,T
488901588,212,4,13144,2073,1389,681,7229,706778,T
812061865,3272,66,143968,2073,1862,340,5622,706680,F
209960938,2270,43,181600,2073,4353,1022,5627,707177,T
095366034,3279,26,301668,2073,1550,681,3974,707312,F
172068232,350,7,30450,2073,3821,1704,7388,706409,T
291895466,3332,59,309876,2073,1378,340,4063,706933,F
481859433,3133,26,260039,2073,5817,681,5262,706910,F
928411265,3110,18,270570,2073,1922,681,7624,707218,T
999083404,2864,21,214800,2073,43822,1363,3374,706498,T
440944184,4781,210,377699,2073,1698,1704,3803,707330,F
698011328,4967,201,471865,2073,2672,1022,3495,706912,F
448805032,467,23,10274,2073,1872,1704,5461,707141,T
414512321,4922,233,305164,2073,1707,1704,3938,706948,F
571575700,3132,7,275616,2073,2290,1704,5665,707154,T
150419611,4951,192,252501,2073,1716,340,7505,706454,F
033468360,461,12,41951,2073,2113,681,7788,706400,T
652040148,327,42,15042,2073,1950,1022,5443,706511,T
732434839,3358,1,181332,2073,3889,681,4043,706489,F
974643631,199,1,18308,2073,2921,1363,7746,707299,T
231634785,4974,203,174090,2073,1369,340,5839,706630,F
016577777,352,36,14432,2073,9004,681,5685,706593,T
917724581,4731,227,340632,2073,1464,1022,7302,706423,F
338366582,445,1,32485,2073,3222,340,7677,706534,T
900475643,4744,216,341568,2073,1535,340,7697,707271,F
097883501,338,1,32110,2073,4942,1704,5327,706871,T
116252620,5000,194,350000,2073,3130,681,3838,706844,F
334209041,469,1,37989,2073,1438,1363,5728,706771,T
062739352,4725,208,278775,2073,2322,1363,5262,706921,F
684772828,2895,60,260550,2073,7223,1363,7781,706957,T
970864276,4968,191,203688,2073,2067,1022,3477,706652,F
407743489,2420,48,58080,2073,4695,1363,3988,706906,T
676707042,4849,195,203658,2073,2127,1022,3989,706712,F
726383135,264,9,8184,2073,5344,340,6889,706667,T
025757992,4833,178,357642,2073,3353,681,4041,707330,F
543038982,2360,9,99120,2073,8016,1704,3935,706464,T
586718684,3204,4,224280,2073,8883,1022,3654,706415,F
750897236,4825,212,207475,2073,11951,681,6817,706431,F
873701008,2351,79,166921,2073,9390,1363,6078,707347,T
369629404,4738,200,454848,2073,11738,1363,4019,707165,F
152065364,2397,46,103071,2073,1878,1363,6000,706443,T
393064569,352,1,24640,2073,2106,681,7648,706567,T
747348462,4795,217,148645,2073,4695,681,7673,707300,F
217317276,2924,3,166668,2073,1457,1704,6087,706797,T
461079853,3356,9,187936,2073,2750,340,3839,706674,F
337140781,299,39,14950,2073,1344,1022,5865,707092,T
522810056,3257,5,120509,2073,13415,681,3852,706805,F
745622577,4798,197,407830,2073,3756,1363,4306,706515,F
837729909,2959,56,192335,2073,3238,340,7603,706672,T
971293614,2980,1,265220,2073,24346,681,5144,707066,T
707379847,4792,210,469616,2073,2672,1363,5178,706861,F
858575950,287,33,18655,2073,3015,1704,4130,706927,T
648666842,4830,224,120750,2073,1447,681,5902,706881,F
821351197,416,40,12896,2073,4353,1704,4191,706519,T
888708586,4922,167,428214,2073,2608,1363,4307,706538,F
709822521,2948,61,182776,2073,1998,681,7121,706924,T
899273251,3342,45,223914,2073,3043,340,6853,706444,F
036067365,4891,182,117384,2073,15287,1022,5610,706706,F
811357903,2946,41,144354,2073,6919,1022,5275,706624,T
461633420,209,5,17347,2073,1716,1704,4342,706359,T
056052976,4861,186,184718,2073,1341,1363,5556,707192,F
924848078,270,30,19440,2073,2347,340,7714,706524,T
782140296,3082,55,237314,2073,9390,340,4330,706363,F
203715083,4926,215,266004,2073,2489,1363,5589,706880,F
327411693,2932,14,87960,2073,93906,1704,5899,707319,T
482514956,2355,22,54165,2073,4108,1363,5775,707289,T
400119356,4959,233,376884,2073,1451,340,4279,706644,F
503737115,4971,217,193869,2073,5666,340,3620,706617,F
393182862,2994,21,191616,2073,8883,1704,4145,706871,T
355268249,340,28,22780,2073,5095,681,7618,707133,T
292534922,3189,7,162639,2073,10776,681,4335,706635,F
409497063,2946,68,147300,2073,65734,1022,4176,706965,T
809722275,4832,169,198112,2073,2004,340,5546,706840,F
081695160,4769,193,314754,2073,2183,1022,7039,706669,F
978285627,3450,82,120750,2073,28580,681,4198,707115,T
