userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
204924643,4865,51,836780,6725,98860,1783,3365,1068578,T
725342264,3683,252,449326,5781,16476,1069,5736,1067806,T
026961332,4952,52,1138960,9985,22990,1783,5196,1067900,T
549776913,1260,51,117180,3252,11107,713,3486,1067838,T
752155048,223,1,20516,5849,123576,1426,3719,1067942,T
168411021,175,1,34650,2063,14755,1783,6625,1068492,T
843458431,2703,30,48654,2393,35307,1069,3113,1067994,F
703023875,234,6,44226,2153,16476,713,4230,1068508,T
023666138,3909,36,977250,4242,11363,713,3596,1068522,T
887247717,3874,43,77480,4393,11630,356,6700,1067838,T
565891066,1236,53,29664,7723,70614,1069,3374,1068025,T
203331344,71,1,1278,2502,14538,1426,5803,1067921,T
148663404,3839,28,380061,2561,22468,1069,3072,1067865,T
147870030,238,1,53550,2899,15692,1426,6434,1068617,T
040623309,4261,601,392012,2001,29076,1426,4237,1067716,F
211414933,255,12,42840,2594,21969,1069,3818,1068307,T
923769218,4310,601,943890,2399,29957,356,3283,1067694,F
257835687,153,5,38097,3408,29957,713,5041,1068615,T
687907885,114,2,26904,7784,109845,1426,6617,1067837,T
850591981,3865,53,796190,5175,15692,1069,3306,1068570,T
006049230,3571,276,367813,4943,13359,356,2986,1068159,T
789741609,1150,75,126500,11363,10745,1426,5675,1067982,T
006651779,4277,620,889616,3634,42982,1069,5895,1067929,T
925576281,1162,66,92960,3089,15692,356,6314,1067824,T
307306280,2695,26,468930,4894,76046,1069,5850,1067939,T
848639207,249,1,47310,3252,98860,1426,4821,1067718,T
942348944,3880,17,647960,2116,13730,1783,5804,1068402,T
032853877,2644,40,370160,4068,47076,1069,5918,1068612,T
743721361,3692,254,542724,3079,16756,1426,4844,1068394,T
558135363,83,1,11039,3032,18652,1426,6436,1068487,T
148607493,197,1,2364,5431,15945,1426,3505,1068505,T
343443509,3892,34,62272,4413,82384,356,6328,1067959,T
688148486,2713,27,447645,3432,10406,713,3800,1068605,F
835098620,3768,46,923160,2832,65907,1069,5243,1067902,T
632740254,4401,620,756972,2405,39544,1069,3622,1067686,F
510825493,260,1,11960,5919,14122,1783,6674,1068206,T
846265068,1173,52,29325,4473,19384,1069,4708,1068361,T
843690772,3865,16,204845,3608,65907,1069,3407,1067790,T
123607628,199,1,29452,3817,23538,713,3634,1068401,T
107368393,4357,614,888828,7163,109845,1783,2932,1068466,T
624037403,3803,46,764403,11495,42982,356,4833,1068401,T
512802480,3756,17,281700,3444,58153,1069,5859,1068645,T
689011087,4237,617,525388,1989,20596,713,4432,1067746,F
085160325,60,12,8820,2601,17344,356,3605,1068235,T
527459174,4799,58,1199750,5315,49430,1426,6593,1068572,T
734400991,3836,41,851592,2025,14327,1426,2807,1067880,T
060936047,4933,50,54263,11107,58153,1426,6249,1068637,T
154649799,2649,33,251655,2730,39544,1069,4261,1067673,F
620484137,1274,53,248430,2149,89873,1426,4700,1068322,T
673503829,4314,609,983592,2496,70614,1426,3523,1067701,F
385863126,4058,44,182610,2933,98860,1426,5144,1068377,T
649664223,2545,40,190875,5402,14538,1069,5785,1068560,T
625813720,4385,628,1069940,2337,11769,1783,6564,1068371,F
159031597,4927,45,1231750,7723,10745,1069,6325,1068541,T
786222625,4430,622,53160,2262,14122,1426,3774,1068405,F
361224352,2675,6,74900,4799,44936,356,3613,1068295,T
944672268,164,18,18368,4242,14755,713,3412,1067851,T
595627083,4397,638,866209,2051,89873,1783,3747,1067739,F
106537898,4268,604,239008,2262,10630,713,6103,1067941,F
211896764,2669,3,154802,4317,10745,356,5793,1068092,T
199553354,3864,25,278208,2890,26016,356,6513,1067950,T
651107878,4822,55,1142814,2309,27461,1783,4559,1068553,T
136621399,3912,54,422496,1981,11107,356,4979,1068153,T
699191884,93,3,2697,5553,58153,1426,3813,1068137,T
720287675,4292,631,669552,2423,70614,1069,5826,1068157,F
423158266,3867,47,448572,6547,58153,1069,4714,1068475,T
922348992,3877,51,484625,3938,14755,1426,6009,1067854,T
319497100,171,1,30267,8378,12839,1069,4957,1068090,T
276095334,4382,637,617862,3802,17344,1426,5087,1067693,T
745886688,3899,45,647234,5402,76046,356,3018,1068108,T
022318477,3903,35,148314,2376,15945,1069,4364,1068500,T
548501956,3876,55,531012,4822,82384,356,4951,1068508,T
461774068,4305,613,495075,3702,164768,1783,4628,1068632,T
637074946,3773,28,784784,2116,44936,356,2958,1068354,T
574663003,3894,46,159654,7723,32953,1426,4593,1068357,T
854726415,3937,48,838581,4002,58153,1069,6675,1068392,T
618130221,4251,620,76518,3397,29957,1069,4456,1067940,T
538510618,2561,8,145977,2130,41192,713,6158,1068514,F
699957705,1236,54,132252,5018,14327,1783,2958,1067731,T
800502554,3860,16,308800,3444,12674,713,2940,1067907,T
103729876,3843,20,119133,2251,11107,713,6102,1067958,T
046203500,4266,614,900126,3954,11495,1783,5024,1068323,T
865773570,3888,39,443232,2272,14327,713,4306,1067744,T
508990973,3910,27,226780,3070,12357,1069,4241,1068133,T
586630114,2543,12,409423,10863,18307,1426,3492,1067717,T
247114205,1193,46,19088,4298,11107,1426,3000,1068637,T
490798753,124,16,21328,5230,17044,1069,6546,1068150,T
865938147,2703,7,286518,9505,16756,1069,3127,1068267,T
608044553,4877,52,707165,10863,11769,1783,4919,1068237,T
884122846,4329,602,558441,6028,14978,356,3298,1068591,T
894486890,3769,16,780183,4119,15945,1783,5712,1068138,T
698517862,167,3,14529,3374,11234,1069,2838,1068453,T
065999882,3555,252,479925,5617,13181,713,4928,1067996,T
345271205,3652,263,547800,5431,19384,356,3073,1068019,T
551666344,3967,33,412568,929,16502,1852,3688,430147,T
208501687,4833,76,787779,4799,15209,1783,4703,1068232,T
178109338,2726,38,98136,3032,21491,1069,3122,1067798,F
513780362,4272,634,551088,2465,14978,1426,4403,1068591,F
311657612,3924,24,690624,4663,17344,356,5838,1068331,T
325738119,1253,60,73927,2072,16206,1069,4523,1068092,T
659762796,227,16,44719,2399,11107,356,3698,1068513,T
226568144,4025,31,213325,3079,15447,1426,5121,1068182,T
273102815,3947,34,244714,3328,49430,1426,4563,1068359,T
916645674,1220,60,26840,2792,11769,1069,5842,1068499,T
251972038,100,14,9400,4035,141229,1069,4662,1068465,T
494213122,233,1,28426,3108,11630,356,3438,1068009,T
800861085,116,8,19720,3420,24715,713,5269,1068557,T
217819272,4336,619,988608,2995,76046,1426,6473,1068115,T
879891351,215,1,23220,2399,19011,356,6397,1068126,T
121267670,1270,59,57150,4279,10298,1426,4360,1067652,T
105494976,130,1,3120,3317,12205,713,4551,1068034,T
625277147,3866,39,889180,4068,35307,1426,6210,1068142,T
213818251,1178,70,212040,2051,13008,713,4687,1067979,T
615580329,3845,44,430640,9598,10630,1069,4777,1068078,T
818064790,2734,7,527662,4433,25348,713,6394,1067718,T
276253928,166,1,41500,5492,17044,1783,6128,1068111,T
239646317,2665,19,181220,5461,11107,356,3212,1067993,T
606279378,1233,59,162756,5884,13008,713,5185,1067760,T
527181815,3647,266,393876,2857,13730,1069,2816,1068058,T
972986092,3948,30,548772,2187,41192,1069,6187,1068190,T
416145585,3750,43,900000,6962,11234,713,4393,1068242,T
901043706,159,10,24645,3846,39544,1426,3065,1067816,T
182697771,2586,23,328422,2423,47076,356,6317,1067647,F
657553056,4420,603,450840,2554,13008,1069,6023,1067691,F
989222784,237,1,6636,5461,23538,1783,5982,1068598,T
037730310,3805,36,703925,3621,47076,1426,4242,1068585,T
835544362,3948,43,521136,2063,29076,1426,2856,1068215,T
979466037,4338,608,229914,2163,19384,356,5239,1068511,F
352772440,4316,632,876148,4967,11495,1783,3481,1068379,T
694900989,4414,604,1024048,4967,141229,1069,4576,1068481,T
585304219,3875,15,569625,9326,19011,1426,3694,1067698,T
699975203,2676,18,433512,4002,11910,713,6202,1068514,T
372535528,4391,636,1040667,2840,47076,1426,6002,1068332,T
630553533,94,1,21902,2241,39544,713,3462,1067744,T
592637548,2564,14,43588,2447,15447,713,6354,1068058,F
990330425,3795,55,474375,3861,21491,356,2873,1067686,T
086717506,3848,23,273208,2337,22468,356,6317,1068327,T
716173437,3802,33,908678,6504,15692,713,4530,1068433,T
325874182,3877,21,790908,2163,12839,713,6226,1068514,T
463078257,1113,71,268233,2423,15945,713,6444,1068256,T
639063651,3767,24,271224,3408,39544,1069,3411,1067952,T
528272763,3567,242,128412,10087,10984,713,4304,1068420,T
674120675,3680,244,482080,3118,11363,356,4262,1068468,T
798157228,113,7,17967,5492,14327,713,3592,1067777,T
431301378,92,12,16836,9788,10087,1069,3699,1068393,T
211017420,3835,17,824525,2144,15945,1069,2935,1068538,T
750697719,4433,599,886600,2824,10406,1069,6466,1067753,T
988093689,2576,28,170016,5043,21491,713,6663,1067666,T
036824952,4281,616,1044564,4493,98860,1069,4801,1068253,T
831787047,4837,50,677180,2587,58153,1426,6247,1068347,T
118082951,4258,629,519476,2528,13924,1069,4300,1068477,F
223136142,3768,31,806352,5681,12514,1426,5164,1068638,T
530816748,3942,42,165564,2126,14755,1069,5014,1067741,T
636397274,4348,622,230444,5203,41192,1069,6038,1068297,T
807423719,1211,55,243411,601,3803,827,2634,248602,T
165777658,4368,637,711984,12205,17653,713,5190,1068009,T
743305867,4242,605,1018080,3060,10984,356,5963,1068005,T
659869835,4358,632,710354,8826,123576,356,4634,1068119,T
669993937,159,1,21942,2337,14755,1426,6475,1068241,T
642768172,245,8,7840,2130,12514,713,4306,1067883,T
