userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
721273540,1263,54,54309,2995,5815,713,3216,1068188,T
693319820,2662,73,55902,2995,11234,356,4292,1067816,F
164346117,253,19,11132,2995,4119,1426,5863,1068641,T
148252765,2828,22,141400,2995,7163,1069,4659,1068099,F
367069163,2766,4,235110,2995,2824,713,2866,1068359,F
049362160,4520,669,257640,2995,4224,1783,4320,1067968,T
992464036,4503,666,310707,2995,2447,1069,5239,1068471,T
213735591,2597,54,241521,2995,17044,356,6363,1068033,F
516630100,4246,615,114642,2995,4102,1783,2865,1068517,T
697586770,2609,52,62616,2995,2441,713,6466,1068047,F
559493366,3671,286,146840,2995,5175,713,4234,1068363,T
081470961,2599,55,88366,2995,4493,1069,4364,1068588,F
924707880,4520,617,361600,2995,2163,1783,6500,1067718,T
411818605,2624,53,131200,2995,8596,356,2866,1067967,F
140013080,1355,63,94850,2995,2832,356,6678,1068136,T
983124982,2557,5,53697,2995,7604,356,4996,1068567,F
280210168,4017,39,180765,2995,3397,1426,3094,1067718,T
197911512,2604,66,213528,2995,2643,713,3212,1067983,F
306908705,1409,73,135264,2995,4799,1783,6122,1068069,T
531188972,2735,37,120340,2995,34089,1426,6610,1068140,F
660040050,192,26,15168,2995,2038,1069,3840,1068306,T
869924798,2614,40,250944,2995,4018,713,6678,1068181,F
276882180,89,25,3026,2995,2399,1069,4271,1068562,T
415572901,2737,25,71162,2995,4619,713,3397,1068207,F
452187780,4440,618,399600,2995,10517,1783,6533,1067816,T
745477699,2628,25,115632,2995,3730,1069,3781,1068376,F
265616996,3852,255,127116,2995,2594,713,5686,1067670,T
317857630,2589,45,253722,2995,164768,713,4674,1068501,F
305843630,1324,75,101948,2995,2679,713,5851,1068099,T
723030645,2775,36,274725,2995,2824,356,6459,1067746,F
055655181,3931,80,86482,2995,5815,713,3406,1068126,T
709191002,2677,16,265023,2995,2429,713,6350,1068568,F
207872287,308,1,24948,2995,3138,1426,3275,1068157,T
587134317,2578,25,211396,2995,29076,356,5875,1067858,F
527402481,1352,48,113568,2995,5681,713,5702,1068317,T
393872593,2667,45,130683,2995,8307,713,3709,1068129,F
157806775,3809,29,255203,2995,5203,713,6654,1067929,T
893836271,2820,30,222780,2995,3041,713,6604,1067654,F
702949050,1206,61,109746,2995,2017,356,3364,1068185,T
479817158,2589,15,160518,2995,2581,713,6637,1068475,F
271406624,222,27,18426,2995,4822,356,2900,1068574,T
895016457,2677,11,243607,2995,2021,1069,4434,1067739,F
999221543,301,29,21070,2995,2453,1783,5234,1068505,T
383345449,2690,67,59180,2995,2042,356,5090,1067851,F
079703358,4291,610,188804,2995,4730,1069,2930,1067989,T
975197141,2619,16,107379,2995,4894,356,4476,1068370,F
841279533,136,1,4896,2995,2496,1069,4981,1067694,T
001711847,2595,26,192030,2995,4242,356,5915,1067645,F
631215289,1315,68,26300,2995,2365,1069,3627,1067813,T
092427174,2622,59,241224,2995,3189,1069,3031,1068134,F
507066448,3805,81,220690,2995,3397,356,6082,1068054,T
901389904,2710,43,203250,2995,3730,1069,4314,1068151,F
322380182,1350,50,27000,2995,2792,1426,4547,1067696,T
925464675,2655,65,159300,2995,2968,713,5913,1068038,F
887812119,157,1,5338,2995,123576,1069,4413,1068543,T
511141235,2612,10,182840,2995,4473,356,4980,1068205,F
357424917,4529,611,344204,2995,2715,713,6033,1068368,T
032792669,2625,65,165375,2995,20175,356,5666,1068330,F
073331481,2804,4,72904,2995,11234,1069,3290,1068500,F
714694414,3949,49,256685,2995,2429,713,3763,1068225,T
242400246,4038,53,302850,2995,3032,356,3339,1068467,T
652410920,2673,15,125631,2995,2135,356,3423,1068325,F
286879637,1200,91,58800,2995,4279,713,6547,1068035,T
065769810,2699,62,210522,2995,2059,713,5206,1068521,F
808243630,271,1,15989,2995,3608,1069,5947,1068025,T
593693841,2646,73,195804,2995,141229,356,4249,1067921,F
012290690,2612,40,117540,2995,6178,1069,3355,1068536,F
153538948,3747,271,269784,2995,4473,713,6545,1068374,T
539477422,4471,655,147543,2995,31890,1426,3264,1067942,T
476216931,2613,32,209040,2995,2429,356,4570,1068473,F
422343469,177,47,4425,2995,2483,1426,3129,1068616,T
481730801,2691,26,156078,2995,76046,1069,6450,1067930,F
013631178,3848,245,84656,2995,2144,713,4869,1068471,T
089893071,2538,54,129438,2995,7269,713,3030,1068571,F
915214534,107,8,7062,2995,3892,1783,4701,1068505,T
277417584,2794,8,61468,2995,4473,713,5262,1068037,F
098372288,3814,57,369958,2995,2664,1069,3687,1067934,T
690740726,2586,6,59478,2995,2857,713,3762,1068578,F
918509342,5096,72,305760,2995,2657,1783,6619,1068092,T
522083061,2600,4,132600,2995,2304,1069,3158,1068400,F
786272320,276,16,14628,2995,2671,356,4849,1068334,T
447485310,2629,68,70983,2995,5372,713,5661,1068103,F
587183287,1282,42,117944,2995,4068,356,4794,1068560,T
903161349,2769,30,66456,2995,4189,713,4900,1068069,F
994961568,3634,287,323426,2995,4119,1069,4477,1067888,T
754766906,2543,22,83919,2995,2581,713,5779,1068256,F
086084653,3762,20,357390,2995,3032,356,5265,1068270,T
813817300,2634,7,129066,2995,2490,713,6203,1068639,F
075882845,2629,5,194546,2995,5617,713,4978,1068310,F
682947092,4238,635,377182,2995,2085,1069,6621,1067679,T
539848223,3695,266,321465,2995,3468,1069,6065,1068370,T
721145737,2710,38,67750,2995,3954,356,3439,1068204,F
306199843,4275,606,329175,2995,31890,1783,4718,1068419,T
