userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
586479128,4056,12,279864,3896,16450,474,5823,1068350,T
904448198,4814,262,336980,4750,20188,1896,2914,1068433,F
400522707,1362,7,228816,5383,8883,474,6555,1068222,T
243923291,4905,226,564075,2100,11844,948,3510,1068709,F
694508106,1492,6,358080,2248,32900,1422,3076,1068263,T
986512620,1374,1,75570,12337,15056,474,5850,1068976,T
022498774,3986,27,538110,4093,25380,1422,4519,1069003,T
399144813,4060,27,730800,4131,19310,948,4255,1068236,T
333253289,4088,35,895272,2171,46752,474,4244,1069215,T
241331981,1405,1,36530,11688,11536,474,3330,1068944,T
898781828,4874,261,969926,3983,8883,474,3412,1068994,T
262995327,3912,32,199512,2574,11388,2370,4628,1068628,T
184360828,4968,252,546480,2356,9870,948,5723,1068427,T
215256291,3780,48,725760,3625,88830,948,4241,1069127,T
153365921,3979,15,779884,2085,10702,2370,3519,1068528,T
163985146,3991,34,750308,1978,18900,1896,2908,1068957,T
825304131,4865,257,277305,5018,17417,948,5680,1069213,T
303577225,4023,10,84483,1858,25380,948,5806,1068624,T
676531070,3923,21,341301,4150,14805,1422,5230,1068939,T
011195779,4963,254,94297,1780,11688,1422,3685,1068738,F
848705610,3973,6,643626,4397,22777,1896,6444,1068384,T
143614080,4960,265,342240,3364,11388,474,6357,1069215,T
626994205,3903,24,909399,2612,38621,948,4221,1068621,T
584674974,4004,8,424424,2215,13459,948,4779,1068564,T
506204177,1419,23,25542,1978,9450,1422,3343,1069153,T
721792391,4910,250,731590,2635,22777,474,6655,1068535,T
726224258,4970,259,695800,2750,9655,474,4899,1068353,T
199094987,3842,35,272782,1885,148050,1422,3119,1068534,T
677275126,4045,9,477310,8541,40377,2370,5147,1069038,T
650488262,3988,13,665996,2046,19740,948,4884,1068506,T
476155489,3922,19,152958,3812,11844,1422,6674,1069158,T
831837146,4087,9,216611,1866,31725,1896,6669,1069114,T
104143898,1383,16,15213,12690,44415,1422,3604,1068736,T
362534095,3970,12,547860,2552,13258,1422,3022,1068599,T
703288945,4917,236,167178,4170,31725,948,4624,1068770,T
962048499,3966,35,71388,2156,15584,948,4319,1068309,T
157572975,4872,230,906192,9157,13879,474,6583,1068887,T
079977825,1350,1,28350,2166,88830,948,4271,1068230,T
439267184,3943,39,303611,5383,19310,948,4469,1068775,T
