userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
298142023,1673,16,371406,1122,25122,446,7883,458882,T
202403869,3929,86,302533,1650,7413,1787,3716,458220,T
320844410,3876,99,655044,1051,5080,1340,6019,457980,T
166398686,1805,18,234650,2740,4614,446,4436,458932,T
296402729,3810,101,228600,1270,8374,446,7271,457975,T
858991920,1760,15,151360,4862,12920,1340,5807,458731,T
898969473,4235,126,931700,2484,4661,446,3875,458349,T
519665997,3917,95,82257,5138,4915,1340,6216,458341,T
202155935,3900,74,748800,920,21533,446,5565,458324,T
060581804,3954,85,589146,1362,12221,446,7538,458472,T
654460326,1776,12,412032,987,32300,2233,3810,458579,T
899804082,3821,77,156661,4001,16150,893,7325,458444,T
180616531,4157,112,931168,3478,11029,446,7823,458194,T
310371270,4161,99,819717,3162,7065,893,4247,458859,T
260703813,3872,67,278784,1306,20554,893,7908,458036,T
111325436,1825,26,52925,1180,21533,893,7511,458180,T
054967973,1799,28,125930,1183,23800,1787,4071,458413,T
123536525,3818,74,339802,1570,11900,893,5417,458154,T
267560828,1709,20,157228,1662,14131,893,7964,458544,T
717344958,1793,14,311982,2898,6460,446,8092,458099,T
499170572,1831,10,450426,1056,15593,1787,3752,457979,T
230236155,4141,127,989699,4073,9228,1340,5397,458122,T
802831584,1692,42,108288,1693,9830,446,6145,458491,T
075733984,1759,12,181177,2844,6110,893,7766,458465,T
439168962,4253,96,1029226,5872,8696,893,3571,458076,T
601794221,3782,81,105896,1816,6957,446,5422,458189,T
758448060,3890,80,272300,1674,5024,2233,3848,458275,T
671987929,3944,104,248472,1000,21533,2233,3890,458515,T
794732423,3928,66,561704,1838,7413,1787,5711,458257,T
544470886,4210,109,1048290,2330,6749,893,4296,458919,T
413616581,1752,37,171696,2644,6029,1787,4160,458707,T
465397932,1684,39,213868,1295,5320,1787,3983,458785,T
819750144,3962,70,542794,1632,13300,446,6034,458618,T
353170318,4225,123,883025,2174,6749,446,3930,458561,T
871533544,3786,79,605760,1326,19661,1787,7566,457942,T
829592755,1662,36,279216,989,13703,893,6069,458334,T
881491659,1789,36,23257,2205,4915,1340,3848,458736,T
150065762,1812,41,277236,966,37683,2233,3869,458859,T
011178826,1690,24,233220,1081,12920,893,6081,458018,T
629670481,1768,48,298792,2195,19661,893,6049,458658,T
154974953,3795,96,227700,989,7177,1340,4503,458202,T
632501449,3828,92,800052,1074,7177,1787,4049,458610,T
472889958,3962,84,340732,1620,5138,1340,5999,458564,T
836587582,3796,71,121472,1153,45220,1340,7805,458500,T
816840977,3785,80,79485,1341,64600,1787,7215,458810,T
534867550,1762,11,239632,4001,16748,1340,4144,458161,T
642762691,3890,83,960830,2554,15593,2233,7829,458575,T
114821518,3940,69,291560,1000,10766,1340,8015,458815,T
924432427,3779,103,423248,3768,11900,893,3941,458894,T
979894211,4251,122,718419,1171,5950,446,5477,458933,F
057614977,1801,21,203513,5872,15073,2233,3620,458527,T
248761951,3779,101,876728,5197,13300,446,7788,457967,T
040276363,4233,129,1049784,1449,15073,446,7572,458418,F
796337299,3793,94,424816,5320,28262,2233,7139,458515,T
869909867,1808,47,357984,1349,7293,446,5771,458480,T
315526174,3946,89,722118,1983,17392,1340,5472,458792,T
647002290,1695,38,333915,1051,12221,893,4105,458862,T
850782278,3806,68,205524,1023,28262,893,4183,458758,T
944994167,3894,77,790482,1413,6650,1787,8054,458179,T
398057728,3875,98,236375,1273,12561,2233,7918,458447,T
097254553,3772,80,275356,2498,45220,1787,4201,458147,T
314430573,3833,78,670775,1382,9621,893,7581,458039,T
138013613,1657,44,265120,932,6650,1340,5550,458277,T
696961095,3776,95,41536,5448,4862,2233,4262,458238,T
739291789,3798,76,341820,3055,10766,893,4158,458669,T
582130330,1820,30,132860,5258,4810,893,4077,458885,T
379452414,1709,48,256350,938,20554,1340,5322,458544,T
254348984,3915,96,234900,5724,26600,2233,3736,457932,T
207477866,3940,99,319140,1310,18088,2233,5992,458056,T
964244321,1742,34,266526,1147,6369,1340,4217,458053,T
474492410,3798,102,243072,1252,10516,893,7333,458319,T
106936455,3806,89,799260,940,7933,1787,7556,458844,T
951135507,1679,10,209875,1838,5080,446,3957,458877,T
583802503,1670,18,161990,6280,5138,1340,7169,457970,T
090754055,3926,67,840164,1049,4522,1787,5327,458020,T
752420060,3929,81,589350,2629,22610,1787,7473,458478,T
923641584,1762,39,137436,1477,4810,1340,5338,458359,T
827147185,3903,71,925011,946,5448,893,5558,458479,T
717472011,4261,128,920376,1174,6460,446,6013,458825,F
969350926,3822,66,600054,1739,4810,2233,5892,458899,T
204950864,3900,74,791700,2036,5950,893,4509,458046,T
052339461,1650,14,270600,911,7293,893,4271,458647,T
895488471,1750,28,213500,505,8895,442,2317,223571,F
855096929,3850,67,658350,1039,7796,1340,6149,457953,T
742979027,3846,87,223068,2774,9420,1787,7113,458107,T
254307038,1826,14,219120,1032,16748,1340,7487,458165,T
819857203,3835,83,80535,1113,5724,2233,7201,458810,T
240580857,1656,29,255024,4760,4969,893,6357,458125,T
429291615,1758,37,270732,4187,56525,1787,3813,458618,T
285767635,1705,21,76725,1168,6851,2233,3552,458118,T
936449086,3924,79,604296,926,5080,446,5871,458415,T
713260818,1781,47,140699,6280,5383,893,3935,458491,T
998829626,3892,81,646072,2205,9228,1787,7675,458098,T
129181528,3922,102,949124,970,50245,893,6247,458559,T
875824142,1698,40,334506,2540,5448,446,4070,458670,T
817671620,3889,74,641685,1482,22610,1340,8104,458645,T
221685860,3952,86,245024,2343,8374,893,7118,458470,T
924049474,3859,79,856698,1084,15073,893,4471,458542,T
371541567,1667,45,30006,1940,5080,446,7474,458711,T
