userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
121091738,1191,55,239391,533,7641,1461,3918,243292,T
658431023,259,13,62160,2924,2889,487,4778,243283,T
413340476,1054,60,53754,2603,2575,974,5996,243778,T
154928508,88,1,7480,1150,47380,487,4585,243998,T
555066093,168,2,5880,592,2442,487,4581,243241,T
401242170,2600,29,252200,982,18223,974,3861,243578,T
729301148,1149,46,152817,558,3158,974,6203,243663,T
853806888,168,1,5712,877,6234,974,6460,244032,T
118985871,1077,61,268173,631,2998,1461,5924,243424,T
603935369,112,16,27104,2193,2754,487,4753,243432,T
182581049,196,8,27636,583,4387,974,6258,243274,T
508148667,255,17,31110,1280,5384,974,6322,243863,T
129515562,1082,38,106036,542,2369,974,8667,243772,T
156248733,1147,69,77996,524,3701,974,6290,243494,T
714526189,2497,13,182281,1453,2787,487,4351,243683,T
962966284,100,17,12100,628,3701,974,6819,243558,T
243976000,2639,14,29029,638,4307,487,6033,243891,F
778581570,1063,63,188151,582,8168,2436,4488,243685,T
111736432,170,13,27710,1208,47380,974,4177,243280,T
977085963,141,1,27777,1767,3701,974,4423,243344,T
973996752,1099,69,170345,650,47380,974,6210,243721,T
921535933,1225,72,186200,540,29612,974,5810,243304,T
319503543,91,19,17290,599,7178,974,5928,243942,T
249855068,1216,51,104576,787,5778,1949,4866,243670,T
091845325,1101,76,214695,3384,2722,487,6656,243916,T
396094474,248,11,37944,1076,5509,487,4203,243719,T
358048032,1160,39,95120,511,18223,1461,7989,243545,T
281199945,227,9,45400,584,2632,487,4326,244048,T
342044866,1152,64,218880,592,4156,2436,6801,244104,T
254252825,1230,38,212790,897,7178,2436,8526,243619,T
767336510,1194,42,37014,974,13935,487,8425,243646,T
429064540,137,16,2603,526,3948,487,8594,243629,T
714389863,1086,68,204168,2256,5264,1949,8328,243929,T
756336845,2551,5,122448,2345,23690,487,8329,243659,T
007279007,1155,42,103950,633,3336,2436,6806,244017,T
094058775,1179,46,139122,1704,7641,2436,4430,243389,T
616260030,2619,3,65475,2754,4469,487,8490,243637,T
670006789,1068,56,122820,1081,7178,1461,4636,243979,T
707401032,1068,55,76896,2998,2722,974,7845,243340,T
632426404,1136,44,148816,822,3644,974,7975,243840,T
002056402,115,1,26910,1128,2854,974,8180,243836,T
153112203,1228,55,146132,711,13935,487,5816,243434,T
743412569,1250,55,17500,490,3158,1461,4558,243584,T
877857695,2152,175,64560,487,2924,487,6641,243789,T
830643365,1220,44,130540,1558,3076,487,4206,243843,T
736935444,229,16,38243,538,2924,974,6299,243971,T
216660269,1094,54,89708,560,4555,974,7990,244022,T
841722867,1053,40,148473,805,3384,2436,6474,243853,T
652164765,1172,74,75008,1895,2661,1461,4736,244066,T
253285080,105,5,11025,650,2820,487,4182,243609,T
673598165,1233,39,262629,582,3589,974,4452,243798,T
975198774,1068,41,90780,513,10300,1461,6770,243523,T
065046583,1057,77,88788,1471,2575,1949,8249,243322,T
386158730,1177,63,141240,1196,4834,2436,6033,243658,T
111437351,221,6,7735,1214,7403,487,4594,244039,T
331720971,1216,65,278464,1039,7403,974,6281,243952,T
742840667,1231,43,34468,1338,4230,1949,7749,243768,T
866832265,1171,64,258791,533,13161,1949,4828,243587,T
487122148,1199,63,172656,690,23690,1949,6550,243925,T
568808530,2577,22,203583,1071,3760,487,4378,243492,T
653453527,2577,38,389127,1117,11845,487,4459,244046,T
017477750,1071,48,248472,1865,2998,487,4223,243499,T
958621694,1110,37,85470,540,6768,1461,8589,243611,T
083226127,1243,49,88253,843,5922,1949,6221,243523,T
766769137,1165,75,174750,557,2520,974,4833,244120,T
747828709,2157,205,47454,761,5922,974,8570,243788,T
835273888,1174,40,211320,572,3948,1949,4815,243439,T
441165370,1141,57,196252,690,33842,1461,8135,243905,T
056286023,2639,16,551551,1043,14806,487,6483,244070,T
908184263,1052,75,108356,1508,3535,487,4825,243412,T
810150993,262,1,63928,747,3076,487,5915,244087,T
745472936,153,1,22338,2417,8168,974,7957,243800,T
369268518,1176,64,37632,2467,2692,974,6041,243995,T
578505922,1051,44,213353,1850,3820,1949,4573,243697,T
905343741,1237,45,248637,2889,3158,1461,4508,243178,T
712706826,1118,64,218010,831,3290,1461,8167,243483,T
854490987,1245,50,251490,883,3158,974,6149,243382,T
365322493,1194,41,99102,1528,2889,487,4860,243249,T
490725512,1109,76,269487,1633,8774,487,6522,243994,T
142555504,153,10,37944,966,4738,974,4345,243465,T
867788937,1250,59,120000,640,7403,974,6571,243796,T
827914745,170,17,31790,478,3433,974,4191,243309,T
399353913,2637,9,355995,1822,3290,487,5925,244080,T
631345436,2148,195,36516,82,434,924,2220,37910,F
193327884,1091,41,154922,1489,7896,1949,6511,244010,T
530118329,270,1,47520,3201,3535,487,7939,243654,T
940705333,1056,68,248160,1039,8460,974,4874,243658,T
821390597,230,8,13110,1704,3336,487,8229,244014,T
378419213,1229,46,183121,505,3290,1949,7984,243300,T
026424966,1141,63,43358,771,33842,2436,8389,244018,T
841271541,1090,56,184210,1240,8168,2436,4458,244100,T
151984318,1219,54,140185,485,8460,974,4775,243896,T
653541637,2079,205,95634,1558,3701,974,6681,243192,T
892716264,1194,42,284172,658,19741,1949,6831,244039,T
902108772,129,20,23994,518,6967,974,6303,243293,T
269695014,1070,59,231120,2007,3760,2436,6660,243241,T
953842119,1052,64,149384,547,3701,974,4206,243277,T
855936737,1230,51,29520,474,4307,974,4051,243509,T
239349045,250,18,50000,966,19741,487,8637,243758,T
319192788,2526,5,265230,1101,14806,487,8620,243461,T
268602420,132,1,11748,974,3336,974,6664,243814,T
712578422,1128,48,90240,498,2889,2436,3892,244076,T
220359574,1202,70,173088,490,5509,2436,8140,244088,T
844668592,1093,75,146462,2417,3535,1949,4443,243733,T
739441699,1122,67,78540,808,6768,2436,4706,244155,T
273121492,2494,15,493812,1850,2467,487,6109,243511,T
