userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
966779937,2276,235,56900,499,717,487,6552,243884,T
667612542,2598,14,150684,499,883,487,5854,243324,F
735020998,1286,106,36008,499,652,1461,3874,243339,T
340073357,2684,19,195932,499,936,487,4040,243177,F
552731653,1270,57,76200,499,1910,487,4218,243747,T
680972534,2615,12,196125,499,1227,487,3871,244036,F
953304802,1345,68,44385,499,2754,1461,8257,243947,T
481759643,2621,28,186091,499,14806,487,4457,243187,F
694958365,1286,55,114454,499,1091,974,3971,243735,T
636861004,2666,5,167958,499,1133,487,4713,243281,F
369347894,1112,50,43368,499,694,1949,6767,243257,T
537890368,2584,11,149872,499,2042,487,6102,243661,F
497739293,2330,237,153780,499,1003,487,8134,244175,T
738122184,2603,18,124944,499,526,487,4639,243847,F
150569262,1304,91,63896,499,1499,974,4356,244116,T
770884201,2746,8,183982,499,6234,487,8143,243385,F
349593860,1309,78,60214,499,686,1461,8517,243623,T
367750534,2548,11,76440,499,16921,487,6519,243539,F
251626585,1136,74,34080,499,7178,1461,8429,243780,T
478734815,2575,16,139050,499,626,487,8147,243299,F
033831348,1293,91,25860,499,512,1949,6481,244108,T
956972568,2622,21,83904,499,855,487,6292,243885,F
197850850,1099,73,62643,499,2820,974,8265,243825,T
449389046,2459,28,83606,499,6768,487,3908,244167,F
766932766,2174,245,71742,499,5509,974,6498,243652,T
928325110,2731,23,131088,499,2442,487,8163,243931,F
278432576,83,49,6391,499,477,487,8511,243828,T
931162252,2477,3,118896,499,749,487,4087,243522,F
401195721,1190,42,88060,499,764,1949,4105,243298,T
439129028,2746,6,109840,499,1645,487,8347,243665,F
314619238,1275,64,58650,499,940,974,6333,243203,T
283919859,2516,31,72964,499,2173,487,3893,243245,F
052327747,1058,72,61364,499,3883,1949,4785,243870,T
161542720,2728,15,114576,499,560,487,4725,243536,F
286868146,1324,64,82088,499,486,1949,8727,243292,T
440300243,2598,21,101322,499,623,487,7866,244045,F
151598200,2138,207,109038,499,940,974,8566,243648,T
915307515,2685,16,88605,499,1508,487,8672,243318,F
306878254,341,32,12617,499,586,487,6372,243769,T
070148618,2699,22,105261,499,542,487,8377,244097,F
281266633,2170,244,121520,499,724,974,4279,243475,T
049866108,2727,17,256338,499,19741,487,7920,243875,F
234964023,1057,60,41223,499,537,1461,8571,243761,T
133849355,2661,8,149016,499,1589,487,4861,243513,F
350448263,1311,106,102258,499,3644,1461,7934,243690,T
876773531,2610,16,70470,499,761,487,4764,243426,F
528373639,161,47,7567,499,890,487,4843,243178,T
278345774,2649,21,71523,499,1754,487,4204,243242,F
556175581,1135,55,86260,499,23690,2436,4427,243902,T
370908057,2563,17,79453,499,2722,487,7920,244127,F
457574780,1067,51,44814,499,610,1461,8235,243186,T
793146514,2629,21,173514,499,18223,487,6368,243324,F
206083475,1266,81,108876,499,803,1949,4094,243237,T
342515428,2599,15,218316,499,1704,487,4008,243738,F
163649775,2163,202,88683,499,586,487,3976,243750,T
579634157,2741,10,71266,499,510,487,8784,243235,F
989746772,1336,65,80160,499,1196,2436,6179,243406,T
846167407,2700,22,135000,499,883,487,6404,243805,F
480137493,258,35,22188,499,501,487,8789,243687,T
772996706,2567,22,123216,499,769,487,7819,243200,F
309191486,2337,197,149568,499,544,487,6705,243699,T
337223013,2726,18,73602,499,1101,487,8304,243449,F
691167760,1243,48,83281,499,534,1949,4845,243980,T
689162995,2538,20,142128,499,528,487,8382,244053,F
050194557,270,29,15660,499,1021,487,8351,243712,T
020423275,2677,13,155266,499,8460,487,4798,243714,F
222449201,1277,46,75343,499,570,487,3871,244042,T
196975050,2612,2,159332,499,9870,487,6245,243725,F
495130713,185,1,3700,499,628,487,6106,243178,T
603165778,2574,7,133848,499,4935,487,3873,243255,F
404980472,1212,93,113928,499,500,974,4282,243971,T
454651766,2555,2,58765,499,4230,487,8762,243595,F
346228020,1239,107,76818,499,5264,974,4689,243360,T
324431068,2582,19,69714,499,18223,487,7814,244097,F
355782279,1206,81,86832,499,680,487,8310,243424,T
357565899,2592,17,51840,499,1910,487,6365,243473,F
953139035,1062,94,90270,499,1645,2436,4562,243856,T
871755890,2621,5,78630,499,673,487,6701,244151,F
469970178,1083,100,35739,499,1273,487,4206,244041,T
922965421,2509,27,153049,499,626,487,3917,244010,F
411314473,1134,76,30618,499,940,2436,8367,244094,T
678406598,2666,14,71982,499,1172,487,5833,243256,F
283800195,162,43,4698,499,864,487,6602,243868,T
611920935,2726,23,147204,499,534,487,6832,243800,F
979607663,1120,102,24640,499,4156,1461,8604,244134,T
625898877,2596,5,140184,499,7896,487,6154,243911,F
017764781,2183,189,109150,499,742,487,7976,243490,T
440829258,2643,16,105720,499,560,487,4542,243627,F
608363839,1083,93,69312,499,893,1461,4276,244065,T
093668105,2650,10,79500,499,991,487,4462,243549,F
643117120,195,30,18915,499,1039,974,6817,243182,T
876231240,2699,13,153843,499,537,487,6204,243187,F
144718642,168,32,8400,499,1155,487,6457,243249,T
712783303,2545,2,61080,499,3535,487,8601,243174,F
024739642,1305,74,79605,499,1767,2436,6156,243509,T
971282096,2551,20,155611,499,2442,487,6154,243833,F
519099022,195,1,15990,499,595,1461,6800,243967,T
527475643,2655,3,161955,499,616,487,7747,243513,F
000046788,130,1,7150,499,3037,974,6636,244131,T
183634850,2696,8,107840,499,7403,487,8140,243573,F
