userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
272453817,478,1,54492,1698,13005,1424,4469,548166,T
817679931,557,4,87449,1497,6694,474,2385,547796,T
566307976,563,2,79383,1564,14684,949,3840,548219,T
083851579,3311,121,440363,3641,9685,474,1917,547661,T
527917635,3917,13,802985,1191,14225,1424,3555,548136,T
722676583,4236,828,618456,2586,5355,474,4127,547450,T
781342357,3033,574,151650,5619,6151,474,3790,547463,T
528116031,4447,732,115622,2088,4692,474,4720,547725,T
844482282,3251,120,91028,1123,35015,474,4259,547737,F
082690365,3209,135,301646,1904,5484,949,2567,548204,T
910796239,3826,14,799634,1018,7586,1424,3718,548161,T
830116958,4488,771,184008,1970,4644,1424,4211,548007,T
468413562,3941,22,697557,1016,15696,2373,2383,547576,T
660055239,4492,762,646848,1071,5551,949,2834,547733,T
880491600,979,3,68530,1041,16257,474,3445,548338,T
940977649,3895,11,802370,944,9289,474,3788,548078,F
059397844,4313,859,931608,4507,7586,2373,4607,548073,T
306173611,465,1,36735,1685,50578,1899,2032,547522,T
996975510,3218,139,601766,1257,7848,1424,4348,548119,F
039087146,588,22,140532,998,28450,474,1996,547974,T
842576935,3245,127,483505,970,7586,1899,3024,548038,F
111848512,613,1,128117,1537,5690,1424,4592,548352,T
191270568,3831,12,896454,1522,7003,1424,2876,547456,T
662358961,535,1,124655,1264,5355,474,4189,548134,T
269006138,539,13,131516,4214,8276,949,2850,548391,T
746089759,561,15,63393,1094,8128,949,3758,548069,T
890017167,594,22,98010,2994,7112,1424,2923,548292,T
977826383,3237,145,369018,1118,7848,474,1863,547420,F
455990604,451,12,59081,1564,37933,949,2264,547797,T
064401856,2852,572,99820,1799,5835,1899,3823,548052,T
091436730,581,16,61005,2231,6411,474,3123,547716,T
044174032,3973,15,297975,3641,13005,2373,4647,548275,T
025049603,4411,763,313181,1110,91041,1899,3498,548038,T
786046574,4237,849,817741,3793,8588,1424,3004,548061,T
467380180,3857,8,856254,1201,11979,1899,3256,547483,T
925441695,3214,129,710294,1945,50578,1424,3145,547398,T
459626180,3280,151,255840,1020,5232,474,3826,548003,F
975191399,4572,760,246888,3993,25289,1899,2741,548210,T
903342919,2886,594,190476,1828,5002,1899,4561,548201,T
986912991,537,12,88605,2742,4791,1899,4228,548101,T
078735278,3220,136,135240,1334,8276,474,2388,548320,F
587239216,4454,741,169252,1308,9685,949,2450,547445,T
251129978,458,10,109920,1667,5172,949,2216,547417,T
836691760,3210,153,625950,1089,5690,2373,2389,547965,F
567437391,3828,9,681384,1300,12302,1899,4337,547863,T
191992186,4449,735,364818,3448,75867,1899,4720,548351,T
233360189,4566,761,666636,1327,13794,2373,2597,547936,T
491136873,3323,132,458574,2023,4644,2373,3722,548175,T
827393598,3890,7,497920,1597,18966,474,4599,547521,T
489232285,3262,133,42406,1778,9104,474,3259,547457,T
735279860,4532,757,380688,1517,7225,1424,2714,547939,T
827048850,4603,760,225547,1041,23958,1899,1987,548057,T
402773356,591,16,10047,1146,4552,1424,2993,547959,T
281811045,3178,149,441742,1614,9104,474,2811,547776,T
731499733,2945,596,156085,934,4644,2373,4755,547744,T
651430433,4407,769,1022424,981,5762,949,4752,548199,T
104918263,506,20,22264,3556,10838,949,2009,547438,T
804828065,546,1,88998,2395,10586,1424,4556,548298,T
379504975,3043,581,225182,3731,25289,474,4417,548169,T
015487855,3636,17,559944,5484,5551,474,4157,547557,F
292702848,4520,741,456520,1323,8429,949,1995,548222,T
252274924,621,8,126063,944,13005,949,2834,548367,T
430106886,3202,132,601976,958,8753,1899,2549,547926,F
601057961,593,10,129274,910,9289,1899,2055,547865,T
178456045,3261,152,446757,1835,5355,474,3397,547682,T
153131829,4486,748,829910,991,18208,1899,4220,547394,T
047228170,3962,30,170366,2014,4692,1424,4653,548005,T
553396083,3134,130,197442,1063,6411,474,2581,547553,F
677307454,4429,752,500477,6322,91041,1899,3607,548159,T
910010668,4266,833,580176,1431,6411,474,2881,547826,T
241064008,3319,133,165950,2975,9483,1424,3830,548003,T
593019702,3975,10,886425,993,13388,949,3030,547485,T
240912816,3234,141,87318,2662,9104,1899,4405,547921,T
560080492,494,19,5434,987,6597,1899,3710,548092,T
058261086,4466,768,142912,921,12302,474,4145,548276,T
730080534,617,22,140676,2994,28450,474,2195,547803,T
784349366,3214,153,93206,2231,5762,474,2861,547706,T
704321459,568,2,117576,5114,5911,949,1896,547717,T
203219109,565,1,50285,1250,8276,949,2982,547664,T
442092414,567,2,99225,1413,7112,949,2288,548259,T
429188594,3971,28,917301,1275,5057,2373,3879,548302,T
473488529,935,25,228140,2023,6794,474,4648,547707,T
976722932,4015,21,827090,6502,26776,1899,2284,547743,T
349086282,3034,608,245754,1236,5172,474,2010,548284,T
335427992,3302,123,525018,3825,10838,1424,3005,548080,T
295929313,3230,151,413440,3397,6235,1899,1968,547485,T
445866220,3181,127,124059,1161,6069,1424,3403,548164,F
989048123,503,21,48791,1527,75867,1424,2087,548223,T
840603666,572,11,17732,1704,5172,949,4022,547571,T
001444569,498,22,44820,3205,5419,1899,2101,548266,T
027837670,504,1,105840,3228,10586,949,3670,548384,T
079481724,3234,134,210210,2862,18966,474,3386,547692,T
257047700,3235,127,67935,4138,32514,1899,2004,548149,T
825094502,989,23,36593,2693,11979,949,3747,548393,T
387245462,4240,844,983680,2383,7003,2373,3776,548102,T
264104085,2910,586,142590,1053,11380,474,3902,548101,T
