userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
389549353,3992,7,139720,1155,983,2373,2669,547580,T
659142566,3135,130,203775,1155,7586,1424,3722,547539,F
409961779,623,17,62300,1155,968,949,3249,548178,T
570280342,3190,120,200970,1155,2487,474,4278,547796,F
688386083,4616,777,309272,1155,1161,949,2549,548055,T
925114863,3140,165,200960,1155,4100,949,3903,547615,F
152446706,3067,607,153350,1155,2137,949,4603,547642,T
255984065,3391,127,217024,1155,7003,474,3709,547415,F
749859305,3097,625,241566,1155,1873,1424,3083,547554,T
691082217,3418,128,266604,1155,2809,1899,2881,547784,F
142862879,2923,636,274762,1155,1167,949,4613,547682,T
009935099,3209,162,215003,1155,1771,1899,2018,547606,F
295994246,3168,176,224928,1155,4842,2373,1848,547765,F
869475181,480,1,24480,1155,3448,474,4040,547596,T
887588512,3420,182,311220,1155,2127,474,3027,548269,F
346881709,4513,768,352014,1155,10345,2373,3347,547663,T
184468798,3143,626,106862,1155,2097,474,3762,547451,T
426847552,3283,175,134603,1155,1527,1899,2563,547538,F
457919392,4451,741,418394,1155,1210,1899,4148,547917,T
862358074,3316,183,145904,1155,1685,1424,2510,547745,F
190260873,3241,171,103712,1155,1569,1424,3247,547945,F
010869208,2862,576,94446,1155,1387,1899,3102,547763,T
688078871,980,7,30380,1155,2310,949,1865,548376,T
335130795,3329,168,213056,1155,2601,1424,4095,547788,F
997271872,676,8,52052,1155,6151,1424,4721,547692,T
394327989,3226,169,235498,1155,1260,949,3231,547649,F
026884745,4436,790,275032,1155,2032,474,3932,547791,T
163972667,3303,120,155241,1155,1188,2373,3996,547890,F
967877483,3353,190,231357,1155,1507,2373,4300,548325,F
820268927,4468,766,370844,1155,8276,1899,3567,548125,T
997780727,3152,160,204880,1155,6069,1424,3703,548175,F
194366577,542,21,44444,1155,3731,949,4200,547620,T
050926296,667,14,63365,1155,1379,2373,3403,547993,T
056130624,3232,157,174528,1155,1404,949,4590,547665,F
912965985,3036,622,151800,1155,2199,1899,2240,548179,T
354689957,3202,134,224140,1155,1061,1424,2031,547510,F
318626862,3079,623,157029,1155,1661,2373,2983,547646,T
893187304,3304,155,89208,1155,996,1424,3045,547620,F
507953387,2867,631,258030,1155,6597,474,2182,547474,T
494590460,3243,176,288627,1155,1161,1424,2606,548207,F
294260754,545,14,36515,1155,2725,949,2251,547791,T
292032328,3380,159,304200,1155,998,1899,3151,548287,F
975909480,605,3,60500,1155,6411,949,2852,547796,T
386321941,3419,124,126503,1155,1637,1424,3710,548307,F
420099211,3281,169,183736,1155,1806,474,3380,548176,F
213894589,492,38,49200,1155,993,2373,2821,547796,T
759490720,3200,187,70400,1155,7112,1899,2203,548145,F
489713497,3133,581,203645,1155,1025,1424,3747,548199,T
440439091,3204,135,265932,1155,9289,949,3128,547394,F
037413482,932,21,38212,1155,1778,474,4744,547910,T
558851146,4576,789,384384,1155,1053,2373,2539,547591,T
836539489,3346,144,197414,1155,4214,2373,1883,548223,F
769156170,3252,170,315444,1155,5690,2373,3658,548363,F
280878883,2961,633,192465,1155,1161,1424,4510,547682,T
173130554,4418,757,366694,1155,2434,1424,4084,547930,T
663668026,3130,134,147110,1155,1543,1424,2039,547663,F
115657078,4420,786,247520,1155,1413,1424,2142,547917,T
576107769,3184,183,210144,1155,1497,1899,3311,547726,F
379416740,435,35,33060,1155,1167,1899,3959,548278,T
435596699,3347,175,207514,1155,989,949,4101,547539,F
873596906,4073,5,386935,1155,1032,2373,2837,547394,T
060773700,3157,140,189420,1155,22760,1424,2333,547683,F
154493000,3247,175,224043,1155,1517,949,2273,547868,F
381917757,4025,11,257600,1155,944,1424,3754,548386,T
997650391,3234,159,142296,1155,1034,1424,4103,547394,F
390869936,582,15,19206,1155,2242,1424,1874,548184,T
407653321,1047,18,43974,1155,1112,949,3939,548346,T
245126890,3419,172,276939,1155,2408,1424,2862,548276,F
032965329,1003,24,35105,1155,2167,949,3843,548340,T
350481886,3162,125,101184,1155,3857,1899,1853,547661,F
197033879,520,1,14560,1155,56900,949,2767,548211,T
410000895,3367,142,279461,1155,1213,1899,3050,548019,F
350275699,3207,168,192420,1155,3397,2373,3318,547524,F
961307158,3143,605,116291,1155,1813,1899,3802,547663,T
619208781,3214,162,302116,1155,2709,949,4003,548352,F
608840385,3026,598,245106,1155,1146,474,3877,547721,T
495474350,4523,746,280426,1155,2975,2373,2480,548161,T
681975690,3307,156,211648,1155,4376,2373,2147,548313,F
687148970,492,1,30012,1155,1400,949,2935,548348,T
784769641,3355,132,301950,1155,1881,2373,2932,548369,F
580178965,631,1,41015,1155,1230,474,2641,548394,T
092748945,3410,184,201190,1155,2528,1424,2341,547643,F
463137053,3035,596,97120,1155,1020,949,2112,548323,T
752074860,3356,154,214784,1155,1016,474,4610,548037,F
639735202,4432,775,217168,1155,2725,949,2843,548259,T
454847645,3322,183,156134,1155,5293,2373,4728,548010,F
062719878,574,41,36162,1155,1308,1899,3774,548174,T
440342848,3156,137,69432,1155,7715,2373,2017,547784,F
694361814,3293,149,243682,1155,1267,1424,3635,548278,F
738343309,3046,633,289370,1155,917,474,2863,548392,T
055644191,4549,738,145568,1155,958,1899,2603,547853,T
865998315,3397,162,305730,1155,6897,1899,3769,548258,F
012551817,3044,626,124804,1155,4064,949,3161,548155,T
781405087,3334,150,160032,1155,2571,474,3763,547773,F
802010044,4701,780,376080,1155,1569,1424,1870,547710,T
884043619,3382,164,182628,1155,1071,474,2100,547481,F
530001886,703,15,24605,1155,1029,2373,4566,548095,T
536847057,3241,182,84266,1155,1034,2373,3755,547403,F
965590061,521,1,10941,1155,3139,949,2706,548122,T
326904574,3144,126,81744,1155,5484,1899,3961,548171,F
