userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
119897912,550,23,75350,688,3691,360,3611,300562,T
967160989,1282,8,219222,1189,14395,1080,7262,300374,T
295853772,1444,1,128516,636,3387,1080,7819,301066,T
883681706,514,1,101258,1107,4719,360,3664,300840,T
476314797,549,14,5490,1377,4798,720,4009,300570,T
401217771,1449,1,268065,749,6855,1440,8018,301001,T
265329672,4613,81,1028699,1133,7197,360,6170,300336,F
883766688,1285,21,246720,902,9927,1440,7405,301018,T
721552249,4863,29,739176,1999,3271,1080,4425,300981,T
069104490,1280,1,168960,1142,3644,1080,5862,300839,T
886767224,4579,77,183160,628,3644,1440,6267,300956,F
421508299,4672,31,555968,621,4362,360,4390,300909,T
065494219,4908,24,638040,1285,14395,720,5879,300356,T
590427202,3503,13,539462,4113,41130,720,3566,300290,T
382569811,1331,20,62557,1833,7022,360,6118,300628,T
553864107,1446,1,225576,1268,11516,720,7785,301073,T
306896079,4586,56,843824,1425,3838,1800,8011,301165,T
693899385,1455,1,315735,4113,5536,1800,7195,300615,T
280287614,1364,3,133672,902,3998,360,5402,300400,T
208450765,4783,47,722233,1039,8467,360,7911,301152,F
464017994,4736,55,165760,959,6125,1800,3586,300269,F
782523303,4489,79,924734,982,4798,360,7697,301247,F
876120201,1356,9,267132,1461,6398,720,4410,301031,T
502427164,1289,8,94097,3347,11073,1080,5771,301080,T
876799362,1274,1,110838,2132,6855,1440,3972,300924,T
456125094,1424,14,224992,1111,4798,1800,3899,300894,T
315689348,4467,69,343959,580,4362,1080,6069,300796,F
730333004,1390,1,259930,1461,3838,1440,5839,300729,T
656077036,4465,81,178600,761,8724,1800,7184,301085,F
969562846,1399,4,297987,2056,7576,720,7731,301127,T
970965756,4530,67,1132500,620,4297,720,7438,300853,F
258305227,1351,1,187789,646,4055,1440,7556,300492,T
219226396,1351,13,267498,869,6398,1440,3786,300866,T
817311922,1415,7,210835,1703,5331,360,5650,301140,T
824428550,433,23,32042,616,5645,1080,3750,301158,T
359565385,1342,26,64416,658,3347,1080,6382,300426,T
270834632,4861,27,670818,1590,5141,720,7372,300857,T
686166102,4518,82,298188,856,6125,1440,8155,300565,F
741981047,367,6,32663,849,2968,360,3837,300860,T
560203608,467,18,81258,788,6398,360,6264,301241,T
011183174,4546,78,422778,598,22146,1080,3710,301236,F
911804756,4747,48,1030099,992,3998,360,6114,300713,F
899291582,1370,1,58910,2101,9287,1080,6210,300875,T
359786989,1455,1,248805,607,4362,720,8168,301186,T
581291819,1321,1,287978,668,11996,1080,6369,300533,T
607282992,1448,7,276568,638,4498,1800,8010,300721,T
329490582,1313,26,93223,841,23992,1080,7216,300590,T
567932866,4830,56,328440,2460,2968,360,5980,300356,T
703500540,2442,16,158730,1626,7997,360,5994,300952,T
749578284,2500,29,42500,1308,9597,360,5359,300466,T
412441904,2408,37,122808,1654,3309,360,4496,300391,T
394200084,4529,64,643118,815,3788,1800,5652,300646,F
542248781,405,11,20250,3788,4113,360,8104,300472,T
701190098,4725,36,99225,999,15153,1080,7614,300865,T
280229609,4692,66,1036932,1608,4297,360,4489,301040,T
136922874,400,4,48800,806,2937,360,7928,300336,T
679136310,3557,28,640260,1564,35988,360,4232,300803,T
736407312,4779,67,81243,3890,57582,720,6275,301190,T
095802731,493,1,78387,710,3691,360,6265,300812,T
897783928,1369,3,156066,1476,4055,1440,4069,301215,T
260410076,4469,81,294954,596,11073,1440,8172,300337,F
521471831,497,1,81508,3943,17994,360,3714,301208,T
425590489,1319,1,226868,732,9927,1800,5887,300538,T
190569201,1442,5,173040,1788,3691,720,4165,300697,T
049578352,1276,20,222024,745,19194,360,4348,301233,T
450839333,4553,72,104719,740,17994,1800,7995,300909,F
713173356,4539,81,758013,867,4570,720,5817,300320,F
707171767,4484,79,260072,2267,2908,1080,7845,300613,T
120029945,1368,26,325584,738,10282,360,7860,300995,T
218503049,3589,30,649609,734,16935,360,3972,300711,T
648557258,1273,11,12730,620,31990,1440,5491,300937,T
581600317,4796,37,997568,1446,6695,360,5971,300322,T
317157472,4615,52,493805,1062,6398,1800,4154,300841,T
486982605,1358,10,308266,2690,2937,1800,5525,300815,T
351887545,4472,66,1050920,1432,3691,1440,4313,301164,T
686531276,1280,1,175360,956,3998,720,3598,300445,T
941090721,4487,47,152558,2181,2999,1800,5717,301112,T
210154587,1440,20,256320,841,6695,1800,4091,300978,T
032964148,4488,60,282744,3387,3163,1440,4357,300560,T
955478045,512,26,104448,780,5051,360,5580,300617,T
594376778,1359,1,48924,669,20565,720,4358,300681,T
139878254,1401,1,205947,1418,3199,1440,5676,300573,T
205560835,4718,48,1033242,902,10282,720,4021,300571,F
681677944,1306,1,190676,1103,3739,720,7207,301139,T
166619213,1303,16,234540,877,6543,1440,7740,300532,T
453449746,4827,51,854379,891,3691,720,4357,301005,F
830515398,3589,16,114848,2503,4719,720,3878,300563,T
675215928,3584,10,892416,778,5998,360,3922,300748,T
464845928,4570,80,923140,771,9597,1440,8065,300693,F
635360440,4493,68,579597,1006,3271,1440,7444,300549,F
741607409,2418,17,270816,1062,6398,360,5717,300333,T
493085029,4464,59,482112,675,8226,1440,7463,300978,F
