userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
226013079,1367,26,32808,834,3691,1800,6226,300842,T
494077282,4590,88,165240,834,9927,1800,3963,301182,F
763667441,2630,24,263000,834,695,720,4592,300278,T
787066942,4742,69,246584,834,916,360,3631,300359,F
158223302,1278,22,125244,834,2999,1080,7676,300500,T
963780925,4877,74,336513,834,839,360,3724,300792,F
877315009,4452,61,356160,834,782,1800,7284,300983,F
433764034,1333,18,90644,834,2285,1800,8096,300752,T
276713187,1364,30,57288,834,3129,1440,4459,300312,T
345230539,4687,66,98427,834,3788,1080,7150,300803,F
725319527,1323,16,91287,834,682,1080,3643,300380,T
355139805,4909,64,142361,834,3427,360,3649,300417,F
555547362,1392,1,129456,834,675,360,5768,300828,T
030917051,4787,88,105314,834,2593,720,3633,300445,F
764930690,373,51,9698,834,3554,1080,3560,300658,T
449087228,4862,78,281996,834,5875,360,4324,300258,F
350400933,2616,69,73248,834,597,360,7502,300832,T
990297685,4730,85,175010,834,639,1080,7722,300816,F
029734160,4775,42,415425,834,660,1080,4332,300256,F
762996171,1379,53,68950,834,1351,360,7739,300732,T
677791099,1321,1,70013,834,911,360,5952,301200,T
104004471,4930,57,276080,834,582,720,5372,300345,F
041930192,1556,1,42012,834,651,1800,5872,300514,T
801565004,4729,110,307385,834,589,1080,6138,300863,F
385017066,4589,74,238628,834,1547,1800,7443,301100,F
588330644,2553,31,137862,834,589,360,7232,300497,T
898810932,1354,51,102904,834,3691,1080,5432,300721,T
072183670,4539,87,172482,834,751,1440,5902,300751,F
889025684,4694,55,337968,834,2164,1800,5469,300977,T
030160933,4799,75,95980,834,11996,1080,4223,301216,F
574216465,4668,113,420120,834,12517,1440,4008,300973,F
691354278,1473,1,109002,834,1581,1440,7256,301192,T
216534565,4766,32,166810,834,679,360,4515,300875,T
074824836,4952,90,153512,834,1499,1080,7610,300951,F
202304387,4824,63,294264,834,1062,720,3656,301065,F
808539371,1455,40,84390,834,3998,360,7416,300626,T
032381039,4724,73,136996,834,705,1800,4038,300658,F
506292252,1397,8,57277,834,3030,1800,7361,300896,T
045238030,1399,54,65753,834,2419,1080,7703,300418,T
655047815,4865,85,374605,834,1285,360,5592,300599,F
751032009,1446,10,104112,834,5998,1440,4323,301237,T
108698368,4562,64,114050,834,1103,1800,5474,300736,F
585436066,1460,42,51100,834,767,1080,3778,300498,T
759361272,4801,43,124826,834,908,360,6390,301134,F
489291115,1499,1,61459,834,4113,720,5743,300454,T
991672099,4530,71,362400,834,2570,1080,6171,300970,F
793672780,4606,50,124362,834,4172,1440,5800,300913,T
483076562,4885,81,297985,834,3199,360,7985,300961,F
080691707,4936,34,157952,834,648,360,5623,301233,T
181296933,4696,63,319328,834,2742,720,7311,300384,F
612201577,4785,32,287100,834,7576,1080,3789,300256,T
227283143,4727,83,434884,834,1985,1800,7276,300739,F
126137703,1415,47,125935,834,778,360,8154,301149,T
025074745,4436,108,186312,834,959,1080,7892,300446,F
667849239,498,19,19422,834,1175,360,3854,300921,T
087069784,4689,105,145359,834,1235,1800,7671,300668,F
995832284,4882,75,175752,834,1906,720,3974,300890,F
826516356,2382,12,57168,834,2399,360,5558,300825,T
561330612,4615,106,318435,834,992,1440,6350,300532,F
323687039,1477,20,66465,834,7997,1080,5918,300409,T
575237691,1463,46,92169,834,1062,1440,4452,300963,T
526235985,4792,57,105424,834,609,360,8125,301139,F
006910500,4964,64,307768,834,1066,720,7488,300314,F
987211800,1527,1,62607,834,3427,1440,5587,300501,T
521679335,4588,99,440448,834,859,1800,6127,300870,F
746313606,410,38,27880,834,1507,360,6086,300909,T
939419715,4650,84,460350,834,624,1800,4479,300322,F
035002217,1327,53,58388,834,1184,1080,3785,301211,T
683141518,2381,61,152384,834,839,360,3988,300483,T
522282842,4565,94,223685,834,751,1080,8155,300587,F
631409017,4562,68,442514,834,749,1080,7427,301193,F
296295204,1323,48,89964,834,801,360,5563,301181,T
797673145,1464,38,111264,834,934,1440,8071,300931,T
721208951,4698,87,305370,834,753,1440,7314,300822,F
677572481,4436,79,332700,834,3271,1080,6306,301032,F
161421352,1569,8,51777,834,982,720,6325,301072,T
661665721,4556,60,428264,834,578,1440,6061,300885,F
469061491,2628,17,81468,834,588,360,7763,301086,T
211195581,4764,97,119100,834,1024,1080,7482,300814,F
402542045,1450,10,56550,834,2665,360,5893,301101,T
373413918,1376,19,71552,834,864,1080,7832,300352,T
841146941,4602,109,262314,834,1142,1800,6187,301187,F
417421061,4505,87,391935,834,1397,1800,7252,300309,F
577958938,2608,53,174736,834,953,360,5623,301179,T
105509132,4570,48,351890,834,1358,1440,6037,301255,T
981626780,4675,96,126225,834,598,1080,7629,301076,F
020045746,1458,1,51030,834,7781,1440,4525,300771,T
767902041,4607,105,433058,834,13710,1080,5799,301014,F
910860714,1359,46,28539,834,679,1440,6222,300552,T
343517904,4673,87,313091,834,1822,1440,7652,300890,F
571477073,1526,1,74774,834,9927,1440,7378,301103,T
471865608,4867,50,335823,834,1484,360,7495,301236,F
409957768,1499,1,124417,834,1332,1080,8109,301142,T
836165484,4471,62,277202,834,790,1800,8147,301017,F
930625308,1294,1,93168,834,698,1080,5425,300490,T
802451752,4607,94,281027,834,1673,1800,3740,300378,F
913924782,4691,45,98511,834,2665,1440,3722,301020,F
063954421,2635,50,68510,834,3511,360,5791,300784,T
631843917,1369,19,104044,834,824,1800,5692,300864,T
328085687,4798,88,187122,834,7997,360,7811,300992,F
