userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
789812185,3755,740,717205,1815,9833,1816,1826,801300,T
821391709,3713,731,846564,4006,19926,1816,3231,801454,T
459007379,3709,746,723255,3843,8055,454,2526,801848,T
067672419,2532,17,321564,1976,11301,1816,3093,801547,T
901351645,2609,1,623551,1748,12018,454,4342,801554,T
730402981,4641,49,199563,2351,14846,1816,3708,801647,T
535204845,3535,66,67165,2267,8507,1362,2802,801702,F
764265036,2538,26,185274,1769,22945,2271,3476,801629,T
945234664,2518,12,327340,1912,12833,1816,4587,801160,T
499048841,3709,756,92725,4326,126198,2271,3306,801642,T
714266912,4596,82,335508,3730,13521,454,3681,801444,T
646243964,3552,76,277056,3640,37859,1362,2172,801776,T
793795372,3810,761,872490,2301,84132,908,1893,801809,T
731182135,47,1,9635,3489,37859,454,4125,801575,T
881804148,102,1,9384,8230,11649,908,2689,801649,T
209657856,96,9,16416,2227,108170,908,4323,801030,T
831988893,132,14,24288,2523,28044,2271,2962,801978,T
357997787,4547,86,209162,6362,84132,1362,3721,801901,T
164242855,77,1,2541,4703,13055,2271,2281,801770,T
053633915,3756,735,837588,2773,10817,908,2695,801080,T
889023356,2564,21,612796,1916,8908,454,2198,801853,T
430106833,224,1,4704,2175,19926,1362,3621,801220,T
587899200,4518,52,158130,5447,8413,454,3022,801171,T
601334233,2663,1,340864,2080,7887,454,2211,801937,T
977578307,3630,726,98010,1542,44540,1362,2165,801747,T
743496376,3646,752,309910,1728,12833,908,2749,801559,T
736418954,3779,760,608419,6760,14286,454,4211,801509,T
508315847,3640,81,145600,7571,9014,1362,4384,801336,T
182195724,2704,14,310960,2013,29122,908,3664,801575,T
516009784,2560,20,314880,1693,19926,1816,3483,801290,T
236008757,2673,1,416988,1798,19415,908,4205,801315,T
326610351,2598,1,363720,2145,18468,2271,3758,801498,T
182313120,3830,749,769830,3441,9707,908,3672,801045,T
190860423,3767,747,339030,5567,7887,454,2987,801909,T
895877217,3703,751,710976,5608,126198,1362,4051,801958,T
433002224,3503,67,423863,2549,8320,1362,3016,801313,F
431718108,3675,751,757050,7423,13055,2271,2972,801390,T
516458804,2566,10,236072,7211,9707,1816,3729,801373,T
365657155,3754,764,889698,7571,32921,908,3684,801174,T
396004665,2660,21,55860,1570,7648,454,4465,801879,T
180587068,3760,762,560240,4948,20464,1362,2749,801612,T
160178649,3652,738,40172,5915,8908,454,4078,801990,T
789968380,3795,740,189750,1554,75719,2271,3798,801381,F
498814589,155,6,20150,2138,8604,1816,2698,801789,T
799536857,90,14,5040,2846,10817,1816,2498,801383,T
235788445,190,19,43700,10516,8055,1362,3871,801850,T
237758779,3457,78,58769,7496,14561,1362,2551,801259,T
470581763,3791,726,386682,2388,8413,454,3651,801474,T
148555794,120,1,29520,3675,10095,908,3565,801403,T
162902417,4519,86,90380,4428,36056,1362,4286,801662,T
882471949,4536,55,353808,5447,8908,1362,3455,801682,T
070822403,3648,740,423168,1631,9584,1362,2706,801304,F
165740161,3698,727,251464,5915,7648,454,3808,801742,T
086817635,2674,1,296814,7887,50479,1362,2986,801903,T
849385243,3744,752,531648,3235,9234,1816,2748,801145,T
564392703,4627,64,439565,7280,10232,908,3635,801250,T
058381403,2620,20,214840,1926,14022,1816,4434,801845,T
202458901,208,22,22880,4561,13521,1816,2053,801021,T
608168064,41,1,8282,2540,108170,454,1965,801165,T
783981936,2513,21,228683,1916,17208,1362,2751,801109,T
979981895,143,11,32461,2273,14286,1816,4477,801855,T
375270476,3630,76,395670,1851,30287,454,3725,801429,F
981693351,2695,28,115885,10095,14561,454,1977,801861,T
952953844,3519,83,471546,2458,94648,454,2341,801654,F
806732958,76,17,4636,8703,8908,2271,2486,801450,T
525817200,160,1,4320,1756,8703,1816,3263,801643,T
286061979,221,1,9724,5258,94648,1362,1944,801689,T
960544789,130,1,8320,4454,8320,1362,3626,801249,T
427777429,73,17,4672,2097,75719,2271,3889,801827,T
835175120,3608,59,61336,7211,7571,908,2191,801598,T
181072608,2545,3,239230,2063,22270,1816,4332,801625,T
157643748,2538,1,368010,2713,23662,1362,3046,801617,T
636067432,3667,732,304361,5081,8604,908,2208,801420,T
553569721,3828,731,646932,3350,14022,2271,2750,801166,T
276438633,4667,76,994071,2260,9014,454,4394,801466,T
953935186,162,16,26892,3103,12619,1362,3509,801158,T
601115943,95,17,10165,1682,30287,454,2723,801766,T
142176366,3734,728,608642,2466,12018,454,2459,801759,T
943897074,2564,21,397420,2629,12833,908,2996,801302,T
102106107,82,11,17630,1760,10817,2271,4560,801068,T
043129031,4679,55,903047,3350,10516,454,3954,801436,T
189384799,72,1,14544,1564,12412,1362,2400,801113,T
