userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
974615227,2525,23,90900,1765,2969,1816,2445,801730,T
682331097,3580,79,343680,1765,2351,1816,3516,801992,F
600841473,224,9,8064,1765,3306,1362,2778,801764,T
649522998,3597,96,287760,1765,1638,2271,3492,801529,F
156532527,2624,36,152192,1765,1740,1816,4120,801221,T
448991847,3610,113,299630,1765,6009,1816,3819,801451,F
493465459,4661,71,438134,1765,3521,908,3902,801973,T
396938138,3736,70,366128,1765,4948,454,2036,801911,F
032637159,3755,744,138935,1765,1667,2271,4405,801106,T
113232863,3710,65,371000,1765,2566,454,3698,801052,F
076697097,60,24,1680,1765,5370,908,3795,801835,T
219602973,3639,98,309315,1765,2835,1816,3220,801459,F
395663901,72,1,1512,1765,1921,2271,2229,801581,T
831969033,3463,72,311670,1765,3657,1816,2886,801113,F
837468762,3796,781,197392,1765,2109,1816,4502,801608,T
518662078,3625,70,315375,1765,2366,1362,2143,801688,F
016578304,2781,61,272538,1765,1946,1362,1920,801973,T
097679141,3465,111,301455,1765,1713,2271,3680,801023,F
709391524,2760,21,207000,1765,4027,454,2990,801750,T
466162279,3629,71,319352,1765,9963,454,2833,801156,F
380772363,3699,100,362502,1765,3004,1362,2767,801789,F
546744876,3861,745,204633,1765,1781,908,3226,801027,T
474564941,2558,35,69066,1765,5736,454,4610,801312,T
176998394,3534,62,296856,1765,20464,2271,4106,801236,F
832515463,247,22,16796,1765,3964,1362,2659,801251,T
748887309,3600,79,320400,1765,4326,454,2693,801433,F
027161023,2771,16,96985,1765,2201,454,4123,801078,T
230222634,3721,95,360937,1765,1878,1816,2945,801669,F
603955443,4585,80,430990,1765,3410,1362,3647,801708,T
732190381,3510,58,319410,1765,5650,1362,2230,801090,F
052133353,4599,58,285138,1765,84132,908,2519,801044,T
092832764,3569,85,306934,1765,4822,454,1977,801479,F
651339945,2557,38,189218,1765,5047,1816,3665,801343,T
646570566,3512,86,319592,1765,10516,1362,4205,801695,F
143598219,2742,1,145326,1765,2220,2271,2364,801315,T
936769354,3618,70,296676,1765,2549,2271,2594,801106,F
509970044,3676,104,316136,1765,2182,2271,2697,801569,F
929707231,2700,39,216000,1765,1686,908,4231,801481,T
919360333,2519,55,103279,1765,5915,1816,1811,801033,T
251702393,3643,99,298726,1765,4916,2271,3972,801933,F
549927430,330,1,17160,1765,1790,908,3001,801513,T
249292077,3568,70,356800,1765,14286,1816,2400,801287,F
772352337,2528,14,91008,1765,1621,1362,3011,801208,T
163276591,3706,74,355776,1765,8055,1362,2831,801291,F
574493934,2593,7,72604,1765,1760,454,2712,801946,T
712189589,3522,79,341634,1765,1653,908,4316,801207,F
618133687,2654,59,92890,1765,3380,1362,2042,801900,T
247423548,3668,98,322784,1765,1514,908,2738,801753,F
364311724,171,1,9405,1765,1584,1816,4120,801065,T
386118502,3565,65,292330,1765,1769,454,1942,801778,F
535097515,190,27,14820,1765,9014,2271,2183,801497,T
389205342,3613,110,303492,1765,1833,454,2645,801822,F
481739630,2556,22,61344,1765,2337,908,4035,801330,T
074946516,3511,88,298435,1765,2584,1816,2372,801681,F
204586909,3821,732,328606,1765,1580,908,4092,801603,T
846390083,3566,110,274582,1765,4428,908,3707,801294,F
995857111,257,1,17476,1765,1916,1362,1974,801448,T
451652027,3729,64,369171,1765,7351,454,4005,801908,F
900168223,4679,91,378999,1765,2482,908,4552,801011,T
473972215,3611,96,357489,1765,1611,1816,3437,801065,F
934304762,4741,102,175417,1765,15774,1816,2818,801207,T
463414132,3493,67,265468,1765,5258,2271,3607,801574,F
135155768,2727,18,144531,1765,2593,2271,2763,801283,T
031722954,3552,101,291264,1765,5780,1362,1820,801772,F
049448495,3912,771,305136,1765,34417,454,4554,801400,T
243040744,3536,99,350064,1765,1716,454,2437,801934,F
093480378,335,10,32160,1765,6156,1816,2712,801919,T
253159629,3506,113,308528,1765,3410,908,2030,801940,F
370445966,3902,746,331670,1765,3985,1816,4319,801953,T
016297813,3635,63,338055,1765,2260,1816,4561,801505,F
219579644,329,5,16121,1765,3943,2271,2444,801794,T
655397074,3515,84,319865,1765,13284,454,2792,801421,F
250701368,3849,780,107772,1765,2013,2271,4036,801517,T
148655953,3652,105,357896,1765,1951,908,3341,801773,F
145043168,3862,772,281926,1765,3473,1362,3274,801280,T
581338610,3648,115,317376,1765,3923,908,4428,801925,F
937918261,4747,73,303808,1765,2540,1362,4036,801600,T
557775875,3680,83,305440,1765,3767,1362,4001,801497,F
420556506,3670,764,95420,1765,6156,1362,2053,801756,T
950500386,3476,87,271128,1765,3554,2271,3783,801447,F
884456653,198,46,10296,1765,6257,1816,3945,801903,T
423768149,3464,112,263264,1765,1878,454,2699,801421,F
989107460,4612,79,225988,1765,2868,1362,3190,801665,T
287735777,3647,89,317289,1765,2515,1816,2371,801411,F
241304285,3660,775,135420,1765,1664,1362,2050,801965,T
921433713,3635,100,352595,1765,2763,908,3226,801933,F
314155070,3864,782,227976,1765,3767,1816,4407,801792,T
154296428,3595,71,319955,1765,5780,1816,3834,801777,F
046604773,4717,93,155661,1765,7970,1816,3539,801589,T
196930309,3573,76,289413,1765,1590,1816,2656,801247,F
366962010,132,16,7524,1765,5408,1816,4521,801490,T
340865973,3739,93,355205,1765,4326,1816,2007,801908,F
308809370,58,1,4466,1765,1790,1362,2847,801060,T
586736968,3717,72,349398,1765,1802,908,3738,801036,F
670921446,258,1,10836,1765,1567,454,2750,801586,T
264358433,3516,83,154704,1765,1997,1816,1899,801966,F
375360541,4637,92,306042,1765,34417,2271,4484,801408,T
675908352,3685,70,350075,1765,1561,1362,3833,801854,F
908681694,3780,744,238140,1765,1697,1362,1914,801610,T
273025270,3733,83,306106,1765,4376,908,1781,801454,F
