userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
769777732,1290,21,220590,1483,9104,2183,3721,302390,T
740714974,1313,35,150995,2295,3616,1637,5505,303017,T
353827149,3267,38,705672,877,4714,545,5780,303191,F
829643823,34,1,5304,953,4800,1091,3742,302478,T
511035647,4373,73,550998,916,7543,1637,4172,302782,T
339477375,9,1,117,769,2933,545,3632,302873,T
827511747,13,1,975,1347,10155,2183,3768,302761,T
976992519,9,8,153,719,5617,1091,3246,302501,T
819534995,4274,79,534250,666,2722,1091,6923,302630,F
546651149,12,1,1080,1100,2933,2728,4976,302331,T
991206103,1387,13,104025,1411,4000,1637,3830,302429,T
723847943,1347,32,55227,637,3429,545,6873,302663,T
302403088,4360,53,780440,739,3385,545,7165,302652,F
100327366,4337,43,602843,877,3882,2728,7032,302884,T
256962132,36,1,6300,792,7136,545,5058,302869,T
136896678,4194,77,671040,733,2722,1091,7488,303195,F
941551673,1361,28,27220,2095,52806,545,3694,303178,T
590653872,3208,49,615936,1639,29337,1091,3474,303027,T
389619857,1338,33,132462,868,44005,2728,5174,303041,T
499048554,3178,43,476700,1562,8801,1091,3605,302649,T
373923765,3152,61,576816,3143,9104,2728,6607,302492,T
571024813,1379,17,198576,1450,4400,2728,6801,302904,T
408730251,1378,1,148824,648,5388,1637,3372,302701,T
830377380,4272,57,572448,988,2694,2728,6947,302413,T
595412747,4295,45,785985,1056,3474,545,5356,302512,T
415512271,1321,1,29062,1748,5617,2183,5514,302757,T
767730959,4359,78,174360,889,5500,545,5148,302456,T
554388209,99,1,20790,2467,3181,1091,3809,302930,T
086957096,1308,26,69324,719,4552,1637,3401,302943,T
707619143,12,1,1332,559,3940,2183,3721,302804,T
985079658,4309,68,155124,1833,13896,2728,6985,302499,T
676844910,3233,64,750056,3000,7543,1637,6557,302423,T
708276301,1390,35,172360,538,8001,545,5753,303016,T
072086277,4346,55,465022,926,3070,2728,4254,302888,T
229752402,94,1,17296,1031,5500,1637,3923,302549,T
387288153,4294,61,210406,774,10155,1637,4132,302785,F
618334510,1425,35,136800,840,4000,2728,6737,302372,T
738533102,1372,5,312816,717,37719,2183,3866,302645,T
192773102,1393,29,19502,604,5617,1637,3826,302850,T
525357259,70,1,1050,2062,3034,1091,3922,302688,T
603395745,4366,65,471528,907,8801,2728,4964,302536,T
023392537,4252,62,1041740,822,7765,1091,5366,303233,F
254133115,1321,1,66050,752,12001,2728,3899,302694,T
725360200,4299,52,378312,600,8251,2728,6535,303127,F
470002226,4269,66,798303,547,5500,2728,7006,302798,F
593259728,1424,20,15664,3034,8517,2183,5027,302628,T
391119634,4357,55,675335,1178,5500,2183,5096,302314,T
063986880,1383,32,156279,981,37719,2183,5003,302996,T
250578761,1455,34,23280,743,16502,2183,6736,303204,T
446198291,4320,68,509760,1872,52806,2728,4898,303078,T
344759275,1311,19,116679,673,5867,1637,7330,302800,T
932441988,4237,65,84740,776,6286,1091,3363,303005,F
252641671,4200,48,197400,2839,7543,2183,6579,302418,T
589242472,11,2,1023,1194,8517,1637,3853,302628,T
551169191,12,1,768,637,3771,2728,3370,302542,T
