userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
429942743,4190,68,284920,555,874,545,6793,302366,F
294695147,1300,38,61100,555,795,545,5135,302627,T
828587488,1292,40,73644,555,1347,1637,7040,303217,T
479841964,4425,107,115050,555,1427,545,4077,303053,F
532920820,4367,84,344993,555,2966,1637,5105,302915,F
204138705,1400,10,64400,555,1133,2728,7158,303035,T
816566593,4214,50,164346,555,594,2728,3438,302833,F
363553619,8,28,544,555,1039,545,6856,302867,T
025080780,1347,11,84861,555,1143,1637,6791,303057,T
157608466,4372,60,87440,555,1354,1637,5482,302955,F
750176986,1378,18,53742,555,577,1637,6971,302338,T
596359644,4453,59,249368,555,1885,1637,7465,302578,F
496796546,1428,1,117096,555,14668,1637,3259,302377,T
345978968,4312,77,383768,555,2839,545,3796,302784,F
169093918,1520,4,124640,555,2079,1091,5081,302763,T
306464573,4273,95,205104,555,1275,2728,5179,302503,F
969994886,1291,14,29693,555,8801,1637,6584,302960,T
101263458,4314,43,306294,555,1419,1091,5163,303013,F
187462030,20,1,720,555,886,2728,4907,302303,T
073315696,4486,89,98692,555,605,1637,5671,302526,F
968818975,4224,112,160512,555,2400,2183,3994,302647,F
210374978,1342,9,114070,555,696,1091,3796,302794,T
977515208,190,44,18810,555,1064,1091,4078,303171,T
235025598,4485,65,89700,555,670,1091,4933,303295,F
184342647,1370,19,39730,555,830,545,5158,303006,T
988668602,4428,111,181548,555,835,1637,7104,302304,F
223850238,1502,60,100634,555,727,1091,5796,303128,T
090209362,4265,100,349730,555,5867,545,5255,302745,F
297889183,1545,26,80340,555,754,1637,7232,302663,T
697105558,4389,44,153615,555,528,1637,5170,302463,F
928037605,4390,87,100970,555,4125,1091,3840,302372,F
283978258,17,48,748,555,1114,545,5593,302908,T
213738819,1521,56,121680,555,5739,2183,7234,302837,T
234546545,4445,55,417830,555,754,1637,6685,303014,F
516705993,165,1,9405,555,812,1637,3436,302484,T
056877517,4371,48,327825,555,584,2728,5076,302793,F
375514436,1469,12,127803,555,727,2183,3804,302551,T
002722216,4422,100,256476,555,1086,2728,5089,302647,F
990778822,1392,1,109968,555,967,1637,4131,302849,T
872190593,4410,60,233730,555,22002,2728,5607,302736,F
415415084,22,48,1078,555,1508,1091,3347,302531,T
421976113,4295,49,249110,555,1051,1637,4110,302310,F
898132248,1378,39,125398,555,614,1091,3587,303042,T
077165356,4366,79,436600,555,1168,2728,6673,302780,F
163203013,4267,95,345627,555,4400,2728,6703,302941,F
025518463,1506,40,102408,555,10561,2183,5167,302659,T
564326373,1531,54,148507,555,22002,1637,4899,302449,T
446503512,4417,109,123676,555,874,2183,5663,302596,F
509262901,1381,1,75955,555,1796,1637,7176,303230,T
285241686,4458,100,289770,555,596,2728,3793,302686,F
147959968,1434,48,103248,555,929,1637,3653,302417,T
864268669,4229,64,329862,555,2146,2728,6882,302680,F
285180063,4292,99,369112,555,790,1637,7251,303076,F
372564409,38,49,2584,555,1158,545,3247,303202,T
546986652,4206,62,382746,555,702,1091,5304,302428,F
797156883,1308,56,88944,555,616,1637,4102,303006,T
942045069,4368,62,235872,555,857,2728,5703,302509,F
492078286,11,49,858,555,2112,1091,5126,302578,T
668507341,1443,28,60606,555,729,1091,6728,302568,T
893025522,4436,96,124208,555,709,2183,5891,302370,F
941552052,1355,36,88075,555,4191,2183,5414,302825,T
640196491,4441,97,293106,555,11479,1091,4916,302834,F
414902324,4471,105,93891,555,1553,2183,5441,302973,F
852634128,1525,34,100650,555,5077,2728,4201,302528,T
791412926,1416,35,124608,555,700,1637,7004,303241,T
566349566,4334,56,277376,555,1517,2728,4886,302605,F
248610786,1274,13,113386,555,825,1091,5808,303104,T
301800628,4187,87,314025,555,932,545,5879,303163,F
269704909,4480,59,246400,555,596,1637,7299,302787,F
875507328,1318,64,109394,555,1320,1637,4249,302694,T
401802870,4432,104,407744,555,541,1091,3631,303258,F
343811180,1459,47,45229,555,1571,1091,5558,303295,T
103101145,1538,27,47678,555,1955,2183,6968,303027,T
237446125,4318,68,207264,555,733,1637,5814,302450,F
694883535,4196,51,331484,555,12001,1091,3549,302739,F
918182037,1558,1,59204,555,936,545,7507,303075,T
853969083,4326,53,259560,555,956,1091,5577,302991,F
510734466,30,9,1620,555,871,545,7045,302998,T
432247594,1525,36,80825,555,756,1637,3971,302770,T
641067019,4247,97,106175,555,1671,1637,6881,302376,F
755246116,1261,1,52962,555,981,2183,6813,303040,T
581981722,4320,57,371520,555,630,545,4938,303106,F
462612536,4342,107,312624,555,1368,1637,6743,302429,F
467869893,6,1,492,555,731,1091,6624,302995,T
257978881,52,1,1976,555,616,2728,5031,303012,T
604637119,4347,92,391230,555,1609,2728,5422,303199,F
458507035,13,37,676,555,946,545,5712,303165,T
597945606,4302,92,348462,555,960,1637,6858,302843,F
463457152,4452,112,222600,555,1389,545,5686,302703,F
649218558,1349,43,58007,555,1222,2728,5859,302319,T
636153014,96,29,5568,555,760,1091,5173,303283,T
660395761,4203,74,193338,555,1725,2728,6999,302649,F
066441546,78,1,2652,555,814,2183,3942,303186,T
976308645,4463,53,410596,555,1796,2728,5091,302409,F
861794341,19,16,950,555,1427,1091,3522,302580,T
970455990,4381,97,179621,555,985,2728,7009,303142,F
882727849,4222,74,249098,555,4475,545,3821,302995,F
667404979,157,34,10990,555,6140,545,3969,302884,T
324051548,1436,14,113444,555,2467,2183,7035,302338,T
986742606,4474,67,357920,555,4000,1637,6820,302734,F
