userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
606740171,4053,62,628215,3626,9912,975,1711,302837,T
446122507,280,19,41720,1351,3304,1625,1635,303171,T
831793464,2345,36,119595,1565,4130,1625,1862,303650,F
933569343,4116,36,991956,643,6195,650,1996,303165,T
117366681,4175,69,350700,1021,5506,975,1876,302937,T
645876654,4751,60,1002461,666,9292,975,1266,302794,T
460321678,4655,123,1145130,1036,3304,325,1282,303104,F
250466034,2220,29,475080,1402,3197,1300,1791,302902,T
680348073,2273,5,188659,764,3626,1625,1644,303465,F
894124689,2331,22,470862,984,11894,325,1962,303329,T
179520362,2297,12,114850,1184,12929,325,1287,303519,T
493853419,346,8,34254,711,3540,1300,2160,303119,T
960755599,359,1,3949,1409,4796,1300,1516,303679,T
800232361,4219,54,253140,3812,4018,650,1601,303324,T
293884078,385,1,93170,821,11437,1625,1635,303337,T
960773114,4231,66,42310,923,6608,650,1999,302935,T
600719912,2250,1,207000,1443,17492,650,1574,302973,T
124274558,4166,62,345778,792,59474,1625,1694,303511,T
925326605,2362,14,465314,3626,29737,1625,1635,303080,F
360309708,2362,4,89756,1062,4956,975,1511,303108,T
633812146,2294,12,261516,3097,19824,325,1735,303610,T
318504889,339,13,42036,1532,3812,1300,1512,303475,T
436282897,4192,51,272480,657,3498,1300,1310,303608,T
844738686,2315,21,113435,797,3671,1300,1358,303206,T
905510891,2255,8,42845,1486,6327,325,1514,303543,T
764903705,402,11,47838,650,2973,1300,1310,303436,T
587525156,2226,27,414036,745,6758,1300,1454,303076,T
948538866,4147,62,70499,1565,22874,1625,1635,303596,T
040490594,2186,22,424084,1021,3764,975,1816,303522,T
602128365,4626,95,1105614,3582,9292,650,1305,303676,T
532348717,273,2,50778,672,4073,1300,2037,302769,T
885915225,2197,2,472355,786,3163,975,985,303089,T
092216605,449,15,9878,693,4018,1625,1635,302859,T
280159724,2321,8,250668,613,10620,1300,1310,303516,T
660782782,2357,1,164990,3197,4956,1300,1388,303169,T
389155444,4057,46,312389,1122,5947,650,1525,303130,T
598826529,2247,2,177513,835,9011,325,1422,302752,T
389193906,2196,23,516060,3912,4874,1300,1310,303720,T
595994977,2218,36,339354,1298,3764,975,1723,303524,T
141604286,4186,67,62790,604,3232,650,1901,303678,T
838401039,2222,35,399960,671,49561,975,1377,302819,T
454063291,2327,38,95407,1457,3498,1300,1310,303448,T
436025126,2233,25,506891,1047,7825,975,1167,303372,T
052108908,4155,53,245145,2417,2973,1625,1635,303580,T
924348440,4811,51,1019932,1759,7825,650,1145,303418,T
144967846,456,1,62472,2944,6327,1625,2278,303613,T
093478538,2304,19,354816,1028,7434,975,985,303093,T
843655461,2266,14,446402,619,4796,1625,1635,303637,F
