userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
462603484,4284,75,329868,932,882,1625,2165,303671,T
308249566,2246,60,121284,932,1126,1625,1349,302944,F
528993620,2321,51,185680,932,1050,1300,1755,302773,T
965147750,2202,38,138726,932,1152,1625,1413,303455,F
701213439,2468,30,123400,932,599,325,1491,303633,T
639830014,2246,9,110054,932,1276,1625,2090,302841,F
119911818,4186,30,196742,932,971,1625,1948,303024,T
330722744,2262,29,101790,932,1709,1625,677,302982,F
427070882,4298,85,98854,932,9292,650,1757,302803,T
271369184,2449,46,149389,932,3717,1625,835,303188,F
529672999,2388,62,138504,932,926,325,1626,302998,T
238401062,2340,56,67860,932,869,1625,1112,303420,F
180041014,4237,38,326249,932,711,1625,1334,303507,T
423179429,2266,35,192610,932,696,1625,1703,303282,F
603128376,4079,52,301846,932,688,975,1406,303177,T
256287930,2211,37,145926,932,17492,1625,1934,302968,F
362316465,4270,61,149450,932,674,1300,1540,303308,T
858885709,2190,42,212430,932,1093,1625,1528,302824,F
761445468,2464,41,105952,932,869,325,1071,303582,T
858778779,2192,41,217008,932,701,1625,2288,303297,F
313593461,487,5,47239,932,1117,1625,810,303306,T
617198349,2304,48,147456,932,1218,1625,1561,303169,F
683641959,306,53,23868,932,638,975,2151,302851,T
594271285,2376,36,156816,932,1166,1625,988,303352,F
008299103,4121,61,226655,932,701,975,1218,303502,T
355924944,2306,60,117606,932,4505,1625,1733,303094,F
593351921,2360,42,84960,932,3418,650,1777,303485,T
638036135,2381,60,73811,932,640,1625,1338,303018,F
491646833,2429,23,68012,932,1011,1625,2146,303379,F
310017143,4263,78,272832,932,770,1625,1515,303541,T
107297916,2459,66,236064,932,1835,975,1571,303676,T
348260112,2256,5,191760,932,754,1625,1252,303644,F
024444392,551,1,30305,932,1089,1300,945,303214,T
383695386,2419,62,149978,932,1249,1625,1492,303113,F
220497720,4089,33,372099,932,2109,1300,2237,303414,T
096556093,2325,48,192975,932,652,1625,1827,303086,F
896113095,2256,23,187248,932,782,325,1366,302839,T
946285068,2380,35,238000,932,2009,1625,1062,303602,F
353292372,2448,52,200736,932,1249,325,1653,303668,T
059097221,2463,24,125613,932,819,1625,1012,303167,F
649216936,2407,17,72210,932,12390,1300,823,302811,T
342121522,2435,53,153405,932,5040,1625,659,302774,F
684601947,2311,47,161770,932,2252,1300,865,303637,T
663338456,2331,51,95571,932,2679,1625,1532,303584,F
015690280,4292,29,377696,932,801,975,1773,303047,T
641879437,2299,66,229900,932,1370,1625,1045,303455,F
891161145,2425,59,167325,932,2252,975,672,303663,T
574845502,2320,47,218080,932,991,1625,967,303488,F
964875135,2364,68,167844,932,3267,1625,702,303291,F
261719314,337,1,23253,932,3341,1300,1916,303280,T
007024726,2387,28,145607,932,823,975,1578,303523,T
924219664,2311,36,99373,932,1699,1625,1594,303269,F
634114391,295,42,23305,932,1101,1300,1815,303168,T
604250601,2352,65,169344,932,1184,1625,1649,303664,F
660398113,2283,53,189489,932,768,975,1113,303616,T
091487442,2305,45,170570,932,21240,1625,930,303350,F
805214533,2411,39,241100,932,3540,1625,1449,302857,F
565283606,2325,28,97650,932,978,975,1274,303642,T
020063205,2426,58,80058,932,597,1300,1411,302844,T
942207416,2342,35,152230,932,1058,1625,1804,303409,F
693864423,2340,18,194220,932,4130,975,1604,303634,T
635164063,2369,45,47380,932,1265,1625,1413,303506,F
875888914,2398,1,52756,932,1402,1625,1265,303419,F
298964736,521,1,48974,932,956,1625,832,302945,T
016520729,2242,35,181602,932,1402,650,1343,302948,T
302282891,2220,10,135420,932,1175,1625,1104,303301,F
542869014,4109,46,258867,932,2170,650,1591,303618,T
540280278,2412,39,69948,932,2341,1625,2172,303579,F
913239434,2421,5,121050,932,2323,325,1387,303364,T
430372393,2201,46,66030,932,5830,1625,1538,303441,F
460405368,264,41,16896,932,1199,1625,1764,302909,T
644572789,2324,18,92960,932,1906,1625,2123,303293,F
133122969,4285,49,201395,932,1122,1625,1395,303190,T
064027655,2286,18,198882,932,1054,1625,2224,303360,F
554511569,2439,68,107316,932,2186,975,1048,303527,T
339698394,2307,11,140727,932,1464,1625,1381,302827,F
031232494,4131,66,318087,932,842,1300,1443,303475,T
949824243,2335,45,95735,932,6915,1625,1154,303629,F
572844573,4153,57,120437,932,5610,975,681,302770,T
387233149,2339,20,203493,932,659,1625,1565,302770,F
672090326,2465,37,56695,932,1315,1625,1116,303021,F
583991569,513,1,49248,932,721,1625,614,303505,T
212978512,2300,41,115000,932,950,1625,871,302950,F
130287210,4191,44,419100,932,3498,1300,1816,302900,T
321219597,4077,68,240543,932,5506,1625,1573,303336,T
358910429,2316,30,67164,932,2631,1625,1530,303268,F
262166192,2414,1,183464,932,659,650,1004,303353,T
062787604,2326,1,106996,932,1943,1625,1476,302942,F
681159181,279,1,11997,932,3267,1300,1321,302874,T
883517526,2339,55,159052,932,3267,1625,1772,303102,F
623080278,2275,62,175175,932,2139,325,1530,303730,T
634289681,2415,44,236670,932,711,1625,1313,303119,F
203319768,382,32,14516,932,1081,1625,1408,303402,T
227954843,2255,10,151085,932,3498,1625,927,303320,F
420194251,408,11,15912,932,812,1300,1262,303717,T
302223918,2427,39,84945,932,997,1625,1657,302799,F
762426067,2322,1,81270,932,938,325,1721,303613,T
511580417,2411,27,113317,932,3717,1625,815,303397,F
069872573,4309,77,262849,932,4248,1625,2263,303102,T
427454464,2352,1,206976,932,837,1625,1615,303087,F
