userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
419587582,2412,32,41004,1459,10466,2384,5367,664375,T
962239316,4419,7,216531,2057,7058,953,4939,664414,T
180448300,2494,1,441438,1291,46697,1907,5448,663767,T
093035621,2451,30,174021,2797,7058,1430,5252,664246,T
799027265,4371,24,555117,1613,5782,697,1574,562526,T
042274814,4404,24,1034940,2662,17344,1907,9748,664241,T
449071490,2442,34,422466,2115,40470,1430,7944,663724,T
601645939,2530,12,351670,1927,7141,1430,7683,664433,T
136675610,2409,34,69861,3281,40470,953,10465,663943,T
780963475,4402,34,554652,1970,7226,953,4923,664473,T
599646495,4367,10,476003,6898,11903,476,5112,664143,T
111430426,4408,4,70528,8431,15176,476,4829,663747,T
853608665,2445,16,569685,1585,6131,953,4785,663768,T
785865394,4377,26,266997,1352,8431,1907,4731,664330,F
729304982,4310,6,232740,2771,8431,476,9695,664118,T
461743233,2355,33,553425,2130,20933,953,9514,663768,T
761328532,4429,34,447329,1221,6131,476,9751,664488,T
714640793,2392,21,31096,1610,7141,2384,7778,664083,T
659656541,2379,1,385398,1951,11037,2384,5686,663854,T
151751257,2479,1,136345,1585,75882,953,8093,664010,T
053099399,4357,16,605623,6671,15176,476,4832,664213,T
955095923,2384,17,469648,1337,16862,476,5562,663919,T
167698109,874,40,218500,4669,9635,476,5425,664021,T
805761382,806,33,55614,1649,20235,476,10433,664530,T
214264382,2374,4,384588,1705,8315,953,5694,664080,T
535248523,903,28,84882,476,2122,739,1945,87946,T
375912540,2384,3,445808,1862,11454,1430,10271,663663,T
931195712,4341,22,1011453,2479,112383,1818,4488,1126944,F
533249744,2482,34,32266,1856,9339,1907,7832,664631,T
845849046,2432,10,184832,1385,13197,953,7882,663676,T
642145795,2352,24,39984,2946,11241,2384,10052,663838,T
310643082,2462,20,423464,1785,22483,1430,7394,664354,T
931292984,845,25,137735,5058,11903,953,10518,663866,T
934502336,2468,1,239396,2317,17344,1430,7527,663933,T
910524404,2386,27,465270,1568,12647,1907,5411,664507,T
048047130,2466,4,525258,2518,46697,1907,10087,664591,T
430278984,2521,14,277310,8431,6671,1907,9916,664473,T
333601684,2447,22,261829,1513,12916,1907,10383,664465,T
336470382,4427,42,646342,1605,10289,476,9915,663728,T
446795013,2379,3,418704,2240,20235,1907,10450,663735,T
078807840,2443,23,385994,3550,15176,953,7763,663700,T
173103687,2353,1,536484,1759,22483,953,8033,664557,T
722470257,4383,36,175320,2639,6131,953,7415,664206,T
407346011,825,14,51150,1233,10117,476,10166,663992,T
545707277,4451,15,186942,1477,6390,476,7290,664078,T
850280262,2446,28,303304,1834,14806,2384,7653,663645,T
626554595,4420,22,366860,2428,8203,476,7361,664250,T
306849239,4398,13,936774,1385,7782,476,7975,664430,T
908239494,2473,25,306652,2467,27593,2384,4729,664641,T
781087743,2432,11,243200,1379,6820,1907,7956,664460,T
753782712,866,30,161076,1618,10650,953,7440,664567,T
783157450,4373,23,139936,1428,13796,953,7339,664295,T
760139028,2339,22,226883,3592,20235,1907,4998,663954,T
284706118,2460,1,49200,1233,18395,953,9506,664345,T
974531183,2362,9,302336,2273,13490,1430,9775,664443,T
103044089,4273,9,98279,1564,7782,476,7821,663846,T
877740958,4369,9,620398,6323,7226,1430,10494,664133,F
340179494,2416,22,340656,3866,30353,476,10120,664246,T
488835693,2532,19,45576,4020,8203,476,5340,664022,T
158970038,2445,18,496335,4367,21680,1907,9756,664619,T
041294590,837,39,94581,1352,18395,953,10409,664004,T
978138295,805,17,152145,1415,18970,953,5622,664000,T
845188288,2474,8,222660,3372,6898,953,5223,663783,T
497937779,2432,20,55936,1243,14453,2384,8078,664270,T
111886421,810,47,153900,8431,12141,953,4894,663744,T
114096123,4403,32,885003,1649,7588,1430,5313,664599,F
736001786,2463,35,320190,1769,7684,1430,9740,663704,T
406442526,869,10,167717,8550,6323,476,5631,664257,T
483083281,2424,1,399960,1283,6131,2384,10199,663766,T
708416426,913,8,158862,1280,6390,953,9608,663788,T
396779133,2369,2,168199,1389,20235,953,5148,664368,T
278522951,2346,8,556002,1597,20235,2384,5482,664565,T
851165176,4399,28,752229,1775,6458,476,7257,663843,T
429243711,4402,26,964038,3550,7141,476,9807,664621,T
742370590,2431,24,170170,4367,8315,2384,10118,664073,T
535250452,4333,40,987924,1241,50588,476,4923,664469,T
978957883,4283,20,668148,3429,121412,1907,9718,664587,T
097630061,2505,15,205410,1445,9485,2384,7488,664258,T
479036672,854,38,174216,1291,12141,476,7946,663897,T
335679062,4409,11,193996,4975,15565,953,8126,663748,T
845423407,2368,1,281792,2550,7494,476,7364,664397,T
936676978,2506,25,483658,3679,30353,2384,8020,664508,T
567026344,4350,7,1078800,1418,15565,476,7104,663877,T
479073330,4068,34,833940,5188,12916,953,9521,663824,T
772556513,2379,19,325923,2240,7684,953,7960,664335,T
358128308,2362,10,250372,1796,22483,953,10338,663923,T
043341319,833,13,27489,2199,9485,476,10066,663690,T
790575331,2498,6,232314,1275,12647,2384,9849,664112,T
012312827,4376,29,87520,2650,15176,476,7805,664381,T
566572660,4307,39,318718,1425,7782,476,7142,664059,T
764779919,911,41,71969,4215,9060,953,7242,664228,T
849534177,2526,28,495096,1891,8094,1430,5207,664221,T
974244930,4311,27,400923,5781,9060,953,4855,663726,T
606262209,2371,26,97211,4101,6070,1907,5629,664444,T
902487583,2492,22,428624,3818,18970,953,5758,663743,T
574143100,2493,21,132129,1477,121412,1907,7817,664605,T
181687739,951,35,163572,1370,12916,953,7689,664052,T
150972966,2463,9,199503,3229,6527,953,5486,664490,T
482378090,810,24,193590,3391,19582,476,5671,664408,T
898730930,2363,7,370991,6671,20235,476,7888,663942,T
879020688,2498,7,384692,3916,18970,1430,9877,664312,T
889103229,4333,10,1000923,2518,8798,476,7441,664637,T
338563912,2411,17,460501,1903,7403,1430,5471,663884,T
