userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
325082656,2539,53,142184,1392,2030,2384,5766,664004,T
878952428,4565,17,132385,1392,4598,1430,10335,663996,F
532711325,2547,60,112068,1392,16407,953,7583,663984,T
197430308,4388,25,351040,1392,1845,1430,9947,664515,F
547750129,2367,6,78111,1392,1775,2384,5560,664578,T
777633677,896,66,89600,1392,1425,1430,9776,663650,F
912367007,4301,18,202147,1392,1328,1430,7172,663684,F
970565397,4490,67,152660,1392,1560,476,7566,664613,T
218557213,4339,46,282035,1392,1780,476,10126,664575,T
983574840,4390,41,109750,1392,3724,1430,9731,664163,F
911223482,2408,1,65016,1392,1572,1907,7738,664413,T
243524320,4439,49,372876,1392,2003,1430,5557,663755,F
069244472,2564,29,192300,1392,1593,1907,9607,664169,T
604841105,894,31,75990,1392,1927,1430,5465,664053,F
413443685,2438,32,195040,1392,3967,1907,5661,664039,T
289408319,4352,71,265472,1392,1996,1430,10413,664418,F
929472872,849,62,53487,1392,2627,476,10291,664359,T
861574659,4443,52,382098,1392,1977,1430,5640,664477,F
257413056,4302,41,374274,1392,1395,953,5689,663642,T
549431463,4494,31,152796,1392,4496,1430,9534,664123,F
306398930,4421,29,207787,1392,4245,476,10077,663870,T
741914255,961,33,60543,1392,3529,1430,5432,663939,F
081999308,2618,1,54978,1392,1983,1430,7189,663961,T
932424675,4285,63,222820,1392,4129,1430,4878,663878,F
173424483,971,27,74767,1392,3410,1430,10110,663760,F
519452351,959,23,20139,1392,2362,953,7749,663864,T
442636942,2469,62,86415,1392,7588,1430,5552,663959,T
867993696,1033,55,63013,1392,5325,1430,10309,664439,F
570971418,2377,49,206799,1392,1361,1430,9703,663870,T
068007210,1017,64,66105,1392,2010,1430,5754,664106,F
626624294,2412,39,98892,1392,7058,953,8070,663889,T
039285524,4467,47,433299,1392,1663,1430,5370,663742,F
553793475,1100,47,51700,1392,2122,1430,7647,663778,F
244973694,2405,22,149110,1392,1734,1907,7360,664089,T
813100365,2611,23,198436,1392,4856,953,9853,664460,T
588826580,1027,37,37999,1392,1401,1430,5524,664287,F
467667460,4400,56,347600,1392,1297,476,7631,664443,T
076662446,920,52,29440,1392,1313,1430,9723,664163,F
372962307,4330,16,433000,1392,6258,1430,7669,664459,F
605153778,2587,62,69849,1392,1487,2384,7902,664169,T
882577637,4346,65,356372,1392,2057,476,7853,664580,T
383646156,962,57,61568,1392,2282,1430,5256,663752,F
104823292,4291,73,244587,1392,5278,1430,10250,664520,F
240811224,2463,40,169947,1392,1425,953,5166,663807,T
327719271,4551,64,309468,1392,1421,953,4804,663739,T
859749088,1085,56,96565,1392,1385,1430,8065,664568,F
294303813,1050,71,64050,1392,3372,1430,10124,664632,F
714976663,2534,6,55748,1392,1462,1907,7191,663988,T
913698662,1080,25,108000,1392,2240,476,10245,664575,T
145509618,809,76,56630,1392,1850,1430,10264,663825,F
917889716,4418,21,326932,1392,3941,953,9918,663983,T
406860722,4502,63,400678,1392,1909,1430,9867,664374,F
043884689,946,44,71896,1392,7588,1430,5483,663784,F
674504569,2594,52,199738,1392,16862,2384,9966,663804,T
343141077,2426,64,106744,1392,1867,953,10264,664524,T
109856180,4329,19,424242,1392,6598,1430,5107,664556,F
159564102,815,11,42380,1392,2823,953,5129,664311,T
984434448,4479,49,259782,1392,2627,1430,10049,664416,F
720252811,2428,6,53416,1392,2890,1907,7624,663991,T
428188971,4401,56,418095,1392,1313,1430,5233,663641,F
473289259,2520,20,166320,1392,21680,2384,9923,663979,T
383613255,1072,64,35376,1392,3065,1430,7919,664373,F
217226600,4504,17,162144,1392,1785,1430,5551,664501,F
243651692,2342,18,131152,1392,11674,2384,9844,664348,T
539775123,4535,36,308380,1392,2078,1430,9603,663965,F
171570044,2525,61,88375,1392,6194,2384,7149,664637,T
908481260,816,46,49776,1392,1977,476,4733,664629,T
743663250,820,65,35260,1392,2961,1430,10523,664341,F
068230004,4458,7,378930,1392,11241,953,5512,663879,T
942162846,841,72,35322,1392,1801,1430,4902,664247,F
635120216,811,56,21086,1392,1654,476,5628,664201,T
042103634,4393,58,250401,1392,9060,1430,7199,663761,F
871359068,2444,56,117312,1392,1690,1430,7407,664088,T
232333356,4295,52,416615,1392,1663,1430,7934,664276,F
335910121,2523,23,176610,1392,2362,1907,7940,664280,T
483545890,4555,49,159425,1392,1267,1430,8146,664241,F
510688878,4281,48,359604,1392,1623,953,8075,664331,T
036982872,4488,53,291720,1392,4530,1430,10503,663934,F
941200915,949,31,87308,1392,1517,953,8027,663874,T
164153582,4376,41,424472,1392,1749,1430,5237,664248,F
470762418,4436,58,412548,1392,1462,953,7565,663993,T
474579532,832,48,43264,1392,7782,1430,7736,664152,F
399601477,2496,5,89856,1392,1636,476,5217,664115,T
075713619,877,45,44727,1392,2487,1430,7926,663833,F
522000455,857,73,75416,1392,1448,953,4727,664470,T
295990746,4366,8,427868,1392,2273,1430,5723,664093,F
662268043,1081,24,51888,1392,3410,953,5698,664547,T
769914878,4456,5,209432,1392,3299,1430,9828,664460,F
197113248,4325,14,207600,1392,1331,476,10301,664110,T
990666067,833,20,16660,1392,2797,1430,10278,664399,F
062742641,4378,40,341484,1392,2561,953,7659,663919,T
187662436,1035,51,33120,1392,2605,1430,5350,664328,F
234120099,2523,1,224547,1392,1352,476,8147,664158,T
047924572,1071,47,26775,1392,3263,1430,9960,664542,F
515946627,2461,21,140277,1392,6323,1907,10471,664549,T
817742404,4476,45,362556,1392,5893,1907,4827,664279,F
593217336,933,65,35454,1392,1473,476,5444,664084,T
742660884,1032,44,88752,1392,2627,1430,5426,664470,F
444278746,2554,38,148132,1392,19582,2384,5357,664159,T
758068526,4312,43,431200,1392,3941,1430,10014,663808,F
