userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
284132901,3794,108,87262,1644,11615,475,3055,762017,T
876182181,4623,38,813648,2636,14575,950,2760,761602,T
503811276,3797,115,163271,620,3887,1085,3042,168243,F
248557306,3884,110,275764,1602,33789,950,1865,761804,T
118017901,4575,35,695400,2997,9292,950,3749,761706,T
822008991,112,1,5824,2554,106194,475,4399,762035,T
137436157,2457,45,353808,2826,11799,475,2686,762476,T
606721852,87,1,15486,2938,27531,2377,2387,761628,T
567388402,1897,10,388885,1724,30973,2377,4246,761962,T
893952319,172,1,18576,3059,37168,475,2277,761910,T
098610883,1876,8,307664,3698,13765,2377,3174,761756,T
705579377,248,1,15128,2421,46460,1426,2879,762212,T
115643205,58,1,12064,2025,49557,1426,3408,762037,T
169020939,147,1,23079,1626,9177,950,3644,762121,T
954675329,67,20,11256,3190,26548,1901,3773,761895,T
003612250,1869,30,327075,1693,23230,2377,2387,761635,T
312481628,188,18,8272,3591,7824,2377,2387,761799,T
801938078,4646,10,250884,1732,37168,475,4080,762268,T
449848529,4567,5,680483,7079,10619,1426,2187,761830,T
482879241,150,1,20550,1605,25633,2377,2387,762418,T
133130594,2498,33,122402,1535,53097,475,4023,761583,F
415486928,3889,115,416123,4247,33789,1426,3137,761836,T
403291441,231,1,6699,1740,8080,1426,3711,761500,T
163827345,3861,122,266409,1749,8447,1901,3783,762296,T
163473642,151,1,35485,4704,7433,950,3415,761820,T
994685200,4654,33,321126,1517,10469,1901,2878,761548,T
955689536,3879,115,85338,3425,8352,1901,2819,761630,T
620190945,2441,15,275833,6246,9911,475,3740,762140,T
312622844,107,1,21935,5347,12389,950,4616,761529,T
576496106,227,1,52210,2315,10469,2377,2872,761671,T
104713978,4564,36,698292,1774,13274,1426,4688,761870,T
110531889,2401,48,326536,2047,8259,950,2808,761541,T
848058829,3801,110,45612,1992,8168,475,4557,762328,T
341237132,106,15,23320,2693,18584,950,3280,761681,T
384826927,168,1,38304,1648,14025,475,2181,761529,T
763515407,4743,33,1090890,3698,15816,475,2201,762096,T
548257760,4559,37,123093,1863,53097,1901,2506,762137,T
979480892,3856,125,169664,1708,10619,1901,2995,762332,T
