userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
671121454,2876,32,204196,8131,45129,2097,2107,914692,T
671829779,4567,38,570875,5641,15561,2097,2432,914610,T
044631397,1786,300,230394,7459,25788,2097,2228,914419,T
968901925,4540,18,953400,2564,9918,419,2144,914140,F
071032835,3650,744,700800,1838,10374,2097,2107,913973,T
203964667,1686,306,247842,3639,37607,419,1514,914408,T
176766261,2913,46,713685,5606,64470,1677,2073,914828,T
163344531,2895,41,648480,5676,11282,1258,2492,914925,T
664579526,2915,13,483890,1900,9705,419,1686,914311,T
322580759,1513,32,39338,2123,29115,2097,2107,914717,T
819038026,1688,305,346040,3484,10141,419,1732,913999,T
795686854,1397,21,149479,3342,9705,419,2384,914920,T
039151434,3719,752,609916,3567,10141,1258,1268,914269,T
024178957,2799,35,198729,1912,75215,1258,1481,914765,T
990099794,4477,46,102971,2169,12535,419,1322,914093,F
786174906,1735,289,419870,1727,9542,750,3220,431927,T
028244790,3618,752,481194,3714,42980,2097,2107,914111,T
072667748,4519,29,72304,9918,39242,2097,2107,914168,T
030721008,3671,719,179879,3511,14326,419,1122,914650,T
241146567,3611,747,202216,6057,12197,2097,2163,914210,T
285130492,3631,749,573698,2998,10374,2097,2107,914049,T
967877700,3686,732,858838,4159,12535,1677,1687,914259,T
563530777,3672,751,84456,2426,10374,838,1109,914648,T
444088759,3740,752,647020,3342,64470,838,1371,914047,T
203214539,2868,27,57360,3610,15834,2097,2107,914318,T
394830436,4392,25,856440,5977,12535,1677,1889,914135,T
599908426,4287,556,317238,5278,45129,2097,2107,914372,T
193124614,4426,37,889626,3958,18051,2097,2107,914126,T
804419240,4222,550,772626,3380,13273,2097,2447,914532,T
631242094,4421,13,477468,2432,10141,1677,2419,914503,F
368290152,4354,555,587790,2865,16410,2097,2107,914928,T
000628138,4447,49,827142,5437,20057,1677,2251,914765,T
719704178,1794,302,100464,4959,82052,838,1578,914968,T
632411241,1764,304,312228,9304,16117,838,950,914576,T
043765501,4458,41,454716,4878,16410,2097,2107,914831,T
191784547,2946,20,730608,8514,10256,1677,1839,914691,T
486380371,1825,288,27375,1900,26546,1258,1760,914302,T
326206176,1805,281,425980,4084,17029,419,2415,914627,T
839749786,4468,50,643392,12712,21490,1258,1268,914175,T
608794730,4370,526,1044430,2686,42980,2097,2229,914461,T
409403813,2917,32,665076,1957,10618,838,1866,914829,T
587305812,4400,29,479600,3112,20513,2097,2107,914079,F
338946060,2828,30,492072,3112,45129,1677,2202,914013,T
139207374,1709,298,387943,3840,14102,2097,2107,914740,T
584233007,4581,51,1104021,7106,20057,838,1948,914526,T
054687998,1740,290,386280,3080,24394,1258,1952,914223,T
837226449,1647,282,370575,4217,26546,1677,1687,914549,T
708876116,2795,41,354965,5748,34714,2097,2107,914717,T
803002248,3345,166,408090,1860,13675,2097,2107,914721,T
207153458,1401,27,165318,1908,11876,419,2466,913971,T
437452073,3723,752,848844,7584,47504,2097,2107,914346,T
326733408,1649,300,326502,4676,24394,1677,2295,914340,T
940005657,3773,755,267883,2094,16714,1677,1866,914553,T
320095033,2867,17,642208,2250,13471,1677,1687,914058,T
475863724,1685,294,242640,2060,17357,2097,2490,914340,T
867419304,3654,720,760032,10028,10256,2097,2224,914353,T
802436018,1399,14,19586,1827,9601,838,1759,914481,T
708399692,1680,271,336000,2320,12197,1258,1919,914832,T
718985823,1575,44,91350,2206,20990,1258,1268,914218,T
690243689,1784,283,105256,2099,15561,2097,2612,914315,T
669363835,4556,25,1120776,2180,150430,1677,2552,914945,T
286287989,3590,753,341050,1838,13885,838,1694,914906,T
565660408,1553,7,46590,3924,20513,1258,1268,914935,T
796355089,3594,716,876936,6098,9810,1677,1687,914798,T
636625541,3772,717,147108,2413,20513,1677,1687,914838,T
567002868,4549,50,955290,5823,15561,1258,2434,914015,T
483522975,1656,272,218592,2601,42980,419,2149,914826,T
541471460,1820,275,80080,2290,11876,419,1727,914699,T
211135467,4411,22,423456,6401,23143,2097,2107,914126,T
979048998,1684,300,306488,2344,14102,419,1535,914929,T
627761364,2786,14,270242,2356,19621,2097,2107,914620,T
837060055,3621,745,666264,6636,20990,2097,2107,914480,T
430618453,3665,748,256550,7278,22564,2097,2302,914351,T
645861662,1705,305,393855,7780,69429,419,2150,914343,T
754513431,3652,750,719444,4905,12034,419,1785,914871,T
755584407,2785,16,548645,4852,12364,2097,2107,914195,T
492182228,1801,284,61234,2169,82052,419,1279,914508,T
600332104,1780,272,161980,1872,16714,419,1517,914821,T
372258580,2927,36,134642,4217,27350,2097,2107,914193,T
447946581,3647,735,889868,1975,19621,1258,1329,913983,T
328985929,4508,33,495880,2084,21490,1258,1951,914534,F
917591958,3593,750,783274,1838,22014,1677,1821,914919,T
909463676,1807,280,298155,2250,41026,838,1673,914867,T
798335388,4457,48,213936,2528,180516,2097,2107,914595,T
302334195,1804,304,248952,3178,16117,838,1429,914033,T
989524855,3770,732,497640,9401,128940,419,1581,914828,T
815936716,1675,303,229475,4065,18051,838,1672,914357,T
720637896,4283,523,458281,3070,16410,2097,2107,914751,T
566781094,2821,37,564200,10618,9210,1677,2539,914269,T
332467453,3643,741,659383,3808,24394,838,1621,914176,T
646623815,3783,725,889005,5712,9304,419,1759,914652,T
620924621,2857,21,568543,3418,20057,1677,1687,914695,T
957343533,1640,294,268960,2751,11876,419,909,913974,T
209908655,4384,43,548000,2949,13273,419,2206,914473,F
005713904,1735,287,347000,5187,10745,838,1729,914508,T
738660433,2954,21,505134,4986,29115,838,1358,914373,T
181445435,2872,46,502600,1983,13675,2097,2107,914556,T
791356760,1661,275,367081,2149,100286,838,2052,914361,T
081192147,1691,271,382166,4381,64470,2097,2107,914914,T
262288024,4497,50,993837,2055,12535,419,2515,914089,F
904261046,1498,11,112350,5340,27350,1677,1898,914181,T
048209838,4338,548,659376,5437,64470,2097,2107,913984,T
903641316,3727,729,275798,2578,18803,2097,2633,914228,T
423804509,3730,750,831790,2037,22564,1677,2562,914950,T
625438148,1424,43,44144,1892,9810,419,1271,914381,T
794089708,1772,289,157708,5187,13471,2097,2107,914142,T
421240180,4491,11,678141,11007,10028,838,1172,914381,T
204091875,1798,281,300266,2803,9304,419,2131,914277,T
043449472,2841,27,701727,9304,25788,1677,1689,914606,T
021656713,2894,15,118654,2902,112822,2097,2435,914610,T
003961186,4369,558,882538,2001,112822,2097,2299,914721,T
368341358,2894,18,463040,1884,12034,1258,1351,914183,T
634516914,1655,289,331000,1970,9401,419,2034,914263,T
667161564,4481,32,421214,6057,22564,1258,2252,914079,T
382075788,1517,39,116809,4065,11142,1258,2122,914226,T
060795486,4269,529,358596,1962,90258,1677,1687,914755,T
263041735,2903,40,319330,10256,16117,1258,2382,914237,T
158718772,3615,731,162675,8435,11007,2097,2252,914801,T
952693201,3709,744,797435,12197,53092,1258,1268,914843,T
851561139,2794,32,290576,1908,75215,2097,2107,914122,T
657089394,4452,13,997248,3431,10745,1677,1687,914970,F
753790627,3449,16,310410,2969,18420,2097,2107,914440,T
903897449,3697,721,743097,3101,9025,419,1848,914855,T
839140780,1776,303,222000,3223,10618,1677,2433,914954,T
723189376,4364,543,1073544,2320,10874,2097,2402,914737,T
169618508,3604,727,724404,2079,12894,1677,1687,914480,T
661633592,2822,28,203184,7459,10141,2097,2107,914800,T
682521553,2918,21,723664,12535,10495,2097,2107,914876,T
903720036,3467,26,291228,3941,11425,1258,2100,914030,T
243105256,2891,37,190806,4959,10874,1258,2065,914389,T
333425770,4268,531,998712,2084,9705,2097,2470,914908,T
429448023,2958,38,346086,6735,90258,2097,2107,914361,T
792154755,1414,34,33936,1805,15297,419,2092,914788,T
347934352,2879,49,115160,3610,24394,419,2172,914769,T
588856619,1546,19,32466,3484,11282,2097,2211,914879,T
067340381,1720,284,302720,4852,11721,1677,1731,914426,T
979418298,4449,37,186858,5503,15834,2097,2107,914389,T
820402697,1650,287,46200,2571,11721,419,1481,914062,T
404950273,2836,20,581380,2290,9918,2097,2107,914253,T
911822495,2854,19,108452,1808,18420,838,2438,914479,T
412571996,2953,32,537446,2528,47504,2097,2312,914150,T
325008379,3588,732,315744,8762,64470,2097,2107,914126,T
117344434,3563,10,195965,3431,13885,1677,1687,914867,T
390561179,2840,45,193120,2010,9304,838,1182,914636,T
525995699,4480,38,344960,4775,32235,419,1474,914163,T
664733698,2833,24,430616,2212,112822,1677,1785,914071,T
406839695,3660,731,395280,3155,18420,1258,1792,914581,T
778420707,2778,37,630606,2368,9025,2097,2107,914183,T
089691714,2955,17,354600,2601,12535,419,2375,914575,T
030216766,1491,46,37275,4178,14796,1258,1740,914511,T
847225315,3676,716,150716,2920,19203,838,1523,914504,T
030287651,1740,280,170520,3246,22564,838,1052,914541,T
289598502,3578,14,354222,2169,20057,2097,2107,914459,T
250979823,2879,35,630501,1979,9210,1258,1932,914243,T
611842769,4447,25,573663,2751,100286,838,1822,914317,T
697482350,3781,735,771324,1904,42980,1258,1268,914837,T
974960273,1388,18,174888,2143,18420,1258,1268,914609,T
827376175,4470,33,782250,3958,12364,419,1292,914134,T
717281180,1747,283,323195,2273,10874,1677,1948,914897,T
392655763,3692,719,516880,8205,34714,838,2656,914910,T
561746486,3667,744,271358,3808,23143,2097,2107,914543,T
497453739,1693,278,208239,5309,11721,419,2230,914439,T
223133410,1491,23,162519,4605,9304,1677,1687,914745,T
576963293,4367,524,1087383,3258,10495,2097,2107,914678,T
026103307,3632,750,112592,2296,9025,1677,2191,914153,T
390931575,2807,29,533330,1953,11425,1677,2068,914684,T
329669801,1417,34,76518,3458,10618,1258,1773,914497,T
319839918,3207,179,429738,2413,9810,2097,2107,914835,T
369284718,3659,755,684233,2940,31123,1677,1687,914179,T
546498168,1450,36,129050,2394,14557,1677,1687,914551,T
204498401,2898,41,191268,5128,13471,1258,2017,914411,T
733216168,4388,35,469516,4725,15043,2097,2107,914860,T
712795619,2846,14,295984,1908,18051,1677,1798,914875,T
618923008,3771,749,942750,4775,10495,1258,1268,914696,T
156594292,1779,279,24906,2406,11007,1677,1687,914612,T
217759748,1438,19,53206,7278,37607,2097,2107,914651,T
543872675,1438,41,168246,2250,12197,1258,2400,914444,T
207557295,1399,12,223840,4402,9601,1677,1878,914878,T
675650232,4510,42,902000,2978,18051,838,1403,914423,F
075909900,1767,278,185535,7398,11721,838,1019,913995,T
718569416,3706,736,240890,2662,13080,2097,2107,914148,T
011135860,2877,45,457443,2164,36103,419,1093,914236,T
083375482,1562,38,42174,3471,9810,1258,1778,914231,T
971733479,4480,42,972160,1842,16714,2097,2107,914664,T
494070777,1706,294,332670,3212,12894,2097,2107,914167,T
852339821,1482,6,103740,2290,9705,838,1518,914027,T
194856689,2847,21,259077,2262,16410,2097,2107,914622,T
686384860,3502,40,105060,5187,16410,1258,2438,914752,T
043393268,2923,10,385836,1900,9918,2097,2107,914318,T
429182003,1693,282,237020,2267,26546,838,1856,914199,T
800947297,4471,27,777954,2108,22564,838,1889,914259,F
652062400,2946,19,530280,2128,36103,1258,2176,914586,T
687984128,4472,34,943592,2803,56411,1677,1687,914886,T
063967702,3307,179,687856,2432,11876,1677,1687,914569,T
753877262,2843,27,480467,1823,112822,1677,1773,914829,T
836412857,4535,18,140585,10256,17697,1677,1687,914931,T
852513149,3238,154,553698,3282,28205,2097,2107,914139,T
351959317,3780,735,343980,3890,33428,1258,1268,914926,T
111443864,4283,526,830902,4446,13675,2097,2107,914809,T
721748121,4413,36,1072359,3654,13675,838,974,914820,F
099567289,4574,19,773006,2273,12535,419,2105,914640,F
445545991,4458,13,860394,1908,34714,419,1630,914614,F
202252385,4426,21,1106500,10256,22564,419,2120,914053,T
042575302,2810,12,508610,2060,32235,2097,2343,914716,T
226477904,2805,10,650760,2514,11282,2097,2107,914492,T
760830031,2850,35,458850,2108,15561,1258,1832,914878,T
163455759,1745,301,343765,2201,19203,1677,2254,914324,T
930553508,2863,38,108794,2472,53092,1258,1268,914631,T
605179394,1735,309,392110,4102,16714,838,1272,914805,T
888782064,3549,28,301665,889,7735,1047,4751,310555,F
268242267,3638,755,491130,4318,20513,2097,2107,914867,T
602445850,1398,10,33552,2326,10256,1258,2117,914415,T
718631858,1764,275,402192,2785,13675,1677,1687,914154,T
953721751,1707,281,399438,9116,75215,838,1586,914397,T
801493252,1753,292,280480,1996,19621,1677,2510,914931,T
795976655,1744,288,109872,4750,27350,1677,1687,914128,T
362158346,2801,18,89632,3155,34714,1677,2174,914339,T
467459296,4482,28,726084,1904,10374,1258,2648,914062,T
787887309,1693,295,206546,1953,19203,1677,2532,913977,T
846971001,3617,752,802974,6889,13885,2097,2107,914157,T
696048338,1578,37,53652,2028,16410,1258,1903,914342,T
764087232,1783,284,89150,3471,19621,1677,2518,914818,T
630143204,2861,11,386235,4140,21490,838,1384,914682,T
201525205,3204,164,631188,2051,23143,2097,2107,914723,T
539581757,3215,165,533690,1949,15043,2097,2107,914779,T
874652162,1545,34,74160,5372,11721,1258,2500,914642,T
067454443,2901,30,220476,1860,30086,419,1660,914256,T
071876150,1792,282,64512,9705,13080,1677,1687,914929,T
274240128,2938,19,431886,2694,14326,419,2572,914809,T
714104619,1568,12,54880,1849,9918,1677,1846,914617,T
580395724,1705,295,155155,2459,53092,2097,2107,914464,T
130259086,3757,737,680017,3270,64470,1677,1687,914563,T
721570219,3782,723,695888,7780,11425,2097,2181,914631,T
089045934,2967,37,163185,3525,45129,1677,1725,914083,T
114508344,1771,299,313467,9810,34714,1677,2596,914558,T
776200965,3303,163,584631,3133,11282,2097,2107,914311,T
510304240,4421,27,1043356,1830,45129,1677,2274,914633,T
416366320,4531,23,883545,3270,16117,2097,2107,914048,T
196059212,4452,22,796908,7220,14326,2097,2107,914131,T
516059522,2796,18,355092,5860,15834,838,2251,914307,T
330361569,2866,18,607592,3808,11142,838,1454,914107,T
306992258,4554,11,787842,8131,17357,1258,1268,914779,T
201421461,1745,279,369940,3729,9918,1677,2307,914284,T
669788428,2881,29,60501,7780,15043,838,1420,914524,T
642708723,4400,36,299200,9705,90258,419,1289,914869,T
789158873,2850,42,287850,5676,10745,1258,1267,914712,T
425255907,2917,35,647574,4628,100286,419,2201,914252,T
695808618,1723,270,310140,4725,75215,838,1403,914695,T
864713918,2865,41,68760,4047,64470,838,2112,914469,T
308219017,1658,304,373050,4905,14102,419,2011,914602,T
612092105,3604,14,126140,3941,20513,2097,2107,914623,T
618023290,1748,304,326876,2108,9918,1677,1687,914704,T
920993601,4528,45,670144,3235,12197,1677,1687,914824,F
938580985,4495,40,827080,1798,165416,1107,2712,995194,F
142933134,3611,734,216660,3028,9116,419,1634,914498,T
885145163,4550,36,277550,11142,14326,838,1327,914314,T
404149441,1472,22,91264,2320,12364,419,1467,914435,T
380763052,1431,23,184599,2743,10495,1258,1635,914843,T
639430322,2976,9,193440,7459,10874,2097,2123,914003,T
515238452,3685,729,873345,3223,30086,1677,1692,913978,T
474309921,1811,285,159368,3038,180516,838,2296,914241,T
766387982,3743,734,920778,2639,45129,1258,1756,914182,T
644788429,3685,726,703835,2446,9025,838,2196,914544,T
426913686,4572,28,1097280,2154,45129,838,2450,914475,T
378142375,1733,273,313673,6057,17029,1258,2110,914503,T
875576073,1689,289,307398,7780,16410,1258,1374,914557,T
824065510,3183,169,792567,2794,12364,2097,2107,914498,T
291930204,3730,723,604260,7398,9918,1258,2491,914039,T
468084167,1536,8,50688,6182,24394,419,2008,914848,T
399098596,2947,38,677810,2290,42980,2097,2196,914115,T
863384890,3702,717,695976,5309,9116,2097,2591,914490,T
400963549,4250,553,573750,2616,41026,2097,2107,914292,T
893452053,3747,718,854316,12712,31123,2097,2107,914595,T
457401540,1835,288,229375,2394,20057,419,1505,914923,T
634476448,1421,18,169099,5340,10618,1258,2194,914362,T
724049010,2801,15,574205,10745,64470,1677,1687,914289,T
333356244,2950,42,339250,2037,20990,2097,2595,914630,T
636505990,4350,555,822150,11721,25788,2097,2107,914865,T
985926884,3352,162,415648,2302,9304,2097,2107,914839,T
823743277,1797,286,95241,2089,20990,838,1833,914456,T
279387043,4507,24,603938,3808,16410,419,2424,913993,F
058433761,3701,743,566253,6447,9601,1677,1687,914851,T
594449391,4322,540,1080500,2518,56868,2264,7394,1140246,T
843827953,4470,40,983400,3958,17029,2097,2107,914652,T
941625695,4314,539,474540,4084,30086,2097,2107,914787,T
135623173,1538,22,141496,3235,15834,419,2284,914394,T
261989272,3775,719,709700,3306,23143,838,2098,914722,T
201612090,4565,30,515845,2930,9705,838,1130,914961,F
242743360,3706,741,778260,1872,13273,1258,1268,914247,T
560100231,1485,29,169290,2159,12034,419,1180,914458,T
931867595,3659,726,684233,5470,37607,419,1836,914970,T
766595412,3591,734,237006,2138,18803,1677,1687,914309,T
440686712,1679,285,199801,3431,11282,2097,2107,913994,T
917241698,3749,744,104972,5503,112822,838,848,913993,T
417193626,2865,19,306555,4605,9025,1677,2092,914274,T
366791285,1400,38,30800,2338,10745,1677,2466,914094,T
