userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
483786397,4498,12,197912,2180,2768,419,1718,914696,F
740689517,2924,78,84796,2180,2118,838,1298,914743,T
753948564,2849,72,219373,2180,2123,419,1790,914850,T
888020426,4656,11,428352,2180,1908,1677,1419,914471,F
507871920,3563,75,302855,2180,7459,838,1191,914030,T
194956131,4612,22,410468,2180,2459,1677,1940,914862,F
381461558,3801,755,224259,2180,6017,1258,1615,914451,T
592616540,4606,42,207270,2180,2368,838,1736,914287,F
809787249,1667,50,86684,2180,1957,1677,2426,914217,T
295790253,4464,74,107136,2180,4198,419,2469,914790,F
519716498,1724,297,37928,2180,1827,1258,1421,914336,T
202747111,4437,35,164169,2180,3484,838,1838,914487,F
390878809,2941,22,249985,2180,4381,1258,2038,914471,T
254225889,4526,55,158410,2180,3873,2097,838,914644,F
484654050,3707,758,359579,2180,1868,2097,1540,914291,T
386034622,4638,63,162330,2180,2439,1258,1600,914612,F
997105867,4537,65,303979,2180,13471,419,2214,914301,F
233780321,1757,303,149345,2180,2735,419,2390,914940,T
102131103,1852,274,100008,2180,64470,838,1374,914002,T
914668664,4474,28,362394,2180,3235,838,1488,914716,F
841830143,3576,56,303960,2180,8280,838,1027,914820,T
576385431,4569,65,301554,2180,6267,838,2329,914119,F
748193786,3689,46,92225,2180,1896,1677,2454,914423,T
732744174,4558,39,401104,2180,6685,1677,2612,914868,F
112231181,1504,31,97760,2180,3049,1258,1641,914191,T
581484624,4607,52,285634,2180,10495,2097,1570,914285,F
597549615,3495,29,150285,2180,2375,2097,1909,914096,T
972232889,4432,45,186144,2180,16117,1677,1398,914703,F
160656131,1649,333,77503,2180,2099,2097,2294,914782,T
656417696,4540,34,195220,2180,9025,838,1274,914583,F
577705968,1538,34,92280,2180,3246,2097,788,914256,T
256647162,4536,18,127008,2180,5676,1258,1022,914569,F
349187833,1737,309,60795,2180,5938,838,1557,914096,T
517098172,4612,81,198316,2180,3824,419,1958,914586,F
362262937,3722,22,334980,2180,1892,1677,1815,914212,T
963106088,4668,48,322092,2180,5823,1258,1805,914496,F
022098289,1668,284,156792,2180,2743,1258,1136,914239,T
259310659,4641,34,162435,2180,2381,419,2207,914845,F
277883979,3870,755,236070,2180,36103,2097,1718,914497,T
653582463,4395,28,272490,2180,2847,419,1577,914915,F
760629018,1863,327,106191,2180,7338,2097,1912,914497,T
219546100,4551,29,455100,2180,12535,2097,2492,914903,F
181918277,2977,29,136942,2180,90258,838,1663,914888,T
073551224,4574,45,109776,2180,3610,1258,1724,914771,F
767898146,3728,765,156576,2180,2159,1258,1379,914218,T
828505838,4578,47,146496,2180,2212,2097,884,914677,F
345867440,3564,50,238788,2180,2228,1258,1929,914075,T
009146109,4592,15,427056,2180,2387,2097,1947,914071,F
048929303,2934,71,126162,2180,3976,419,2246,914349,T
197829593,4575,55,251625,2180,1896,838,1204,914520,F
165049187,3626,742,90650,2180,2528,1258,1725,914110,T
879240455,4668,81,415452,2180,2446,2097,1829,914702,F
074912276,1650,32,128700,2180,3745,2097,2446,914249,T
834199762,4477,36,196988,2180,4512,838,1108,914664,F
524951360,2868,37,209364,2180,1853,838,1200,914936,T
437863645,4611,11,345825,2180,6140,2097,1854,914960,F
336036545,3652,784,357896,2180,3144,2097,2033,914676,T
780497476,4513,46,397144,2180,3958,1677,2097,914516,F
209034976,4645,57,292635,2180,3595,838,1726,914396,F
401848675,1450,19,98600,2180,3166,419,1333,914468,T
634062651,4561,34,191562,2180,1849,838,2359,914249,F
604227835,3073,12,255059,2180,1908,838,1594,914824,T
666305294,3810,757,83820,2180,4140,419,1239,914949,T
439833483,4593,79,413370,2180,2239,1677,1874,914034,F
404069140,1769,274,76067,2180,24394,2097,1607,914673,T
764933349,4588,51,316572,2180,3405,2097,2059,914395,F
880816793,4420,78,265200,2180,3258,419,1742,914076,F
097572932,1507,64,84392,2180,2794,2097,1271,914650,T
942049027,4670,74,443650,2180,6493,838,1472,914295,F
229557920,1541,62,146395,2180,2094,1258,1596,914136,T
575858550,1668,326,118428,2180,3714,2097,1029,914020,T
904478886,4407,19,392223,2180,1860,1258,1343,914140,F
312860814,1606,50,81906,2180,2794,419,2080,914573,T
256706450,4404,65,136524,2180,2103,419,1491,914883,F
450110176,3876,756,213180,2180,14102,1677,1890,914367,T
761162285,4563,48,191646,2180,2001,419,1581,914470,F
269901421,1636,316,122700,2180,2847,838,1295,914757,T
272332769,4663,22,326410,2180,1953,838,2510,914544,F
100133759,1585,18,106195,2180,26546,2097,1963,914079,T
594796930,4456,51,209432,2180,5571,2097,1852,914695,F
633863930,1895,284,119385,2180,4140,1677,1296,914260,T
672968221,4606,53,101332,2180,3824,419,1876,914022,F
217949778,1474,52,114972,2180,1932,838,1454,914003,T
165603847,4536,59,145152,2180,12364,1677,1123,914750,F
887626634,1551,74,125631,2180,3018,1677,1388,914655,T
284721106,4569,39,438624,2180,2103,2097,1005,914859,F
223218084,3879,760,135765,2180,2593,2097,2545,914085,T
206316366,4670,26,322230,2180,1970,1677,1941,914679,F
679348690,1661,319,59796,2180,47504,838,810,914315,T
063793274,4518,38,189756,2180,1845,838,2248,914377,F
817976285,3834,739,268380,2180,3133,419,2214,914491,T
876166182,4547,45,341025,2180,1928,838,857,914516,F
364071540,4526,36,90520,2180,9810,838,1566,914396,F
512875178,1583,12,64903,2180,8596,838,2012,914007,T
