userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
735838152,3561,35,676590,747,6516,1905,6687,360009,T
401093282,3680,19,765440,996,35191,762,4760,359834,T
793147692,3574,23,296642,4092,7331,381,3916,359503,T
761723455,3724,16,729904,1484,7650,1524,3009,359569,T
825736434,3537,25,145017,985,10664,1524,5255,359534,T
442567873,3586,24,760232,4692,4755,381,5413,359343,T
889869688,542,3,6504,727,5027,1143,4643,359357,F
849943289,528,34,12144,740,4820,1524,5519,360052,F
321832287,3650,31,273750,1313,21994,381,4865,359304,T
800912563,3703,35,681352,4630,4189,762,6185,360148,T
746037950,3529,32,472886,895,4189,1143,6925,359969,T
759550285,581,33,9296,854,58652,762,6812,359654,T
815727606,3641,10,72820,805,3825,381,4834,360226,T
363998643,651,33,152985,1436,19550,1524,3458,359476,F
194624141,3634,18,47242,1086,5676,1524,3312,359893,T
115233402,3546,12,368784,2172,7487,1143,4596,360100,T
303525595,684,26,57456,1871,4239,1143,3388,359278,F
640512830,3662,16,106198,2270,4291,381,4762,360088,T
011454737,2415,1,36225,1768,39101,762,5140,359936,T
975439331,3554,31,565086,969,13033,1143,5118,359840,T
316595146,3653,14,357994,783,3910,381,4952,360057,T
918854181,3532,5,664016,2626,3554,1524,5174,360004,T
135382904,570,25,89490,1173,5027,762,7040,359362,T
694256259,3714,3,857934,4511,3704,762,6479,360136,T
596206662,548,17,55896,3383,6173,1143,4038,359865,F
073212785,658,39,68432,1823,5769,381,5193,359526,T
947855240,3678,23,301596,850,6767,1905,6144,359250,T
572764444,681,34,8853,831,29326,381,3927,359521,T
828902598,3530,13,769540,2255,16757,381,6401,359767,T
441405606,591,29,88650,969,7650,381,5482,360072,T
931582268,3668,14,51352,1124,5964,1143,5494,360029,T
107165901,3578,9,765692,3142,10664,381,4570,360101,T
792543487,575,1,115575,2241,12568,1905,3244,359515,F
325591268,604,28,143752,1256,8797,1905,3254,359903,F
020629747,548,24,65212,3033,9775,762,3902,359548,T
826132462,598,17,129168,2010,6173,381,6086,360199,T
506947990,520,37,103480,977,70383,381,6906,360092,T
654961649,3570,11,289170,850,8583,381,6990,359943,T
985957490,3611,18,761921,768,3910,1143,6319,359863,T
750384574,636,33,42612,1768,5175,381,7039,359865,T
089469860,518,2,95312,969,9511,762,3859,359311,T
317255845,3573,29,96471,1419,5332,1524,6526,359701,T
145047353,3630,10,468270,1327,3665,1905,3381,360108,T
626296237,2477,1,596957,2034,10054,381,3908,359532,T
546592312,3554,21,671706,785,8184,1905,6644,359830,T
670458191,3585,25,745680,1667,9775,381,6104,359417,T
922298974,613,6,153250,812,3784,1905,3126,359351,F
374602320,3574,34,346678,1205,4344,381,3614,359583,T
728841437,3700,3,799200,1861,20700,1524,6783,359842,T
513301467,3554,17,53310,1265,5498,1143,6541,360133,T
929071303,3628,26,174144,999,4140,1143,3351,359413,T
589570786,2471,5,261926,740,4570,762,3258,359474,T
336875825,3529,17,522292,958,4692,1905,4639,359873,T
041515690,676,6,146016,1196,16757,762,3958,360240,T
710967325,595,7,57120,1044,20700,762,6428,359297,T
855419276,698,31,63518,1221,4140,1143,4907,360051,F
452355214,528,38,105600,1142,4291,1143,5001,360015,F
234455963,714,33,32844,822,15300,1524,4741,359466,F
599007305,3617,18,842761,3743,31992,1905,6613,359402,T
196530815,676,16,117624,1999,7038,1143,3349,360181,F
094509175,3655,18,266815,4344,4511,762,4890,359902,T
910043319,3590,11,696460,1675,3999,1143,6460,360158,T
429582995,3663,3,611721,1503,25136,1524,6577,360039,T
854113654,3719,33,576445,1424,8583,381,4614,359479,T
908279287,3538,1,859734,1988,5100,1524,5425,359398,T
776902909,3585,17,129060,2393,4045,381,4533,359979,T
605419110,528,33,26928,2158,6639,381,6201,359974,T
507537077,601,35,39065,2587,3704,1143,4778,359674,F
454899853,522,34,9396,833,7331,1143,3193,360253,F
157381163,3635,36,716095,710,6284,762,5354,359729,T
118502224,3648,25,882816,860,4511,1905,3010,360020,T
506156584,3689,2,195517,2587,4291,1524,6787,360175,T
825214296,647,36,160456,4189,4956,1143,5186,360128,F
514018316,704,24,53504,886,12135,762,3531,360065,T
150491392,3638,1,389266,2884,14076,762,3871,359360,T
003161663,691,1,111251,1557,5676,381,7096,359883,T
657549293,534,1,88110,712,5964,381,6797,359409,T
025091413,3596,32,809100,1117,7487,1524,6241,359843,T
892641483,694,29,92302,775,3784,1524,3623,360177,F
695517437,3589,15,559884,1322,8583,762,5079,359755,T
064867962,3674,13,734800,1659,4291,1143,4783,359660,T
650061799,3718,6,167310,1192,7331,1905,6186,359974,T
001333617,3660,10,267180,776,3784,1143,3276,359942,T
442110758,671,17,104005,2587,50273,381,4045,360085,T
230233404,599,3,104825,3228,5498,381,3002,359552,T
306124687,2387,12,95480,994,994,197,1303,98277,F
107936916,525,37,66150,1284,3704,762,3939,359909,T
238780367,3540,1,817740,824,7820,1143,3655,359709,T
962473557,3708,27,422712,2957,70383,762,6317,359803,T
039962171,3663,10,47619,1708,3554,1524,5511,359335,T
911903503,3708,19,396756,1955,7650,1143,5280,359631,T
310181301,3621,18,481593,974,7038,381,3798,360145,T
448722267,3541,31,485117,904,11352,1905,5239,360058,T
053164891,3621,12,691611,3519,3554,1905,4036,359801,T
573071657,570,36,106590,839,5498,1905,3726,359747,F
485142936,3717,8,349398,1047,3519,381,6792,360077,T
080060249,3595,6,848420,1636,12568,762,3314,359469,T
988828466,2466,11,86310,748,4239,381,5353,359517,T
895252911,3627,30,61659,969,7820,1524,5196,359584,T
364806097,3616,11,97632,1173,5498,381,5543,359318,T
164771641,622,12,64688,710,9260,381,5053,359890,T
995033112,615,10,99630,4956,7181,1905,3300,359851,F
093410708,3562,38,56992,773,3999,1143,4653,359726,T
437117429,3607,36,634832,3416,5332,381,6347,359533,T
691811553,534,4,105732,1226,35191,1143,3750,359886,F
699882466,3636,10,905364,3383,19550,381,6702,360068,T
133927167,3657,19,515637,873,4291,1524,6868,359629,T
320025135,645,28,14835,4630,3867,762,6552,359974,T
648809282,529,18,96807,4630,13033,1524,3589,360017,F
078300331,3529,25,427009,785,6900,381,6961,359315,T
550753184,2451,9,151962,1786,6516,762,3541,359359,T
739924930,664,32,114872,866,4630,1524,3483,359838,F
614674032,3605,32,775075,760,4239,1143,6061,359656,T
640603272,587,39,114465,1675,7038,381,6426,359406,T
642225311,2333,15,186640,983,7038,381,4674,359597,T
894329333,3529,1,165863,856,3784,1524,3473,359284,T
865621634,684,37,96444,1338,4189,1143,5342,360002,F
040681475,3552,1,113664,909,4630,1905,5393,359527,T
278594628,3536,1,42432,748,23461,1524,5232,360111,T
552706119,3656,11,354632,843,3954,381,5095,359814,T
422897321,600,20,72600,763,4887,1905,3086,359652,F
914333121,3583,29,107490,1135,43989,1143,6189,360181,T
380373183,3560,24,462800,731,15300,1524,5518,359247,T
713350213,2368,6,402560,773,4291,381,3443,360218,T
712600833,3638,14,643926,1176,9775,1524,5500,360023,T
663588995,3645,34,371790,858,39101,1143,5426,360255,T
361803968,2360,4,47200,996,14076,381,3555,359261,T
355334672,581,18,81340,1333,5414,381,4022,359492,T
514756100,585,8,108810,1667,6767,762,6254,359903,T
544400047,527,9,69564,935,3867,1143,3950,359450,F
467080843,3652,11,489368,3519,19550,1143,5309,359837,T
622059039,3614,34,599924,768,3743,762,5066,360191,T
798120614,3722,20,420586,1333,5414,762,6696,359449,T
128961192,3528,13,800856,740,3665,1905,4678,360031,T
665979896,661,17,28423,3704,3743,1143,3080,359761,F
462802505,583,33,102025,705,10054,1143,3155,359752,F
757570203,639,25,118854,713,4956,381,5049,359588,T
574436574,2316,16,192228,736,9023,381,3149,359462,T
161896570,2401,1,328937,789,11730,381,3761,360117,T
501072524,3539,36,644098,1023,35191,1143,6194,359710,T
916410447,667,14,61364,1221,9775,1143,3230,359649,F
021915182,3727,2,928023,943,9775,1143,4997,359551,T
443091067,608,1,113088,1543,4570,1905,3129,359335,F
569678047,662,10,111216,1636,8378,381,3446,359698,T
959230493,550,3,51700,1484,13033,762,6853,359720,T
732474437,3705,37,70395,1478,3999,381,5022,359958,T
952574529,3633,18,319704,2010,3628,381,6797,360109,T
130428866,675,19,72900,1333,4344,1524,3852,359880,F
125238300,599,31,62895,1675,3784,762,3125,359463,T
320157948,3533,3,681869,796,35191,762,5077,360244,T
337052279,689,23,83369,1289,6284,762,4929,359313,T
905484496,3607,37,569906,1881,10997,762,6369,360012,T
553482022,3557,1,810996,1523,9511,1143,6439,359462,T
515431336,638,28,23606,1230,3704,381,6566,359656,T
862427532,3569,21,767335,1192,5964,1143,6869,359793,T
857537709,523,18,48639,1497,5100,1143,6663,359645,F
026588428,515,14,126175,926,4239,1905,3821,359799,F
745683071,3713,1,675766,1442,5865,1524,6332,360168,T
867039513,2346,1,180642,794,19550,381,3515,359831,T
006722132,631,35,51111,1153,5414,1143,6477,360065,F
429059807,2291,1,478819,1606,50273,381,4633,359698,T
239094548,3578,33,103762,1056,35191,1143,5560,360161,T
488302108,3532,29,830020,2749,8378,762,3337,360239,T
851757729,3656,31,292480,890,21994,762,6204,359574,T
165713087,3613,29,339622,1157,3784,762,5411,359825,T
127976819,2346,1,473892,1902,4045,762,3542,360026,T
122610780,3727,1,145353,782,4092,1143,3063,359303,T
357920579,3554,12,319860,3199,10054,1524,3200,360046,T
695027571,695,34,82705,2227,3867,762,3287,359968,T
556473439,578,11,76296,877,70383,762,7076,359573,T
966705700,673,10,158828,1173,13535,762,6712,359596,T
926739445,3676,12,224236,1028,25136,1524,3872,360093,T
151813765,3574,38,771984,2172,5676,1143,5515,360158,T
675590397,3588,33,197340,761,6398,1143,3904,359462,T
089547399,2376,13,133056,736,4239,1143,3598,359401,T
733401091,3713,21,868842,1221,5865,381,3039,360043,T
077013430,625,14,99375,1113,27070,381,4757,359968,T
196920693,3529,5,783438,2132,3954,1524,3969,359851,T
963973647,695,30,51430,1213,4092,1905,3575,360175,F
506898893,3613,26,289040,4239,15300,762,6664,359917,T
457487803,599,23,43727,1089,6284,1143,3795,359274,F
623482733,704,32,92928,2034,39101,762,5555,359859,T
217852330,3655,17,321640,938,5964,762,4888,360214,T
125768029,3636,10,239976,1063,20700,1524,6204,360236,T
915207423,3726,36,581256,879,6284,1905,6376,359618,T
696350594,676,37,76388,790,8797,381,5337,359276,T
405817730,3549,1,358449,1110,3825,1143,5464,359648,T
055292567,3541,32,159345,2645,9260,381,6717,359748,T
436048239,3595,35,819660,1364,3743,762,5294,359567,T
724579078,3552,30,529248,1023,16757,1905,4044,360033,T
748587580,3661,12,706573,2427,50273,1905,5155,359312,T
707439252,647,24,87992,1966,5027,762,5463,359533,T
714777808,699,25,77589,996,5964,381,5037,360093,T
553212179,602,37,61404,750,4140,1143,3482,359692,F
104589292,670,1,140030,1041,7650,1905,3021,359420,F
327673372,606,26,79992,1503,4344,762,6407,359750,T
377278131,2393,19,86148,893,5175,381,5003,359698,T
346837162,644,23,160356,1025,4344,381,3956,360145,T
498331057,3616,37,838912,2908,9511,1143,3913,359976,T
733635744,603,22,30753,916,5414,381,6512,360214,T
222842853,3698,26,661942,2145,8583,381,6314,360027,T
613925184,3635,10,221735,1180,3825,762,6281,359851,T
023386726,696,15,74472,3351,7820,762,5528,359299,T
898281976,2461,32,179653,845,8797,762,3006,360192,T
466175362,516,2,46956,2082,3704,1143,6847,360143,F
467109935,3591,31,750519,1691,23461,762,3612,359895,T
341347547,3691,31,896913,1659,25136,1524,3257,359756,T
674801162,2373,11,106785,1564,25136,762,3779,359616,T
742077795,3538,33,629764,794,4045,381,6127,359733,T
486001771,3633,24,515886,2172,6639,1524,6097,359372,T
092135212,529,17,73531,2346,31992,1524,3694,359505,F
120891364,532,1,126084,3825,3628,1905,3694,360195,F
466355166,709,18,150308,744,15300,381,5197,359949,T
220915496,3649,19,602085,763,5585,762,6457,359343,T
267815793,707,26,147763,1759,25136,1143,3604,359898,F
372576149,3677,2,753785,719,21994,381,6725,360020,T
795611404,544,33,114240,1096,14076,762,3791,359816,T
686967082,3618,10,810432,722,4755,762,5133,359691,T
710439104,3607,3,782719,1536,58652,1143,5288,359613,T
242310729,552,17,78384,1050,4692,762,3646,359764,T
906980130,3582,34,530136,1138,3519,762,7013,359534,T
440151215,3695,31,158885,946,13535,381,4570,360223,T
845418397,3655,18,124270,3704,5865,1143,3505,359898,T
564950184,3604,4,605472,2070,7487,1524,3273,359917,T
371942693,3723,32,398361,2443,6067,1905,5432,359318,T
953568783,638,18,7018,1369,4630,762,4586,359446,T
209624514,3631,15,50834,1308,10350,1905,3421,360040,T
785000227,3629,29,664107,4454,5252,1143,3131,359922,T
629500843,3540,34,722160,1338,6900,1143,5296,359336,T
184596464,3720,32,81840,1209,5585,1524,3602,359670,T
783007291,534,7,55002,900,13535,762,3514,359579,T
745841065,530,9,38690,785,7650,762,6594,359641,T
036991931,631,17,35967,2443,29326,381,4554,359458,T
955781542,527,17,70618,708,29326,762,6324,360053,T
742606699,3583,8,326053,3554,7331,1524,5442,359249,T
827654680,3663,12,344322,831,19550,1143,5565,359549,T
865473497,573,6,131217,837,4398,381,3490,360010,T
846746719,3649,18,321112,1636,20700,762,4819,360016,T
299607403,3540,23,591180,983,8797,1143,3966,359677,T
490540458,3687,4,560424,790,4630,1524,4605,359536,T
059993394,3539,1,106170,753,5100,762,5220,359972,T
551743867,3569,35,756628,974,3999,762,4586,359988,T
017778304,3677,20,143403,860,10350,381,3626,360125,T
633742927,516,15,81528,3086,5865,762,3803,359271,T
708654361,3680,27,426880,3910,9511,381,3927,360124,T
696125011,567,27,48195,727,29326,762,4670,359447,T
724647521,637,28,143325,1550,18521,1524,3383,360094,F
256146969,656,9,65600,900,4956,1143,3542,359470,F
834288962,3569,23,210571,991,4239,381,3251,359592,T
