userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
875538240,524,23,47684,943,1523,1143,3402,359367,F
338470060,3694,28,173618,943,1557,762,6083,360226,T
588261312,2346,61,110262,943,928,762,3096,359275,T
427337486,601,2,28848,943,877,1143,5101,360098,F
758873958,580,15,55100,943,18521,381,3256,360057,T
622847066,815,1,75795,943,974,1905,4569,360131,F
791399403,3777,61,200181,943,18521,1143,5416,359502,T
430206885,567,18,30051,943,1614,1905,3913,359294,F
158599281,700,43,30100,943,1106,381,6610,360082,T
507569141,559,37,26832,943,854,1905,3630,359885,F
311797553,3544,54,205552,943,3199,1905,6596,359718,T
613818464,719,37,43859,943,1038,1143,5567,359536,F
167671941,3798,10,300042,943,58652,1905,5427,359521,T
311752783,644,60,36064,943,814,1143,7037,360166,F
247610083,3814,17,236468,943,43989,762,4983,359474,T
475716226,772,4,30108,943,3665,1524,3987,360201,F
150536976,3740,42,164560,943,5100,381,3890,359274,T
303853868,524,12,41920,943,12568,1143,3055,360093,F
726391243,797,56,38256,943,1550,381,6379,359400,T
965883598,557,2,11697,943,1025,1143,5306,359259,F
892753502,709,25,70191,943,4454,1524,4533,359526,F
322953807,3559,26,138801,943,1056,1905,3340,359375,T
078966301,731,12,67252,943,5865,381,5216,359824,T
528279104,690,69,52440,943,761,1143,4753,360197,F
075878012,2356,1,65968,943,1153,381,3178,359745,T
614766795,711,24,69678,943,1564,1143,6161,359514,F
666884450,739,1,45079,943,753,1143,6504,359848,F
631508007,3572,24,307192,943,1047,1143,5484,359467,T
627539590,729,58,54675,943,761,762,3671,359267,T
148760903,639,39,28755,943,1298,1905,4046,359960,F
128550414,3645,52,269730,943,1484,1524,6140,360064,T
957438345,654,57,45126,943,2815,1905,3951,359298,F
787336231,3650,1,197100,943,2361,1524,4885,360172,T
636758617,671,60,50996,943,3199,1524,3831,359587,F
476875173,3666,25,80652,943,850,762,6760,359833,T
731748953,537,41,11277,943,2587,1524,3460,359277,F
184672906,3546,50,301410,943,3867,1905,4854,359651,T
049154396,745,1,15645,943,736,1905,5016,360177,F
796302929,3617,68,130212,943,1117,1524,6961,359549,T
176556588,601,47,40267,943,994,1143,6185,359649,F
575760411,575,3,43700,943,740,762,6598,359462,T
725387656,608,37,34656,943,7998,1143,3257,359920,F
130649237,583,26,22737,943,2158,1143,3188,360226,F
513005422,3557,49,92482,943,747,1143,6848,359661,T
103772062,519,10,37887,943,797,762,6177,360108,T
658768429,677,31,60930,943,719,1143,4787,360016,F
268330077,3720,28,342240,943,3784,1143,4732,360078,T
951693751,698,3,60726,943,2377,1143,6229,360032,F
798379197,641,29,62177,943,5027,381,4004,360211,T
275056375,541,34,30837,943,3704,1143,5227,359348,F
882826095,786,37,17292,943,773,762,3794,359603,T
543943067,567,24,24381,943,775,1143,3972,360158,F
017314716,3651,43,98577,943,1089,762,3839,360170,T
288762742,745,31,47680,943,3665,1143,4757,360068,F
393455420,800,9,76800,943,866,381,3832,359609,T
758130723,530,57,51410,943,1675,1524,4043,359527,F
965020357,619,69,32188,943,1165,1524,4608,359274,F
585393100,744,22,43896,943,789,381,4682,360065,T
620951521,3813,31,175398,943,719,762,7063,359938,T
306267753,556,12,20016,943,805,1524,3155,359477,F
795599984,3779,32,117149,943,1247,1905,3179,360175,T
894132569,764,19,17572,943,13535,1143,6261,360031,F
885939254,687,6,39846,943,1025,381,3896,359401,T
297941861,605,12,31460,943,1466,1143,3525,360043,F
786258150,679,46,57036,943,1644,1905,5109,359572,F
544749925,3551,24,113632,943,2568,381,5359,359279,T
289743843,756,21,29484,943,1014,762,4551,359550,T
636291577,700,9,56000,943,1881,1143,5184,359348,F
483274486,764,67,31324,943,2046,381,3577,359764,T
562191466,720,13,49680,943,1180,1905,3875,360014,F
102683806,3544,31,269344,943,816,381,6453,359591,T
160122882,710,17,65320,943,1270,1143,3624,359359,F
521420204,544,14,40256,943,12568,1905,4636,360148,F
488815386,3811,2,224849,943,856,381,6491,360136,T
216281115,3743,45,288211,943,1138,1143,3732,359582,T
976096043,614,33,44822,943,705,1143,4893,359910,F
619508273,531,24,39825,943,1804,1143,6468,359843,F
638029898,2427,39,189306,943,787,762,3300,359500,T
713838759,657,20,34821,943,926,762,6646,359670,T
859244470,651,21,16926,943,1239,1524,4600,359747,F
725399098,3689,12,118048,943,733,1143,3375,359578,T
332173741,561,63,23562,943,25136,1143,5224,359711,F
591704931,3747,1,284772,943,1348,1905,5447,360121,T
779844960,732,34,57096,943,881,1524,3752,359299,F
730139864,575,18,41975,943,39101,381,3264,360192,T
505806570,713,14,32085,943,1750,1524,4734,360238,F
494475829,3606,23,118998,943,2686,1905,6718,359815,T
823580043,631,26,18299,943,1733,1905,3401,359612,F
396016542,813,9,34959,943,1308,1905,4754,359985,F
843778379,777,26,77700,943,977,381,6076,359316,T
082523263,540,54,50760,943,935,762,3560,359702,T
932614387,621,50,47817,943,1041,1524,5265,359684,F
091489046,3652,28,153384,943,886,1905,6299,360074,T
789637577,753,45,73041,943,13033,1905,3506,359576,F
947923946,533,12,19188,943,1221,762,4870,359406,T
477150380,529,20,22747,943,755,1143,7060,359427,F
342305626,3795,56,144210,943,814,381,5072,359539,T
594608670,621,7,28566,943,3910,1143,6163,360106,F
681701635,600,42,12000,943,6173,1143,6970,360027,F
247548498,718,45,70364,943,1092,762,5294,359255,T
