userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
308650081,890,5,105910,3426,3795,1442,2758,267393,T
290544534,1721,23,318385,801,4044,1081,2467,267236,T
398765661,1781,1,372229,1495,2741,721,2617,266509,T
891973343,949,25,62634,853,2741,1442,2889,266706,T
721702288,1739,1,226070,1451,4406,721,2905,266608,T
653448258,1896,26,314736,2803,2624,360,1517,266916,T
947767666,1069,6,178523,656,7476,1802,3529,266977,T
705377215,1036,21,78736,1058,22430,1442,2669,267146,T
511595250,1762,17,340066,544,10280,1081,2071,266611,F
930066597,1861,26,27915,1077,2681,360,2412,266582,T
836711343,883,36,77704,2803,2492,1081,2504,266836,T
252445506,876,23,116508,598,3475,1081,2089,267290,T
897123662,877,18,123657,577,4655,1442,2727,267076,T
909298495,2387,60,410564,516,3475,1081,1622,266808,F
506781844,955,9,208190,579,3524,1442,3124,266632,T
336607114,1048,12,100608,1045,4406,721,3384,266632,T
840221296,1740,7,407160,1942,2517,721,3129,267001,T
806565888,1718,7,352190,1023,49347,1802,1812,267420,T
404310710,2298,69,298740,1291,13707,721,2865,266787,T
284047538,945,12,28350,2073,2772,1081,2945,266589,T
548178224,1784,10,297928,2005,2624,721,2759,267053,T
349754311,1867,15,274449,1203,3475,360,2185,267120,T
022186332,1040,9,185120,1077,5483,1802,2752,266661,T
075362414,1762,15,100434,865,2972,360,1895,266864,T
250236490,1791,3,82386,3289,7256,360,1755,266810,T
630448063,2227,57,371909,659,35248,721,3656,266646,F
239565861,919,9,112118,583,5607,1802,3549,267113,T
665750656,2329,41,568276,583,3246,1802,1812,267373,T
873729807,1823,1,419290,963,3855,360,3214,266684,T
506627892,881,1,114530,994,3916,1802,3683,266615,T
155277158,1877,19,232748,1942,5738,1081,2352,267307,T
987515720,2301,43,195585,511,12986,1442,3423,266687,T
816666864,2249,58,339599,1285,7049,1442,2482,267104,T
509395473,2300,33,487600,771,5363,1081,2299,267175,T
976930107,1801,19,221523,2145,41122,1802,2352,266641,T
743511136,1793,1,234883,2395,3682,1802,1903,266563,T
885827924,1839,1,51492,2467,11749,721,2681,266838,T
250228163,1704,1,361248,878,6168,1081,1974,266960,T
881271535,2358,59,181566,814,3524,1081,2939,267369,F
247630512,1812,11,88788,971,2772,1081,2144,267442,T
678234298,2405,55,341510,683,3682,721,2460,267022,F
033436565,2275,69,229775,549,15421,1802,3193,266531,F
909078147,908,17,29056,3204,3123,721,3501,267033,T
806035975,1783,6,169385,2127,5483,360,1863,266827,T
050770274,878,28,64972,842,3046,1442,1452,267347,T
586709865,970,33,167810,756,6017,1802,2536,266865,T
