userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
454717122,1768,8,123760,740,559,360,2918,267455,T
093544838,2483,57,84422,740,495,721,3093,266754,F
485245230,1139,17,86564,740,702,1442,2248,266951,T
014026847,2503,64,165198,740,580,1081,2694,266693,F
039882121,2258,96,58708,740,606,1081,3385,266548,F
572560616,1042,66,88570,740,675,360,2769,267254,T
206020995,995,18,73630,740,497,1802,3723,267421,T
124091094,2345,73,143045,740,910,360,3810,267038,F
194002318,1902,18,169278,740,496,360,2138,266979,T
978865647,2309,61,60034,740,495,1802,3842,267319,F
436306330,2491,84,59784,740,893,1081,2361,267177,F
355366007,1930,35,189140,740,1678,721,1847,267411,T
114875811,2491,48,144478,740,1370,1081,3373,267103,F
346875598,988,56,84968,740,4044,1442,3142,267449,T
345435732,925,66,30525,740,3246,721,3668,267047,T
957714015,2323,94,181194,740,594,1442,2248,266755,F
097346994,969,13,92055,740,687,360,2292,266588,T
222992496,2334,51,142374,740,1007,721,3000,266555,F
577716316,926,20,59264,740,1701,1081,2024,266524,T
026170148,2226,101,184758,740,830,721,3102,267029,F
469309681,941,3,35758,740,7959,1442,1880,266467,T
414027336,2305,71,149825,740,498,1081,2369,266805,F
945205957,1139,11,39865,740,4044,1802,3799,266605,T
265361637,2367,64,47340,740,1147,360,3630,266712,F
970883751,2331,50,90909,740,2803,360,2995,266953,F
529382488,1964,16,129624,740,576,360,3784,267153,T
351564172,1965,13,113970,740,532,721,2353,267305,T
158245056,2509,63,178139,740,696,1442,3104,267433,F
649660965,1875,50,114375,740,22430,1081,2117,267442,T
128729821,2372,100,75904,740,504,1081,2583,266546,F
996229909,1002,14,85170,740,554,1802,3639,267367,T
966970612,2317,95,125118,740,795,1081,2193,266797,F
841192914,2379,59,126087,740,587,1081,2786,266566,F
658892702,1982,6,182344,740,1058,721,2858,267008,T
492687416,999,42,84915,740,564,1802,3649,266865,T
381554884,2320,49,218080,740,806,1081,3788,266744,F
100731206,960,29,57600,740,637,721,3857,267451,T
890899157,2522,78,131144,740,3084,721,2914,266487,F
362370982,1851,37,138825,740,1713,360,2834,267187,T
238953501,2327,51,60502,740,1002,721,3018,267034,F
476981949,876,42,27156,740,6168,1081,3351,266723,T
575204597,2288,77,221936,740,975,721,3692,266918,F
441362940,2517,84,57891,740,1152,721,3631,266679,F
403358803,928,35,42688,740,1278,360,2617,267025,T
597615310,1776,49,150960,740,22430,1442,2205,267179,T
335803114,2520,44,231840,740,862,1802,3610,266449,F
893345355,985,23,32505,740,1142,721,2892,267407,T
098884651,2353,70,181181,740,1386,721,3044,266758,F
842495545,1162,20,115038,740,1068,1081,2874,266733,T
008723558,2294,93,128464,740,1749,1081,2493,267259,F
792618212,1152,55,99072,740,8508,1802,3859,266738,T
871394441,2466,63,194814,740,1246,1802,2362,266581,F
789395545,2274,85,211482,740,1019,1802,3829,266712,F
736663733,1016,52,67056,740,12986,1802,2811,266446,T
565515910,1122,1,46002,740,591,1802,3209,267344,T
876319597,2496,84,239616,740,806,1802,3557,267188,F
192258522,2306,69,92240,740,553,360,3027,266692,F
246623530,1166,5,76956,740,624,1802,1736,266795,T
612120967,1789,50,107340,740,510,721,2131,267156,T
964402673,2417,91,99097,740,529,1081,3012,266789,F
753218376,1856,30,85376,740,715,1081,1830,267384,T
402916443,2403,67,204255,740,1126,360,3485,267161,F
683753354,1745,2,101210,740,3682,721,1576,267116,T
006907419,2392,81,188968,740,656,1081,3105,267444,F
477530325,1148,48,114800,740,623,1442,3109,267003,T
714827808,2389,52,174397,740,3246,1442,2913,266613,F
151416432,1144,56,43472,740,618,1081,2010,267020,T
335803010,2343,52,126522,740,3628,360,3171,267430,F
383793346,1110,64,96570,740,3246,360,2706,266815,T
406911370,2397,57,162996,740,1215,1081,3323,266550,F
143713708,1039,62,58184,740,1814,1802,3157,266783,T
339388716,2354,46,193028,740,635,1081,2797,266890,F
756384339,2465,99,221850,740,2022,1442,3002,266559,F
542106091,872,28,41856,740,10280,360,2824,266700,T
922213014,1042,44,89612,740,5140,360,3099,266955,T
426899328,2497,71,62425,740,553,360,3571,266892,F
158208401,1022,41,36792,740,1602,360,3228,266491,T
403395244,2447,94,198207,740,583,1802,2393,266659,F
439083846,973,15,20433,740,6017,1081,2147,267292,T
759082375,2368,76,201280,740,555,1081,2682,267010,F
136492488,1106,38,88480,740,842,721,2762,267073,T
134800090,2348,53,110356,740,3204,1442,3782,267078,F
875342765,1112,42,41144,740,507,360,3378,267149,T
989472166,2518,78,251800,740,1602,1081,2394,266826,F
147738783,1733,42,154237,740,3246,360,2734,266942,T
772745999,2393,99,167510,740,6853,721,3429,266471,F
285315019,1064,52,91504,740,615,360,2752,266917,T
159031296,2403,79,96120,740,903,721,3049,266547,F
226858635,1079,60,57187,740,1158,1442,1791,266482,T
302844535,2299,64,181621,740,607,721,3690,266961,F
586084921,1157,30,39338,740,1246,1081,3155,266805,T
761490018,2447,65,132138,740,1667,360,3094,267325,F
113492935,1088,22,101184,740,5483,1081,2163,267055,T
411818975,2334,65,49014,740,917,1081,2759,267198,F
368760691,1044,4,82476,740,696,1802,3161,267359,T
740964949,2524,60,249876,740,1096,1802,3871,267185,F
490002852,987,46,87843,740,548,1442,2318,266968,T
223105215,2479,82,81807,740,547,1081,2443,267169,F
799757442,1989,1,53703,740,785,1081,2170,266803,T
523560744,2463,56,66501,740,588,1081,2591,267120,F
