userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
083608442,1926,34,412164,2021,12276,1020,5876,918566,T
186911958,258,16,2838,3906,9765,510,10250,918723,T
282963814,4533,184,444234,5404,17186,510,5673,919249,T
294817592,4529,206,729169,3565,16849,510,10474,919075,T
747987462,1948,37,175320,9548,24552,510,5433,919198,T
535636817,225,1,49725,5473,9548,510,8501,919301,T
770218283,1898,56,402376,4695,16213,2551,10970,918720,F
041661400,4570,181,658080,7604,13220,1020,8272,919232,T
608789807,1978,65,476698,1851,14564,2551,10869,919034,F
330268183,4771,49,1187979,6226,20460,1020,10955,918904,T
562115453,3947,61,714407,4171,9045,510,5221,919099,T
997291438,360,20,85320,9240,78120,510,10338,919350,T
819110233,338,1,33462,4254,19096,1020,8323,919171,T
507569310,4814,30,962800,6365,78120,510,5797,918850,T
167644786,173,10,27161,4254,22613,2041,5098,918982,T
678153126,1950,43,444600,1980,13640,2041,10376,919192,T
570213267,331,1,71496,2520,21483,2551,10684,918774,F
640361358,3850,50,627550,11160,9141,510,5192,918672,T
345401370,222,23,3330,4747,23870,1020,8469,918701,T
473880740,328,19,69536,2055,47740,510,5460,918435,T
498812358,204,1,7752,4429,35805,1530,8121,918904,T
327249819,2591,1,274646,1896,12453,510,5313,918864,T
893392663,198,1,27720,4827,24552,2551,8136,918819,F
145978291,298,1,5662,2285,13860,1020,5790,918524,T
037003179,4690,204,257950,8858,14815,1020,5833,918959,T
092114385,2062,60,375284,2021,15624,1020,10432,918646,T
542342392,4812,59,827664,2197,28644,1530,10273,919062,T
751915749,4762,64,504772,2562,56085,440,1462,563969,T
182062608,4617,213,521721,5544,9340,510,5482,918739,T
157925631,202,6,38178,3923,9240,1020,8537,918633,T
407086288,2004,55,458916,1797,20959,1020,8361,919223,T
324784375,4683,186,140490,3888,18283,1020,5806,919246,T
229793921,1934,33,313308,6820,11935,1530,10831,918659,T
337837543,1933,55,403997,1970,15913,1530,5925,919152,T
552038247,4628,201,356356,1968,4568,739,3611,363814,F
504408139,2037,29,291291,1896,18283,510,7986,918930,T
222156458,4846,37,218070,8508,13020,2551,7871,918853,T
372293019,262,10,39824,3595,15345,510,10728,918796,T
962467364,247,1,22971,5508,95480,1020,5633,918979,T
410073824,4714,28,570394,2021,15913,1020,10209,919023,T
624994447,4692,214,586500,3255,16849,510,7885,919227,T
830727196,4711,64,1144773,9141,17186,1530,5692,919050,T
669986823,1979,28,100929,4318,122760,1020,5621,918677,T
101843497,1921,41,416857,2719,13426,510,5171,918957,T
606118994,4686,37,238986,3580,47740,1530,11132,919136,T
814092326,4572,220,790956,1746,10230,1020,8276,919232,T
199793462,324,1,6156,7221,53707,1530,5328,918511,T
981875238,330,1,29040,7221,19984,1020,5694,918721,T
555066986,2013,45,70455,8342,27720,510,5247,918757,T
624595893,4850,72,489850,4318,23870,510,10166,919042,T
409879016,4699,84,610870,3343,26853,510,10453,918846,T
845136642,232,6,24824,1953,13640,510,10629,918777,T
266199731,1919,60,324311,2159,50548,510,10401,918722,T
563030220,4739,33,924105,1828,42966,1020,5225,919090,T
783740273,1891,52,177754,2279,13020,1020,11144,919302,T
971323213,4729,26,1153876,2963,24552,2041,8270,918704,T
476927425,258,14,22962,3080,45227,2551,10890,919363,F
995648676,357,8,58905,2490,18283,2041,7659,918915,T
368840686,4660,211,493960,2137,18680,1020,7667,918440,T
564225113,285,1,6270,3565,19096,2041,8360,918595,T
122264446,4540,212,490320,5145,13640,1530,5092,918685,T
537966572,4814,25,986870,2808,171864,2551,5762,918933,T
557392485,1908,40,339624,2017,24552,510,10900,918581,T
751657849,4862,43,1113398,2373,9992,1530,7721,918561,T
637972778,4747,29,256338,7472,71610,2041,8606,919244,T
679703887,269,1,9684,4072,16525,510,11075,919068,T
055441097,1985,36,83370,1884,85932,2041,6013,918587,T
527732339,4806,26,759348,3317,171864,1020,10582,918822,T
011994742,2019,31,276603,2763,61380,510,10417,918530,T
878393881,1945,39,44735,2685,47740,1020,5635,918537,T
998890931,184,14,24840,2572,12276,1530,5759,918554,T
418401582,4843,57,615061,11457,20959,510,5240,918794,T
417747170,4829,47,999603,2060,12637,1020,11117,919170,T
501719500,228,1,57000,12276,12637,1020,10550,918619,T
614443709,4800,58,1065600,5304,26853,1020,5525,918578,T
156148574,304,24,9424,7537,53707,510,8116,918708,T
600872517,1939,34,275338,2983,10230,2551,5395,919208,F
710831533,2011,48,146803,4747,17186,510,7686,918638,T
039562145,2045,67,290390,2549,53707,1530,8406,918498,T
468600314,232,1,6496,5145,35805,2041,11012,919406,T
250990020,301,12,70735,5508,12276,1020,5748,919050,T
934492014,1950,68,421200,3720,27720,1530,10356,918515,T
231542738,1932,60,226044,3025,8858,1530,11024,918731,T
116690626,275,1,8250,4233,10741,1020,10418,918938,T
058630972,238,11,56168,6365,9340,1530,10162,918566,T
998424665,304,1,74784,1793,10479,1530,11189,918659,T
861104512,1896,36,83424,5806,8951,1530,5149,918473,T
344723095,4822,60,284498,7282,9240,2041,8629,918725,T
692468970,2072,57,333592,2817,9340,1020,5299,918613,T
406334508,4761,82,476100,3437,10230,510,8507,918817,T
795881988,350,1,16100,6318,107415,1020,10893,919378,T
276404138,2072,38,215488,3206,16849,2041,8507,918868,T
262215146,1907,58,465308,1840,14815,1020,11080,918682,T
842126853,309,1,50058,9765,22613,2551,8064,918540,F
230272837,2058,63,360150,4499,19984,1020,8636,918726,T
952792930,4645,184,60385,1984,11935,1530,5560,918778,T
505880316,324,4,22680,1975,9655,510,10781,918927,T
065913529,4776,37,663864,6713,16525,2551,5166,918791,T
472660403,170,19,31450,2347,9141,510,5371,918950,T
