userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
768282925,329,48,15134,1801,2652,1020,10691,919231,T
482374901,1970,62,55160,1801,13860,2551,5301,918864,F
628248045,1958,56,101816,1801,9045,2041,5152,918640,T
738494032,1888,57,183136,1801,4406,2551,10760,919192,F
460003989,4558,199,300828,1801,2611,510,10567,918616,T
146591820,4737,52,454752,1801,3688,510,5333,918983,F
337547186,1980,93,146520,1801,7812,1530,11172,918965,T
901313483,1996,96,175648,1801,18680,2551,5362,918935,F
123304607,2170,71,95480,1801,2017,2551,5981,918910,F
094891159,2117,71,127020,1801,2754,510,8043,919238,T
527143399,188,1,7144,1801,4670,510,11132,918484,T
232179055,1919,34,51813,1801,2322,2551,10412,919225,F
994638209,4738,189,435896,1801,3317,1530,8208,919298,T
437946567,460,8,23460,1801,5728,2551,10573,918977,F
707436570,1923,35,138456,1801,5304,1530,5157,918733,T
621969729,1913,72,114780,1801,2111,2551,8448,918623,F
509213644,4754,248,351796,1801,6766,1020,10586,918535,T
412928362,2168,90,156096,1801,5271,2551,10660,919018,F
941628230,1977,57,39540,1801,2619,1530,5605,918901,T
513191531,263,40,19199,1801,4747,2551,5437,918412,F
518574407,4679,223,458542,1801,2780,1530,10918,919230,T
388044592,294,20,11466,1801,2534,2551,10842,918541,F
712705808,1966,37,86504,1801,11016,2041,8153,919024,T
695288340,364,22,29120,1801,5054,2551,8356,918894,F
662806105,4971,86,99420,1801,1750,2551,5885,919157,T
109846877,279,35,15345,1801,6559,2551,10475,918863,F
599320601,4654,213,339742,1801,3536,1530,10618,918613,T
827552709,216,17,21384,1801,2354,2551,5895,919054,F
327845559,452,12,36160,1801,2611,510,7962,918566,T
452093747,196,9,14112,1801,1998,2551,5161,918532,F
090244738,4731,41,246012,1801,2291,1530,5483,919068,T
280787998,1884,97,126228,1801,2763,2551,5717,919199,F
192543679,4738,207,161092,1801,7537,510,10719,918709,T
224421185,245,15,12250,1801,4053,2551,8430,918870,F
486703814,1989,39,79560,1801,2267,2551,5405,918708,F
281928469,2007,67,150525,1801,15624,510,10602,918595,T
618896005,4939,72,296340,1801,1848,1530,6059,918454,T
499347543,248,1,24552,1801,3437,2551,5980,918586,F
023862692,4910,51,422260,1801,2273,2041,11077,918953,T
339493164,281,1,5901,1801,2413,2551,8087,919365,F
085315554,182,1,18200,1801,1809,1020,10496,919216,T
501802223,1967,70,178997,1801,1844,2551,10760,918503,F
950537528,196,11,11564,1801,2763,2041,5452,919243,T
019472646,395,18,21725,1801,1851,2551,8039,919109,F
492462814,4675,65,345950,1801,1966,2041,8078,919099,T
372512526,2041,90,51025,1801,2994,2551,11130,918847,F
462281566,2098,52,62940,1801,8262,2551,7694,918460,F
097097539,436,30,10464,1801,2763,1020,8135,919219,T
151365870,2123,86,131626,1801,3752,2041,11109,918461,T
110765940,2047,55,88021,1801,1729,2551,7782,918621,F
052460946,4894,53,117456,1801,2203,2041,8615,918923,T
945490906,170,28,4930,1801,2627,2551,8269,918930,F
135237586,4746,60,180348,1801,2373,2041,7952,918575,T
208798542,2068,38,146828,1801,2427,2551,10596,918788,F
312184449,2089,97,89827,1801,2106,1020,11189,918721,T
447939244,188,35,9400,1801,5728,2551,5346,919323,F
876887252,4766,195,328854,1801,3383,510,10270,918469,T
333445207,2168,45,73712,1801,2455,2551,8061,919306,F
867505530,4605,200,336165,1801,4362,1530,10539,918451,T
144492721,2110,35,141370,1801,1760,2551,10712,919089,F
201627912,1973,53,61163,1801,2303,1530,5982,919191,T
350595933,1972,64,193256,1801,3656,2551,8345,918737,F
767827114,4744,195,260920,1801,2462,1530,8630,919194,T
441338036,2125,30,204000,1801,3437,2551,10217,919345,F
797624706,4610,201,170570,1801,107415,1020,6068,918609,T
502744324,2007,50,106371,1801,6412,2551,7843,918408,F
975834765,4941,75,242109,1801,6051,2041,10218,919076,T
804679495,1916,97,151364,1801,37361,2551,7938,918504,F
688599712,284,18,8520,1801,3218,1020,11179,918852,T
594100416,1966,52,123858,1801,2893,2551,5478,919156,F
441181810,2129,93,136256,1801,2050,2551,8084,918429,F
812697604,2179,66,87160,1801,12825,1020,10240,919105,T
391778992,2070,47,200790,1801,9240,510,11028,918760,T
342593258,373,1,27229,1801,2565,2551,10322,919141,F
489378116,4805,202,153760,1801,1913,1530,5364,918808,T
946928481,2106,96,189540,1801,2483,2551,8046,918661,F
668294872,4785,63,129195,1801,6365,2041,10423,918510,T
269641572,222,10,20646,1801,2677,2551,6010,918982,F
701443691,2052,30,90288,1801,3656,2551,10185,919114,F
454200030,4810,68,437710,1801,3182,1020,5177,918495,T
611001503,180,9,6300,1801,2719,2041,5304,919085,T
435802314,282,8,6768,1801,8593,2551,8381,918427,F
794595942,4582,224,357396,1801,2611,510,5496,918632,T
572962201,306,18,17136,1801,8593,2551,11135,919128,F
023997262,4610,245,253550,1801,2075,510,5745,919407,T
878859661,436,4,14824,1801,3768,2551,7997,918924,F
496029146,4799,227,95980,1801,5145,1530,5928,919371,T
680015460,2061,84,55647,1801,22033,2551,10450,919300,F
776240808,2008,34,122488,1801,4522,2551,10798,919023,F
574635314,2180,61,207100,1801,2279,510,5884,918821,T
259441952,1972,98,69020,1801,4910,1530,10793,918865,T
249492768,297,46,28215,1801,5404,2551,5443,919268,F
418427049,1940,74,108640,1801,28644,1020,10791,918593,T
648816214,462,6,22176,1801,1743,2551,8566,918989,F
008058897,2076,62,174384,1801,2873,2041,11155,918820,T
888409030,259,1,24605,1801,5145,2551,5537,919238,F
456621581,2120,31,148400,1801,3465,2041,8044,918420,T
544562795,394,22,14972,1801,3159,2551,7871,918947,F
289593864,4725,73,396900,1801,1931,2041,7902,918529,T
052204790,2021,69,161680,1801,2627,2551,5808,919111,F
