userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
168436260,4423,36,97306,2811,20801,2279,2491,1162369,T
138463493,2853,161,259623,6085,42374,2279,2807,1162166,T
891590979,3474,149,69480,9008,16825,1367,1442,1162407,T
164255670,3387,12,823041,3509,27904,1367,2244,1162410,T
316153774,2840,166,408960,3904,16114,1823,1833,1162259,T
483535501,3463,20,571395,11674,21586,1823,1860,1161798,T
088267401,4540,938,572040,3564,114410,1367,2687,1162237,T
779175055,387,22,52632,3520,45764,1367,1395,1162489,T
165985235,3331,17,746144,4301,127122,1823,2742,1162274,T
804536220,369,1,76014,2770,38136,1367,2395,1161940,T
153737845,4726,935,425340,4669,88008,2279,2528,1161881,T
251680084,3458,27,107198,15254,22433,911,2089,1162088,T
965006478,3345,14,367950,2548,81721,1823,1833,1161554,T
699383918,2888,166,95304,2536,95342,2279,2289,1162025,T
964463169,4603,943,128884,2673,190684,1823,2689,1162395,T
470855496,3577,122,339815,4576,18755,1823,1840,1162478,T
307056993,4507,503,531826,3034,20430,1823,2650,1162375,T
135146737,341,8,30349,10896,11441,2279,2289,1161722,T
178777884,3431,22,720510,4807,71506,1367,1958,1161679,T
086092398,3403,7,823526,4486,11917,455,2349,1161852,T
974118180,2754,163,112914,2964,31780,1823,1974,1162487,T
115774836,4593,935,959937,5422,17334,2279,2289,1161692,T
190235185,435,14,20880,5396,47671,1823,2780,1162003,T
114272959,3361,9,810001,2666,127122,1367,1397,1162109,T
926442891,365,17,87965,15460,39451,1367,1377,1161573,T
538706801,3618,143,238788,2711,13150,911,921,1162228,T
680795251,2785,165,442815,2408,11674,1367,1377,1162506,T
914139538,2893,172,361625,6184,24342,1367,1829,1162263,T
050011902,4383,109,631152,3335,228820,1823,1833,1162235,F
119036557,3454,24,822052,2756,17601,1367,1647,1161601,T
796087035,3295,38,431645,3059,127122,1367,1815,1162421,T
863556641,4635,913,533025,6690,54481,1367,1377,1162038,T
829324742,3520,148,179520,3564,11441,1367,1965,1161648,T
148575916,500,1,106000,2824,17601,1823,1833,1161801,T
145054309,4354,108,208992,8733,13150,1367,2251,1162125,T
497593203,4437,498,745416,6151,17601,2279,2289,1162347,T
124668138,4247,112,93434,6500,20430,1367,1899,1162221,T
139247955,4674,907,668382,15460,16581,1367,1956,1162299,T
001961371,3509,131,329846,4558,17334,455,2232,1161991,T
291238867,2857,170,534259,6053,11674,2279,2572,1162220,T
080941327,3458,32,615524,5130,13620,1367,1999,1162178,T
583969818,504,1,95256,2987,95342,1367,2226,1161926,T
925259167,4239,95,203472,3643,67300,455,1397,1161930,F
021632368,4665,920,704415,2363,18160,455,1214,1162353,T
378532730,4560,924,259920,14482,143013,455,874,1161556,T
336101482,3318,9,212352,2481,67300,2279,2289,1162502,T
765024851,4690,928,182910,2673,13620,911,2033,1161597,T
331857661,3360,16,336000,2297,15672,2279,2289,1161958,T
449032193,2744,163,430808,2514,23835,2279,2289,1162000,T
776302125,341,1,40579,6850,88008,1823,2032,1161551,T
962022185,501,1,46092,2711,23349,1367,1377,1161543,T
059054983,3299,33,197940,3325,15460,1823,2746,1161629,T
173436891,4682,922,1118998,5130,57205,2279,2662,1162138,T
832418385,3319,20,614015,3865,20430,1823,2560,1161843,T
974607210,4329,83,194805,8869,22002,455,1473,1162250,T
