userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
524153425,4543,941,168091,2548,6976,911,1651,1162158,T
669992063,4250,103,259250,2548,127122,911,2588,1162440,F
457512226,524,21,39300,2548,9008,2279,1036,1161617,T
714333614,4209,145,206241,2548,81721,911,1721,1162018,F
181478690,361,32,10108,2548,4221,911,2767,1161582,T
796015070,4330,107,407020,2548,67300,455,2551,1162465,F
233286089,4630,975,351880,2548,17334,911,2625,1161957,T
961364999,4463,130,294558,2548,143013,1823,1354,1161601,F
409753735,4555,942,391730,2548,2403,1823,1895,1161606,T
269596673,4318,106,246126,2548,67300,455,1902,1161922,F
246111498,4611,944,451878,2548,5867,1367,1647,1161574,T
415358143,4203,131,252180,2548,95342,911,1641,1161834,F
708480179,4751,955,389582,2548,12171,911,1871,1161741,T
420319086,4331,92,411445,2548,127122,1367,1823,1161684,F
094178922,4685,937,290470,2548,24871,1367,2183,1162248,T
616562001,4446,85,186732,2548,81721,455,2703,1162300,F
793046973,3456,26,183168,2548,2481,1367,2112,1161719,T
665397721,4428,120,159408,2548,71506,911,1284,1161648,F
176843151,2819,191,95846,2548,4086,911,2544,1161504,T
765921951,4348,124,86960,2548,88008,1367,1783,1162248,F
827829624,384,1,19584,2548,3405,455,2106,1162479,T
817322941,4491,119,408681,2548,54481,455,1701,1161704,F
288903807,3300,15,92400,2548,3297,1823,2666,1161549,T
791730550,4329,93,220779,2548,143013,455,1498,1161903,F
378145587,4363,496,239965,2548,143013,2279,1075,1162090,T
134319099,4290,113,90090,2548,76273,455,1327,1161858,F
018460550,4553,32,355134,2548,8602,2279,2350,1162387,T
237491714,4478,130,313460,2548,127122,1823,1723,1161752,F
606235316,2780,151,177920,2548,16581,1367,2014,1162215,T
459494093,4213,105,383383,2548,127122,2279,1214,1162256,F
503366646,4461,11,370263,2548,4237,2279,2320,1162064,T
386115593,4220,107,257420,2548,127122,455,2369,1161567,F
053374018,4402,503,294934,2548,2642,1823,924,1161852,T
349474023,4470,147,330780,2548,88008,911,1634,1161891,F
956663394,2757,157,129579,2548,8800,1823,936,1162423,T
861288546,4397,111,224247,2548,228820,455,1903,1161552,F
004515760,3719,121,316115,2548,6286,911,1206,1161828,T
405229024,4397,111,360554,2548,71506,455,1841,1161558,F
102361990,4591,492,137730,2548,3852,2279,1464,1162309,T
252758846,4465,102,334875,2548,76273,455,876,1161653,F
090429124,3487,31,111584,2548,3435,2279,2644,1162365,T
033808067,4364,115,109100,2548,190684,911,977,1161705,F
490080430,3393,27,74646,2548,39451,911,1909,1162351,T
013434329,4482,91,134460,2548,54481,455,1460,1161501,F
183095246,3544,4,287064,2548,3986,911,2685,1162267,T
349036160,4403,82,299404,2548,104009,911,1288,1161984,F
172490039,3501,19,231066,2548,6321,1823,2145,1162195,T
919921918,4334,142,242704,2548,127122,911,1631,1161676,F
647491382,4503,19,148599,2548,5500,455,2400,1161714,T
029029840,4474,142,205804,2548,143013,1823,1531,1162251,F
284234140,4541,933,190722,2548,2311,911,1733,1161759,T
662373405,4356,140,113256,2548,67300,455,1173,1162086,F
529170747,4500,490,414000,2548,11107,2279,2419,1162472,T
906488926,4331,96,259860,2548,143013,2279,1800,1161838,F
224779491,410,9,30340,2548,2797,455,2520,1161612,T
749439292,4396,141,263760,2548,54481,455,2635,1162336,F
162238874,579,10,22002,2548,2288,1367,1825,1161920,T
810820550,4330,119,372380,2548,143013,455,1870,1162071,F
847553245,3378,19,94584,2548,5580,1823,2154,1161640,T
